intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
16525,0.0715,8246,7782,9030,7755,7747,6774,9128,10203
17102,0.0715,8712,8226,9456,8113,8167,7092,9518,10619
17639,0.0715,9221,8679,9883,8478,8490,7325,9942,11077
18374,0.0715,9632,9114,10363,8945,8920,7702,10338,11515
18936,0.0715,10197,9623,10814,9359,9312,7997,10765,12007
19605,0.0715,10664,10108,11303,9761,9739,8333,11168,12409
20333,0.0715,11339,10686,11816,10293,10171,8705,11708,13030
21100,0.0715,11819,11271,12389,10700,10551,9026,12131,13504
21842,0.0715,12497,11763,13013,11335,11064,9366,12631,14100
22651,0.0715,13100,12362,13509,11920,11537,9804,13069,14689
23406,0.0715,13760,13068,14150,12541,12126,10227,13743,15224
24263,0.0715,14532,13686,14875,13246,12708,10699,14315,15904
25174,0.0715,15352,14495,15521,13786,13317,11108,14898,16591
25998,0.0715,16108,15189,16281,14522,13956,11603,15484,17273
26958,0.0715,16902,15967,17050,15365,14608,12012,16223,17904
27954,0.0715,17856,16743,17971,16173,15365,12581,16845,18708
28996,0.0715,18804,17658,18744,16996,16100,13149,17455,19473
30017,0.0715,19849,18545,19658,17996,16853,13767,18235,20276
31219,0.0715,20788,19624,20700,18975,17744,14456,19129,21146
32349,0.0715,21823,20583,21662,19996,18663,15164,19889,21926
33395,0.0715,22925,21581,22774,21050,19596,15907,20566,22751
34536,0.0715,24037,22639,23805,22158,20568,16679,21464,23711
35904,0.0715,25233,23801,24949,23428,21639,17551,22370,24732
36917,0.0715,26548,24882,26277,24682,22798,18469,23193,25755
1540,0.6233,,,,,,,,
1573,0.2331,,,,,,,,
1584,0.3282,,,,,,,,
1625,0.1073,,,,,,,,
1626,0.1738,,,,,,,,
1630,0.275,,,,,,,,
1670,0.106,,,,,,,,
1694,0.238,,,,,,,,
1709,0.1257,,,,,,,,
1736,0.0333,,,,,,,,
1753,0.1485,,,,,,,,
1786,0.1463,,,,,,,,
1771,0.1889,,,,,,,,
1847,0.0283,,,,,,,,
1864,0.9924,,,,,,,,
1887,0.9067,,,,,,,,
1902,0.9629,,,,,,,,
1946,0.9912,,,,,,,,
1985,0.5944,,,,,,,,
2015,0.864,,,,,,,,
2023,1,,,,,,,,
2115,0.7536,,,,,,,,
2134,0.754,,,,,,,,
2150,0.917,,,,,,,,
2226,0.518,,,,,,,,
2243,0.6045,,,,,,,,
2291,0.4928,,,,,,,,
2341,0.6054,,,,,,,,
2375,0.5726,,,,,,,,
2432,0.5595,,,,,,,,
2511,0.4365,,,,,,,,
2549,0.4899,,,,,,,,
2560,0.5996,,,,,,,,
2673,0.4156,,,,,,,,
2708,0.268,,,,,,,,
2756,0.3237,,,,,,,,
2816,0.3356,,,,,,,,
2827,0.4148,,,,,,,,
3020,0,,,,,,,,
3001,0.2795,,,,,,,,
3062,0.7828,,,,,,,,
3153,0.6075,,,,,,,,
3188,0.7257,,,,,,,,
3267,0.676,,,,,,,,
3353,0.6098,,,,,,,,
3385,0.6522,,,,,,,,
3491,0.5937,,,,,,,,
3589,0.4438,,,,,,,,
3657,0.5213,,,,,,,,
3739,0.459,,,,,,,,
3860,0.3469,,,,,,,,
3956,0.3849,,,,,,,,
4011,0.4361,,,,,,,,
4112,0.2178,,,,,,,,
4218,0.2056,,,,,,,,
4301,0.6432,,,,,,,,
4413,0.6359,,,,,,,,
4518,0.6457,,,,,,,,
4616,0.6596,,,,,,,,
4706,0.6878,,,,,,,,
4848,0.5942,,,,,,,,
4992,0.5387,,,,,,,,
5119,0.4745,,,,,,,,
5235,0.4646,,,,,,,,
5327,0.5561,,,,,,,,
5498,0.4673,,,,,,,,
5659,0.434,,,,,,,,
5758,0.5363,,,,,,,,
5894,0.5611,,,,,,,,
6083,0.4874,,,,,,,,
6205,0.4411,,,,,,,,
6431,0.31,,,,,,,,
6542,0.4528,,,,,,,,
6721,0.4542,,,,,,,,
6947,0.3919,,,,,,,,
7067,0.5287,,,,,,,,
7342,0.3245,,,,,,,,
7508,0.3703,,,,,,,,
7716,0.4018,,,,,,,,
7929,0.3817,,,,,,,,
8116,0.4231,,,,,,,,
8417,0.3217,,,,,,,,
8576,0.4095,,,,,,,,
8870,0.3932,,,,,,,,
9124,0.3401,,,,,,,,
9336,0.4439,,,,,,,,
9645,0.386,,,,,,,,
9908,0.3893,,,,,,,,
10275,0.3114,,,,,,,,
10621,0.2822,,,,,,,,
10889,0.3452,,,,,,,,
11240,0.3566,,,,,,,,
11569,0.3429,,,,,,,,
11943,0.3603,,,,,,,,
12317,0.3675,,,,,,,,
12670,0.4065,,,,,,,,
13099,0.3773,,,,,,,,
13685,0.224,,,,,,,,
14144,0.2317,,,,,,,,
14495,0.3346,,,,,,,,
14951,0.3708,,,,,,,,
15373,0.447,,,,,,,,
15896,0.4519,,,,,,,,
16499,0.4085,,,,,,,,
16999,0.4738,,,,,,,,
17628,0.4758,,,,,,,,
18278,0.4467,,,,,,,,
18844,0.5179,,,,,,,,
19474,0.5806,,,,,,,,
20188,0.5694,,,,,,,,
20967,0.5677,,,,,,,,
21576,0.303,,,,,,,,
22365,0.3304,,,,,,,,
23048,0.4555,,,,,,,,
23857,0.5245,,,,,,,,
24798,0.33,,,,,,,,
