intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1539,0.1264,1231,1267,1150,1132,974,1208,1017,861,792,872
1539,0,1259,1267,1145,1137,983,1193,1040,866,798,872
1533,0.3734,1317,1347,1150,1148,926,1210,1054,899,791,920
1573,0.0488,1317,1345,1179,1117,950,1218,1065,847,774,889
1577,0.397,1326,1342,1208,1179,1019,1239,1041,888,800,893
1593,0.1378,1365,1361,1202,1169,1023,1234,1071,887,781,930
1603,0.4256,1397,1384,1264,1210,997,1284,1047,927,817,890
1623,0.2846,1401,1385,1241,1190,997,1286,1038,872,760,914
1592,0.6316,1454,1360,1276,1210,1012,1272,1070,922,798,879
1641,0.3291,1459,1416,1291,1252,1029,1319,1101,931,815,943
1655,0.3644,1470,1458,1305,1290,1039,1334,1140,962,838,938
1686,0.2124,1502,1476,1306,1276,1052,1332,1139,965,845,936
1645,0.7958,1533,1501,1318,1320,1078,1320,1175,980,845,945
1704,0.5862,1557,1557,1358,1353,1056,1385,1145,958,820,943
1728,0.3352,1590,1562,1374,1330,1113,1362,1225,956,855,933
1763,0.4835,1590,1617,1412,1438,1100,1392,1207,967,843,959
1743,0.6532,1625,1650,1454,1400,1118,1410,1196,1003,875,978
1762,0.6613,1625,1667,1443,1424,1115,1384,1256,1001,843,989
1789,0.624,1682,1646,1462,1481,1178,1417,1237,1010,876,997
1814,0.6512,1755,1750,1520,1439,1175,1466,1274,1036,876,974
1821,0.6871,1774,1776,1538,1526,1174,1492,1265,1041,886,984
1879,0.5378,1815,1787,1541,1533,1200,1519,1323,1074,907,1038
1863,0.7579,1844,1791,1577,1563,1197,1530,1335,1077,904,1020
1882,0.8238,1903,1848,1590,1582,1195,1576,1320,1043,919,1017
1953,0.6599,1934,1910,1608,1665,1280,1544,1353,1095,894,1053
1947,0.7902,2004,1917,1625,1662,1283,1588,1399,1124,891,1005
1985,0.8078,1989,1938,1679,1640,1287,1586,1378,1139,930,1052
2015,0.7781,2060,2022,1671,1704,1313,1622,1421,1118,935,1059
2053,0.6617,2094,2048,1710,1756,1325,1657,1458,1146,930,1060
2087,0.7728,2156,2080,1777,1798,1351,1697,1475,1183,950,1116
2126,1,2206,2130,1795,1861,1365,1743,1465,1169,945,1103
2142,0.8128,2199,2183,1813,1862,1358,1746,1510,1206,963,1093
2177,0.8266,2274,2185,1857,1900,1414,1718,1543,1207,993,1145
2208,0.9281,2307,2258,1869,1906,1421,1740,1566,1229,951,1129
2258,0.8162,2411,2298,1914,1961,1457,1839,1622,1241,1004,1146
2303,0.8643,2429,2338,1938,2004,1504,1835,1651,1282,1030,1187
2318,0.8621,2484,2385,1984,2045,1478,1912,1631,1314,1038,1171
2402,0.7727,2538,2425,2018,2121,1530,1958,1718,1332,1059,1249
2449,0.7549,2632,2529,2079,2187,1562,1988,1783,1373,1064,1243
2483,0.86,2660,2540,2129,2217,1579,1980,1744,1351,1066,1258
2490,0.9438,2740,2601,2152,2290,1581,2023,1825,1367,1109,1258
2588,0.7927,2755,2629,2153,2263,1631,2036,1837,1405,1101,1308
2615,0.8846,2835,2668,2237,2324,1641,2085,1868,1446,1115,1345
2723,0.7552,2925,2742,2273,2412,1669,2100,1905,1475,1089,1316
2753,0.8614,2986,2824,2288,2477,1708,2154,1922,1521,1118,1347
2849,0.5966,2979,2891,2358,2558,1684,2208,1983,1531,1148,1387
2838,0.8254,3085,2884,2415,2575,1790,2241,2018,1526,1197,1422
2956,0.7628,3177,2959,2441,2621,1773,2277,2077,1505,1194,1421
3022,0.7949,3267,3071,2474,2675,1833,2347,2148,1620,1213,1527
3175,0.462,3384,3109,2570,2793,1851,2411,2164,1665,1237,1498
3217,0.5248,3439,3189,2627,2823,1895,2447,2170,1660,1200,1512
3255,0.6998,3510,3267,2712,2914,1941,2539,2253,1726,1250,1557
3364,0.6269,3559,3328,2768,3025,1945,2538,2295,1736,1265,1598
3443,0.6696,3647,3428,2840,3057,1983,2603,2313,1779,1307,1624
3483,0.7154,3804,3469,2878,3145,2030,2702,2396,1826,1346,1666
3592,0.6626,3846,3533,2933,3227,2089,2748,2411,1854,1350,1707
3728,0.4952,3960,3670,3050,3340,2107,2799,2493,1861,1351,1736
3823,0.5717,4082,3671,3112,3377,2201,2874,2633,1961,1430,1783
3950,0.4977,4143,3823,3151,3471,2213,2895,2613,1961,1407,1825
