intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
62114,0.2654,58610,61151,58629,55598,61020,62695,61982,57502,58575,61096,58475,60763
59827,0.2654,56212,59114,56761,54076,58797,60407,59453,55676,56754,58842,56507,58784
57844,0.2654,54072,57066,54886,52611,56877,58384,57614,53816,54827,56992,54687,56850
55736,0.2654,52096,55321,53304,51222,55008,56813,55808,52157,53293,55173,52905,55275
53660,0.2654,49779,53382,51468,49720,53023,54964,53970,50348,51462,53296,51101,53595
51755,0.2654,47634,51525,49700,48233,51156,53234,52180,48575,49689,51636,49222,51799
49887,0.2654,45786,49727,48151,46802,49471,51604,50384,47008,48138,49956,47523,50303
48131,0.2654,43923,48042,46580,45439,47614,50236,48761,45425,46612,48349,45873,48766
46295,0.2654,42000,46335,44928,44002,45980,48335,47060,43868,45001,46732,44166,47111
44680,0.2654,40183,44611,43432,42645,44254,47083,45399,42445,43772,45198,42634,45671
43007,0.2654,38480,43231,42142,41404,42683,45492,43992,41079,42364,43777,41081,44388
41319,0.2654,36718,41577,40764,40015,41127,44057,42423,39528,40910,42431,39578,42993
39715,0.2654,35169,40139,39317,38785,39536,42574,41034,38219,39633,41141,38126,41502
38314,0.2654,33791,38714,38166,37510,38100,41259,39696,36962,38349,39828,36727,40348
36967,0.2654,32232,37212,36882,36394,36603,39976,38314,35644,37115,38607,35523,39075
35450,0.2654,30936,35778,35619,35111,35409,38583,37101,34436,35919,37434,34194,37682
34143,0.2654,29513,34424,34585,34000,34015,37440,35797,33282,34736,36310,33095,36476
32981,0.2654,28336,33265,33486,33000,32812,36169,34704,32144,33662,35144,31865,35237
31735,0.2654,27116,32126,32416,31954,31612,35031,33493,31063,32658,34133,30701,34191
30638,0.2654,25932,30944,31411,30896,30398,33676,32348,29900,31593,33070,29522,33027
29632,0.2654,25019,29750,30417,29864,29406,32782,31374,28945,30540,32114,28605,31970
28487,0.2654,23909,28477,29399,28832,28174,31660,30156,27913,29536,31003,27537,30747
27379,0.2654,22906,27531,28419,27782,27228,30439,29240,26968,28507,30044,26686,29706
26454,0.2654,22005,26431,27405,26876,26285,29542,28176,26032,27638,29134,25769,28792
25477,0.2654,21154,25381,26586,25894,25254,28472,27294,25155,26727,28200,24808,27821
24609,0.2654,20384,24568,25767,25043,24393,27578,26434,24333,25789,27389,24038,26769
23740,0.2654,19491,23526,24966,24125,23531,26724,25539,23442,25001,26445,23260,25807
22822,0.2654,18779,22619,24202,23223,22752,25822,24698,22633,24137,25533,22428,24927
22083,0.4807,18199,21944,23512,22586,22129,25021,23970,21927,23397,24823,21769,24204
21247,0.4905,17526,21121,22742,21858,21335,24462,23185,21274,22691,24090,21122,23371
20479,0.5008,16769,20267,21877,20979,20717,23527,22426,20493,21732,23081,20428,22591
19755,0.4572,16179,19424,21350,20303,19953,22745,21730,19828,21141,22327,19753,21808
19075,0.4351,15620,18733,20632,19548,19433,22034,20951,19152,20483,21611,19103,21116
18361,0.4492,15023,18090,20005,18878,18777,21218,20228,18449,19746,20858,18548,20330
17791,0.3957,14609,17584,19447,18241,18384,20763,19758,17989,19213,20299,17982,19848
17076,0.4381,14078,16792,18771,17658,17750,20152,18980,17310,18477,19525,17473,19103
16594,0.3612,13609,16242,18211,17124,17359,19484,18408,16769,17965,18957,16908,18653
15949,0.3969,13144,15705,17701,16540,16877,18957,17845,16263,17337,18229,16458,18101
15730,0.2221,12966,15403,17621,16392,16672,18715,17731,16134,17202,18003,16340,17953
14815,0.4207,12180,14489,16560,15408,15865,17744,16615,15198,16239,17022,15417,16913
14316,0.4025,11865,13944,16128,14943,15425,17233,16181,14663,15669,16402,14983,16453
13756,0.4416,11373,13409,15584,14352,15070,16656,15619,14196,15247,15857,14561,15938
13234,0.472,11063,13004,15122,13874,14603,16207,15105,13726,14750,15273,14154,15533
12847,0.4428,10771,12551,14696,13491,14196,15645,14598,13318,14279,14772,13801,15061
12400,0.4556,10404,12079,14257,13085,13885,15220,14192,12902,13919,14443,13442,14630
11982,0.4268,10107,11751,13859,12625,13643,14760,13761,12461,13444,13868,13045,14142
11561,0.444,9809,11381,13410,12252,13273,14370,13289,12080,13166,13536,12641,13816
11115,0.5083,9421,10937,13044,11862,12921,13840,12886,11762,12730,12972,12335,13384
10825,0.4665,9140,10589,12645,11457,12573,13465,12504,11393,12392,12649,11973,13071
10443,0.4611,8880,10316,12373,11192,12383,13044,12142,11007,11999,12201,11772,12651
10178,0.4066,8586,9949,11960,10825,12056,12720,11768,10693,11683,11934,11405,12324
9780,0.4817,8374,9600,11592,10464,11733,12313,11335,10383,11360,11516,11016,11939
9448,0.501,8094,9351,11303,10172,11445,12013,11084,10053,11030,11263,10736,11604
9153,0.5124,7856,9007,11009,9910,11237,11660,10738,9803,10696,10897,10512,11370
8891,0.4762,7636,8732,10632,9539,10890,11367,10386,9463,10436,10531,10191,10977
8503,0.5691,7372,8498,10337,9381,10649,11057,10044,9119,10117,10251,9901,10676
