intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8
1539,0.1264,59498,64409,60985,60494,63301,58446,62078,50848
1539,0,57062,63672,58497,57893,59686,56269,59207,48605
1533,0.3734,54648,58615,56384,55556,57240,54197,56905,46815
1573,0.0488,52508,56597,54475,53444,55303,52338,54994,44967
1577,0.397,50013,54218,52238,51186,53035,50278,52638,43086
1593,0.1378,47913,52205,50162,49236,50944,48309,50732,41437
1603,0.4256,45887,50274,48292,47000,49006,46520,48808,39912
1623,0.2846,43859,48293,46428,45122,47113,44727,47021,38420
1592,0.6316,41721,46237,44639,43203,45311,42984,44928,36934
1641,0.3291,39806,44429,42806,41369,43485,41245,43133,35501
1655,0.3644,37914,42738,41161,39667,41800,39776,41442,34359
1686,0.2124,36127,41064,39624,37911,40111,38219,39671,33041
1645,0.7958,34351,39358,38029,36209,38589,36549,37958,31858
1704,0.5862,32747,37821,36532,34672,37103,35167,36424,30742
1728,0.3352,31312,36213,35160,33209,35724,33869,34825,29593
1763,0.4835,29749,34875,33706,31713,34137,32412,33273,28634
1743,0.6532,28381,33428,32290,30457,32935,31171,31824,27467
1762,0.6613,27137,32122,31109,29106,31516,29924,30391,26589
1789,0.624,25894,30801,29870,27770,30252,28714,29045,25517
1814,0.6512,24665,29409,28725,26616,29071,27572,27731,24678
1821,0.6871,23583,28319,27696,25608,27922,26345,26496,23665
1879,0.5378,22547,27052,26423,24368,26779,25279,25175,22668
1863,0.7579,21397,25942,25392,23307,25631,24169,24107,21833
1882,0.8238,20555,24841,24320,22345,24541,23161,23015,20932
1953,0.6599,19592,23717,23362,21430,23597,22239,21965,20153
1947,0.7902,18798,22816,22444,20419,22585,21331,20927,19333
1985,0.8078,17916,21790,21434,19578,21724,20443,20005,18524
2015,0.7781,17149,20924,20537,18625,20797,19515,19108,17793
2053,0.6617,16483,19962,19809,17999,19984,18803,18368,17064
2087,0.7728,15735,19175,18990,17221,19251,18141,17652,16464
2126,1,15045,18280,18043,16480,18310,17328,16791,15666
2142,0.8128,14389,17493,17287,15717,17616,16651,16050,15049
2177,0.8266,13747,16720,16498,15074,16921,15952,15432,14472
2208,0.9281,13166,15882,15767,14437,16225,15365,14758,13925
2258,0.8162,12735,15312,15263,13956,15725,14867,14216,13448
2303,0.8643,12096,14490,14482,13353,14993,14274,13565,12843
2318,0.8621,11638,13928,13918,12884,14429,13779,13149,12379
2402,0.7727,11192,13268,13243,12351,13946,13202,12603,11913
2449,0.7549,10953,12953,13026,12116,13629,13067,12280,11748
2483,0.86,10222,12055,12224,11445,12756,12300,11562,10968
2490,0.9438,9876,11487,11763,10990,12319,11783,11102,10532
2588,0.7927,9383,10969,11176,10503,11823,11408,10685,10125
2615,0.8846,9019,10481,10751,10104,11317,10973,10230,9747
2723,0.7552,8590,9985,10358,9798,10892,10607,9878,9317
2753,0.8614,8268,9569,9897,9434,10514,10229,9571,9007
