ir,ia,ir690_ctr,ir690_left,ir690_right,iir,iia,iir690_ctr,iir690_left,iir690_right
5.24E-06,0.6251,,,,1.92E-05,0.063468,,,
5.28E-06,0.67827,,,,1.84E-05,0.063468,,,
5.66E-06,0.6048,,,,1.80E-05,0.063468,,,
5.55E-06,0.71834,,,,1.74E-05,0.063468,,,
5.86E-06,0.67329,,,,1.69E-05,0.063468,,,
5.93E-06,0.72057,,,,1.63E-05,0.063468,,,
6.26E-06,0.68087,,,,1.60E-05,0.063468,,,
6.38E-06,0.71251,,,,1.55E-05,0.063468,,,
6.71E-06,0.67963,,,,1.50E-05,0.063468,,,
6.80E-06,0.72766,,,,1.45E-05,0.063468,,,
7.11E-06,0.70507,,,,1.40E-05,0.063468,,,
7.22E-06,0.74949,,,,1.38E-05,0.046654,,,
7.38E-06,0.78052,,,,1.32E-05,0.089867,,,
7.53E-06,0.81827,,,,1.28E-05,0.091184,,,
7.90E-06,0.78944,,,,1.24E-05,0.076231,,,
8.13E-06,0.80698,,,,1.21E-05,0.052305,,,
8.32E-06,0.839,,,,1.17E-05,0.063256,,,
8.54E-06,0.86512,,,,1.13E-05,0.078319,,,
8.95E-06,0.83941,,,,1.10E-05,0.049506,,,
9.16E-06,0.87534,,,,1.06E-05,0.067276,,,
9.46E-06,0.88642,,,,1.03E-05,0.060031,,,
9.79E-06,0.89472,,,,1.00E-05,0.054062,,,
1.01E-05,0.89837,,,,9.72E-06,0.037012,,,
1.04E-05,0.92189,,,,9.42E-06,0.038412,,,
1.08E-05,0.92775,,,,9.16E-06,0.022307,,,
1.12E-05,0.94665,,,,8.78E-06,0.09371,,,
1.18E-05,0.90915,,,,8.54E-06,0.074048,,,
1.21E-05,0.9346,,,,8.30E-06,0.058692,,,
1.25E-05,0.95377,,,,8.02E-06,0.080584,,,
1.29E-05,0.96781,,,,7.84E-06,0.042259,,,
1.35E-05,0.95557,,,,7.58E-06,0.059757,,,
1.39E-05,0.97825,,,,7.28E-06,0.11814,,,
1.45E-05,0.9695,,,,7.07E-06,0.11686,,,
1.52E-05,0.96003,,,,6.93E-06,0.06027,,,
1.56E-05,0.99731,,,,6.60E-06,0.16109,,,
1.64E-05,0.97396,,,,6.39E-06,0.17985,,,
1.69E-05,1,,,,6.23E-06,0.15094,,,
1.78E-05,0.96004,,,,6.08E-06,0.12641,,,
1.88E-05,0.91446,,,,6.04E-06,0,,,
1.92E-05,0.9868,,,,5.65E-06,0.20199,,,
2.01E-05,0.95845,,,,5.54E-06,0.15255,,,
2.12E-05,0.93258,,,,5.28E-06,0.2497,,,
2.19E-05,0.95611,,,,5.16E-06,0.21777,,,
2.29E-05,0.95113,,,,5.02E-06,0.20782,,,
2.38E-05,0.95203,,,,4.86E-06,0.22837,,,
2.50E-05,0.9351,,,,4.69E-06,0.25487,,,
2.62E-05,0.92053,,,,4.55E-06,0.26206,,,
2.77E-05,0.86258,,,,4.49E-06,0.18706,,,
2.86E-05,0.8999,,,,4.21E-06,0.37123,,,
2.98E-05,0.90632,,,,4.17E-06,0.26683,,,
3.11E-05,0.91401,,,,4.01E-06,0.32038,,,
3.25E-05,0.90671,,,,3.85E-06,0.37951,,,
3.41E-05,0.89166,,,,3.76E-06,0.35895,,,
3.57E-05,0.88704,,,,3.58E-06,0.46024,,,
3.72E-05,0.8975,,,,3.51E-06,0.41758,,,
3.92E-05,0.86288,,,,3.45E-06,0.35844,,,
4.13E-05,0.83477,,,,3.23E-06,0.54261,,,
4.30E-05,0.85569,,,,3.16E-06,0.51678,,,
4.48E-05,0.86701,,,,3.12E-06,0.43016,,,
4.73E-05,0.82919,,,,2.96E-06,0.54722,,,
4.91E-05,0.86469,,,,2.98E-06,0.39609,,,
5.12E-05,0.88866,,,,2.85E-06,0.46163,,,
5.39E-05,0.88746,,,,2.80E-06,0.42441,,,
5.60E-05,0.88746,,,,2.60E-06,0.62779,,,
5.86E-05,0.88746,,,,2.57E-06,0.56444,,,
6.11E-05,0.88746,,,,2.44E-06,0.66404,,,
6.40E-05,0.88746,,,,2.39E-06,0.6226,,,
6.65E-05,0.88746,,,,2.19E-06,0.89956,,,
6.99E-05,0.88746,,,,2.27E-06,0.6194,,,
7.25E-05,0.88746,,,,2.18E-06,0.66441,,,
7.58E-05,0.88746,,,,2.05E-06,0.82918,,,
7.92E-05,0.88746,,,,1.97E-06,0.87621,,,
8.23E-05,0.88746,,,,1.89E-06,0.9382,,,
8.59E-05,0.88746,,,,1.95E-06,0.68316,,,
8.97E-05,0.88746,,,,1.82E-06,0.84267,,,
9.36E-05,0.88746,,,,1.73E-06,0.94555,,,
9.72E-05,0.88746,,,,1.67E-06,1,,,
