ir,ia,ir690_ctr,ir690_left,ir690_right,iir,iia,iir690_ctr,iir690_left,iir690_right
5.75E-06,0.63143,5.75E-06,1.46E-05,4.59E-06,1.76E-05,0.81408,1.76E-05,7.71E-06,2.15E-05
5.91E-06,0.58835,5.91E-06,1.41E-05,4.77E-06,1.71E-05,0.8474,1.71E-05,7.82E-06,2.10E-05
6.46E-06,0.57966,6.46E-06,1.35E-05,4.91E-06,1.65E-05,0.53244,1.65E-05,8.11E-06,2.05E-05
6.60E-06,0.52469,6.60E-06,1.29E-05,5.05E-06,1.61E-05,0.59509,1.61E-05,8.48E-06,1.97E-05
6.61E-06,0.59208,6.61E-06,1.25E-05,5.24E-06,1.53E-05,0.7649,1.53E-05,8.66E-06,1.92E-05
6.92E-06,0.60693,6.92E-06,1.21E-05,5.28E-06,1.47E-05,0.69815,1.47E-05,8.82E-06,1.84E-05
7.10E-06,0.61431,7.10E-06,1.16E-05,5.66E-06,1.42E-05,0.74177,1.42E-05,9.21E-06,1.80E-05
7.28E-06,0.57698,7.28E-06,1.12E-05,5.55E-06,1.38E-05,0.78838,1.38E-05,9.48E-06,1.74E-05
7.59E-06,0.6613,7.59E-06,1.09E-05,5.86E-06,1.31E-05,0.74094,1.31E-05,9.82E-06,1.69E-05
8.06E-06,0.5919,8.06E-06,1.05E-05,5.93E-06,1.28E-05,0.58404,1.28E-05,1.01E-05,1.63E-05
8.22E-06,0.63479,8.22E-06,1.00E-05,6.26E-06,1.22E-05,0.66019,1.22E-05,1.04E-05,1.60E-05
8.60E-06,0.643,8.60E-06,9.65E-06,6.38E-06,1.18E-05,0.59255,1.18E-05,1.06E-05,1.55E-05
8.98E-06,0.63091,8.98E-06,9.29E-06,6.71E-06,1.14E-05,0.5363,1.14E-05,1.09E-05,1.50E-05
9.26E-06,0.66269,9.26E-06,9.02E-06,6.80E-06,1.10E-05,0.55262,1.10E-05,1.14E-05,1.45E-05
9.57E-06,0.64939,9.57E-06,8.74E-06,7.11E-06,1.06E-05,0.56096,1.06E-05,1.18E-05,1.40E-05
9.90E-06,0.64767,9.90E-06,8.44E-06,7.22E-06,1.02E-05,0.56213,1.02E-05,1.22E-05,1.38E-05
1.04E-05,0.63554,1.04E-05,8.24E-06,7.38E-06,9.91E-06,0.4906,9.91E-06,1.26E-05,1.32E-05
1.05E-05,0.70176,1.05E-05,7.94E-06,7.53E-06,9.46E-06,0.60138,9.46E-06,1.28E-05,1.28E-05
1.10E-05,0.67326,1.10E-05,7.73E-06,7.90E-06,9.18E-06,0.53577,9.18E-06,1.33E-05,1.24E-05
1.14E-05,0.79203,1.14E-05,7.37E-06,8.13E-06,8.67E-06,0.50807,8.67E-06,1.38E-05,1.21E-05
1.20E-05,0.72495,1.20E-05,7.16E-06,8.32E-06,8.49E-06,0.40457,8.49E-06,1.40E-05,1.17E-05
1.22E-05,0.83753,1.22E-05,6.90E-06,8.54E-06,8.02E-06,0.56186,8.02E-06,1.43E-05,1.13E-05
1.28E-05,0.80975,1.28E-05,6.70E-06,8.95E-06,7.80E-06,0.46863,7.80E-06,1.49E-05,1.10E-05
1.31E-05,0.7887,1.31E-05,6.53E-06,9.16E-06,7.56E-06,0.53528,7.56E-06,1.54E-05,1.06E-05
1.36E-05,0.79596,1.36E-05,6.35E-06,9.46E-06,7.30E-06,0.52483,7.30E-06,1.62E-05,1.03E-05
1.40E-05,0.88341,1.40E-05,6.07E-06,9.79E-06,6.93E-06,0.55496,6.93E-06,1.64E-05,1.00E-05
1.47E-05,0.84695,1.47E-05,6.00E-06,1.01E-05,6.75E-06,0.47838,6.75E-06,1.68E-05,9.72E-06
1.50E-05,0.9337,1.50E-05,5.74E-06,1.04E-05,6.41E-06,0.56265,6.41E-06,1.75E-05,9.42E-06
1.56E-05,0.87663,1.56E-05,5.63E-06,1.08E-05,6.27E-06,0.54737,6.27E-06,1.77E-05,9.16E-06
1.64E-05,0.88144,1.64E-05,5.46E-06,1.12E-05,6.06E-06,0.46594,6.06E-06,1.87E-05,8.78E-06
1.70E-05,0.92987,1.70E-05,5.38E-06,1.18E-05,5.80E-06,0.47485,5.80E-06,1.92E-05,8.54E-06
1.75E-05,0.88862,1.75E-05,5.17E-06,1.21E-05,5.66E-06,0.52006,5.66E-06,1.97E-05,8.30E-06
1.80E-05,0.98585,1.80E-05,5.02E-06,1.25E-05,5.36E-06,0.55873,5.36E-06,2.04E-05,8.02E-06
1.88E-05,0.84319,1.88E-05,4.89E-06,1.29E-05,5.35E-06,0.50654,5.35E-06,2.09E-05,7.84E-06
1.94E-05,1,1.94E-05,4.72E-06,1.35E-05,5.00E-06,0.57765,5.00E-06,2.18E-05,7.58E-06
2.01E-05,0.9242,2.01E-05,4.67E-06,1.39E-05,4.92E-06,0.58566,4.92E-06,2.23E-05,7.28E-06
2.10E-05,0.93107,2.10E-05,4.62E-06,1.45E-05,4.75E-06,0.5121,4.75E-06,2.31E-05,7.07E-06
2.18E-05,0.88429,2.18E-05,4.47E-06,1.52E-05,4.65E-06,0.53703,4.65E-06,2.40E-05,6.93E-06
2.24E-05,0.92243,2.24E-05,4.25E-06,1.56E-05,4.46E-06,0.60357,4.46E-06,2.45E-05,6.60E-06
2.31E-05,0.9179,2.31E-05,4.18E-06,1.64E-05,4.32E-06,0.66203,4.32E-06,2.54E-05,6.39E-06
2.42E-05,0.78716,2.42E-05,4.09E-06,1.69E-05,4.31E-06,0.58209,4.31E-06,2.63E-05,6.23E-06
2.52E-05,0.91671,2.52E-05,4.00E-06,1.78E-05,4.05E-06,0.56129,4.05E-06,2.73E-05,6.08E-06
2.62E-05,0.80827,2.62E-05,3.87E-06,1.88E-05,4.02E-06,0.5631,4.02E-06,2.83E-05,6.04E-06
2.71E-05,0.87365,2.71E-05,3.84E-06,1.92E-05,3.83E-06,0.59906,3.83E-06,2.91E-05,5.65E-06
2.82E-05,0.83252,2.82E-05,3.72E-06,2.01E-05,3.75E-06,0.61325,3.75E-06,3.01E-05,5.54E-06
2.94E-05,0.75315,2.94E-05,3.66E-06,2.12E-05,3.70E-06,0.58746,3.70E-06,3.11E-05,5.28E-06
3.03E-05,0.88588,3.03E-05,3.55E-06,2.19E-05,3.47E-06,0.58746,3.47E-06,3.21E-05,5.16E-06
3.11E-05,0.79318,3.11E-05,3.47E-06,2.29E-05,3.44E-06,0.58746,3.44E-06,3.32E-05,5.02E-06
3.24E-05,0.77481,3.24E-05,3.41E-06,2.38E-05,3.35E-06,0.58746,3.35E-06,3.43E-05,4.86E-06
3.35E-05,0.78194,3.35E-05,3.29E-06,2.50E-05,3.24E-06,0.58746,3.24E-06,3.56E-05,4.69E-06
3.48E-05,0.66428,3.48E-05,3.26E-06,2.62E-05,3.23E-06,0.58746,3.23E-06,3.73E-05,4.55E-06
3.63E-05,0.71541,3.63E-05,3.24E-06,2.77E-05,3.09E-06,0.58746,3.09E-06,3.86E-05,4.49E-06
3.73E-05,0.73717,3.73E-05,3.05E-06,2.86E-05,2.98E-06,0.58746,2.98E-06,3.97E-05,4.21E-06
3.87E-05,0.63141,3.87E-05,3.03E-06,2.98E-05,2.97E-06,0.58746,2.97E-06,4.10E-05,4.17E-06
4.01E-05,0.65525,4.01E-05,2.96E-06,3.11E-05,2.86E-06,0.58746,2.86E-06,4.22E-05,4.01E-06
4.15E-05,0.64826,4.15E-05,2.95E-06,3.25E-05,2.78E-06,0.58746,2.78E-06,4.37E-05,3.85E-06
4.32E-05,0.58897,4.32E-05,2.90E-06,3.41E-05,2.74E-06,0.58746,2.74E-06,4.55E-05,3.76E-06
4.49E-05,0.56852,4.49E-05,2.75E-06,3.57E-05,2.67E-06,0.58746,2.67E-06,4.70E-05,3.58E-06
4.65E-05,0.56609,4.65E-05,2.68E-06,3.72E-05,2.59E-06,0.58746,2.59E-06,4.88E-05,3.51E-06
4.81E-05,0.50645,4.81E-05,2.69E-06,3.92E-05,2.56E-06,0.58746,2.56E-06,5.07E-05,3.45E-06
5.03E-05,0.36721,5.03E-05,2.64E-06,4.13E-05,2.58E-06,0.58746,2.58E-06,5.24E-05,3.23E-06
5.18E-05,0.47557,5.18E-05,2.57E-06,4.30E-05,2.43E-06,0.58746,2.43E-06,5.42E-05,3.16E-06
5.38E-05,0.49122,5.38E-05,2.51E-06,4.48E-05,2.35E-06,0.58746,2.35E-06,5.64E-05,3.12E-06
5.58E-05,0.47842,5.58E-05,2.50E-06,4.73E-05,2.29E-06,0.58746,2.29E-06,5.87E-05,2.96E-06
5.81E-05,0.27847,5.81E-05,2.43E-06,4.91E-05,2.35E-06,0.58746,2.35E-06,6.04E-05,2.98E-06
6.03E-05,0.37815,6.03E-05,2.38E-06,5.12E-05,2.22E-06,0.58746,2.22E-06,6.28E-05,2.85E-06
6.25E-05,0.42646,6.25E-05,2.31E-06,5.39E-05,2.12E-06,0.58746,2.12E-06,6.48E-05,2.80E-06
6.47E-05,0.36745,6.47E-05,2.25E-06,5.60E-05,2.10E-06,0.58746,2.10E-06,6.71E-05,2.60E-06
6.72E-05,0.20937,6.72E-05,2.16E-06,5.86E-05,2.13E-06,0.58746,2.13E-06,6.99E-05,2.57E-06
6.98E-05,0.29249,6.98E-05,2.13E-06,6.11E-05,2.02E-06,0.58746,2.02E-06,7.23E-05,2.44E-06
7.22E-05,0.22742,7.22E-05,2.07E-06,6.40E-05,2.00E-06,0.58746,2.00E-06,7.47E-05,2.39E-06
7.49E-05,0.2642,7.49E-05,2.19E-06,6.65E-05,1.92E-06,0.58746,1.92E-06,7.77E-05,2.19E-06
7.78E-05,0.18744,7.78E-05,2.03E-06,6.99E-05,1.91E-06,0.58746,1.91E-06,8.07E-05,2.27E-06
8.08E-05,0.15423,8.08E-05,1.97E-06,7.25E-05,1.88E-06,0.58746,1.88E-06,8.31E-05,2.18E-06
8.38E-05,0.10477,8.38E-05,1.94E-06,7.58E-05,1.86E-06,0.58746,1.86E-06,8.64E-05,2.05E-06
8.72E-05,0.096422,8.72E-05,1.92E-06,7.92E-05,1.81E-06,0.58746,1.81E-06,8.97E-05,1.97E-06
9.06E-05,0.14098,9.06E-05,1.87E-06,8.23E-05,1.73E-06,0.58746,1.73E-06,9.30E-05,1.89E-06
9.35E-05,0.014977,9.35E-05,1.85E-06,8.59E-05,1.75E-06,0.58746,1.75E-06,9.64E-05,1.95E-06
9.68E-05,0.050789,9.68E-05,1.82E-06,8.97E-05,1.69E-06,0.58746,1.69E-06,9.98E-05,1.82E-06
0.00010074,0,0.00010074,1.72E-06,9.36E-05,1.67E-06,0.58746,1.67E-06,0.00010334,1.73E-06
0.00010364,0.14438,0.00010364,1.74E-06,9.72E-05,1.55E-06,0.58746,1.55E-06,0.00010723,1.67E-06
0.00010562,0.74396,,,,1.54E-06,1,,,
0.00010154,0.74396,,,,1.76E-06,0.64816,,,
9.80E-05,0.74396,,,,1.75E-06,0.75167,,,
9.43E-05,0.74396,,,,1.91E-06,0.55678,,,
9.06E-05,0.74396,,,,1.92E-06,0.63395,,,
8.70E-05,0.74396,,,,1.91E-06,0.74416,,,
8.35E-05,0.74396,,,,2.05E-06,0.59824,,,
8.02E-05,0.74396,,,,2.03E-06,0.73851,,,
7.68E-05,0.74396,,,,2.14E-06,0.64656,,,
7.37E-05,0.74396,,,,2.25E-06,0.57321,,,
7.08E-05,0.74396,,,,2.23E-06,0.69866,,,
6.78E-05,0.74396,,,,2.29E-06,0.71202,,,
6.49E-05,0.74396,,,,2.32E-06,0.76839,,,
6.22E-05,0.74396,,,,2.48E-06,0.63029,,,
5.97E-05,0.74396,,,,2.60E-06,0.55898,,,
5.71E-05,0.74396,,,,2.72E-06,0.50692,,,
5.50E-05,0.74396,,,,2.75E-06,0.56286,,,
5.26E-05,0.74396,,,,2.80E-06,0.59777,,,
5.05E-05,0.74396,,,,3.13E-06,0.30771,,,
4.83E-05,0.74396,,,,3.03E-06,0.52806,,,
4.65E-05,0.74396,,,,3.02E-06,0.64583,,,
4.44E-05,0.75602,,,,3.26E-06,0.47139,,,
4.25E-05,0.75525,,,,3.34E-06,0.48593,,,
4.08E-05,0.74545,,,,3.31E-06,0.62554,,,
3.91E-05,0.75008,,,,3.68E-06,0.33259,,,
3.74E-05,0.75863,,,,3.71E-06,0.4143,,,
3.60E-05,0.73776,,,,3.89E-06,0.34259,,,
3.43E-05,0.76948,,,,3.90E-06,0.44516,,,
3.31E-05,0.73573,,,,4.03E-06,0.43513,,,
3.17E-05,0.74821,,,,4.31E-06,0.28369,,,
3.01E-05,0.78538,,,,4.53E-06,0.20616,,,
2.89E-05,0.79135,,,,4.60E-06,0.26166,,,
2.75E-05,0.82366,,,,4.62E-06,0.3597,,,
2.64E-05,0.82019,,,,4.90E-06,0.23658,,,
2.55E-05,0.80662,,,,5.17E-06,0.1404,,,
2.43E-05,0.82785,,,,5.25E-06,0.19883,,,
2.34E-05,0.83128,,,,5.37E-06,0.22418,,,
2.24E-05,0.83928,,,,5.43E-06,0.30101,,,
2.19E-05,0.76788,,,,6.02E-06,0,,,
2.03E-05,0.90737,,,,5.86E-06,0.23187,,,
1.96E-05,0.89133,,,,6.07E-06,0.21096,,,
1.88E-05,0.90785,,,,6.41E-06,0.10608,,,
1.79E-05,0.93458,,,,6.46E-06,0.20333,,,
1.73E-05,0.91456,,,,6.68E-06,0.18525,,,
1.65E-05,0.94222,,,,6.94E-06,0.15586,,,
1.58E-05,0.96289,,,,7.07E-06,0.20182,,,
1.54E-05,0.92992,,,,7.33E-06,0.17821,,,
1.46E-05,0.96713,,,,7.71E-06,0.091068,,,
1.41E-05,0.95864,,,,7.82E-06,0.16247,,,
1.35E-05,0.97885,,,,8.11E-06,0.13668,,,
1.29E-05,1,,,,8.48E-06,0.076104,,,
1.25E-05,0.98604,,,,8.66E-06,0.12094,,,
1.21E-05,0.97701,,,,8.82E-06,0.17542,,,
1.16E-05,0.97977,,,,9.21E-06,0.12223,,,
1.12E-05,0.97634,,,,9.48E-06,0.13303,,,
1.09E-05,0.9573,,,,9.82E-06,0.11585,,,
1.05E-05,0.94862,,,,1.01E-05,0.12941,,,
1.00E-05,0.97322,,,,1.04E-05,0.15447,,,
9.65E-06,0.97705,,,,1.06E-05,0.18264,,,
9.29E-06,0.98357,,,,1.09E-05,0.22061,,,
9.02E-06,0.96089,,,,1.14E-05,0.17835,,,
8.74E-06,0.94758,,,,1.18E-05,0.16149,,,
8.44E-06,0.94342,,,,1.22E-05,0.13898,,,
8.24E-06,0.9052,,,,1.26E-05,0.15307,,,
7.94E-06,0.9087,,,,1.28E-05,0.23529,,,
7.73E-06,0.88502,,,,1.33E-05,0.1974,,,
7.37E-06,0.91805,,,,1.38E-05,0.19697,,,
7.16E-06,0.90027,,,,1.40E-05,0.28789,,,
6.90E-06,0.90583,,,,1.43E-05,0.32734,,,
6.70E-06,0.89049,,,,1.49E-05,0.30107,,,
6.53E-06,0.86599,,,,1.54E-05,0.29354,,,
