i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient,a690,aa690,patient 13-slice4-unhealthy
5503,5441,5057,4646,6446,10799,10397,6007,3599,0.0788,0.2109,
5473,5343,5035,4513,6571,11199,10662,6132,3593,0.8121,0.2109,
5325,5256,4966,4432,6680,11479,11120,6289,3654,0.1916,0.2109,
5228,5215,4956,4423,6845,11853,11446,6390,3575,0.4886,0.2109,
5179,5137,4787,4365,6959,12196,11823,6534,3548,0.4454,0.2109,
5110,5076,4786,4400,7205,12690,12319,6766,3632,0.0091,0.2109,
5078,5035,4733,4311,7424,13248,12773,6896,3574,0.1305,0.2109,
5032,4937,4674,4279,7553,13671,13236,7105,3623,0.41,0.2109,
4898,4909,4626,4244,7692,14138,13780,7238,3558,0.0155,0.2109,
4891,4856,4614,4249,7947,14692,14319,7461,3578,0.8952,0.2109,
4789,4727,4523,4199,8138,15115,14833,7632,3570,0.508,0.2109,
4768,4729,4532,4191,8382,15765,15337,7932,3545,0.1643,0.2109,
4715,4646,4458,4149,8558,16265,15986,8149,3562,0.4197,0.2109,
4696,4627,4381,4119,8813,16986,16551,8369,3592,0.6378,0.2109,
4705,4637,4415,4095,9127,17759,17335,8686,3599,0.951,0.2109,
4624,4608,4393,4114,9400,18543,18038,8973,3579,0.1036,0.2109,
4573,4542,4302,4085,9664,19031,18737,9225,3611,0.3193,0.2109,
4517,4486,4347,4079,9952,19792,19531,9503,3573,0.4973,0.2109,
4453,4446,4281,4004,10248,20485,20335,9809,3614,0.0768,0.2109,
4494,4440,4252,4020,10568,21473,21134,10208,3603,0.2591,0.2109,
4441,4426,4289,4034,10928,22299,22100,10591,3633,0.2096,0.2109,
4412,4417,4198,3989,11339,23091,23051,10942,3593,0.2491,0.2109,
4436,4301,4206,3961,11647,24109,24036,11318,3657,0.445,0.2109,
4392,4353,4199,3998,12107,25329,25077,11803,3642,1,0.2109,
4392,4312,4232,3968,12560,26428,26152,12293,3649,0.5909,0.2109,
4285,4351,4155,4008,13043,27448,27293,12754,3644,0.2017,0.2109,
4322,4300,4211,3989,13372,28612,28517,13244,3668,0.9958,0.2109,
4311,4296,4163,4019,13999,29867,29946,13832,3696,0.0107,0.2109,
4342,4293,4172,3949,14434,31143,31073,14337,3698,0,0.2109,
4212,4249,4098,3981,14934,32420,32456,14816,3684,0.6232,0.2109,
4280,4223,4159,3950,15501,33606,33884,15481,3714,0.1243,0.2109,
4251,4217,4168,3954,16081,35126,35233,16142,3715,0.8858,0.2109,
4252,4243,4124,3986,16615,36700,36977,16746,3736,0.5626,0.2109,
4220,4186,4128,3923,17323,38284,38482,17464,3709,0.3086,0.2109,
4188,4209,4137,3936,17878,39853,40234,18222,3757,0.6576,0.2109,
4198,4192,4123,3936,18581,41630,41993,18990,3718,0.4264,0.2109,
4164,4185,4093,3882,19300,43449,44098,19742,3786,0.6243,0.2109,
4159,4160,4051,3978,20178,45190,45919,20570,3724,0.3104,0.2109,
4149,4131,4081,3967,20995,47280,47990,21516,3733,0.4768,0.2109,
4164,4140,4045,3890,21804,49338,50059,22451,3732,0.1607,0.2109,
4120,4140,4048,3875,22645,51296,52278,23410,3729,0.2992,0.2109,
4134,4077,4065,3940,23537,53454,54549,24442,3779,0.0137,0.2109,
4101,4139,4008,3905,24539,55525,56715,25334,3728,0.4136,0.2109,
4062,4066,4017,3941,25437,57637,59321,26392,3739,0.0982,0.2109,
4073,4087,3985,3946,26483,60086,62391,27568,3726,0.1574,0.2109,
60942,61436,56725,53738,4263,4508,4485,4331,4282,0.096,0.0542,patient 13-slice5-unhealthy
58535,59197,54546,51909,4267,4466,4465,4332,4272,0.096,0.0255,
56575,57025,52536,50073,4264,4494,4474,4392,4290,0.096,0.0426,
54736,55331,50611,48468,4297,4543,4528,4351,4346,0.096,0.0233,
52691,53246,48728,46419,4319,4472,4514,4330,4326,0.096,0.0681,
50827,51264,46976,44519,4263,4525,4529,4358,4280,0.096,0.1887,
49051,49547,45133,42691,4322,4553,4552,4375,4362,0.096,0,
47421,47828,43403,41193,4267,4550,4560,4396,4266,0.096,0.1195,
45485,45910,41703,39387,4281,4547,4520,4333,4310,0.096,0.3678,
43812,44206,39966,37770,4270,4567,4530,4373,4308,0.096,0.4693,
42419,42752,38432,36403,4264,4553,4584,4332,4356,0.096,0.3166,
40726,40914,36994,34771,4331,4555,4553,4354,4259,0.096,0.4577,
39290,39438,35637,33316,4338,4565,4596,4344,4269,0.096,0.3613,
37871,38118,34287,32046,4268,4590,4606,4343,4298,0.096,0.3613,
36508,36630,32929,30797,4300,4544,4598,4381,4310,0.096,0.4532,
35113,35178,31659,29480,4266,4600,4559,4380,4248,0.096,0.4532,
33859,33884,30428,28364,4266,4572,4607,4311,4257,0.096,0.3414,
32782,32732,29325,27331,4264,4609,4628,4333,4226,0.096,0.3687,
31672,31560,28120,26342,4297,4629,4660,4352,4269,0.096,0.664,
30501,30397,27159,25274,4316,4615,4638,4341,4255,0.096,0.0575,
29467,29602,26218,24381,4331,4582,4674,4361,4225,0.096,0.935,
28441,28423,25204,23338,4347,4635,4671,4312,4231,0.096,0.783,
27494,27347,24363,22459,4290,4641,4667,4370,4270,0.096,0.4926,
26459,26455,23466,21712,4349,4724,4742,4404,4253,0.096,0.2739,
25603,25424,22584,20858,4272,4720,4655,4387,4203,0.096,0.9454,
24785,24786,21808,20163,4309,4673,4694,4328,4270,0.096,0.8868,
23981,23821,21072,19390,4318,4709,4717,4335,4249,0.096,0.6801,
23144,22981,20339,18656,4302,4743,4730,4314,4221,0.096,0.4318,
22453,22464,19580,18165,4250,4733,4705,4359,4219,0.096,1,
21719,21656,18961,17558,4275,4787,4810,4376,4227,0.096,0.6707,
20947,20845,18258,16872,4323,4756,4767,4334,4201,0.096,0.6162,
20302,20188,17667,16334,4277,4806,4804,4337,4213,0.096,0.6648,
19652,19483,17103,15708,4267,4786,4805,4348,4152,0.096,0.909,
18910,18776,16500,15210,4285,4786,4835,4345,4134,0.096,0.435,
18457,18413,15959,14807,4252,4865,4876,4329,4159,0.096,0.3051,
17820,17665,15465,14188,4274,4796,4870,4359,4132,0.096,0.8077,
17257,17148,14945,13737,4287,4817,4870,4383,4111,0.096,0.508,
16758,16585,14430,13319,4285,4889,4939,4369,4093,0.096,0.7883,
16527,16271,14134,13072,4335,4985,4997,4431,4161,0.096,0.6853,
15629,15442,13566,12394,4274,4941,4921,4357,4063,0.096,0.6142,
15145,14943,13089,11966,4268,4866,4892,4303,4056,0.096,0.5382,
14698,14518,12686,11586,4278,4894,4957,4306,4011,0.096,0.2643,
14199,14024,12325,11197,4251,4992,4982,4279,4010,0.096,0.8175,
13704,13509,11951,10851,4261,5019,5001,4309,3971,0.096,0.3104,
13372,13126,11587,10553,4287,5014,5008,4293,3998,0.096,0.5542,
12906,12703,11218,10204,4208,5080,5033,4287,3969,0.096,0.2939,
12514,12332,10842,9959,4246,5054,5074,4291,3941,0.096,0.3056,
12119,11955,10500,9563,4237,5124,5170,4314,3978,0.096,0.8024,
11798,11635,10244,9354,4257,5196,5153,4336,3930,0.096,0.2541,
11511,11243,9941,9122,4251,5190,5235,4342,3914,0.096,0.5943,
11158,10926,9648,8797,4328,5246,5253,4319,3935,0.096,0.0864,
10787,10661,9408,8568,4311,5269,5307,4322,3903,0.096,0.7043,
10521,10329,9175,8406,4333,5280,5374,4401,3911,0.096,0.4469,
10218,10109,8944,8186,4321,5386,5398,4398,3905,0.096,0.3166,
9952,9743,8716,7961,4350,5445,5538,4407,3848,0.096,0.4693,
9630,9528,8446,7807,4419,5506,5486,4425,3908,0.096,0.3678,
