i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient,a690,aa690,patient 13-slice4-unhealthy
3749,3890,3797,3746,8245,17960,18585,9857,3377,0.4806,0.0154,
3751,3863,3823,3688,8456,18740,19285,10210,3341,0.8019,0.0154,
3734,3832,3774,3698,8751,19460,20131,10616,3306,0.6524,0.0154,
3719,3797,3753,3655,9093,20533,21082,11013,3326,0.8331,0.0154,
3647,3759,3764,3619,9476,21471,22115,11474,3341,0.4252,0.0154,
3638,3740,3721,3631,9855,22428,23116,11926,3352,0.6836,0.0154,
3603,3720,3677,3575,10203,23584,24214,12428,3321,0.4448,0.0154,
3547,3688,3654,3570,10571,24584,25277,12913,3278,0.2622,0.0154,
3577,3652,3620,3562,11037,25946,26518,13563,3288,0.5719,0.0154,
3547,3611,3609,3541,11502,27101,27746,14009,3272,0.2139,0.0154,
3480,3615,3557,3496,11978,28389,29027,14567,3276,0.4229,0.0154,
3448,3561,3546,3442,12424,29659,30426,15289,3248,0.7436,0.0154,
3422,3521,3467,3441,13017,31166,31998,15975,3239,0.2145,0.0154,
3408,3492,3514,3446,13586,32730,33551,16738,3217,0.2249,0.0154,
3409,3503,3498,3422,14201,34504,35175,17493,3186,0.0544,0.0154,
3324,3449,3441,3371,14871,36195,36936,18305,3173,0.032,0.0154,
3339,3436,3455,3353,15515,37863,38793,19145,3166,0.257,0.0154,
3316,3382,3390,3285,16274,39851,40675,20073,3195,0.2018,0.0154,
3280,3384,3356,3295,17025,41881,42736,20917,3140,0.1114,0.0154,
3271,3348,3347,3302,17945,43999,44814,22099,3122,0.2135,0.0154,
3250,3385,3348,3291,18788,46353,47175,23186,3151,0.1403,0.0154,
3226,3324,3301,3241,19677,48521,49506,24218,3118,0.0046,0.0154,
3196,3271,3293,3230,20612,50758,51906,25439,3071,0.1407,0.0154,
3166,3255,3268,3215,21496,53186,54316,26548,3051,0.132,0.0154,
3154,3263,3259,3208,22628,55699,56917,27775,3086,0.0542,0.0154,
3107,3195,3226,3188,23634,58310,59744,29061,3041,0.0184,0.0154,
57637,60683,59148,55990,2319,2493,2635,2460,2343,0.046,0.0669,patient 13-slice7-unhealthy
55368,58343,56890,53951,2350,2474,2705,2452,2345,0.046,0.0855,
53274,56380,54615,52064,2312,2451,2637,2414,2362,0.046,0.0378,
51363,54549,52557,50198,2321,2490,2712,2412,2354,0.046,0.4254,
49296,52302,50577,47911,2299,2486,2692,2446,2320,0.046,0,
47358,50121,48538,45905,2309,2516,2673,2425,2307,0.046,0.4524,
45485,48290,46541,44184,2323,2529,2711,2447,2385,0.046,0.0316,
43536,46366,44637,42467,2315,2534,2711,2431,2323,0.046,0.0838,
41780,44516,42918,40345,2299,2469,2719,2435,2338,0.046,0.6014,
40045,42628,40992,38640,2293,2499,2743,2370,2344,0.046,0.0249,
38548,40953,39492,37142,2325,2516,2737,2449,2308,0.046,0.638,
36918,39275,37861,35401,2286,2489,2719,2416,2330,0.046,0.0168,
35546,37542,36275,33959,2294,2510,2751,2436,2316,0.046,0.6473,
33974,35839,34787,32457,2271,2513,2761,2406,2287,0.046,0.2033,
32689,34640,33313,31035,2276,2532,2761,2433,2315,0.046,0.3213,
31275,33194,31961,29815,2297,2494,2770,2423,2296,0.046,0.793,
30034,31819,30722,28453,2279,2537,2772,2446,2283,0.046,0.6749,
28879,30623,29365,27329,2280,2544,2825,2433,2289,0.046,0.82,
27743,29326,28202,26202,2281,2509,2806,2408,2344,0.046,0.846,
26491,28128,27017,25111,2260,2538,2812,2449,2278,0.046,0.6423,
25553,27160,25983,24193,2283,2545,2851,2472,2256,0.046,0.8625,
24454,25884,24894,23157,2261,2594,2863,2478,2270,0.046,0.7026,
23512,24840,23871,22100,2245,2582,2912,2446,2277,0.046,0.9407,
22469,23852,22900,21166,2265,2572,2891,2455,2261,0.046,0.9442,
21615,22816,21973,20291,2256,2606,2910,2489,2259,0.046,0.9017,
20708,22111,21115,19460,2300,2633,2951,2417,2284,0.046,0.5014,
19890,21082,20170,18764,2246,2646,2967,2478,2276,0.046,0.7481,
18999,20300,19520,17917,2277,2639,2973,2477,2249,0.046,0.6097,
18283,19587,18673,17245,2274,2643,3007,2502,2278,0.046,0.8772,
17545,18827,17923,16649,2281,2673,3022,2519,2223,0.046,0.6927,
16803,17893,17194,15870,2218,2678,3028,2488,2232,0.046,0.7226,
16228,17264,16466,15243,2231,2706,3085,2499,2240,0.046,0.8838,
15545,16481,15889,14607,2287,2689,3116,2505,2247,0.046,0.2793,
14871,15808,15249,13960,2249,2698,3128,2519,2217,0.046,0.6674,
14366,15335,14644,13641,2274,2719,3164,2517,2263,0.046,0.5256,
13670,14755,14096,12928,2278,2740,3206,2539,2195,0.046,0.7693,
13153,13983,13568,12429,2283,2751,3236,2571,2208,0.046,0.9349,
12715,13581,12980,12025,2264,2848,3284,2571,2192,0.046,0.515,
12439,13223,12725,11784,2320,2850,3379,2594,2219,0.046,1,
11690,12376,12087,11070,2266,2835,3319,2554,2209,0.046,0.7337,
11138,11983,11629,10634,2279,2877,3375,2589,2171,0.046,0.4302,
10869,11462,11193,10249,2277,2890,3469,2581,2177,0.046,0.6882,
10409,11071,10815,9871,2288,2936,3496,2639,2200,0.046,0.1521,
9947,10694,10420,9534,2314,2932,3555,2649,2191,0.046,0.9192,
9606,10271,10069,9159,2278,2978,3575,2633,2186,0.046,0.3903,
9286,9870,9661,8840,2280,3032,3628,2673,2142,0.046,0.7737,
8870,9554,9324,8556,2275,3025,3689,2658,2160,0.046,0.2721,
8592,9177,8995,8280,2307,3081,3730,2707,2171,0.046,0.807,
8265,8879,8684,7958,2353,3130,3804,2769,2176,0.046,0.8126,
8003,8557,8404,7732,2347,3166,3879,2714,2179,0.046,0.6962,
7712,8286,8185,7479,2328,3230,3919,2758,2165,0.046,0.2969,
7447,7972,7890,7197,2341,3233,3997,2794,2124,0.046,0.8321,
7172,7725,7582,6960,2345,3319,4108,2876,2141,0.046,0.0728,
6966,7502,7378,6771,2357,3415,4143,2859,2166,0.046,0.5749,
6752,7237,7083,6590,2372,3425,4271,2855,2159,0.046,0.1659,
6480,6957,6843,6362,2388,3530,4316,2904,2117,0.046,0.2292,
6234,6723,6675,6101,2407,3537,4404,2951,2117,0.046,0.3656,
6112,6514,6448,5946,2393,3577,4520,2959,2143,0.046,0.5645,
5886,6358,6343,5769,2453,3681,4588,3072,2133,0.046,0.143,
5665,6117,6056,5589,2417,3710,4667,3031,2125,0.046,0.1979,
5531,5891,5892,5481,2473,3809,4834,3122,2122,0.046,0.1343,
5312,5720,5749,5311,2482,3886,4916,3129,2129,0.046,0.1452,
5159,5618,5512,5170,2491,3972,5069,3163,2096,0.046,0.0669,
5002,5416,5442,5007,2487,4044,5219,3170,2110,0.046,0.0669,
4829,5227,5222,4847,2493,4145,5323,3267,2090,0.046,0.0669,
4684,5087,5131,4697,2541,4238,5465,3293,2075,0.046,0.0669,
4565,4894,4927,4598,2560,4368,5614,3333,2070,0.046,0.0669,
4420,4772,4835,4428,2623,4419,5785,3385,2064,0.046,0.0669,
4310,4650,4651,4326,2613,4539,5897,3488,2091,0.046,0.0669,
4189,4537,4562,4207,2619,4669,6051,3465,2098,0.046,0.0669,
4052,4372,4409,4142,2686,4789,6242,3574,2072,0.046,0.0669,
3977,4259,4316,4028,2676,4858,6374,3594,2078,0.046,0.0669,
3828,4102,4230,3924,2695,5087,6576,3641,2057,0.1053,0.0669,
3752,4055,4106,3832,2757,5137,6714,3764,2065,0.0962,0.0669,
3645,3940,3974,3755,2815,5350,6911,3764,2043,0,0.0669,
3573,3807,3878,3664,2812,5436,7127,3885,2049,0.161,0.0669,
3469,3728,3814,3556,2861,5534,7377,3932,2036,0.2777,0.0669,
3326,3615,3669,3452,2875,5758,7568,4010,2034,0.0763,0.0669,
3331,3538,3601,3459,2994,5988,7843,4108,2027,0.0321,0.0669,
3224,3454,3547,3319,3012,6109,8023,4193,2028,0.161,0.0669,
3160,3373,3455,3232,3041,6244,8245,4248,1959,0.1456,0.0669,
3087,3295,3403,3192,3098,6448,8537,4341,2010,0.4273,0.0669,
3011,3224,3346,3154,3119,6606,8791,4456,2020,0.3125,0.0669,
2952,3147,3192,3123,3176,6917,9013,4551,2014,0.569,0.0669,
2864,3082,3198,3050,3261,7162,9399,4657,1965,0.4223,0.0669,
2835,3039,3112,2980,3305,7401,9676,4753,1993,0.452,0.0669,
2797,3015,3030,2935,3362,7594,9919,4860,2010,0.4146,0.0669,
2726,2939,3005,2857,3460,7851,10296,4979,1971,0.6259,0.0669,
2655,2834,2942,2827,3526,8121,10671,5168,1922,0.3662,0.0669,
2631,2825,2926,2788,3594,8488,11078,5281,1982,0.2851,0.0669,
2565,2757,2845,2727,3664,8668,11407,5364,1987,0.5675,0.0669,
2512,2742,2826,2717,3709,8982,11781,5556,1937,0.5398,0.0669,
2508,2656,2764,2662,3858,9387,12280,5698,1929,0.4287,0.0669,
2449,2626,2711,2603,3951,9664,12648,5841,1921,0.8013,0.0669,
2425,2578,2690,2594,4038,10091,13047,6033,1881,0.8296,0.0669,
2374,2532,2602,2536,4156,10494,13541,6186,1930,0.3815,0.0669,
2322,2495,2556,2482,4245,10860,14051,6407,1890,0.7162,0.0669,
2288,2479,2577,2461,4435,11418,14676,6670,1882,0.6175,0.0669,
2286,2421,2510,2474,4513,11863,15240,6879,1864,0.3556,0.0669,
2223,2358,2472,2364,4676,12275,15733,7054,1861,0.6416,0.0669,
2205,2313,2425,2378,4785,12824,16444,7304,1845,0.8127,0.0669,
2175,2320,2382,2304,4966,13364,17158,7501,1797,0.474,0.0669,
2089,2281,2370,2309,5202,13988,17894,7795,1844,0.9015,0.0669,
2090,2223,2303,2249,5361,14613,18644,8021,1827,0.5594,0.0669,
2056,2217,2275,2209,5544,15205,19454,8370,1798,0.962,0.0669,
2075,2217,2268,2204,5799,15949,20262,8732,1787,0.7096,0.0669,
2027,2139,2256,2164,6059,16741,21180,9101,1809,0.4921,0.0669,
1989,2126,2250,2186,6274,17691,22092,9494,1795,1,0.0669,
1977,2116,2188,2153,6553,18517,23217,9883,1777,0.4656,0.0669,
1981,2094,2138,2124,6814,19329,24296,10285,1753,0.4079,0.0669,
1915,2037,2137,2108,7199,20535,25431,10807,1732,0.6905,0.0669,
1867,2012,2115,2078,7517,21476,26669,11256,1765,0.9851,0.0669,
1862,1975,2057,2034,7833,22509,28033,11745,1728,0.5367,0.0669,
1878,1979,2053,1985,8289,23683,29301,12283,1719,0.4702,0.0669,
1846,1972,2033,1989,8583,24948,30698,12873,1703,0.6448,0.0669,
1827,1936,2063,1994,9096,26284,32335,13512,1670,0.8177,0.0669,
1794,1919,2002,1991,9608,27691,34134,14202,1692,0.5281,0.0669,
1808,1883,1932,1982,10098,29380,35702,14952,1672,0.8841,0.0669,
1740,1867,1963,1956,10670,30814,37688,15671,1668,0.3037,0.0669,
1782,1853,1938,1897,11300,32634,39733,16452,1670,0.6707,0.0669,
1739,1866,1939,1881,11891,34338,41749,17329,1653,0.2659,0.0669,
1743,1822,1923,1855,12609,36409,43954,18178,1644,0.411,0.0669,
1708,1812,1884,1893,13322,38449,46383,19224,1638,0.3589,0.0669,
1699,1822,1879,1871,14096,40598,48711,20279,1622,0.0695,0.0669,
1681,1780,1830,1840,14887,42658,51335,21274,1611,0.4877,0.0669,
1683,1788,1844,1808,15682,44901,54042,22338,1558,0.036,0.0669,
1638,1729,1823,1805,16597,47422,56652,23548,1626,0.346,0.0669,
1638,1744,1800,1802,17586,49940,59703,24744,1610,0.046,0.0669,
57158,58992,58440,57825,2002,2112,2291,2048,2009,0.0719,0.0958,patient 13-slice8-unhealthy
55061,56869,56099,55827,1958,2106,2331,2066,2041,0.0719,0.0367,
53006,54923,53856,53712,1993,2111,2311,2076,2024,0.0719,0.0075,
51005,52965,51788,51941,1959,2098,2394,2050,2059,0.0719,0.1401,
48926,50878,49799,49685,2009,2071,2340,2051,2004,0.0719,0.0431,
47098,48879,47755,47578,1931,2142,2327,2019,1999,0.0719,0.2488,
45286,47111,45829,45680,1972,2156,2342,2118,1993,0.0719,0.3071,
43364,45251,44039,43852,1968,2137,2397,1988,2007,0.0719,0,
41685,43393,42266,42015,1946,2137,2348,2051,1976,0.0719,0.6629,
39971,41767,40661,40268,1942,2167,2378,2066,1964,0.0719,0.4086,
38483,40368,38846,38590,1943,2115,2402,2056,1982,0.0719,0.7078,
36939,38622,37390,36879,1995,2119,2406,2046,1999,0.0719,0.0522,
35524,37052,35946,35300,1978,2120,2402,2086,1978,0.0719,0.4332,
34270,35724,34420,33908,1965,2121,2404,2047,1986,0.0719,0.7099,
33089,34320,33110,32610,1966,2156,2420,2083,1942,0.0719,0.2141,
31584,32916,31781,31110,2008,2169,2455,2097,1998,0.0719,0.822,
30481,31470,30472,29770,1973,2136,2507,2041,1957,0.0719,0.8982,
29314,30499,29251,28650,1947,2169,2482,2076,2009,0.0719,0.6325,
28193,29267,28104,27433,1945,2199,2479,2052,1974,0.0719,0.7226,
27170,28054,27044,26348,1944,2188,2511,2112,1985,0.0719,0.9634,
26195,27048,26002,25275,1953,2174,2531,2119,1938,0.0719,0.2723,
25058,25961,24886,24111,1929,2207,2542,2087,2002,0.0719,0.9209,
24158,24919,23846,23173,1961,2186,2594,2091,1958,0.0719,0.4134,
23203,23886,22881,22175,1974,2189,2604,2121,1945,0.0719,0.6424,
22233,22985,21873,21281,1949,2222,2656,2130,1956,0.0719,0.9956,
21403,22179,21047,20414,1916,2254,2644,2083,1942,0.0719,0.799,
20521,21165,20109,19562,1962,2214,2627,2108,1959,0.0719,0.8416,
19781,20366,19354,18687,1925,2258,2700,2097,1956,0.0719,0.8071,
19028,19750,18535,18135,1962,2206,2688,2146,1937,0.0719,0.9114,
18344,19007,17926,17331,1978,2298,2756,2125,1938,0.0719,0.6029,
17464,18083,17104,16525,1963,2299,2767,2162,1888,0.0719,1,
16958,17426,16386,15874,1965,2297,2753,2143,1938,0.0719,0.4699,
16199,16763,15897,15225,1972,2289,2832,2155,1946,0.0719,0.8121,
15531,16037,15232,14584,1941,2345,2803,2166,1919,0.0719,0.644,
15118,15633,14733,14196,1990,2316,2899,2193,1957,0.0719,0.8838,
14478,14928,13968,13488,1989,2326,2878,2173,1938,0.0719,0.9381,
13900,14403,13483,13027,1953,2385,2947,2184,1955,0.0719,0.5351,
13435,13881,12929,12502,1980,2426,3034,2176,1922,0.0719,0.8261,
13155,13542,12650,12229,2033,2420,2999,2211,1925,0.0719,0.7703,
12390,12729,12108,11455,1963,2443,3044,2166,1894,0.0719,0.4296,
11880,12290,11535,10998,1975,2445,3088,2196,1900,0.0719,0.7091,
11454,11742,11183,10548,1990,2444,3089,2195,1898,0.0719,0.5749,
11085,11347,10779,10208,1981,2452,3187,2215,1881,0.0719,0.7014,
10681,10947,10402,9840,1986,2508,3222,2294,1906,0.0719,0.5999,
10343,10600,10026,9442,1967,2473,3255,2247,1905,0.0719,0.6971,
9878,10231,9649,9152,2017,2543,3303,2270,1900,0.0719,0.724,
9566,9878,9336,8791,2023,2571,3316,2265,1853,0.0719,0.2682,
9257,9486,8961,8440,1949,2545,3397,2264,1881,0.0719,0.5148,
8921,9211,8691,8188,1983,2586,3425,2355,1918,0.0719,0.3594,
8605,8905,8397,7941,2017,2656,3553,2339,1867,0.0719,0.1541,
8405,8638,8136,7666,1969,2669,3605,2317,1898,0.0719,0.3231,
8128,8280,7897,7389,2001,2689,3654,2367,1899,0.0719,0.0758,
7806,8041,7595,7209,2015,2758,3762,2410,1852,0.0719,0.138,
7580,7749,7377,6899,2070,2763,3769,2421,1825,0.0719,0.3872,
7343,7502,7139,6719,2080,2798,3849,2440,1840,0.0719,0.2301,
7095,7331,6888,6490,2056,2834,3947,2450,1856,0.0719,0.3681,
6866,7033,6712,6273,2044,2962,3995,2486,1840,0.0719,0.2214,
6641,6835,6468,6072,2044,2917,4113,2502,1846,0.0719,0.0327,
6432,6624,6389,5990,2042,2916,4166,2488,1841,0.0719,0.0993,
6246,6425,6086,5709,2118,3026,4271,2529,1851,0.0719,0.0636,
6054,6212,5957,5571,2136,3052,4398,2595,1834,0.0719,0.0722,
5879,6027,5771,5378,2101,3110,4481,2611,1809,0.0719,0.0327,
5644,5906,5582,5270,2118,3160,4547,2617,1852,0.0719,0.0327,
5523,5744,5454,5099,2094,3223,4691,2649,1819,0.0719,0.0327,
5371,5543,5299,4898,2142,3274,4746,2736,1809,0.0719,0.0327,
5209,5346,5132,4851,2159,3336,4900,2733,1809,0.0719,0.0327,
5041,5161,5033,4593,2170,3381,5039,2767,1838,0.0719,0.0327,
4920,5042,4835,4526,2156,3412,5163,2824,1834,0.0719,0.0327,
4761,4875,4747,4406,2172,3501,5317,2805,1812,0.0719,0.0327,
4615,4777,4568,4330,2202,3591,5422,2905,1733,0.0719,0.0327,
4510,4604,4464,4203,2212,3680,5544,2883,1804,0.0719,0.0327,
4362,4504,4334,4087,2222,3722,5727,2976,1780,0.0719,0.0327,
4242,4345,4261,3957,2247,3840,5885,2985,1756,0.0719,0.0327,
4125,4260,4142,3851,2260,3838,6027,3059,1809,0.1779,0.0327,
4030,4151,4055,3781,2315,3979,6162,3108,1790,0.184,0.0327,
3941,4031,3936,3660,2318,4056,6354,3173,1761,0.2763,0.0327,
3774,3931,3778,3632,2313,4227,6630,3208,1779,0.3568,0.0327,
3710,3846,3694,3504,2385,4327,6814,3290,1728,0.2418,0.0327,
3636,3748,3633,3430,2387,4381,7017,3318,1728,0.3485,0.0327,
3532,3629,3545,3374,2434,4526,7253,3473,1747,0.3206,0.0327,
3452,3581,3441,3311,2437,4618,7504,3481,1743,0.6152,0.0327,
3362,3439,3434,3202,2453,4790,7725,3557,1715,0.3091,0.0327,
3256,3377,3332,3127,2527,4946,7983,3639,1713,0.4584,0.0327,
3223,3374,3246,3068,2528,5039,8176,3729,1719,0.14,0.0327,
3123,3256,3187,3041,2576,5256,8529,3859,1713,0.625,0.0327,
3072,3183,3090,2953,2635,5364,8804,3940,1668,0.0593,0.0327,
3030,3136,3067,2882,2654,5580,9169,3988,1703,0.4007,0.0327,
2948,3047,3000,2845,2731,5733,9393,4100,1697,0.1412,0.0327,
2843,2995,2961,2771,2788,5948,9845,4222,1694,0.724,0.0327,
2860,2962,2887,2772,2807,6205,10200,4347,1715,0.2554,0.0327,
2714,2868,2837,2667,2799,6398,10535,4477,1667,0.6358,0.0327,
2715,2852,2809,2603,2924,6587,10998,4629,1691,0.5337,0.0327,
2684,2756,2739,2660,2992,6832,11390,4720,1651,0.3488,0.0327,
2616,2745,2675,2526,3112,7073,11847,4868,1650,0.661,0.0327,
2550,2653,2625,2531,3104,7402,12348,4991,1667,0.0301,0.0327,
2518,2617,2608,2461,3221,7692,12831,5211,1675,0.3173,0.0327,
2450,2554,2533,2447,3267,7957,13329,5382,1661,0,0.0327,
2412,2492,2553,2389,3373,8340,13990,5557,1656,0.5979,0.0327,
2382,2501,2466,2383,3505,8701,14569,5805,1677,0.779,0.0327,
2346,2444,2457,2313,3525,8954,15164,5908,1627,0.5886,0.0327,
2285,2399,2383,2322,3664,9366,15794,6130,1658,0.7783,0.0327,
2270,2348,2345,2230,3770,9666,16464,6334,1635,0.0243,0.0327,
2239,2345,2301,2217,3865,10196,17249,6603,1616,0.3686,0.0327,
2163,2280,2269,2175,4043,10575,18029,6843,1614,1,0.0327,
2156,2231,2268,2168,4152,11122,18799,7062,1622,0.1,0.0327,
2119,2179,2246,2118,4295,11532,19741,7425,1617,0.8622,0.0327,
2107,2183,2182,2119,4471,12139,20629,7717,1638,0.8474,0.0327,
2041,2176,2171,2085,4621,12785,21512,8120,1608,0.0004,0.0327,
2044,2150,2177,2053,4839,13327,22574,8463,1592,0.9378,0.0327,
2057,2079,2108,2067,5007,13992,23602,8747,1562,0.0139,0.0327,
1978,2090,2112,2040,5247,14697,24880,9191,1603,0.8633,0.0327,
1934,2039,2076,2003,5370,15449,25922,9571,1578,0.7271,0.0327,
1933,2030,2060,1986,5582,16124,27116,9998,1571,0.0572,0.0327,
1900,2012,2031,1926,5806,16891,28414,10374,1575,0.7006,0.0327,
1896,1981,1964,1927,6083,17787,29820,10874,1570,0.6611,0.0327,
1886,1956,1980,1927,6361,18666,31309,11414,1554,0.6581,0.0327,
1876,1918,1981,1874,6641,19664,32979,12019,1553,0.6538,0.0327,
1813,1901,1910,1873,7028,20593,34630,12554,1561,0.6295,0.0327,
1776,1851,1899,1838,7261,21651,36364,13152,1520,0.0342,0.0327,
1767,1845,1887,1804,7635,22808,38209,13826,1532,0.6485,0.0327,
1744,1832,1866,1816,7996,23991,40149,14454,1553,0.5516,0.0327,
1713,1816,1840,1777,8376,25331,42143,15220,1498,0.0572,0.0327,
1703,1793,1849,1764,8840,26700,44411,16017,1534,0.5173,0.0327,
1707,1815,1825,1767,9319,28096,46550,16828,1528,0.0938,0.0327,
1668,1765,1794,1724,9769,29512,48996,17631,1511,0.6325,0.0327,
1674,1732,1763,1727,10304,31019,51405,18438,1480,0.589,0.0327,
1658,1747,1776,1731,10893,32595,54020,19316,1508,0.5957,0.0327,
1638,1715,1760,1678,11437,34416,56615,20407,1462,0.0719,0.0327,
60967,59626,57550,56430,2574,2811,2850,2614,2524,0.0464,0.0492,patient 13-slice9-unhealthy
58293,57488,55227,54165,2597,2826,2892,2667,2497,0.0464,0.2063,
55928,55385,52999,52065,2617,2864,2911,2630,2525,0.0464,0.2091,
53935,53405,50952,50287,2561,2862,2905,2677,2557,0.0464,0.0882,
51657,51195,48771,47894,2584,2888,2938,2677,2531,0.0464,0.2287,
49534,49154,46657,45739,2622,2853,2972,2650,2547,0.0464,0,
47744,47231,44803,43754,2673,2906,2980,2709,2511,0.0464,0.4389,
45851,45338,42817,41948,2633,2931,3000,2678,2493,0.0464,0.564,
43841,43418,40997,39867,2635,2915,2998,2675,2544,0.0464,0.0392,
42164,41653,39141,38134,2624,2942,3018,2701,2527,0.0464,0.3322,
40535,40094,37514,36544,2702,2962,3031,2734,2545,0.0464,0.2558,
38908,38407,35928,34798,2659,3019,3045,2719,2562,0.0464,0.0466,
37194,36762,34308,33279,2748,3017,3045,2737,2528,0.0464,0.3842,
36001,35194,32885,31708,2676,3042,3081,2749,2536,0.0464,0.1221,
34402,33929,31533,30391,2693,3048,3117,2754,2546,0.0464,0.4757,
33095,32572,30226,29017,2725,3109,3093,2758,2534,0.0464,0.8105,
31724,31162,28912,27618,2693,3127,3170,2800,2574,0.0464,0.2816,
30553,30137,27778,26611,2756,3135,3193,2756,2541,0.0464,0.5934,
29358,28879,26572,25462,2733,3151,3179,2773,2500,0.0464,0.5618,
28232,27751,25553,24341,2746,3178,3251,2802,2561,0.0464,0.4703,
27172,26785,24472,23389,2789,3211,3246,2845,2526,0.0464,0.3957,
26051,25549,23543,22368,2753,3223,3218,2834,2556,0.0464,0.5085,
25202,24649,22607,21358,2732,3268,3302,2835,2564,0.0464,0.5631,
24214,23661,21678,20608,2781,3219,3349,2801,2562,0.0464,0.5264,
23356,22780,20844,19625,2792,3342,3348,2847,2535,0.0464,0.7477,
22428,21968,20062,18905,2809,3320,3345,2882,2515,0.0464,0.8295,
21550,21069,19289,18131,2829,3355,3391,2896,2558,0.0464,0.8305,
20740,20261,18502,17301,2853,3393,3422,2897,2552,0.0464,0.8172,
20168,19690,17792,16770,2838,3419,3447,2931,2513,0.0464,0.479,
19477,19055,17161,16165,2869,3430,3479,2928,2551,0.0464,0.621,
18555,18179,16535,15540,2824,3491,3555,2902,2517,0.0464,0.275,
18019,17520,15871,14900,2892,3514,3558,2972,2538,0.0464,0.7997,
17328,16924,15372,14304,2852,3580,3585,2957,2487,0.0464,0.5687,
16683,16244,14710,13760,2896,3583,3628,2937,2514,0.0464,0.633,
16238,15939,14260,13336,2948,3659,3655,3009,2525,0.0464,0.7383,
15523,15190,13695,12772,2936,3635,3696,3027,2496,0.0464,0.6014,
15111,14776,13270,12402,2957,3684,3786,3047,2518,0.0464,0.5752,
14642,14254,12814,11952,2993,3728,3801,3047,2525,0.0464,0.6961,
14466,13956,12508,11799,3012,3834,3921,3108,2522,0.0464,0.6618,
13605,13242,11940,11016,2990,3757,3870,3072,2483,0.0464,0.6349,
13066,12797,11618,10697,2992,3901,3901,3119,2468,0.0464,0.8701,
12701,12385,11236,10345,2990,3872,3980,3133,2481,0.0464,0.2559,
12367,11912,10833,9945,3011,3979,4040,3180,2500,0.0464,1,
11991,11606,10477,9650,3050,4015,4078,3146,2463,0.0464,0.7237,
11568,11209,10173,9340,3074,4079,4117,3166,2503,0.0464,0.4299,
11243,10882,9862,9060,3094,4140,4197,3213,2463,0.0464,0.4348,
10892,10540,9561,8824,3108,4151,4224,3246,2502,0.0464,0.4031,
10499,10162,9349,8564,3184,4253,4338,3272,2458,0.0464,0.7874,
10263,9937,9053,8276,3154,4307,4362,3303,2467,0.0464,0.8271,
9977,9665,8788,8078,3191,4391,4438,3342,2469,0.0464,0.5702,
9653,9355,8572,7813,3247,4446,4533,3337,2497,0.0464,0.8402,
9430,9170,8298,7672,3258,4507,4575,3380,2436,0.0464,0.6727,
9124,8853,8090,7326,3284,4606,4676,3432,2475,0.0464,0.8483,
8957,8666,7832,7229,3381,4712,4783,3483,2482,0.0464,0.6417,
8660,8405,7722,6985,3340,4749,4863,3475,2426,0.0464,0.483,
8394,8144,7504,6853,3387,4875,4927,3557,2461,0.0464,0.7263,
8228,8002,7258,6725,3470,4982,4993,3575,2444,0.0464,0.4423,
7995,7699,7125,6502,3508,5052,5125,3710,2431,0.0464,0.703,
7864,7605,6964,6393,3522,5173,5193,3704,2461,0.0464,0.4415,
7573,7416,6757,6208,3530,5276,5339,3742,2431,0.0464,0.6299,
7317,7183,6557,6025,3613,5403,5446,3799,2384,0.0464,0.462,
7190,7010,6438,5890,3603,5483,5566,3824,2394,0.0464,0.5411,
7035,6793,6279,5785,3692,5683,5653,3934,2434,0.0464,0.5654,
6859,6569,6096,5642,3753,5761,5853,3970,2420,0.0464,0.6214,
6679,6478,5963,5460,3760,5840,5916,3965,2394,0.0464,0.1221,
6523,6371,5806,5339,3843,5995,6055,4088,2395,0.2503,0.1221,
6316,6209,5662,5225,3897,6118,6184,4144,2389,0.0464,0.1221,
6194,6020,5578,5121,3922,6271,6345,4189,2359,0.0998,0.1221,
6047,5895,5402,4936,4013,6376,6517,4294,2383,0.0883,0.1221,
5862,5746,5340,4900,4028,6619,6661,4363,2370,0.1704,0.1221,
5755,5572,5198,4773,4166,6745,6880,4405,2373,0,0.1221,
5606,5440,5115,4686,4189,6900,7016,4526,2300,0.3265,0.1221,
5490,5348,4974,4588,4261,7122,7271,4571,2372,0.3331,0.1221,
5399,5199,4927,4497,4365,7244,7360,4696,2295,0.0434,0.1221,
5253,5116,4770,4381,4465,7554,7616,4759,2279,0.0063,0.1221,
5140,4988,4629,4288,4511,7755,7885,4845,2331,0.0019,0.1221,
5044,4859,4552,4214,4632,7926,7972,4933,2305,0.0262,0.1221,
4940,4797,4452,4131,4727,8249,8260,5102,2296,0.1565,0.1221,
4773,4632,4415,4020,4803,8418,8534,5161,2262,0.0959,0.1221,
4671,4605,4310,3991,4854,8716,8802,5370,2262,0.5674,0.1221,
4572,4498,4229,3893,5045,8921,9091,5455,2287,0.1257,0.1221,
4533,4401,4146,3826,5145,9222,9322,5554,2238,0.174,0.1221,
4428,4333,4036,3761,5243,9542,9606,5737,2194,0.521,0.1221,
4263,4221,3973,3770,5396,9888,9912,5912,2201,0.1087,0.1221,
4239,4165,3893,3661,5557,10241,10293,6084,2240,0.6139,0.1221,
4146,4021,3843,3602,5643,10563,10585,6223,2256,0.4264,0.1221,
4094,3957,3761,3507,5802,10950,10987,6361,2228,0.0926,0.1221,
