intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1539,0.1264,62398,64490,63446,64584,63427,62266,63240,63781,61566,761
1539,0,59680,61007,60150,63986,60332,59055,59575,59888,57934,768
1533,0.3734,57437,58210,57618,58689,57884,56733,57247,56701,55195,769
1573,0.0488,55356,56190,55583,56552,56099,54562,55149,54282,52531,799
1577,0.397,53045,53972,53206,54079,54038,52385,52718,51675,49891,794
1593,0.1378,50920,51756,50979,51988,51827,50171,50608,49169,47178,811
1603,0.4256,48928,49746,48887,49708,49951,48125,48610,46887,45013,816
1623,0.2846,46955,47776,46790,47651,48104,46166,46496,44783,42732,778
1592,0.6316,45080,45902,44675,45447,46002,44319,44630,42484,40369,833
1641,0.3291,43238,43930,42829,43459,44404,42403,42769,40438,38488,801
1655,0.3644,41598,42311,40797,41615,42560,40880,40985,38512,36724,848
1686,0.2124,39827,40517,38886,39602,40865,39038,39105,36626,34715,854
1645,0.7958,38151,38960,37019,37860,39148,37457,37462,34888,33209,872
1704,0.5862,36496,37455,35296,36058,37490,35913,35945,33202,31688,873
1728,0.3352,35087,35945,33571,34564,36069,34610,34528,31610,30271,878
1763,0.4835,33517,34513,31770,33005,34532,33177,33039,30192,28787,900
1743,0.6532,32106,33131,30386,31282,33018,31858,31673,28771,27511,893
1762,0.6613,30917,31921,28923,29833,31643,30622,30396,27530,26308,916
1789,0.624,29674,30587,27500,28555,30219,29382,29075,26267,25128,926
1814,0.6512,28338,29416,26184,27076,29095,28407,27899,25070,24067,927
1821,0.6871,27259,28237,24908,26115,27927,27354,26931,24141,23028,957
1879,0.5378,26110,27155,23667,24690,26552,26208,25627,23017,22062,969
1863,0.7579,25044,26128,22555,23604,25570,25282,24749,22038,21108,996
1882,0.8238,24094,25134,21498,22676,24479,24286,23818,21185,20268,1008
1953,0.6599,23052,24137,20426,21616,23421,23475,22818,20264,19312,1018
1947,0.7902,22122,23178,19558,20736,22381,22740,21986,19407,18506,1049
1985,0.8078,21244,22300,18598,19916,21434,21832,20953,18616,17742,1049
2015,0.7781,20320,21409,17794,19077,20650,21140,20245,17988,17001,1052
2053,0.6617,19568,20633,17074,18428,19669,20530,19454,17280,16411,1106
2087,0.7728,18767,19851,16352,17699,18811,19769,18757,16681,15712,1103
2126,1,17968,19020,15616,16910,18047,18919,17924,15964,15050,1118
2142,0.8128,17289,18295,15025,16272,17370,18417,17455,15436,14433,1134
2177,0.8266,16464,17539,14449,15646,16515,17690,16750,14844,13873,1202
2208,0.9281,15827,16857,13790,15147,15808,17050,16020,14190,13311,1170
2258,0.8162,15178,16321,13363,14636,15323,16674,15522,13897,12848,1141
2303,0.8643,14561,15595,12820,14037,14668,15900,14903,13272,12307,1200
2318,0.8621,13957,15110,12419,13584,14019,15429,14493,12903,11921,1237
2402,0.7727,13415,14403,11878,13196,13509,14836,13897,12455,11388,1316
2449,0.7549,13071,14159,11816,13047,13340,14726,13742,12253,11206,1341
2483,0.86,12311,13343,11110,12299,12433,13831,12893,11520,10516,1327
2490,0.9438,11756,12797,10711,11917,11986,13392,12424,11164,10180,1364
2588,0.7927,11190,12313,10383,11495,11514,12901,12008,10702,9851,1359
2615,0.8846,10727,11853,10044,11127,11089,12492,11633,10428,9460,1434
