intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13
5837,0.673,7938,6678,5799,4747,4969,6118,5888,5940,5143,5336,5220,5009,6163
5589,0.7955,7718,6503,5643,4638,4812,5944,5761,5741,5067,5150,5123,4858,6043
5450,0.7686,7467,6374,5462,4519,4684,5786,5551,5573,4926,4987,4931,4736,5822
5326,0.7487,7237,6196,5356,4459,4555,5597,5375,5428,4800,4859,4806,4600,5667
5153,0.759,7102,5984,5186,4297,4453,5486,5224,5335,4673,4681,4623,4455,5597
4956,0.8547,6891,5859,5089,4239,4278,5386,5056,5117,4518,4598,4532,4352,5425
4828,0.8183,6720,5747,4988,4101,4148,5181,4916,4974,4433,4404,4365,4232,5248
4670,0.9132,6582,5516,4868,4000,4079,5012,4759,4827,4277,4346,4269,4142,5148
4578,0.8548,6379,5396,4666,3918,3940,4876,4644,4703,4170,4198,4122,3998,5021
4433,0.8623,6210,5268,4635,3872,3844,4744,4513,4540,4039,4082,4057,3930,4894
4308,0.9162,6073,5136,4513,3692,3732,4642,4382,4421,3935,3985,3933,3810,4755
4209,0.8745,5926,5019,4445,3631,3637,4540,4296,4350,3818,3850,3791,3738,4644
4072,0.9805,5785,4880,4268,3550,3543,4401,4154,4227,3750,3734,3730,3647,4564
4021,0.8305,5584,4776,4219,3451,3461,4249,4067,4089,3639,3670,3598,3508,4410
3873,1,5455,4653,4117,3383,3413,4190,3947,3961,3497,3566,3551,3434,4294
3768,0.9212,5309,4495,3996,3323,3288,4057,3826,3869,3464,3488,3397,3404,4251
3687,0.9307,5271,4437,3940,3264,3230,3960,3691,3751,3362,3443,3383,3356,4115
3623,0.8828,5154,4315,3816,3215,3128,3833,3616,3683,3266,3352,3259,3135,4024
3534,0.9255,4960,4189,3720,3092,3061,3764,3502,3541,3192,3252,3208,3158,3944
3460,0.9227,4848,4079,3645,3066,3044,3634,3419,3462,3099,3137,3074,3077,3822
3414,0.7851,4719,4008,3557,3007,2961,3549,3316,3359,3005,3106,3067,3018,3723
3288,0.9254,4596,3936,3499,2931,2922,3471,3245,3279,2986,3023,2956,2905,3676
3273,0.8114,4536,3832,3487,2854,2824,3440,3102,3166,2893,2947,2941,2916,3556
3167,0.8832,4376,3732,3335,2782,2725,3281,3102,3151,2802,2868,2844,2802,3521
3120,0.8411,4285,3659,3298,2730,2696,3272,3006,3045,2754,2787,2767,2735,3406
3069,0.7581,4190,3605,3230,2737,2635,3188,2950,2936,2686,2770,2739,2702,3330
2957,0.9017,4079,3510,3122,2646,2542,3092,2826,2886,2595,2682,2687,2623,3243
2940,0.8044,4020,3423,3078,2652,2537,3029,2775,2828,2542,2611,2601,2559,3165
2883,0.7865,3890,3320,3033,2543,2468,2972,2750,2755,2531,2543,2525,2487,3144
2805,0.7958,3823,3268,2966,2519,2410,2930,2657,2701,2439,2501,2512,2457,3055
2825,0.6717,3701,3239,2977,2433,2395,2880,2607,2702,2413,2486,2483,2453,3025
2738,0.728,3639,3177,2855,2449,2357,2794,2561,2578,2336,2367,2422,2392,2966
2696,0.7529,3550,3097,2814,2398,2285,2697,2485,2512,2311,2354,2396,2271,2841
2648,0.6415,3493,2996,2761,2329,2257,2677,2404,2486,2249,2313,2303,2263,2779
2614,0.6685,3383,2993,2690,2254,2226,2615,2365,2395,2220,2257,2323,2186,2715
2555,0.6626,3272,2922,2658,2225,2140,2540,2312,2321,2204,2195,2273,2168,2642
2533,0.6007,3225,2838,2634,2195,2146,2500,2259,2320,2157,2199,2228,2147,2625
2491,0.5804,3169,2762,2603,2160,2081,2448,2237,2292,2094,2129,2215,2095,2576
2474,0.5792,3069,2751,2545,2116,2039,2402,2169,2191,2057,2115,2156,2030,2532
2413,0.5169,3024,2729,2512,2132,2026,2350,2180,2188,2007,2053,2136,2022,2511
2411,0.3694,2959,2706,2418,2052,2027,2344,2124,2151,1986,2062,2081,1956,2455
2364,0.4867,2885,2598,2390,2029,1948,2311,2077,2093,1952,2007,2056,1950,2406
2301,0.5049,2867,2560,2365,2001,1940,2239,2033,2075,1921,1963,2064,1922,2386
2294,0.4926,2815,2532,2360,1961,1912,2236,1994,2031,1886,1901,2036,1861,2297
2308,0.28,2748,2494,2254,1941,1844,2217,1958,2006,1841,1890,1956,1865,2246
2215,0.388,2689,2424,2253,1911,1799,2103,1905,1960,1836,1840,1958,1802,2204
2208,0.441,2606,2427,2214,1870,1825,2051,1846,1945,1806,1812,1930,1754,2205
2175,0.3791,2588,2358,2163,1882,1775,2061,1889,1917,1767,1758,1880,1748,2125
2169,0.2113,2550,2354,2173,1833,1779,2015,1843,1878,1708,1725,1879,1718,2132
2135,0.3015,2498,2286,2101,1837,1778,1975,1816,1809,1712,1755,1822,1701,2070
2113,0.2331,2492,2268,2057,1778,1710,1966,1767,1819,1681,1663,1809,1654,2031
2083,0.2736,2427,2238,2045,1765,1684,1901,1750,1780,1653,1654,1823,1653,1999
2064,0.1927,2363,2204,2069,1757,1662,1839,1728,1752,1625,1632,1738,1629,1968
2046,0.1583,2366,2156,2022,1703,1647,1814,1708,1749,1566,1579,1754,1631,1932
2013,0.1066,2311,2099,1950,1666,1614,1840,1688,1716,1542,1581,1711,1567,1906
2006,0.0988,2268,2093,1924,1711,1625,1776,1631,1700,1565,1593,1679,1524,1902
1932,0.1476,2228,2060,1890,1689,1595,1756,1663,1638,1530,1562,1659,1568,1853
1964,0.0139,2248,2006,1903,1596,1566,1739,1591,1627,1517,1537,1671,1500,1823
1922,0.0533,2174,2000,1867,1610,1541,1723,1593,1582,1475,1491,1619,1512,1850
1924,0,2158,1993,1829,1606,1527,1668,1517,1591,1495,1503,1580,1453,1771
1864,0.1556,2096,1957,1839,1566,1495,1642,1536,1562,1424,1443,1582,1439,1716
60084,0.1023,,,,,,,,,,,,,
57757,0.0788,,,,,,,,,,,,,
55771,0.0437,,,,,,,,,,,,,
53691,0.0235,,,,,,,,,,,,,
51637,0.0113,,,,,,,,,,,,,
49609,0.0067,,,,,,,,,,,,,
47660,0.0032,,,,,,,,,,,,,
45848,0,,,,,,,,,,,,,
43911,0.0105,,,,,,,,,,,,,
42163,0.0142,,,,,,,,,,,,,
40600,0.012,,,,,,,,,,,,,
38929,0.0259,,,,,,,,,,,,,
37254,0.0442,,,,,,,,,,,,,
35812,0.0521,,,,,,,,,,,,,
34367,0.0627,,,,,,,,,,,,,
32903,0.083,,,,,,,,,,,,,
31743,0.0806,,,,,,,,,,,,,
30418,0.1042,,,,,,,,,,,,,
29145,0.1182,,,,,,,,,,,,,
27976,0.1422,,,,,,,,,,,,,
27010,0.1426,,,,,,,,,,,,,
25830,0.1745,,,,,,,,,,,,,
24772,0.1954,,,,,,,,,,,,,
23842,0.2102,,,,,,,,,,,,,
22814,0.2339,,,,,,,,,,,,,
21874,0.2597,,,,,,,,,,,,,
21087,0.2662,,,,,,,,,,,,,
20171,0.3064,,,,,,,,,,,,,
19518,0.3036,,,,,,,,,,,,,
18675,0.3307,,,,,,,,,,,,,
17818,0.374,,,,,,,,,,,,,
17131,0.3964,,,,,,,,,,,,,
16369,0.4362,,,,,,,,,,,,,
15781,0.4517,,,,,,,,,,,,,
15183,0.46,,,,,,,,,,,,,
14571,0.4917,,,,,,,,,,,,,
14042,0.511,,,,,,,,,,,,,
13496,0.5332,,,,,,,,,,,,,
13220,0.5003,,,,,,,,,,,,,
12367,0.6131,,,,,,,,,,,,,
11961,0.6179,,,,,,,,,,,,,
11466,0.6452,,,,,,,,,,,,,
11011,0.6796,,,,,,,,,,,,,
10680,0.6806,,,,,,,,,,,,,
10241,0.7153,,,,,,,,,,,,,
9824,0.7448,,,,,,,,,,,,,
9584,0.7357,,,,,,,,,,,,,
9144,0.7767,,,,,,,,,,,,,
8885,0.7847,,,,,,,,,,,,,
8529,0.8131,,,,,,,,,,,,,
8199,0.8422,,,,,,,,,,,,,
7993,0.8455,,,,,,,,,,,,,
7750,0.8521,,,,,,,,,,,,,
7466,0.8671,,,,,,,,,,,,,
7248,0.8773,,,,,,,,,,,,,
7022,0.8759,,,,,,,,,,,,,
6832,0.8818,,,,,,,,,,,,,
6590,0.9121,,,,,,,,,,,,,
6386,0.9269,,,,,,,,,,,,,
6182,0.9436,,,,,,,,,,,,,
6020,0.9383,,,,,,,,,,,,,
5865,0.9398,,,,,,,,,,,,,
5675,0.9479,,,,,,,,,,,,,
5557,0.9304,,,,,,,,,,,,,
5410,0.9438,,,,,,,,,,,,,
5282,0.9367,,,,,,,,,,,,,
5094,0.9719,,,,,,,,,,,,,
4998,0.9689,,,,,,,,,,,,,
4862,0.9833,,,,,,,,,,,,,
4747,0.9817,,,,,,,,,,,,,
4591,0.973,,,,,,,,,,,,,
4477,0.9657,,,,,,,,,,,,,
4358,1,,,,,,,,,,,,,
4332,0.9606,,,,,,,,,,,,,
4196,0.9896,,,,,,,,,,,,,
4166,0.9696,,,,,,,,,,,,,
4015,0.9706,,,,,,,,,,,,,
3971,0.9431,,,,,,,,,,,,,
3881,0.9644,,,,,,,,,,,,,
3788,0.9624,,,,,,,,,,,,,
3710,0.9608,,,,,,,,,,,,,
3611,0.9719,,,,,,,,,,,,,
3576,0.9376,,,,,,,,,,,,,
3586,0.9031,,,,,,,,,,,,,
3454,0.9141,,,,,,,,,,,,,
3368,0.9534,,,,,,,,,,,,,
3312,0.9336,,,,,,,,,,,,,
3246,0.9189,,,,,,,,,,,,,
3190,0.9125,,,,,,,,,,,,,
3125,0.9221,,,,,,,,,,,,,
3115,0.8851,,,,,,,,,,,,,
3073,0.8932,,,,,,,,,,,,,
3006,0.8738,,,,,,,,,,,,,
2969,0.8815,,,,,,,,,,,,,
2931,0.8703,,,,,,,,,,,,,
2892,0.8574,,,,,,,,,,,,,
2814,0.8703,,,,,,,,,,,,,
2785,0.8428,,,,,,,,,,,,,
2791,0.8092,,,,,,,,,,,,,
2682,0.8631,,,,,,,,,,,,,
2679,0.8314,,,,,,,,,,,,,
2638,0.8287,,,,,,,,,,,,,
2628,0.795,,,,,,,,,,,,,
2599,0.778,,,,,,,,,,,,,
2513,0.8193,,,,,,,,,,,,,
2496,0.821,,,,,,,,,,,,,
2481,0.7748,,,,,,,,,,,,,
2444,0.7661,,,,,,,,,,,,,
2417,0.7721,,,,,,,,,,,,,
2357,0.7672,,,,,,,,,,,,,
2366,0.7355,,,,,,,,,,,,,
2329,0.7402,,,,,,,,,,,,,
2300,0.7355,,,,,,,,,,,,,
2258,0.7456,,,,,,,,,,,,,
2227,0.7483,,,,,,,,,,,,,
2182,0.7702,,,,,,,,,,,,,
2180,0.7535,,,,,,,,,,,,,
2142,0.7583,,,,,,,,,,,,,
2175,0.6507,,,,,,,,,,,,,
2107,0.7177,,,,,,,,,,,,,
2081,0.7305,,,,,,,,,,,,,
2056,0.7158,,,,,,,,,,,,,
2052,0.6956,,,,,,,,,,,,,
2022,0.7001,,,,,,,,,,,,,
1977,0.6822,,,,,,,,,,,,,
1989,0.6795,,,,,,,,,,,,,
1947,0.7144,,,,,,,,,,,,,
1940,0.6724,,,,,,,,,,,,,
65108,0.2995,,,,,,,,,,,,,
64706,0.2027,,,,,,,,,,,,,
59862,0.545,,,,,,,,,,,,,
58095,0.3283,,,,,,,,,,,,,
55892,0.4629,,,,,,,,,,,,,
53976,0.3337,,,,,,,,,,,,,
52187,0.6106,,,,,,,,,,,,,
50362,0.5095,,,,,,,,,,,,,
48566,0.4398,,,,,,,,,,,,,
46774,0.3794,,,,,,,,,,,,,
45253,0.4659,,,,,,,,,,,,,
43621,0.4271,,,,,,,,,,,,,
42116,0.3645,,,,,,,,,,,,,
40650,0.3164,,,,,,,,,,,,,
39310,0.2447,,,,,,,,,,,,,
37852,0.2564,,,,,,,,,,,,,
36556,0.2176,,,,,,,,,,,,,
35376,0.1578,,,,,,,,,,,,,
34115,0.1601,,,,,,,,,,,,,
32882,0.1556,,,,,,,,,,,,,
31821,0.1317,,,,,,,,,,,,,
30653,0.1429,,,,,,,,,,,,,
29672,0.1194,,,,,,,,,,,,,
28679,0.1212,,,,,,,,,,,,,
27631,0.1432,,,,,,,,,,,,,
26824,0.0943,,,,,,,,,,,,,
25888,0.1022,,,,,,,,,,,,,
24905,0.1742,,,,,,,,,,,,,
24143,0.141,,,,,,,,,,,,,
23497,0.0841,,,,,,,,,,,,,
22487,0.2002,,,,,,,,,,,,,
21887,0.1401,,,,,,,,,,,,,
21190,0.1392,,,,,,,,,,,,,
20416,0.2225,,,,,,,,,,,,,
19831,0.174,,,,,,,,,,,,,
19259,0.1558,,,,,,,,,,,,,
18628,0.1795,,,,,,,,,,,,,
18093,0.1748,,,,,,,,,,,,,
17901,0,,,,,,,,,,,,,
16967,0.2138,,,,,,,,,,,,,
16435,0.2333,,,,,,,,,,,,,
15892,0.2523,,,,,,,,,,,,,
15478,0.2294,,,,,,,,,,,,,
14942,0.2802,,,,,,,,,,,,,
14566,0.2582,,,,,,,,,,,,,
14088,0.2896,,,,,,,,,,,,,
13723,0.2851,,,,,,,,,,,,,
13215,0.3613,,,,,,,,,,,,,
12975,0.2971,,,,,,,,,,,,,
12620,0.2688,,,,,,,,,,,,,
12227,0.3236,,,,,,,,,,,,,
11897,0.317,,,,,,,,,,,,,
11501,0.3798,,,,,,,,,,,,,
11210,0.3455,,,,,,,,,,,,,
10909,0.3767,,,,,,,,,,,,,
10595,0.383,,,,,,,,,,,,,
10287,0.432,,,,,,,,,,,,,
10065,0.3636,,,,,,,,,,,,,
9752,0.4061,,,,,,,,,,,,,
9523,0.3981,,,,,,,,,,,,,
9214,0.1815,,,,,,,,,,,,,
8959,0.23,,,,,,,,,,,,,
8795,0.1685,,,,,,,,,,,,,
8513,0.2372,,,,,,,,,,,,,
8284,0.2677,,,,,,,,,,,,,
8053,0.1505,,,,,,,,,,,,,
7813,0.1579,,,,,,,,,,,,,
7635,0.1955,,,,,,,,,,,,,
7413,0.2365,,,,,,,,,,,,,
7228,0.2382,,,,,,,,,,,,,
7026,0.2807,,,,,,,,,,,,,
6836,0.3007,,,,,,,,,,,,,
6653,0.1442,,,,,,,,,,,,,
6495,0.1552,,,,,,,,,,,,,
6347,0.1816,,,,,,,,,,,,,
6171,0.1926,,,,,,,,,,,,,
5997,0.2785,,,,,,,,,,,,,
5813,0.2858,,,,,,,,,,,,,
5680,0.2964,,,,,,,,,,,,,
5514,0.3389,,,,,,,,,,,,,
5401,0.1639,,,,,,,,,,,,,
5264,0.2012,,,,,,,,,,,,,
5088,0.2725,,,,,,,,,,,,,
4977,0.2937,,,,,,,,,,,,,
4897,0.2683,,,,,,,,,,,,,
4723,0.3748,,,,,,,,,,,,,
4588,0.2527,,,,,,,,,,,,,
4518,0.2505,,,,,,,,,,,,,
4415,0.2515,,,,,,,,,,,,,
4366,0.1696,,,,,,,,,,,,,
4191,0.354,,,,,,,,,,,,,
4114,0.3337,,,,,,,,,,,,,
3971,0.4334,,,,,,,,,,,,,
3895,0.4268,,,,,,,,,,,,,
3803,0.438,,,,,,,,,,,,,
3710,0.1806,,,,,,,,,,,,,
3617,0.2195,,,,,,,,,,,,,
3555,0.2436,,,,,,,,,,,,,
3493,0.2047,,,,,,,,,,,,,
3344,0.3639,,,,,,,,,,,,,
3305,0.3016,,,,,,,,,,,,,
3233,0.3606,,,,,,,,,,,,,
