intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1539,0.1264,2319,2372,2154,1980,2077,2048,2050,1964,1952,1668
1539,0,2330,2431,2210,2003,2095,2057,2070,2038,1956,1682
1533,0.3734,2298,2428,2210,2027,2156,2082,2100,2060,1998,1688
1573,0.0488,2381,2476,2211,2067,2168,2112,2127,2117,2016,1749
1577,0.397,2404,2522,2286,2081,2163,2147,2158,2108,2068,1732
1593,0.1378,2427,2556,2259,2118,2251,2213,2142,2192,2054,1748
1603,0.4256,2480,2563,2380,2144,2246,2177,2187,2221,2094,1781
1623,0.2846,2515,2587,2327,2152,2287,2242,2261,2184,2094,1814
1592,0.6316,2519,2634,2333,2181,2289,2262,2249,2219,2136,1884
1641,0.3291,2536,2645,2397,2224,2290,2305,2286,2244,2176,1897
1655,0.3644,2563,2676,2401,2272,2372,2348,2315,2253,2217,1895
1686,0.2124,2583,2704,2444,2243,2368,2335,2356,2331,2241,1914
1645,0.7958,2642,2719,2484,2306,2369,2390,2347,2355,2271,1955
1704,0.5862,2673,2749,2529,2305,2459,2417,2393,2389,2241,1938
1728,0.3352,2728,2774,2533,2324,2487,2466,2453,2405,2340,2013
1763,0.4835,2755,2825,2540,2319,2501,2503,2485,2456,2355,2008
1743,0.6532,2767,2824,2571,2367,2532,2529,2480,2498,2404,2020
1762,0.6613,2817,2856,2627,2382,2538,2527,2539,2565,2424,2077
1789,0.624,2889,2914,2617,2405,2558,2601,2553,2547,2457,2125
1814,0.6512,2865,2931,2680,2438,2640,2597,2580,2587,2523,2159
1821,0.6871,2901,3006,2738,2471,2644,2677,2621,2631,2572,2171
1879,0.5378,2952,3004,2758,2501,2720,2685,2716,2667,2609,2172
1863,0.7579,2978,3045,2750,2464,2741,2727,2722,2684,2665,2213
1882,0.8238,3061,3117,2818,2568,2771,2789,2748,2702,2672,2242
1953,0.6599,3067,3163,2842,2573,2796,2868,2817,2804,2701,2269
1947,0.7902,3144,3208,2882,2634,2849,2847,2814,2727,2777,2302
1985,0.8078,3193,3228,2906,2655,2897,2899,2872,2852,2831,2335
2015,0.7781,3242,3272,2958,2698,2962,2949,2941,2869,2864,2358
2053,0.6617,3251,3308,3020,2721,2952,3002,2979,2933,2942,2383
2087,0.7728,3303,3384,3113,2756,3027,3062,3076,3005,2954,2390
2126,1,3348,3422,3068,2795,3116,3076,3098,2981,3037,2407
2142,0.8128,3391,3472,3136,2843,3114,3118,3120,3046,3101,2493
2177,0.8266,3435,3520,3192,2857,3172,3185,3155,3094,3133,2535
2208,0.9281,3463,3597,3207,2879,3194,3220,3275,3123,3209,2560
2258,0.8162,3568,3657,3280,2918,3294,3300,3305,3209,3289,2639
2303,0.8643,3612,3717,3347,2960,3326,3352,3311,3242,3319,2627
2318,0.8621,3667,3784,3379,3050,3360,3418,3416,3320,3403,2679
2402,0.7727,3731,3844,3448,3066,3441,3478,3455,3347,3474,2741
2449,0.7549,3833,3990,3565,3195,3550,3573,3637,3458,3597,2811
2483,0.86,3831,3957,3525,3128,3576,3589,3566,3421,3595,2817
2490,0.9438,3855,4046,3644,3206,3625,3646,3651,3520,3636,2900
2588,0.7927,3944,4078,3690,3299,3642,3710,3711,3555,3673,2872
2615,0.8846,4033,4224,3710,3336,3689,3801,3782,3651,3815,2967
2723,0.7552,4062,4283,3806,3379,3786,3825,3876,3731,3878,3001
2753,0.8614,4162,4322,3873,3442,3810,3911,3932,3806,3937,3010
2849,0.5966,4222,4428,3969,3513,3918,4038,4025,3828,4001,3089
2838,0.8254,4264,4510,4002,3562,3986,4017,4118,3893,4102,3123
2956,0.7628,4362,4578,4081,3668,4030,4128,4215,3929,4190,3214
3022,0.7949,4426,4628,4111,3690,4113,4228,4233,4042,4229,3266
3175,0.462,4494,4772,4234,3750,4152,4371,4281,4125,4333,3317
3217,0.5248,4556,4919,4291,3831,4286,4379,4413,4210,4392,3361
3255,0.6998,4675,4913,4330,3906,4284,4503,4523,4272,4543,3450
3364,0.6269,4751,5066,4456,3982,4382,4593,4622,4396,4618,3486
3443,0.6696,4844,5166,4562,4069,4470,4675,4717,4418,4654,3554
3483,0.7154,4895,5182,4651,4174,4542,4784,4788,4543,4722,3599
