intensity,750,800,850,uaa,left,right,ctr,,,
1.94E-05,,,,0.3909,2.18E-05,1.35E-05,1.94E-05,,,
2.01E-05,,,,0.3943,2.23E-05,1.39E-05,2.01E-05,,,
2.10E-05,,,,0.3127,2.31E-05,1.45E-05,2.10E-05,,,
2.18E-05,,,,0.3336,2.40E-05,1.52E-05,2.18E-05,,,
2.24E-05,,,,0.3977,2.45E-05,1.56E-05,2.24E-05,,,
2.31E-05,,,,0.4533,2.54E-05,1.64E-05,2.31E-05,,,
2.42E-05,,,,0.3647,2.63E-05,1.69E-05,2.42E-05,,,
2.52E-05,,,,0.3376,2.73E-05,1.78E-05,2.52E-05,,,
2.62E-05,,,,0.3339,2.83E-05,1.88E-05,2.62E-05,,,
2.71E-05,,,,0.3656,2.91E-05,1.92E-05,2.71E-05,,,
2.82E-05,,,,0.3745,3.01E-05,2.01E-05,2.82E-05,,,
2.94E-05,,,,0.0715,3.11E-05,2.12E-05,2.94E-05,,,
3.03E-05,,,,0.0715,3.21E-05,2.19E-05,3.03E-05,,,
3.11E-05,,,,0.0715,3.32E-05,2.29E-05,3.11E-05,,,
3.24E-05,,,,0.0715,3.43E-05,2.38E-05,3.24E-05,,,
3.35E-05,,,,0.0715,3.56E-05,2.50E-05,3.35E-05,,,
3.48E-05,,,,0.0715,3.73E-05,2.62E-05,3.48E-05,,,
3.63E-05,,,,0.0715,3.86E-05,2.77E-05,3.63E-05,,,
3.73E-05,,,,0.0715,3.97E-05,2.86E-05,3.73E-05,,,
3.87E-05,,,,0.0715,4.10E-05,2.98E-05,3.87E-05,,,
4.01E-05,,,,0.0715,4.22E-05,3.11E-05,4.01E-05,,,
4.15E-05,,,,0.0715,4.37E-05,3.25E-05,4.15E-05,,,
4.32E-05,,,,0.0715,4.55E-05,3.41E-05,4.32E-05,,,
4.49E-05,,,,0.0715,4.70E-05,3.57E-05,4.49E-05,,,
4.65E-05,,,,0.0715,4.88E-05,3.72E-05,4.65E-05,,,
4.81E-05,,,,0.0715,5.07E-05,3.92E-05,4.81E-05,,,
5.03E-05,,,,0.0715,5.24E-05,4.13E-05,5.03E-05,,,
5.18E-05,,,,0.0715,5.42E-05,4.30E-05,5.18E-05,,,
5.38E-05,,,,0.0715,5.64E-05,4.48E-05,5.38E-05,,,
5.58E-05,,,,0.0715,5.87E-05,4.73E-05,5.58E-05,,,
5.81E-05,,,,0.0715,6.04E-05,4.91E-05,5.81E-05,,,
6.03E-05,,,,0.0715,6.28E-05,5.12E-05,6.03E-05,,,
6.25E-05,,,,0.0715,6.48E-05,5.39E-05,6.25E-05,,,
6.47E-05,,,,0.0715,6.71E-05,5.60E-05,6.47E-05,,,
6.72E-05,,,,0.0715,6.99E-05,5.86E-05,6.72E-05,,,
6.98E-05,,,,0.0715,7.23E-05,6.11E-05,6.98E-05,,,
7.22E-05,,,,0.0715,7.47E-05,6.40E-05,7.22E-05,,,
7.49E-05,,,,0.0715,7.77E-05,6.65E-05,7.49E-05,,,
7.78E-05,,,,0.0715,8.07E-05,6.99E-05,7.78E-05,,,
8.08E-05,,,,0.0715,8.31E-05,7.25E-05,8.08E-05,,,
8.38E-05,,,,0.0715,8.64E-05,7.58E-05,8.38E-05,,,
8.72E-05,,,,0.0715,8.97E-05,7.92E-05,8.72E-05,,,
9.06E-05,,,,0.0715,9.30E-05,8.23E-05,9.06E-05,,,
9.35E-05,,,,0.0715,9.64E-05,8.59E-05,9.35E-05,,,
9.68E-05,,,,0.0715,9.98E-05,8.97E-05,9.68E-05,,,
0.00010074,,,,0.0715,0.00010334,9.36E-05,0.00010074,,,
0.00010364,,,,0.0715,0.00010723,9.72E-05,0.00010364,,,
1.54E-06,,,,0.6233,,,,,,
1.76E-06,,,,0.2331,,,,,,
1.75E-06,,,,0.3282,,,,,,
1.91E-06,,,,0.1073,,,,,,
1.92E-06,,,,0.1738,,,,,,
1.91E-06,,,,0.275,,,,,,
2.05E-06,,,,0.106,,,,,,
2.03E-06,,,,0.238,,,,,,
2.14E-06,,,,0.1257,,,,,,
2.25E-06,,,,0.0333,,,,,,
2.23E-06,,,,0.1485,,,,,,
2.29E-06,,,,0.1463,,,,,,
2.32E-06,,,,0.1889,,,,,,
2.48E-06,,,,0.0283,,,,,,
2.60E-06,,,,0.9924,,,,,,
2.72E-06,,,,0.9067,,,,,,
2.75E-06,,,,0.9629,,,,,,
2.80E-06,,,,0.9912,,,,,,
3.13E-06,,,,0.5944,,,,,,
3.03E-06,,,,0.864,,,,,,
3.02E-06,,,,1,,,,,,
3.26E-06,,,,0.7536,,,,,,
3.34E-06,,,,0.754,,,,,,
3.31E-06,,,,0.917,,,,,,
3.68E-06,,,,0.518,,,,,,
3.71E-06,,,,0.6045,,,,,,
3.89E-06,,,,0.4928,,,,,,
3.90E-06,,,,0.6054,,,,,,
4.03E-06,,,,0.5726,,,,,,
4.31E-06,,,,0.5595,,,,,,
4.53E-06,,,,0.4365,,,,,,
4.60E-06,,,,0.4899,,,,,,
4.62E-06,,,,0.5996,,,,,,
4.90E-06,,,,0.4156,,,,,,
5.17E-06,,,,0.268,,,,,,
5.25E-06,,,,0.3237,,,,,,
5.37E-06,,,,0.3356,,,,,,
5.43E-06,,,,0.4148,,,,,,
6.02E-06,,,,0,,,,,,
5.86E-06,,,,0.2795,,,,,,
6.07E-06,,,,0.7828,,,,,,
6.41E-06,,,,0.6075,,,,,,
6.46E-06,,,,0.7257,,,,,,
6.68E-06,,,,0.676,,,,,,
6.94E-06,,,,0.6098,,,,,,
7.07E-06,,,,0.6522,,,,,,
7.33E-06,,,,0.5937,,,,,,
7.71E-06,,,,0.4438,,,,,,
7.82E-06,,,,0.5213,,,,,,
8.11E-06,,,,0.459,,,,,,
8.48E-06,,,,0.3469,,,,,,
8.66E-06,,,,0.3849,,,,,,
8.82E-06,,,,0.4361,,,,,,
9.21E-06,,,,0.2178,,,,,,
9.48E-06,,,,0.2056,,,,,,
9.82E-06,,,,0.6432,,,,,,
1.01E-05,,,,0.6359,,,,,,
1.04E-05,,,,0.6457,,,,,,
1.06E-05,,,,0.6596,,,,,,
1.09E-05,,,,0.6878,,,,,,
1.14E-05,,,,0.5942,,,,,,
1.18E-05,,,,0.5387,,,,,,
1.22E-05,,,,0.4745,,,,,,
1.26E-05,,,,0.4646,,,,,,
1.28E-05,,,,0.5561,,,,,,
1.33E-05,,,,0.4673,,,,,,
1.38E-05,,,,0.434,,,,,,
1.40E-05,,,,0.5363,,,,,,
1.43E-05,,,,0.5611,,,,,,
1.49E-05,,,,0.4874,,,,,,
1.54E-05,,,,0.4411,,,,,,
1.62E-05,,,,0.31,,,,,,
1.64E-05,,,,0.4528,,,,,,
1.68E-05,,,,0.4542,,,,,,
1.75E-05,,,,0.3919,,,,,,
1.77E-05,,,,0.5287,,,,,,
1.87E-05,,,,0.3245,,,,,,
1.92E-05,,,,0.3703,,,,,,
1.97E-05,,,,0.4018,,,,,,
2.04E-05,,,,0.3817,,,,,,
2.09E-05,,,,0.4231,,,,,,
2.18E-05,,,,0.3217,,,,,,
2.23E-05,,,,0.4095,,,,,,
2.31E-05,,,,0.3932,,,,,,
2.40E-05,,,,0.3401,,,,,,
2.45E-05,,,,0.4439,,,,,,
2.54E-05,,,,0.386,,,,,,
2.63E-05,,,,0.3893,,,,,,
2.73E-05,,,,0.3114,,,,,,
2.83E-05,,,,0.2822,,,,,,
2.91E-05,,,,0.3452,,,,,,
3.01E-05,,,,0.3566,,,,,,
3.11E-05,,,,0.3429,,,,,,
3.21E-05,,,,0.3603,,,,,,
3.32E-05,,,,0.3675,,,,,,
3.43E-05,,,,0.4065,,,,,,
3.56E-05,,,,0.3773,,,,,,
3.73E-05,,,,0.224,,,,,,
3.86E-05,,,,0.2317,,,,,,
3.97E-05,,,,0.3346,,,,,,
4.10E-05,,,,0.3708,,,,,,
4.22E-05,,,,0.447,,,,,,
4.37E-05,,,,0.4519,,,,,,
4.55E-05,,,,0.4085,,,,,,
4.70E-05,,,,0.4738,,,,,,
4.88E-05,,,,0.4758,,,,,,
5.07E-05,,,,0.4467,,,,,,
5.24E-05,,,,0.5179,,,,,,
5.42E-05,,,,0.5806,,,,,,
5.64E-05,,,,0.5694,,,,,,
5.87E-05,,,,0.5677,,,,,,
6.04E-05,,,,0.303,,,,,,
6.28E-05,,,,0.3304,,,,,,
6.48E-05,,,,0.4555,,,,,,
6.71E-05,,,,0.5245,,,,,,
6.99E-05,,,,0.33,,,,,,
7.23E-05,,,,0.4261,,,,,,
7.47E-05,,,,0.5717,,,,,,
7.77E-05,,,,0.4055,,,,,,
8.07E-05,,,,0.4901,,,,,,
8.31E-05,,,,0.4872,,,,,,
8.64E-05,,,,0.5802,,,,,,
8.97E-05,,,,0.6795,,,,,,
9.30E-05,,,,0.3807,,,,,,
9.64E-05,,,,0.3342,,,,,,
9.98E-05,,,,0.5185,,,,,,
0.00010334,,,,0.3638,,,,,,
0.00010723,,,,0.5362,,,,,,
1.67E-06,,,,0.1823,,,,,,
1.74E-06,,,,0.0997,,,,,,
1.83E-06,,,,0,,,,,,
1.65E-06,,,,0.4951,,,,,,
1.67E-06,,,,0.5479,,,,,,
1.81E-06,,,,0.304,,,,,,
1.78E-06,,,,0.4579,,,,,,
1.99E-06,,,,0.1158,,,,,,
1.78E-06,,,,0.678,,,,,,
2.12E-06,,,,0.029,,,,,,
2.01E-06,,,,0.3598,,,,,,
2.10E-06,,,,0.2636,,,,,,
2.13E-06,,,,0.3052,,,,,,
2.14E-06,,,,0.3951,,,,,,
