intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
8284,0.2677,,,,,,,,,
8053,0.1505,,,,,,,,,
7813,0.1579,,,,,,,,,
7635,0.1955,,,,,,,,,
7413,0.2365,,,,,,,,,
7228,0.2382,,,,,,,,,
7026,0.2807,,,,,,,,,
6836,0.3007,,,,,,,,,
6653,0.1442,,,,,,,,,
6495,0.1552,,,,,,,,,
6347,0.1816,,,,,,,,,
6171,0.1926,,,,,,,,,
5997,0.2785,,,,,,,,,
5813,0.2858,,,,,,,,,
5680,0.2964,,,,,,,,,
5514,0.3389,,,,,,,,,
5401,0.1639,,,,,,,,,
5264,0.2012,,,,,,,,,
5088,0.2725,,,,,,,,,
4977,0.2937,,,,,,,,,
4897,0.2683,,,,,,,,,
4723,0.3748,,,,,,,,,
4588,0.2527,,,,,,,,,
4518,0.2505,,,,,,,,,
4415,0.2515,,,,,,,,,
4366,0.1696,,,,,,,,,
4191,0.354,,,,,,,,,
4114,0.3337,,,,,,,,,
3971,0.4334,,,,,,,,,
3895,0.4268,,,,,,,,,
3803,0.438,,,,,,,,,
3710,0.1806,,,,,,,,,
3617,0.2195,,,,,,,,,
3555,0.2436,,,,,,,,,
3493,0.2047,,,,,,,,,
3344,0.3639,,,,,,,,,
3305,0.3016,,,,,,,,,
3233,0.3606,,,,,,,,,
3141,0.424,,,,,,,,,
3105,0.4255,,,,,,,,,
3004,0.5217,,,,,,,,,
2940,0.5055,,,,,,,,,
2895,0.4762,,,,,,,,,
2793,0.6374,,,,,,,,,
2759,0.6338,,,,,,,,,
2730,0.582,,,,,,,,,
2644,0.6907,,,,,,,,,
2636,0.5872,,,,,,,,,
2569,0.6549,,,,,,,,,
2506,0.641,,,,,,,,,
2420,0.8185,,,,,,,,,
2378,0.7833,,,,,,,,,
2355,0.8785,,,,,,,,,
2309,0.5729,,,,,,,,,
2236,0.7943,,,,,,,,,
2225,0.5999,,,,,,,,,
2196,0.648,,,,,,,,,
2115,0.7859,,,,,,,,,
2071,0.8357,,,,,,,,,
2051,0.8969,,,,,,,,,
2047,0.7187,,,,,,,,,
1972,0.8529,,,,,,,,,
1953,0.9447,,,,,,,,,
1902,1,,,,,,,,,
60566,0.2001,,,,,,,,,
58308,0.2079,,,,,,,,,
56127,0.1982,,,,,,,,,
54303,0.0379,,,,,,,,,
52198,0.2386,,,,,,,,,
50172,0.1546,,,,,,,,,
48252,0.0651,,,,,,,,,
46443,0.2942,,,,,,,,,
44408,0.2272,,,,,,,,,
42658,0.1693,,,,,,,,,
40884,0.1057,,,,,,,,,
39137,0.0758,,,,,,,,,
37371,0.0595,,,,,,,,,
35749,0.0264,,,,,,,,,
34270,0.1721,,,,,,,,,
32717,0.1457,,,,,,,,,
31123,0.1542,,,,,,,,,
29772,0.1126,,,,,,,,,
28577,0.1235,,,,,,,,,
27133,0.1287,,,,,,,,,
26006,0.0967,,,,,,,,,
24697,0.1033,,,,,,,,,
23656,0.1096,,,,,,,,,
22657,0.1226,,,,,,,,,
21658,0.09,,,,,,,,,
20703,0.1893,,,,,,,,,
19753,0.1578,,,,,,,,,
18968,0.1324,,,,,,,,,
18203,0.1798,,,,,,,,,
17477,0.1333,,,,,,,,,
16728,0.2182,,,,,,,,,
15913,0.1979,,,,,,,,,
15393,0.1479,,,,,,,,,
14708,0.1975,,,,,,,,,
14251,0.0711,,,,,,,,,
13621,0.1437,,,,,,,,,
13136,0.1294,,,,,,,,,
12641,0.0787,,,,,,,,,
12376,0.0718,,,,,,,,,
11621,0.1945,,,,,,,,,
11113,0.2158,,,,,,,,,
10678,0.1379,,,,,,,,,
10305,0.1816,,,,,,,,,
9922,0.2679,,,,,,,,,
9604,0.2186,,,,,,,,,
