intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
8240,0.3127,5477,5813,5597,5184,5840,6822,6279,5592,5458,4971
8490,0.3336,5689,5972,5766,5334,6093,7015,6438,5729,5685,5131
8732,0.3977,5750,6157,5936,5487,6200,7207,6596,5864,5784,5227
8979,0.4533,5852,6365,6076,5599,6358,7371,6738,5974,6001,5363
9333,0.3647,6029,6466,6242,5714,6587,7586,6916,6191,6144,5464
9705,0.3376,6217,6650,6378,5834,6769,7767,7130,6262,6335,5667
10047,0.3339,6395,6861,6641,6023,7003,8104,7319,6516,6565,5807
10365,0.3656,6490,7053,6829,6136,7188,8167,7486,6660,6630,5967
10723,0.3745,6648,7297,6946,6290,7351,8356,7653,6854,6896,6140
11145,0.0715,6824,7455,7211,6482,7567,8607,7872,7104,7164,6262
11457,0.0715,6939,7700,7384,6609,7728,8886,8087,7231,7284,6415
11754,0.0715,7162,7963,7604,6783,7973,9043,8336,7427,7510,6556
12188,0.0715,7355,8094,7795,6914,8182,9259,8519,7579,7740,6823
12552,0.0715,7517,8332,8012,7169,8446,9514,8714,7853,7978,6974
13019,0.0715,7781,8612,8329,7337,8772,9863,9042,8166,8298,7204
13557,0.0715,7989,8852,8569,7521,9035,10077,9237,8415,8548,7427
13916,0.0715,8151,9068,8755,7688,9260,10295,9505,8596,8775,7575
14376,0.0715,8345,9314,9012,7928,9534,10582,9685,8894,9060,7789
14859,0.0715,8543,9614,9231,8036,9809,10864,9946,9172,9400,7982
15360,0.0715,8843,9845,9583,8297,10115,11172,10300,9425,9703,8349
15926,0.0715,9005,10164,9837,8530,10455,11488,10571,9773,9997,8519
16525,0.0715,9322,10438,10134,8822,10726,11780,10865,10068,10371,8776
17102,0.0715,9594,10707,10463,9009,11086,12177,11250,10453,10757,9088
17639,0.0715,9852,11164,10752,9293,11454,12573,11570,10784,11154,9354
18374,0.0715,10167,11404,11112,9562,11737,12946,12023,11148,11519,9707
18936,0.0715,10519,11807,11433,9816,12153,13344,12377,11562,11892,10017
19605,0.0715,10850,12222,11801,10210,12616,13683,12717,11941,12329,10281
20333,0.0715,11159,12559,12188,10469,12956,14107,13231,12416,12909,10694
21100,0.0715,11495,12894,12518,10744,13371,14588,13513,12818,13224,11029
21842,0.0715,11889,13288,12985,11122,13840,15083,14052,13221,13709,11451
22651,0.0715,12185,13728,13371,11353,14207,15537,14412,13650,14154,11798
23406,0.0715,12512,14119,13761,11778,14759,15956,14890,14117,14723,12110
24263,0.0715,12962,14553,14297,12201,15243,16590,15421,14682,15301,12660
25174,0.0715,13358,15108,14643,12594,15729,17080,15983,15218,15867,13069
25998,0.0715,13802,15521,15169,13069,16285,17619,16502,15685,16451,13517
26958,0.0715,14241,15956,15723,13429,16882,18191,16989,16313,17030,13982
27954,0.0715,14737,16519,16099,13891,17322,18779,17632,16926,17655,14494
28996,0.0715,15110,16997,16655,14400,17939,19467,18249,17443,18296,14928
30017,0.0715,15622,17596,17249,14812,18617,20134,18787,18073,19027,15500
31219,0.0715,16193,18175,17843,15416,19288,20832,19436,18725,19683,16045
32349,0.0715,16652,18748,18354,16002,19884,21483,20057,19374,20371,16620
33395,0.0715,17197,19336,18953,16619,20500,22247,20743,20086,21169,17199
34536,0.0715,17781,20028,19604,17152,21249,22944,21482,20708,21933,17783
35904,0.0715,18281,20679,20234,17775,21812,23690,22041,21414,22703,18386
36917,0.0715,18851,21299,20911,18368,22528,24425,22851,22200,23543,18926
1540,0.6233,,,,,,,,,,
1573,0.2331,,,,,,,,,,
1584,0.3282,,,,,,,,,,
1625,0.1073,,,,,,,,,,
1626,0.1738,,,,,,,,,,
1630,0.275,,,,,,,,,,
1670,0.106,,,,,,,,,,
1694,0.238,,,,,,,,,,
1709,0.1257,,,,,,,,,,
1736,0.0333,,,,,,,,,,
1753,0.1485,,,,,,,,,,
1786,0.1463,,,,,,,,,,
1771,0.1889,,,,,,,,,,
1847,0.0283,,,,,,,,,,
1864,0.9924,,,,,,,,,,
1887,0.9067,,,,,,,,,,
1902,0.9629,,,,,,,,,,
1946,0.9912,,,,,,,,,,
1985,0.5944,,,,,,,,,,
2015,0.864,,,,,,,,,,
2023,1,,,,,,,,,,
2115,0.7536,,,,,,,,,,
2134,0.754,,,,,,,,,,
2150,0.917,,,,,,,,,,
2226,0.518,,,,,,,,,,
2243,0.6045,,,,,,,,,,
2291,0.4928,,,,,,,,,,
2341,0.6054,,,,,,,,,,
2375,0.5726,,,,,,,,,,
2432,0.5595,,,,,,,,,,
2511,0.4365,,,,,,,,,,
2549,0.4899,,,,,,,,,,
2560,0.5996,,,,,,,,,,
2673,0.4156,,,,,,,,,,
2708,0.268,,,,,,,,,,
2756,0.3237,,,,,,,,,,
2816,0.3356,,,,,,,,,,
2827,0.4148,,,,,,,,,,
3020,0,,,,,,,,,,
3001,0.2795,,,,,,,,,,
3062,0.7828,,,,,,,,,,
3153,0.6075,,,,,,,,,,
3188,0.7257,,,,,,,,,,
3267,0.676,,,,,,,,,,
3353,0.6098,,,,,,,,,,
3385,0.6522,,,,,,,,,,
3491,0.5937,,,,,,,,,,
3589,0.4438,,,,,,,,,,
3657,0.5213,,,,,,,,,,
3739,0.459,,,,,,,,,,
3860,0.3469,,,,,,,,,,
3956,0.3849,,,,,,,,,,
4011,0.4361,,,,,,,,,,
4112,0.2178,,,,,,,,,,
4218,0.2056,,,,,,,,,,
4301,0.6432,,,,,,,,,,
4413,0.6359,,,,,,,,,,
4518,0.6457,,,,,,,,,,
4616,0.6596,,,,,,,,,,
4706,0.6878,,,,,,,,,,
4848,0.5942,,,,,,,,,,
4992,0.5387,,,,,,,,,,
5119,0.4745,,,,,,,,,,
5235,0.4646,,,,,,,,,,
5327,0.5561,,,,,,,,,,
5498,0.4673,,,,,,,,,,
5659,0.434,,,,,,,,,,
5758,0.5363,,,,,,,,,,
5894,0.5611,,,,,,,,,,
6083,0.4874,,,,,,,,,,
6205,0.4411,,,,,,,,,,
6431,0.31,,,,,,,,,,
6542,0.4528,,,,,,,,,,
6721,0.4542,,,,,,,,,,
6947,0.3919,,,,,,,,,,
7067,0.5287,,,,,,,,,,
7342,0.3245,,,,,,,,,,
7508,0.3703,,,,,,,,,,
7716,0.4018,,,,,,,,,,
7929,0.3817,,,,,,,,,,
8116,0.4231,,,,,,,,,,
8417,0.3217,,,,,,,,,,
8576,0.4095,,,,,,,,,,
8870,0.3932,,,,,,,,,,
9124,0.3401,,,,,,,,,,
9336,0.4439,,,,,,,,,,
9645,0.386,,,,,,,,,,
9908,0.3893,,,,,,,,,,
10275,0.3114,,,,,,,,,,
10621,0.2822,,,,,,,,,,
10889,0.3452,,,,,,,,,,
11240,0.3566,,,,,,,,,,
11569,0.3429,,,,,,,,,,
11943,0.3603,,,,,,,,,,
12317,0.3675,,,,,,,,,,
12670,0.4065,,,,,,,,,,
13099,0.3773,,,,,,,,,,
13685,0.224,,,,,,,,,,
14144,0.2317,,,,,,,,,,
14495,0.3346,,,,,,,,,,
14951,0.3708,,,,,,,,,,
15373,0.447,,,,,,,,,,
15896,0.4519,,,,,,,,,,
16499,0.4085,,,,,,,,,,
16999,0.4738,,,,,,,,,,
17628,0.4758,,,,,,,,,,
18278,0.4467,,,,,,,,,,
18844,0.5179,,,,,,,,,,
19474,0.5806,,,,,,,,,,
20188,0.5694,,,,,,,,,,
20967,0.5677,,,,,,,,,,
21576,0.303,,,,,,,,,,
22365,0.3304,,,,,,,,,,
23048,0.4555,,,,,,,,,,
23857,0.5245,,,,,,,,,,
24798,0.33,,,,,,,,,,
25656,0.4261,,,,,,,,,,
26464,0.5717,,,,,,,,,,
27449,0.4055,,,,,,,,,,
28476,0.4901,,,,,,,,,,
29329,0.4872,,,,,,,,,,
30415,0.5802,,,,,,,,,,
31570,0.6795,,,,,,,,,,
32700,0.3807,,,,,,,,,,
33797,0.3342,,,,,,,,,,
34997,0.5185,,,,,,,,,,
36218,0.3638,,,,,,,,,,
37528,0.5362,,,,,,,,,,
1546,0.1823,,,,,,,,,,
1561,0.0997,,,,,,,,,,
1614,0,,,,,,,,,,
1557,0.4951,,,,,,,,,,
1589,0.5479,,,,,,,,,,
1603,0.304,,,,,,,,,,
1633,0.4579,,,,,,,,,,
1685,0.1158,,,,,,,,,,
1626,0.678,,,,,,,,,,
1699,0.029,,,,,,,,,,
1665,0.3598,,,,,,,,,,
1717,0.2636,,,,,,,,,,
1717,0.3052,,,,,,,,,,
1716,0.3951,,,,,,,,,,
1739,0.2488,,,,,,,,,,
1746,0.5529,,,,,,,,,,
1788,0.3459,,,,,,,,,,
1765,0.4751,,,,,,,,,,
1804,0.4788,,,,,,,,,,
1808,0.4101,,,,,,,,,,
1850,0.4842,,,,,,,,,,
1832,0.5499,,,,,,,,,,
1899,0.409,,,,,,,,,,
1889,0.7214,,,,,,,,,,
1930,0.5149,,,,,,,,,,
1961,0.4744,,,,,,,,,,
1963,0.4581,,,,,,,,,,
2008,0.5655,,,,,,,,,,
2042,0.4053,,,,,,,,,,
2104,0.2654,,,,,,,,,,
2068,0.5679,,,,,,,,,,
2086,0.5364,,,,,,,,,,
2084,0.631,,,,,,,,,,
2146,0.7754,,,,,,,,,,
2159,0.6088,,,,,,,,,,
2170,0.6933,,,,,,,,,,
2228,0.591,,,,,,,,,,
2277,0.5969,,,,,,,,,,
2335,0.5063,,,,,,,,,,
2333,0.6814,,,,,,,,,,
2391,0.6027,,,,,,,,,,
2353,0.7836,,,,,,,,,,
2401,0.7638,,,,,,,,,,
2428,0.7964,,,,,,,,,,
2462,0.8681,,,,,,,,,,
2525,0.7292,,,,,,,,,,
2568,0.8118,,,,,,,,,,
2571,0.9437,,,,,,,,,,
2656,0.8849,,,,,,,,,,
2660,0.8737,,,,,,,,,,
2741,0.8719,,,,,,,,,,
2795,0.8172,,,,,,,,,,
2821,0.9467,,,,,,,,,,
2917,0.6874,,,,,,,,,,
2914,1,,,,,,,,,,
3002,0.8262,,,,,,,,,,
3058,0.9345,,,,,,,,,,
3121,0.7766,,,,,,,,,,
3163,0.8354,,,,,,,,,,
3283,0.6979,,,,,,,,,,
3309,0.8048,,,,,,,,,,
3452,0.6973,,,,,,,,,,
3467,0.7915,,,,,,,,,,
3539,0.8444,,,,,,,,,,
3602,0.9168,,,,,,,,,,
3715,0.7876,,,,,,,,,,
3753,0.7974,,,,,,,,,,
3868,0.8497,,,,,,,,,,
3945,0.8833,,,,,,,,,,
4075,0.7609,,,,,,,,,,
4155,0.8219,,,,,,,,,,
4251,0.8078,,,,,,,,,,
4357,0.7845,,,,,,,,,,
4483,0.7465,,,,,,,,,,
4608,0.7664,,,,,,,,,,
4713,0.733,,,,,,,,,,
4876,0.7372,,,,,,,,,,
5034,0.5747,,,,,,,,,,
5156,0.5959,,,,,,,,,,
5285,0.5976,,,,,,,,,,
5429,0.5831,,,,,,,,,,
5637,0.6074,,,,,,,,,,
5782,0.6168,,,,,,,,,,
6003,0.5324,,,,,,,,,,
6223,0.4452,,,,,,,,,,
6381,0.4934,,,,,,,,,,
6634,0.734,,,,,,,,,,
6836,0.7507,,,,,,,,,,
7142,0.5632,,,,,,,,,,
7463,0.3592,,,,,,,,,,
7631,0.5121,,,,,,,,,,
7958,0.3582,,,,,,,,,,
8314,0.4702,,,,,,,,,,
8563,0.4729,,,,,,,,,,
8885,0.3853,,,,,,,,,,
9222,0.8897,,,,,,,,,,
9620,0.7568,,,,,,,,,,
10050,0.6311,,,,,,,,,,
10575,0.361,,,,,,,,,,
10901,0.4049,,,,,,,,,,
11298,0.4967,,,,,,,,,,
11752,0.4395,,,,,,,,,,
12252,0.6498,,,,,,,,,,
12820,0.5109,,,,,,,,,,
13368,0.4069,,,,,,,,,,
13868,0.3529,,,,,,,,,,
14561,0.6538,,,,,,,,,,
15308,0.4581,,,,,,,,,,
15895,0.4386,,,,,,,,,,
16530,0.3819,,,,,,,,,,
17409,0.5133,,,,,,,,,,
18018,0.5446,,,,,,,,,,
18727,0.9369,,,,,,,,,,
19631,0.7479,,,,,,,,,,
20414,0.761,,,,,,,,,,
21266,0.7078,,,,,,,,,,
22200,0.682,,,,,,,,,,
23181,0.5997,,,,,,,,,,
24092,0.6671,,,,,,,,,,
25211,0.5318,,,,,,,,,,
26161,0.6299,,,,,,,,,,
27300,0.6089,,,,,,,,,,
28476,0.6095,,,,,,,,,,
29576,0.7316,,,,,,,,,,
30773,0.7855,,,,,,,,,,
32109,0.8144,,,,,,,,,,
33510,0.8797,,,,,,,,,,
34747,0.5708,,,,,,,,,,
