i690,i750,i800,i850,ia,itest_left,itest_right,itest_ctr,ii690,ii750,ii800,ii850,iia,iitest_left,iitest_right,iitest_ctr
3167,2996,3077,3034,0.8832,3129,4191,3167,10365,16932,16793,11661,0.3656,10914,7631,10365
3120,2947,3002,3002,0.8411,3058,4114,3120,10723,17468,17294,12068,0.3745,11250,7958,10723
3069,2878,2978,2888,0.7581,3011,3971,3069,11145,18216,17989,12565,0.0715,11626,8314,11145
2957,2824,2874,2834,0.9017,2929,3895,2957,11457,18760,18568,12917,0.0715,11911,8563,11457
2940,2807,2841,2799,0.8044,2902,3803,2940,11754,19508,19264,13390,0.0715,12343,8885,11754
2883,2729,2744,2738,0.7865,2868,3710,2883,12188,20097,19947,13881,0.0715,12712,9222,12188
2805,2651,2725,2729,0.7958,2832,3617,2805,12552,20785,20585,14265,0.0715,13115,9620,12552
2825,2624,2660,2671,0.6717,2835,3555,2825,13019,21680,21464,14988,0.0715,13636,10050,13019
2738,2576,2673,2633,0.728,2778,3493,2738,13557,22447,22205,15482,0.0715,14023,10575,13557
2696,2549,2575,2548,0.7529,2695,3344,2696,13916,23158,22886,15903,0.0715,14486,10901,13916
2648,2484,2530,2505,0.6415,2642,3305,2648,14376,23863,23678,16408,0.0715,14892,11298,14376
2614,2474,2494,2468,0.6685,2674,3233,2614,14859,24743,24499,16963,0.0715,15388,11752,14859
2555,2402,2493,2422,0.6626,2617,3141,2555,15360,25671,25319,17657,0.0715,15879,12252,15360
2533,2316,2485,2422,0.6007,2549,3105,2533,15926,26610,26185,18247,0.0715,16441,12820,15926
2491,2311,2364,2363,0.5804,2549,3004,2491,16525,27440,27265,18956,0.0715,17005,13368,16525
2474,2340,2347,2318,0.5792,2518,2940,2474,17102,28446,28199,19684,0.0715,17641,13868,17102
2413,2275,2323,2293,0.5169,2481,2895,2413,17639,29622,29197,20470,0.0715,18251,14561,17639
2411,2244,2283,2271,0.3694,2428,2793,2411,18374,30708,30265,21175,0.0715,18908,15308,18374
2364,2233,2235,2249,0.4867,2416,2759,2364,18936,31805,31352,21957,0.0715,19503,15895,18936
2301,2173,2237,2172,0.5049,2371,2730,2301,19605,32974,32539,22710,0.0715,20084,16530,19605
2294,2138,2211,2178,0.4926,2350,2644,2294,20333,34197,33777,23619,0.0715,20937,17409,20333
2308,2119,2204,2161,0.28,2336,2636,2308,21100,35406,34934,24465,0.0715,21644,18018,21100
2215,2085,2176,2125,0.388,2273,2569,2215,21842,36742,36339,25319,0.0715,22336,18727,21842
2208,2095,2139,2096,0.441,2226,2506,2208,22651,38022,37464,26172,0.0715,23056,19631,22651
2175,2028,2091,2058,0.3791,2227,2420,2175,23406,39412,38860,27242,0.0715,23938,20414,23406
2169,2011,2083,2031,0.2113,2234,2378,2169,24263,40849,40326,28179,0.0715,24702,21266,24263
2135,2013,2024,2002,0.3015,2180,2355,2135,25174,42415,41578,29315,0.0715,25646,22200,25174
2113,1950,2021,1990,0.2331,2144,2309,2113,25998,44027,43101,30414,0.0715,26482,23181,25998
2083,1949,2020,1997,0.2736,2133,2236,2083,26958,45420,44640,31501,0.0715,27455,24092,26958
2064,1888,1967,1925,0.1927,2096,2225,2064,27954,47173,46407,32641,0.0715,28364,25211,27954
2046,1898,1947,1899,0.1583,2096,2196,2046,28996,48940,48037,33807,0.0715,29312,26161,28996
2013,1938,1946,1889,0.1066,2044,2115,2013,30017,50694,49741,35169,0.0715,30379,27300,30017
2006,1880,1924,1855,0.0988,2061,2071,2006,31219,52694,51493,36476,0.0715,31529,28476,31219
1932,1831,1898,1873,0.1476,2004,2051,1932,32349,54291,53382,37800,0.0715,32723,29576,32349
1964,1852,1876,1848,0.0139,2002,2047,1964,33395,56148,55246,39056,0.0715,33796,30773,33395
1922,1791,1856,1785,0.0533,1985,1972,1922,34536,57839,57170,40265,0.0715,34974,32109,34536
1924,1813,1823,1791,0,1976,1953,1924,35904,59755,59045,41712,0.0715,36257,33510,35904
1864,1737,1811,1812,0.1556,1910,1902,1864,36917,61664,60900,42983,0.0715,37576,34747,36917
60084,60776,60080,60604,0.1023,,,,1540,1883,1972,1621,0.6233,,,
57757,58673,57868,58630,0.0788,,,,1573,1950,2015,1614,0.2331,,,
55771,56927,55815,56744,0.0437,,,,1584,2015,2063,1633,0.3282,,,
53691,54925,53778,54867,0.0235,,,,1625,1981,2092,1692,0.1073,,,
51637,52780,51854,52699,0.0113,,,,1626,2030,2125,1671,0.1738,,,
49609,50688,49827,50775,0.0067,,,,1630,2046,2127,1721,0.275,,,
47660,48811,47901,48783,0.0032,,,,1670,2121,2168,1708,0.106,,,
45848,46855,45918,46910,0,,,,1694,2088,2234,1753,0.238,,,
43911,44934,44312,45013,0.0105,,,,1709,2142,2251,1796,0.1257,,,
42163,43247,42503,43312,0.0142,,,,1736,2196,2286,1811,0.0333,,,
40600,41596,40858,41695,0.012,,,,1753,2205,2320,1831,0.1485,,,
38929,39801,39207,39913,0.0259,,,,1786,2224,2378,1817,0.1463,,,
37254,38150,37680,38305,0.0442,,,,1771,2325,2377,1878,0.1889,,,
35812,36631,36127,36755,0.0521,,,,1847,2337,2465,1912,0.0283,,,
34367,35217,34738,35516,0.0627,,,,1864,2407,2472,1929,0.9924,,,
32903,33733,33252,33931,0.083,,,,1887,2445,2548,1968,0.9067,,,
31743,32460,32019,32512,0.0806,,,,1902,2476,2610,2012,0.9629,,,
30418,31156,30729,31368,0.1042,,,,1946,2552,2661,2037,0.9912,,,
29145,29902,29413,30120,0.1182,,,,1985,2614,2661,2046,0.5944,,,
27976,28695,28280,28920,0.1422,,,,2015,2647,2732,2142,0.864,,,
27010,27658,27290,27793,0.1426,,,,2023,2683,2811,2152,1,,,
25830,26381,26015,26522,0.1745,,,,2115,2713,2873,2182,0.7536,,,
24772,25415,24996,25531,0.1954,,,,2134,2828,2912,2222,0.754,,,
23842,24271,23980,24560,0.2102,,,,2150,2899,2942,2283,0.917,,,
22814,23234,23035,23575,0.2339,,,,2226,2936,3070,2305,0.518,,,
21874,22413,22092,22756,0.2597,,,,2243,3010,3088,2358,0.6045,,,
21087,21371,21244,21584,0.2662,,,,2291,3061,3208,2381,0.4928,,,
20171,20550,20326,20733,0.3064,,,,2341,3139,3258,2426,0.6054,,,
19518,19870,19514,20081,0.3036,,,,2375,3246,3342,2511,0.5726,,,
18675,19121,18720,19259,0.3307,,,,2432,3328,3439,2611,0.5595,,,
17818,18192,17953,18429,0.374,,,,2511,3383,3491,2618,0.4365,,,
17131,17475,17248,17703,0.3964,,,,2549,3475,3564,2667,0.4899,,,
16369,16712,16618,17046,0.4362,,,,2560,3530,3654,2713,0.5996,,,
