intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
4670,0.9132,5001,4870,4369,3974,3749,2859,2116,2189,2770
4578,0.8548,4788,4786,4223,3857,3624,2798,2054,2098,2705
4433,0.8623,4679,4643,4144,3732,3505,2691,1975,2081,2604
4308,0.9162,4579,4527,3997,3598,3387,2570,1918,1998,2560
4209,0.8745,4473,4414,3944,3477,3293,2495,1856,1956,2481
4072,0.9805,4356,4323,3813,3375,3144,2454,1780,1875,2462
4021,0.8305,4218,4185,3691,3252,3055,2335,1706,1810,2369
3873,1,4178,4065,3576,3185,3006,2233,1699,1756,2275
3768,0.9212,4035,3983,3494,3083,2872,2213,1638,1731,2252
3687,0.9307,3918,3866,3416,2982,2779,2143,1571,1722,2167
3623,0.8828,3804,3755,3331,2870,2698,2084,1562,1668,2154
3534,0.9255,3772,3666,3232,2826,2616,2032,1505,1645,2096
3460,0.9227,3635,3555,3163,2746,2538,1959,1483,1593,2046
3414,0.7851,3588,3523,3065,2621,2459,1855,1421,1577,1991
3288,0.9254,3520,3433,3010,2649,2396,1855,1371,1542,1943
3273,0.8114,3445,3345,2921,2532,2333,1844,1359,1557,1898
3167,0.8832,3360,3267,2829,2464,2254,1767,1348,1457,1862
3120,0.8411,3299,3199,2772,2396,2174,1737,1288,1473,1848
3069,0.7581,3213,3091,2652,2379,2132,1667,1295,1428,1785
2957,0.9017,3122,3052,2591,2247,2056,1642,1239,1425,1729
2940,0.8044,3051,3010,2536,2198,2004,1565,1210,1390,1717
2883,0.7865,2980,2931,2495,2152,1986,1541,1203,1394,1679
2805,0.7958,2942,2842,2407,2111,1911,1543,1166,1301,1667
2825,0.6717,2876,2802,2388,2067,1863,1493,1149,1313,1615
2738,0.728,2816,2723,2280,2032,1832,1466,1165,1312,1597
2696,0.7529,2743,2652,2278,1957,1782,1411,1135,1286,1562
2648,0.6415,2692,2594,2180,1920,1734,1377,1091,1237,1543
2614,0.6685,2644,2566,2114,1865,1694,1345,1077,1251,1514
2555,0.6626,2584,2501,2079,1819,1628,1344,1038,1260,1519
2533,0.6007,2531,2469,2029,1802,1648,1271,1014,1251,1493
2491,0.5804,2508,2408,2032,1752,1639,1259,1048,1187,1450
2474,0.5792,2442,2331,1951,1771,1520,1273,1046,1210,1427
2413,0.5169,2400,2341,1905,1698,1560,1234,1055,1207,1396
2411,0.3694,2327,2277,1887,1658,1498,1248,995,1177,1391
2364,0.4867,2309,2225,1837,1662,1523,1202,1016,1175,1398
2301,0.5049,2295,2168,1795,1602,1445,1169,985,1163,1366
2294,0.4926,2246,2164,1769,1571,1453,1112,972,1145,1367
2308,0.28,2188,2131,1748,1518,1435,1126,992,1182,1277
2215,0.388,2166,2081,1677,1505,1366,1121,940,1132,1297
2208,0.441,2146,1999,1647,1503,1346,1089,950,1116,1322
2175,0.3791,2131,1973,1581,1467,1321,1105,967,1097,1285
2169,0.2113,2046,1964,1607,1442,1326,1058,936,1105,1248
2135,0.3015,2007,1933,1543,1402,1287,1067,909,1123,1286
2113,0.2331,1953,1898,1543,1401,1237,1064,895,1091,1245
2083,0.2736,1959,1836,1525,1357,1273,1059,903,1057,1225
2064,0.1927,1943,1830,1518,1386,1238,1074,874,1084,1223
2046,0.1583,1889,1802,1475,1348,1238,1045,863,1053,1227
2013,0.1066,1880,1793,1442,1312,1171,1035,847,1070,1195
2006,0.0988,1866,1745,1444,1313,1168,1013,871,1078,1175
1932,0.1476,1822,1743,1391,1252,1180,972,857,1062,1197
1964,0.0139,1814,1723,1391,1250,1172,997,852,1052,1160
1922,0.0533,1743,1683,1400,1239,1143,993,851,1066,1157
1924,0,1737,1682,1349,1260,1115,988,828,1037,1155
1864,0.1556,1702,1641,1338,1188,1097,971,850,1037,1089
60084,0.1023,,,,,,,,,
57757,0.0788,,,,,,,,,
55771,0.0437,,,,,,,,,
53691,0.0235,,,,,,,,,
51637,0.0113,,,,,,,,,
49609,0.0067,,,,,,,,,
47660,0.0032,,,,,,,,,
45848,0,,,,,,,,,
43911,0.0105,,,,,,,,,
42163,0.0142,,,,,,,,,
