intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8
62114,0.2654,52181,49856,63949,63903,61732,55907,55108,51435
59827,0.2654,50563,47954,61783,61557,59049,54089,53191,49914
57844,0.2654,48635,46381,58223,58131,56748,52335,51333,48317
55736,0.2654,47029,44888,56329,56167,54901,50565,49728,46897
53660,0.2654,45141,43201,54370,54196,52729,48739,47900,45250
51755,0.2654,43338,41598,52250,52236,50789,47039,46172,43808
49887,0.2654,41777,40217,50405,50570,48908,45424,44622,42424
48131,0.2654,40117,38850,48488,48585,47091,43806,43001,40783
46295,0.2654,38550,37378,46731,46845,45179,42203,41406,39297
44680,0.2654,37092,36029,44927,45267,43496,40605,40017,37909
43007,0.2654,35653,34763,43371,43736,41779,39308,38647,36696
41319,0.2654,34304,33591,41735,42117,40212,37936,37189,35424
39715,0.2654,33029,32456,40200,40524,38712,36434,35864,34279
38314,0.2654,31688,31302,38791,39222,37336,35195,34658,33019
36967,0.2654,30659,30237,37435,37774,35934,34076,33482,31905
35450,0.2654,29405,29272,36066,36471,34588,32765,32340,30924
34143,0.2654,28400,28272,34868,35271,33288,31852,31185,29873
32981,0.2654,27335,27418,33684,34023,32030,30705,30142,28884
31735,0.2654,26424,26481,32540,32963,30881,29749,29200,27948
30638,0.2654,25393,25620,31392,31726,29880,28740,28164,27056
29632,0.2654,24651,24843,30312,30848,28964,27848,27204,26073
28487,0.2654,23725,24100,29202,29752,27708,26828,26276,25243
27379,0.2654,22925,23281,28226,28659,26709,26032,25375,24361
26454,0.2654,22188,22445,27245,27756,25861,25182,24602,23514
25477,0.2654,21319,21761,26275,26861,24907,24390,23695,22647
24609,0.2654,20658,21008,25370,25934,24059,23589,22903,21935
23740,0.2654,19813,20287,24489,24982,23197,22775,22117,21172
22822,0.2654,19226,19639,23577,24152,22318,22061,21374,20460
22083,0.4807,18600,19044,22840,23518,21653,21367,20755,19829
21247,0.4905,17967,18515,22028,22705,20923,20667,20059,19225
20479,0.5008,17366,17720,21281,21757,20047,19933,19364,18391
19755,0.4572,16663,17164,20486,21149,19500,19216,18681,17816
19075,0.4351,16180,16585,19667,20335,18802,18632,18024,17174
18361,0.4492,15506,15959,19059,19640,18130,17948,17522,16627
17791,0.3957,15072,15508,18558,19153,17629,17590,16879,16097
17076,0.4381,14530,15039,17826,18445,16944,16917,16327,15543
16594,0.3612,14095,14452,17312,17871,16453,16385,15904,15089
15949,0.3969,13577,13968,16671,17334,15921,15820,15345,14540
15730,0.2221,13446,13887,16575,17165,15823,15808,15202,14428
14815,0.4207,12658,13104,15556,16130,14912,14829,14354,13710
14316,0.4025,12213,12663,15082,15724,14391,14272,13939,13196
13756,0.4416,11845,12227,14560,15183,14041,13934,13481,12774
13234,0.472,11461,11838,14149,14707,13575,13493,13049,12405
12847,0.4428,11150,11491,13704,14265,13252,13074,12630,11938
12400,0.4556,10773,11128,13273,13822,12891,12685,12227,11629
11982,0.4268,10458,10854,12908,13478,12504,12357,11828,11308
11561,0.444,10145,10455,12596,13023,12157,11947,11491,10893
11115,0.5083,9793,10178,12129,12655,11771,11597,11079,10650
10825,0.4665,9547,9889,11812,12328,11497,11309,10863,10303
10443,0.4611,9294,9651,11449,11933,11224,10993,10448,10059
10178,0.4066,9028,9356,11207,11651,10929,10680,10200,9765
9780,0.4817,8790,9084,10872,11274,10676,10427,9934,9452
9448,0.501,8564,8821,10629,10974,10357,10144,9606,9222
9153,0.5124,8365,8668,10278,10618,10027,9858,9371,8989
8891,0.4762,8134,8381,10048,10390,9772,9652,9127,8671
8503,0.5691,7918,8133,9718,10161,9533,9367,8846,8454
8299,0.4988,7675,7935,9525,9785,9295,9110,8555,8213
8025,0.5476,7531,7776,9239,9579,9050,8858,8351,7950
7765,0.5595,7277,7507,9056,9209,8816,8657,8103,7754
7517,0.5498,7158,7318,8789,9026,8580,8472,7864,7613
7276,0.5866,6912,7177,8554,8757,8368,8240,7740,7348
7054,0.5755,6775,6967,8360,8539,8116,7942,7447,7117
6876,0.5767,6575,6831,8195,8368,7923,7802,7349,6934
6643,0.5667,6485,6674,7983,8090,7750,7588,7164,6826
6415,0.64,6324,6437,7729,7867,7461,7368,6932,6615
6218,0.6125,6064,6331,7499,7668,7258,7212,6761,6463
5942,0.7416,6004,6152,7331,7448,7071,7049,6610,6250
5837,0.673,5879,6059,7188,7275,6869,6887,6422,6110
5589,0.7955,5703,5860,7008,7113,6702,6699,6300,5907
5450,0.7686,5582,5743,6807,6908,6568,6580,6098,5771
5326,0.7487,5443,5636,6652,6764,6376,6361,5936,5645
5153,0.759,5300,5464,6515,6536,6218,6258,5832,5491
4956,0.8547,5161,5346,6288,6395,6086,6097,5622,5355
4828,0.8183,5069,5231,6179,6193,5950,5932,5520,5210
4670,0.9132,4914,5111,6042,6086,5774,5742,5384,5077
4578,0.8548,4815,4997,5906,5960,5700,5604,5256,5008
4433,0.8623,4711,4880,5738,5794,5536,5544,5121,4887
4308,0.9162,4599,4819,5576,5618,5361,5399,4979,4764
4209,0.8745,4452,4698,5501,5522,5259,5267,4897,4657
4072,0.9805,4425,4579,5335,5322,5143,5140,4729,4534
4021,0.8305,4323,4459,5297,5207,5037,5010,4683,4459
3873,1,4215,4414,5115,5128,4861,4920,4573,4355
3768,0.9212,4147,4350,5021,4967,4788,4751,4432,4230
3687,0.9307,4046,4267,4864,4841,4702,4652,4316,4144
3623,0.8828,3971,4146,4810,4761,4588,4552,4264,4065
3534,0.9255,3884,4066,4699,4690,4483,4439,4162,3962
