AC,TSI,PI,,,
1.3945747,92.49385376,1.8,,,
1.4660232,92.32929383,1.9,,,
1.5551085,92.2348236,1.9,,,
1.6123624,92.13253631,2,,,
1.6025114,92.1284256,2,,,
1.634343,92.32173159,2,,,
1.6661744,92.29711457,2,,,
1.5015102,92.0779709,2.1,,,
1.8377218,91.99938203,2.1,,,
1.7946629,91.88822632,2.1,,,
1.8285594,91.59172059,2.1,,,
1.8455076,91.6448784,1.9,,,
1.747948,91.66458055,1.8,,,
1.6808436,91.62225265,2,,,
1.7486368,91.72935029,2,,,
1.7225256,91.81025772,2,,,
1.7380972,91.77724991,2,,,
1.745883,91.84310148,2,,,
1.6519794,91.99843598,2,,,
1.7685523,92.09225081,2,,,
1.83428,91.95395814,2,,,
1.6780901,92.03273468,2,,,
1.8143645,92.10322418,2,,,
1.7916956,92.09629364,1.9,,,
1.7252793,92.05672837,1.9,,,
1.8079553,92.11012497,1.9,,,
1.8015461,92.17393798,2,,,
1.6785646,92.21264878,2,,,
1.6636815,92.32649077,2,,,
1.639636,92.39651184,2.1,,,
1.418406,92.42207109,2.1,,,
1.5109334,92.43802641,2.1,,,
1.3547435,92.47154694,2.1,,,
1.3462696,92.46965789,2.1,,,
1.2883272,92.42572402,2.1,,,
1.1477089,92.41619264,2.1,,,
0.9491486,92.42716902,1.9,,,
1.0430522,92.43854447,1.8,,,
0.9844217,92.59547349,1.8,,,
0.8827324,92.67042769,1.7,,,
0.9809799,92.67568357,1.7,,,
0.8983035,92.66837463,1.7,,,
0.9067779,92.74227676,1.5,,,
0.9569345,92.84165802,1.5,,,
0.8820438,92.91591339,1.5,,,
0.76616,93.00563431,1.5,,,
0.8621283,93.0067375,1.4,,,
0.9787007,93.02560043,1.3,,,
1.046494,93.009169,1.3,,,
0.9193817,93.07016831,1.3,,,
0.9271684,93.1216713,1.3,,,
0.9468693,93.12606203,1.3,,,
1.0196948,93.19086991,1.3,,,
1.0437402,93.2208252,1.3,,,
0.9688501,93.27425079,1.3,,,
0.9193821,93.26930466,1.4,,,
0.9752598,93.2146141,1.4,,,
1.0162535,93.18090439,1.4,,,
0.9251022,93.15342179,1.4,,,
0.8424273,93.17794877,1.5,,,
0.8085299,93.23282319,1.5,,,
0.6516513,93.3101036,1.5,,,
0.7208224,93.3762268,1.5,,,
0.5300474,93.41619186,1.5,,,
0.3399601,93.43140182,1.5,,,
0.4253902,93.39723892,1.4,,,
0.4260788,93.420018,1.3,,,
0.3271418,93.49653169,1.3,,,
0.2600374,93.51521377,1.2,,,
0.2353039,93.54346619,1.3,,,
0.2197323,93.55936128,1.3,,,
0.1993427,93.65036162,1.1,,,
0.0319252,93.71209716,1.1,,,
0.1203223,93.77875213,1.1,,,
0.161315,93.86745985,1,,,
0.128108,93.97747955,1,,,
0.0864257,94.04075013,1,,,
0.0772629,94.14936828,0.99,,,
0.1111593,94.23039552,0.99,,,
0.1141262,94.26140825,0.99,,,
0.1388607,94.33173903,0.99,,,
0.1310749,94.37970122,0.97,,,
0.1571855,94.4016365,0.94,,,
0.225667,94.46288222,0.96,,,
0.2185698,94.53669815,0.94,,,
0.2758236,94.53382569,0.92,,,
0.3310117,94.55012589,0.92,,,
0.4052143,94.58017045,0.91,,,
0.3763504,94.61243135,0.91,,,
0.4258175,94.66406021,0.91,,,
0.4329147,94.69804382,0.9,,,
0.3142776,94.7542694,0.95,,,
0.3383236,94.79045943,0.97,,,
0.4280968,94.81968462,0.95,,,
0.4704675,94.8441925,0.55,,,
0.4182463,94.84866257,0.46,,,
0.3490762,94.86612473,0.35,,,
0.307394,94.87817232,0.35,,,
0.3490763,94.86621476,0.29,,,
0.4219017,94.84647064,0.26,,,
0.5856638,94.77724686,0.25,,,
0.5694036,94.74620515,0.25,,,
0.5531435,94.76858291,0.31,,,
0.4663372,94.80461197,0.35,,,
0.4564867,94.8360939,0.37,,,
0.5002336,94.9295479,0.37,,,
0.474123,94.96699677,0.34,,,
0.5531435,94.99051743,0.35,,,
0.469779,95.02976074,0.35,,,
0.2961664,95.07519913,0.32,,,
0.3348818,95.0954422,0.3,,,
0.3694658,95.1639824,0.29,,,
0.2572374,95.12060699,0.28,,,
0.2911348,95.0707123,0.29,,,
0.2345685,95.10200958,0.29,,,
0.2423544,95.13311997,0.29,,,
0.214179,95.06708069,0.32,,,
0.212802,95.00799485,0.31,,,
0.2192116,95.10832138,0.31,,,
0.212802,95.13739855,0.3,,,
0.1514178,95.1279068,0.3,,,
0.1521063,95.20018615,0.3,,,
0.1033268,95.24554977,0.3,,,
0.1598921,95.26051102,0.3,,,
0.159892,95.31929551,0.26,,,
0.209361,95.35493011,0.23,,,
0.2629585,95.34256819,0.14,,,
0.2565489,95.35948507,0.07,,,
0.2961664,,,,,
0.2778416,,,,,
0.4961043,,,,,
0.5977936,,,,,
0.6401634,,,,,
0.582222,,,,,
0.6401634,,,,,
0.556799,,,,,
0.5137405,,,,,
0.513052,,,,,
0.4967918,,,,,
0.4706812,,,,,
0.3195238,,,,,
0.2001972,,,,,
0.198821,,,,,
0.1140795,,,,,
0.1211777,,,,,
0.1062937,,,,,
0.0611696,,,,,
0.1191129,,,,,
0.1523199,,,,,
0.1353721,,,,,
0.1262102,,,,,
0.1225538,,,,,
0.138814,,,,,
0.1204881,,,,,
0.1204891,,,,,
0.0971317,,,,,
0.1218653,,,,,
0.188282,,,,,
0.2327175,,,,,
0.2666139,,,,,
0.2411918,,,,,
0.2432566,,,,,
0.233406,,,,,
0.2256203,,,,,
0.1381254,,,,,
0.0597934,,,,,
0.0329943,,,,,
0.0146694,,,,,
0.0224552,,,,,
0.019227,,,,,
0.0574675,,,,,
0.1515846,,,,,
0.200365,,,,,
0.1932678,,,,,
0.2159367,,,,,
0.3036451,,,,,
0.3588342,,,,,
0.375782,,,,,
0.2894497,,,,,
0.2555542,,,,,
0.2321959,,,,,
0.2782221,,,,,
0.2541771,,,,,
0.1522742,,,,,
0.1367026,,,,,
0.1444883,,,,,
0.1600589,,,,,
0.1529618,,,,,
0.1678448,,,,,
0.1515847,,,,,
0.1360139,,,,,
0.1431112,,,,,
0.1657801,,,,,
0.1437998,,,,,
0.1671562,,,,,
0.2358522,,,,,
0.2202807,,,,,
0.2209682,,,,,
0.2294426,,,,,
0.2379169,,,,,
0.1996774,,,,,
0.136014,,,,,
0.174943,,,,,
0.1989879,,,,,
0.1444883,,,,,
0.1367025,,,,,
0.1678448,,,,,
0.1841059,,,,,
0.1912031,,,,,
0.1763191,,,,,
0.1996765,,,,,
0.2003651,,,,,
0.1437998,,,,,
0.1133452,,,,,
0.0723505,,,,,
0.1579943,,,,,
0.0963964,,,,,
0.0957079,,,,,
0.0872335,,,,,
0.0851688,,,,,
0.0215063,,,,,
0.0824156,,,,,
0.0753183,,,,,
0.0837927,,,,,
0.116312,,,,,
0.1204424,,,,,
0.12113,,,,,
0.1218186,,,,,
