intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
10365,0.3656,11369,12549,10334,8042,7859,8800,10309,8122,7251
10723,0.3745,11628,12867,10606,8225,7976,9016,10480,8294,7332
11145,0.0715,11948,13146,10911,8469,8237,9226,10752,8425,7514
11457,0.0715,12171,13345,11181,8562,8376,9363,10882,8564,7643
11754,0.0715,12468,13616,11554,8825,8640,9566,11051,8675,7780
12188,0.0715,12863,13925,11823,9032,8880,9736,11267,8982,7897
12552,0.0715,13206,14143,12285,9229,9117,9929,11539,9098,8046
13019,0.0715,13698,14616,12653,9521,9481,10213,11803,9386,8283
13557,0.0715,14058,14940,13066,9855,9731,10473,12112,9671,8447
13916,0.0715,14342,15164,13381,10060,9987,10584,12285,9773,8586
14376,0.0715,14729,15503,13776,10314,10182,10860,12536,9962,8782
14859,0.0715,15169,15940,14282,10523,10494,11123,12841,10283,8959
15360,0.0715,15632,16299,14726,10884,10965,11480,13274,10542,9090
15926,0.0715,16052,16811,15247,11197,11265,11762,13566,10884,9364
16525,0.0715,16500,17231,15727,11509,11636,12057,13812,11147,9613
17102,0.0715,17137,17649,16276,11947,12053,12456,14212,11532,9889
17639,0.0715,17633,18137,16879,12337,12515,12851,14654,11858,10180
18374,0.0715,18346,18778,17578,12800,13044,13241,15137,12254,10498
18936,0.0715,18899,19152,18169,13238,13427,13633,15540,12615,10730
19605,0.0715,19453,19855,18832,13615,13987,14085,16034,12938,11112
20333,0.0715,20150,20400,19569,14178,14525,14673,16593,13424,11438
21100,0.0715,20766,21109,20183,14648,15125,15061,17026,13818,11665
21842,0.0715,21437,21697,20902,15184,15668,15551,17605,14212,12091
22651,0.0715,22131,22257,21695,15719,16210,16065,18143,14741,12401
23406,0.0715,22895,23021,22510,16284,16976,16681,18756,15165,12786
24263,0.0715,23687,23878,23476,16982,17511,17261,19404,15819,13152
25174,0.0715,24639,24624,24360,17648,18322,17945,20134,16396,13667
25998,0.0715,25359,25494,25222,18375,19051,18646,20943,16970,14117
26958,0.0715,26303,26349,26148,19121,19812,19316,21701,17685,14471
27954,0.0715,27184,27304,27196,19987,20629,20024,22613,18394,15091
28996,0.0715,28187,28253,28188,20711,21523,20875,23534,18993,15529
30017,0.0715,29309,29306,29342,21609,22361,21707,24565,19842,16148
31219,0.0715,30371,30495,30665,22615,23422,22650,25704,20649,16773
32349,0.0715,31450,31476,31736,23593,24352,23454,26706,21449,17346
33395,0.0715,32549,32619,32743,24600,25220,24565,27800,22245,17950
34536,0.0715,33669,33900,34042,25610,26187,25421,28908,23044,18602
35904,0.0715,34929,35121,35317,26678,27259,26549,30032,24016,19348
36917,0.0715,36235,36473,36702,27826,28388,27633,31276,25020,20118
1540,0.6233,,,,,,,,,
1573,0.2331,,,,,,,,,
1584,0.3282,,,,,,,,,
1625,0.1073,,,,,,,,,
1626,0.1738,,,,,,,,,
1630,0.275,,,,,,,,,
1670,0.106,,,,,,,,,
1694,0.238,,,,,,,,,
1709,0.1257,,,,,,,,,
1736,0.0333,,,,,,,,,
1753,0.1485,,,,,,,,,
1786,0.1463,,,,,,,,,
1771,0.1889,,,,,,,,,
1847,0.0283,,,,,,,,,
1864,0.9924,,,,,,,,,
1887,0.9067,,,,,,,,,
1902,0.9629,,,,,,,,,
1946,0.9912,,,,,,,,,
1985,0.5944,,,,,,,,,
2015,0.864,,,,,,,,,
2023,1,,,,,,,,,
2115,0.7536,,,,,,,,,
2134,0.754,,,,,,,,,
2150,0.917,,,,,,,,,
2226,0.518,,,,,,,,,
2243,0.6045,,,,,,,,,
2291,0.4928,,,,,,,,,
2341,0.6054,,,,,,,,,
2375,0.5726,,,,,,,,,
2432,0.5595,,,,,,,,,
2511,0.4365,,,,,,,,,
2549,0.4899,,,,,,,,,
2560,0.5996,,,,,,,,,
2673,0.4156,,,,,,,,,
2708,0.268,,,,,,,,,
2756,0.3237,,,,,,,,,
2816,0.3356,,,,,,,,,
2827,0.4148,,,,,,,,,
3020,0,,,,,,,,,
3001,0.2795,,,,,,,,,
3062,0.7828,,,,,,,,,
3153,0.6075,,,,,,,,,
3188,0.7257,,,,,,,,,
3267,0.676,,,,,,,,,
3353,0.6098,,,,,,,,,
3385,0.6522,,,,,,,,,
3491,0.5937,,,,,,,,,
3589,0.4438,,,,,,,,,
3657,0.5213,,,,,,,,,
3739,0.459,,,,,,,,,
3860,0.3469,,,,,,,,,
3956,0.3849,,,,,,,,,
4011,0.4361,,,,,,,,,
4112,0.2178,,,,,,,,,
4218,0.2056,,,,,,,,,
4301,0.6432,,,,,,,,,
4413,0.6359,,,,,,,,,
4518,0.6457,,,,,,,,,
4616,0.6596,,,,,,,,,
4706,0.6878,,,,,,,,,
4848,0.5942,,,,,,,,,
4992,0.5387,,,,,,,,,
5119,0.4745,,,,,,,,,
5235,0.4646,,,,,,,,,
5327,0.5561,,,,,,,,,
5498,0.4673,,,,,,,,,
5659,0.434,,,,,,,,,
5758,0.5363,,,,,,,,,
5894,0.5611,,,,,,,,,
6083,0.4874,,,,,,,,,
6205,0.4411,,,,,,,,,
6431,0.31,,,,,,,,,
6542,0.4528,,,,,,,,,
6721,0.4542,,,,,,,,,
6947,0.3919,,,,,,,,,
7067,0.5287,,,,,,,,,
7342,0.3245,,,,,,,,,
7508,0.3703,,,,,,,,,
7716,0.4018,,,,,,,,,
7929,0.3817,,,,,,,,,
8116,0.4231,,,,,,,,,
8417,0.3217,,,,,,,,,
8576,0.4095,,,,,,,,,
8870,0.3932,,,,,,,,,
9124,0.3401,,,,,,,,,
9336,0.4439,,,,,,,,,
9645,0.386,,,,,,,,,
9908,0.3893,,,,,,,,,
10275,0.3114,,,,,,,,,
10621,0.2822,,,,,,,,,
10889,0.3452,,,,,,,,,
11240,0.3566,,,,,,,,,
11569,0.3429,,,,,,,,,
11943,0.3603,,,,,,,,,
12317,0.3675,,,,,,,,,
12670,0.4065,,,,,,,,,
13099,0.3773,,,,,,,,,
13685,0.224,,,,,,,,,
14144,0.2317,,,,,,,,,
14495,0.3346,,,,,,,,,
14951,0.3708,,,,,,,,,
15373,0.447,,,,,,,,,
15896,0.4519,,,,,,,,,
16499,0.4085,,,,,,,,,
16999,0.4738,,,,,,,,,
17628,0.4758,,,,,,,,,
18278,0.4467,,,,,,,,,
18844,0.5179,,,,,,,,,
19474,0.5806,,,,,,,,,
20188,0.5694,,,,,,,,,
20967,0.5677,,,,,,,,,
21576,0.303,,,,,,,,,
22365,0.3304,,,,,,,,,
