AC,TSI,O2HB,HHB,THb,HB_diff,PI,,,
0.417511,94.28446121,1.15818508,-1.4587734,-0.30068829,2.61695845,1.2,,,
0.4302221,94.27474289,1.17030284,-1.4247863,-0.25458345,2.59508909,1.2,,,
0.4585049,94.26000214,1.19767397,-1.38085283,-0.18327887,2.5785268,1.2,,,
0.397014,94.30974732,1.19234023,-1.35009362,-0.15785342,2.54243387,1.3,,,
0.4415566,94.31663362,1.27158396,-1.30820308,-0.03671912,2.57978703,1.3,,,
0.4125855,94.35363846,1.24618765,-1.28400472,-0.03791709,2.53019232,1.3,,,
0.4154459,94.36120376,1.27039705,-1.25680605,0.01349098,2.52720309,1.3,,,
0.4317058,94.38899995,1.25984114,-1.23271275,0.02702839,2.49255391,1.3,,,
0.4649139,94.39405213,1.20583934,-1.22227622,-0.01653691,2.4281156,1.3,,,
0.54014845,94.3555504,1.23478903,-1.20013826,0.03455076,2.43492727,1.3,,,
0.5970582,94.36289444,1.27752519,-1.18368363,0.0937416,2.46120884,1.3,,,
0.5592687,94.40285951,1.28824481,-1.1636509,0.12449392,2.45189575,1.3,,,
0.5221678,94.39997406,1.29523066,-1.15420463,0.140926,2.44943522,1.3,,,
0.4956058,94.41112365,1.30906458,-1.13866253,0.17030203,2.4477271,1.3,,,
0.4449984,94.34410248,1.35681636,-1.12056766,0.23614872,2.47738405,1.2,,,
0.55619455,94.38171465,1.35333652,-1.10490305,0.24833349,2.45823954,1.2,,,
0.6786184,94.38312683,1.36201716,-1.09435161,0.26756553,2.45636873,1.2,,,
0.8191296,94.37044983,1.39025708,-1.06941577,0.32074132,2.45967282,1.2,,,
1.0097973,94.32794495,1.45942208,-1.052031,0.40729109,2.51145312,1.3,,,
1.07472995,94.4187111,1.45559805,-1.04474253,0.41075553,2.50034062,1.3,,,
1.1149286,94.47614821,1.43883495,-1.03121816,0.40751679,2.47005309,1.4,,,
1.1205424,94.47390977,1.51477924,-1.00941283,0.50526644,2.52419205,1.4,,,
0.9743101,94.4855034,1.55263745,-0.99124791,0.56128953,2.54388538,1.4,,,
1.43029895,94.49445112,1.57382276,-0.97743356,0.59628918,2.55125637,1.4,,,
1.5551085,94.52374419,1.56173112,-0.97064512,0.59098596,2.53237623,1.4,,,
1.6074369,94.48381195,1.60639003,-0.9676098,0.63868018,2.57399976,1.4,,,
1.634343,94.50053939,1.62736881,-0.95882116,0.66844763,2.58618995,1.4,,,
1.5838423,94.57310866,1.62283499,-0.94873475,0.67400023,2.57156974,1.4,,,
1.8377218,94.58677748,1.62198759,-0.94928733,0.67260024,2.57127494,1.4,,,
1.81161115,94.62489167,1.67244069,-0.94573446,0.72660624,2.61817516,1.4,,,
1.8455076,94.69373245,1.72882569,-0.93831355,0.79041214,2.66713924,1.4,,,
1.7143958,94.73566362,1.77552357,-0.92579695,0.84962665,2.70132051,1.4,,,
1.7486368,94.74965744,1.83380987,-0.91224521,0.92146471,2.74605512,1.3,,,
1.7303114,94.84512099,1.89280599,-0.90149136,0.99121463,2.79429734,1.3,,,
1.745883,94.88507462,1.95867161,-0.90419185,1.05437971,2.86286343,1.3,,,
1.71026585,94.96567004,1.94715197,-0.90355174,1.04350024,2.8507037,1.3,,,
1.83428,94.98471526,1.94799941,-0.90299918,1.04490021,2.85099853,1.3,,,
1.7462273,95.01865157,1.93080187,-0.879976,1.05072586,2.81077783,1.3,,,
1.7916956,95.04612656,1.93572727,-0.86046087,1.07516645,2.79618812,1.3,,,
1.7666173,95.0358612,2.01946201,-0.78955634,1.22980572,2.80901836,1.4,,,
1.8015461,95.06013566,2.10042666,-0.70578508,1.39454159,2.80621174,1.4,,,
1.67112305,95.11408463,2.22454048,-0.59550779,1.62893272,2.82004828,1.4,,,
1.639636,95.15951308,2.34540236,-0.48409032,1.86121199,2.82949262,1.4,,,
1.4646697,95.19933395,2.4796376,-0.38840754,2.09113006,2.86804516,1.3,,,
1.3547435,95.26243286,2.61907368,-0.26650871,2.35246497,2.88558239,1.3,,,
1.3172984,95.32964859,2.70906313,-0.16380988,2.54515324,2.87287301,1.2,,,
1.1477089,95.37092668,2.80214548,-0.0460515,2.75599396,2.84819696,1.2,,,
0.9961004,95.40989532,2.91167283,0.0905819,3.00215474,2.82109091,1.2,,,
0.9844217,95.46112441,3.01767288,0.22165458,3.23922743,2.79601831,1.2,,,
0.93185615,95.43859099,3.21670315,0.38893448,3.6055376,2.82776868,1.2,,,
0.8983035,95.43516999,3.43906934,0.54208494,3.98105431,2.89698444,1.2,,,
0.9318562,95.48281404,3.62052715,0.6229106,4.24333782,2.99761661,1.2,,,
0.8820438,95.51041641,3.79756277,0.67639753,4.47386044,3.12116531,1.2,,,
0.81414415,95.4310112,4.04261939,0.7595659,4.80208525,3.28305348,1.1,,,
0.9787007,95.42475356,4.20321469,0.85450351,5.05761819,3.34871119,1.1,,,
0.98293785,95.38623733,4.33213763,0.96139532,5.29343296,3.37074233,1.1,,,
0.9271684,95.2663269,4.4854291,1.07928612,5.56461507,3.40614286,1.1,,,
0.98328205,95.12063065,4.67898311,1.21364906,5.8925322,3.46533414,1.1,,,
1.0437402,95.02067948,4.78887609,1.33910844,6.12788454,3.44976765,1.1,,,
0.9688501,94.91489181,4.93928108,1.44696536,6.38614636,3.49231578,1.1,,,
0.94732095,94.64274445,5.2087749,1.54280787,6.75148276,3.66596703,1.1,,,
1.0162535,94.55706634,5.36838512,1.6338425,7.00212758,3.73454267,1.1,,,
0.88376475,94.46566774,5.49096313,1.7268149,7.21767807,3.76414827,1.1,,,
0.8085299,94.14032058,5.67636141,1.82325269,7.49951405,3.85310871,1.1,,,
0.68623685,94.1141594,5.87568375,1.91735762,7.79294133,3.95832603,1.1,,,
0.5300474,94.0196869,6.07688598,2.03714358,8.1139297,4.03974239,1.1,,,
0.38267515,93.68963166,6.33452072,2.18557582,8.51999665,4.1489449,1.1,,,
0.4260788,93.62483139,6.57809352,2.33299044,8.91098384,4.24510317,1.2,,,
0.2935896,93.64492493,6.68917795,2.46737851,9.15645676,4.22179952,1.3,,,
0.2353039,93.37048875,6.8779706,2.62635235,9.50422298,4.25161824,1.3,,,
0.2095375,93.02671051,7.14002744,2.80212326,9.94205082,4.33790422,1.4,,,
0.0319252,93.07862626,7.22644682,2.93836171,10.16470842,4.28808509,1.5,,,
0.14081865,93.0209671,7.33251578,3.07110957,10.40352536,4.26140603,1.5,,,
0.128108,92.88675462,7.51381921,3.22846064,10.74217959,4.28535848,1.5,,,
0.0818443,92.91441497,7.54710545,3.35613801,10.90314341,4.19096743,1.5,,,
0.1111593,92.78686218,7.61898109,3.47963222,11.09851342,4.13934883,1.6,,,
0.12649345,92.59751433,7.75571594,3.61607306,11.37168884,4.13964286,1.6,,,
0.1310749,92.70725096,7.74159455,3.73403166,11.47552643,4.00756284,1.7,,,
0.19142625,92.70348894,7.75376443,3.84956987,11.60323449,3.90419451,1.7,,,
0.2185698,92.49385376,7.88603424,3.99777234,11.88370667,3.88826193,1.8,,,
0.30341765,92.32929383,8.03046456,4.14086157,12.17122622,3.88960302,1.9,,,
0.4052143,92.2348236,8.13037367,4.28426595,12.41453962,3.84610777,1.9,,,
0.40108395,92.13253631,8.23092364,4.42319718,12.65402069,3.80772648,2,,,
0.4329147,92.1284256,8.30060129,4.5534098,12.8539111,3.74719146,2,,,
0.3263006,92.32173159,8.28712101,4.66689535,12.95391637,3.62022556,2,,,
0.4280968,92.29711457,8.31044482,4.79296736,13.103312,3.51747729,2,,,
0.4443569,92.0779709,8.42519427,4.93626676,13.36136112,3.48892749,2.1,,,
0.3490762,91.99938203,8.54070083,5.09799362,13.63859434,3.44270733,2.1,,,
0.32823515,91.88822632,8.65183297,5.25360709,13.90534009,3.39822581,2.1,,,
0.4219017,91.59172059,8.85143526,5.41473871,14.26607389,3.43669661,2.1,,,
0.5775337,91.6448784,8.92448112,5.56671177,14.49109286,3.35776942,1.9,,,
0.5531435,91.66458055,9.00547171,5.69125857,14.69663046,3.3142133,1.8,,,
0.46141195,91.62225265,9.07881441,5.83038238,14.90909671,3.24843202,2,,,
0.5002336,91.72935029,9.12233849,5.9663659,15.08860417,3.15597268,2,,,
0.51363325,91.81025772,9.13315763,6.08917504,15.22223265,3.04398261,2,,,
0.469779,91.77724991,9.17265119,6.22742134,15.39997255,2.94522991,2,,,
0.3155241,91.84310148,9.19787646,6.35962433,15.55740089,2.83825214,2,,,
0.3694658,91.99843598,9.19348974,6.49371266,15.68710251,2.69977711,2,,,
0.2741861,92.09225081,9.17469702,6.61840715,15.79300421,2.55628977,2,,,
0.2345685,91.95395814,9.2324895,6.76043401,15.99282323,2.47205545,2,,,
0.2282667,92.03273468,9.21014786,6.8991178,16.10916558,2.31103005,2,,,
0.212802,92.10322418,9.18004198,7.02947817,16.20942002,2.15056382,2,,,
0.2160068,92.09629364,9.19835024,7.1539101,16.35216064,2.04444015,1.9,,,
0.1514178,92.05672837,9.23161507,7.30113764,16.53265267,1.93047756,1.9,,,
0.12771655,92.11012497,9.21740379,7.43697117,16.65427494,1.78043248,1.9,,,
0.1598921,92.17393798,9.21132212,7.56995437,16.78117677,1.64136774,2,,,
0.1846265,92.21264878,9.22502766,7.70279736,16.92772503,1.52223027,2,,,
0.2629585,92.32649077,9.20779218,7.82524662,17.03293877,1.38254542,2,,,
0.27635765,92.39651184,9.1858161,7.95275656,17.13847274,1.23305956,2.1,,,
0.2778416,92.42207109,9.19026899,8.08119659,17.27136535,1.10907248,2.1,,,
0.54694895,92.43802641,9.21661711,8.22065304,17.43717022,0.99596399,2.1,,,
0.6401634,92.47154694,9.21958171,8.35301361,17.57249527,0.86656803,2.1,,,
0.6111927,92.46965789,9.26564799,8.49065475,17.75620287,0.7749932,2.1,,,
0.556799,92.42572402,9.33015098,8.6354269,17.96547737,0.69472398,2.1,,,
