intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
62114,0.2654,62595,62724,62125,61538,61127,63281,64196,63446,61316,60649
59827,0.2654,60070,60172,59772,59490,59112,60245,61833,60366,59359,58529
57844,0.2654,58206,58337,57806,57629,57349,58250,58706,58374,57259,56688
55736,0.2654,56545,56387,55976,55862,55621,56461,56842,56647,55531,54765
53660,0.2654,54550,54556,54115,54047,53740,54387,54745,54629,53700,52966
51755,0.2654,52696,52693,52450,52188,51857,52516,52793,52833,51954,51198
49887,0.2654,51082,50991,50694,50589,50433,50768,51073,51188,50407,49323
48131,0.2654,49397,49322,49162,48955,48786,49306,49368,49551,48569,47615
46295,0.2654,47802,47635,47503,47236,47164,47587,47613,47772,46942,45922
44680,0.2654,46190,45999,45873,45786,45677,45920,45798,46246,45212,44350
43007,0.2654,44733,44541,44547,44134,43987,44525,44353,44657,43737,42679
41319,0.2654,43148,43024,42866,42730,42673,42868,42679,43276,42284,41289
39715,0.2654,41696,41576,41374,41306,41259,41470,41253,41585,40716,39835
38314,0.2654,40365,40088,40177,39974,39868,40189,39742,40211,39367,38523
36967,0.2654,39087,38749,38793,38778,38678,38918,38470,38956,38052,37096
35450,0.2654,37695,37454,37531,37382,37327,37559,37020,37644,36806,35953
34143,0.2654,36389,36283,36330,36283,36014,36303,35778,36316,35640,34767
32981,0.2654,35323,35037,35176,34910,34940,35121,34539,35037,34325,33555
31735,0.2654,34237,33832,34005,33857,33744,34113,33454,33996,33102,32516
30638,0.2654,33217,32752,32902,32743,32646,32964,32298,32776,32048,31381
29632,0.2654,32121,31692,31891,31759,31657,31928,31258,31737,30949,30513
28487,0.2654,31063,30693,30807,30694,30613,30788,30159,30621,29930,29436
27379,0.2654,29995,29684,29819,29782,29583,29884,29132,29614,28795,28468
26454,0.2654,29173,28625,28986,28844,28717,28963,28249,28665,27861,27705
25477,0.2654,28238,27724,27967,27891,27934,27968,27179,27674,26871,26760
24609,0.2654,27398,26852,27048,27037,26916,27072,26307,26720,25935,25827
23740,0.2654,26522,25947,26181,26128,26082,26189,25382,25892,25020,25018
22822,0.2654,25653,25053,25344,25345,25319,25393,24574,24958,24269,24268
22083,0.4807,25049,24413,24598,24606,24572,24617,23859,24214,23473,23713
21247,0.4905,24206,23664,23935,23900,23849,23950,23057,23588,22736,22863
20479,0.5008,23341,22886,23124,23255,23110,23153,22309,22733,21768,22076
19755,0.4572,22732,22173,22416,22526,22442,22377,21600,22029,21101,21551
19075,0.4351,21975,21463,21797,21834,21679,21734,20950,21299,20436,20768
18361,0.4492,21295,20843,21148,21159,21112,20986,20144,20556,19741,19976
17791,0.3957,20755,20259,20572,20698,20561,20497,19688,20063,19244,19623
17076,0.4381,20007,19649,19902,19958,19915,19779,18950,19380,18414,18849
16594,0.3612,19448,19025,19341,19452,19440,19226,18512,18805,17834,18306
15949,0.3969,18871,18516,18800,18848,18918,18661,17824,18297,17292,17709
15730,0.2221,18701,18351,18616,18756,18838,18574,17702,18159,17133,17568
14815,0.4207,17738,17429,17639,17729,17856,17562,16704,17076,16175,16611
14316,0.4025,17168,16885,17160,17246,17337,17125,16191,16636,15636,16023
13756,0.4416,16590,16338,16679,16781,16800,16534,15738,16039,15206,15505
13234,0.472,16093,15883,16211,16295,16409,16086,15230,15669,14704,15024
12847,0.4428,15637,15394,15764,15812,15867,15708,14853,15212,14316,14595
12400,0.4556,15128,14965,15308,15344,15439,15200,14432,14715,13796,14080
11982,0.4268,14654,14541,14904,14964,14961,14808,13928,14327,13434,13661
11561,0.444,14236,14106,14519,14470,14587,14353,13615,13905,13091,13241
11115,0.5083,13804,13722,14106,14087,14192,13999,13115,13552,12667,12832
10825,0.4665,13479,13322,13725,13742,13833,13567,12821,13193,12403,12383
10443,0.4611,13085,12921,13471,13272,13398,13216,12428,12842,12003,12019
10178,0.4066,12755,12550,13029,12858,13016,12880,12071,12439,11737,11655
9780,0.4817,12307,12193,12749,12536,12698,12520,11733,12142,11421,11317
9448,0.501,12016,11787,12372,12173,12373,12182,11418,11805,11046,11055
9153,0.5124,11621,11514,12032,11844,11967,11800,11037,11450,10807,10727
8891,0.4762,11369,11152,11750,11531,11638,11504,10676,11140,10527,10413
8503,0.5691,11071,10811,11351,11190,11373,11292,10443,10886,10196,10129
8299,0.4988,10673,10534,10982,10899,11053,10897,10250,10568,9974,9820
8025,0.5476,10456,10305,10848,10604,10740,10633,9921,10303,9676,9532
7765,0.5595,10146,10006,10444,10269,10522,10277,9616,10016,9434,9316
7517,0.5498,9882,9733,10211,10030,10177,9993,9357,9732,9166,9077
7276,0.5866,9631,9403,9957,9726,9961,9786,9111,9480,8944,8852
7054,0.5755,9391,9220,9699,9502,9693,9553,8924,9186,8699,8566
6876,0.5767,9221,9058,9509,9271,9455,9311,8670,8994,8547,8419
6643,0.5667,8939,8743,9152,9035,9247,9055,8404,8749,8283,8189
6415,0.64,8670,8478,8963,8799,8968,8791,8131,8437,8045,7961
6218,0.6125,8407,8237,8665,8544,8682,8557,7979,8301,7839,7766
5942,0.7416,8258,8089,8458,8374,8461,8345,7806,8105,7583,7493
5837,0.673,8104,7801,8199,8174,8282,8100,7638,7919,7407,7370
5589,0.7955,7869,7647,8015,7964,8129,7952,7393,7650,7174,7191
5450,0.7686,7678,7423,7753,7731,7854,7719,7198,7458,7045,7049
5326,0.7487,7562,7269,7572,7540,7700,7569,7116,7218,6806,6846
5153,0.759,7284,7070,7398,7346,7482,7322,6849,7067,6606,6686
4956,0.8547,7119,6878,7198,7220,7303,7171,6736,6927,6467,6516
4828,0.8183,6973,6708,7000,6976,7162,6965,6561,6723,6336,6304
4670,0.9132,6794,6546,6843,6788,6974,6891,6445,6589,6145,6199
4578,0.8548,6657,6425,6611,6700,6772,6674,6259,6382,5994,6022
4433,0.8623,6416,6277,6513,6463,6575,6538,6167,6264,5865,5937
4308,0.9162,6331,6120,6307,6359,6449,6365,6047,6095,5650,5750
4209,0.8745,6160,5945,6135,6217,6257,6245,5895,5933,5528,5631
4072,0.9805,5996,5784,5976,6023,6110,6075,5745,5784,5412,5494
4021,0.8305,5934,5658,5880,5964,5956,5931,5647,5674,5256,5390
3873,1,5791,5603,5703,5784,5812,5829,5526,5548,5183,5263
3768,0.9212,5588,5425,5567,5628,5664,5687,5371,5375,4986,5155
3687,0.9307,5505,5310,5477,5498,5533,5550,5252,5273,4907,5037
3623,0.8828,5376,5178,5345,5425,5411,5405,5212,5147,4793,4882
3534,0.9255,5199,5029,5225,5275,5293,5344,5021,4991,4626,4788
3460,0.9227,5158,4957,5113,5128,5155,5180,4980,4869,4494,4712
3414,0.7851,4992,4796,4985,5033,4995,5115,4851,4762,4387,4516
3288,0.9254,4891,4709,4850,4959,4869,5025,4776,4674,4323,4450
3273,0.8114,4825,4604,4788,4876,4790,4864,4672,4557,4227,4379
3167,0.8832,4765,4471,4677,4669,4688,4801,4576,4437,4139,4285
3120,0.8411,4625,4360,4540,4619,4589,4621,4403,4350,4001,4198
3069,0.7581,4536,4275,4454,4513,4428,4606,4398,4278,3955,4103
2957,0.9017,4443,4215,4324,4390,4364,4439,4275,4158,3811,3996
2940,0.8044,4366,4086,4254,4297,4293,4367,4228,4049,3776,3943
2883,0.7865,4266,4031,4124,4249,4176,4221,4109,3977,3686,3881
2805,0.7958,4193,3939,4067,4107,4069,4132,4052,3871,3578,3736
2825,0.6717,4123,3856,4056,4094,3969,4119,3953,3817,3499,3749
2738,0.728,4097,3723,3915,3983,3951,4013,3917,3758,3443,3670
2696,0.7529,3987,3604,3783,3911,3804,3925,3820,3647,3384,3530
2648,0.6415,3895,3555,3726,3775,3707,3820,3740,3554,3287,3490
2614,0.6685,3815,3523,3645,3744,3611,3831,3631,3448,3256,3403
2555,0.6626,3758,3419,3566,3630,3603,3644,3531,3432,3204,3386
2533,0.6007,3672,3321,3471,3591,3491,3616,3557,3343,3060,3295
2491,0.5804,3635,3270,3423,3547,3413,3539,3479,3310,3045,3222
2474,0.5792,3562,3195,3369,3432,3400,3475,3386,3239,3050,3176
2413,0.5169,3527,3116,3270,3371,3318,3422,3317,3180,2963,3101
2411,0.3694,3471,3087,3237,3306,3277,3348,3305,3128,2912,3052
2364,0.4867,3350,2982,3126,3226,3155,3278,3249,3049,2886,3004
2301,0.5049,3363,2924,3079,3215,3126,3224,3202,2990,2826,3018
2294,0.4926,3250,2849,3018,3130,3097,3161,3161,2958,2773,2929
2308,0.28,3176,2801,2976,3057,3026,3093,3084,2840,2741,2797
2215,0.388,3150,2728,2905,3012,2954,3083,2996,2852,2702,2825
2208,0.441,3109,2685,2841,2959,2925,3007,2958,2765,2637,2769
2175,0.3791,3038,2612,2813,2876,2883,2962,2946,2726,2617,2717
2169,0.2113,2984,2584,2713,2851,2791,2899,2867,2660,2582,2658
2135,0.3015,2921,2528,2751,2766,2744,2824,2823,2600,2510,2615
2113,0.2331,2913,2515,2654,2733,2794,2803,2781,2581,2458,2557
2083,0.2736,2819,2470,2555,2650,2704,2765,2722,2535,2483,2523
2064,0.1927,2792,2382,2548,2671,2628,2689,2710,2487,2413,2474
2046,0.1583,2739,2342,2501,2584,2657,2640,2636,2410,2370,2440
2013,0.1066,2707,2282,2434,2541,2539,2632,2573,2408,2351,2371
2006,0.0988,2668,2211,2425,2485,2512,2566,2577,2356,2284,2364
1932,0.1476,2576,2231,2371,2441,2485,2519,2489,2295,2265,2281
1964,0.0139,2567,2161,2307,2378,2403,2509,2476,2264,2258,2308
1922,0.0533,2532,2142,2322,2346,2375,2490,2429,2235,2168,2252
1924,0,2483,2113,2263,2298,2285,2383,2341,2206,2177,2205
1864,0.1556,2429,2054,2215,2274,2305,2390,2341,2161,2139,2167
60084,0.1023,,,,,,,,,,
57757,0.0788,,,,,,,,,,
55771,0.0437,,,,,,,,,,
53691,0.0235,,,,,,,,,,
51637,0.0113,,,,,,,,,,
49609,0.0067,,,,,,,,,,
47660,0.0032,,,,,,,,,,
45848,0,,,,,,,,,,
43911,0.0105,,,,,,,,,,
42163,0.0142,,,,,,,,,,
40600,0.012,,,,,,,,,,
38929,0.0259,,,,,,,,,,
37254,0.0442,,,,,,,,,,
35812,0.0521,,,,,,,,,,
34367,0.0627,,,,,,,,,,
32903,0.083,,,,,,,,,,
31743,0.0806,,,,,,,,,,
30418,0.1042,,,,,,,,,,
29145,0.1182,,,,,,,,,,
27976,0.1422,,,,,,,,,,
27010,0.1426,,,,,,,,,,
25830,0.1745,,,,,,,,,,
24772,0.1954,,,,,,,,,,
23842,0.2102,,,,,,,,,,
22814,0.2339,,,,,,,,,,
21874,0.2597,,,,,,,,,,
21087,0.2662,,,,,,,,,,
20171,0.3064,,,,,,,,,,
19518,0.3036,,,,,,,,,,
18675,0.3307,,,,,,,,,,
17818,0.374,,,,,,,,,,
17131,0.3964,,,,,,,,,,
16369,0.4362,,,,,,,,,,
15781,0.4517,,,,,,,,,,
15183,0.46,,,,,,,,,,
14571,0.4917,,,,,,,,,,
14042,0.511,,,,,,,,,,
13496,0.5332,,,,,,,,,,
13220,0.5003,,,,,,,,,,
12367,0.6131,,,,,,,,,,
11961,0.6179,,,,,,,,,,
11466,0.6452,,,,,,,,,,
11011,0.6796,,,,,,,,,,
10680,0.6806,,,,,,,,,,
10241,0.7153,,,,,,,,,,
9824,0.7448,,,,,,,,,,
9584,0.7357,,,,,,,,,,
9144,0.7767,,,,,,,,,,
8885,0.7847,,,,,,,,,,
8529,0.8131,,,,,,,,,,
8199,0.8422,,,,,,,,,,
7993,0.8455,,,,,,,,,,
7750,0.8521,,,,,,,,,,
7466,0.8671,,,,,,,,,,
7248,0.8773,,,,,,,,,,
7022,0.8759,,,,,,,,,,
6832,0.8818,,,,,,,,,,
6590,0.9121,,,,,,,,,,
6386,0.9269,,,,,,,,,,
6182,0.9436,,,,,,,,,,
6020,0.9383,,,,,,,,,,
5865,0.9398,,,,,,,,,,
5675,0.9479,,,,,,,,,,
5557,0.9304,,,,,,,,,,
5410,0.9438,,,,,,,,,,
5282,0.9367,,,,,,,,,,
5094,0.9719,,,,,,,,,,
4998,0.9689,,,,,,,,,,
4862,0.9833,,,,,,,,,,
4747,0.9817,,,,,,,,,,
4591,0.973,,,,,,,,,,
4477,0.9657,,,,,,,,,,
4358,1,,,,,,,,,,
4332,0.9606,,,,,,,,,,
4196,0.9896,,,,,,,,,,
4166,0.9696,,,,,,,,,,
4015,0.9706,,,,,,,,,,
3971,0.9431,,,,,,,,,,
3881,0.9644,,,,,,,,,,
3788,0.9624,,,,,,,,,,
3710,0.9608,,,,,,,,,,
3611,0.9719,,,,,,,,,,
3576,0.9376,,,,,,,,,,
3586,0.9031,,,,,,,,,,
3454,0.9141,,,,,,,,,,
3368,0.9534,,,,,,,,,,
3312,0.9336,,,,,,,,,,
3246,0.9189,,,,,,,,,,
3190,0.9125,,,,,,,,,,
3125,0.9221,,,,,,,,,,
3115,0.8851,,,,,,,,,,
3073,0.8932,,,,,,,,,,
3006,0.8738,,,,,,,,,,
2969,0.8815,,,,,,,,,,
2931,0.8703,,,,,,,,,,
2892,0.8574,,,,,,,,,,
2814,0.8703,,,,,,,,,,
2785,0.8428,,,,,,,,,,
2791,0.8092,,,,,,,,,,
2682,0.8631,,,,,,,,,,
2679,0.8314,,,,,,,,,,
2638,0.8287,,,,,,,,,,
2628,0.795,,,,,,,,,,
2599,0.778,,,,,,,,,,
2513,0.8193,,,,,,,,,,
2496,0.821,,,,,,,,,,
2481,0.7748,,,,,,,,,,
2444,0.7661,,,,,,,,,,
2417,0.7721,,,,,,,,,,
2357,0.7672,,,,,,,,,,
2366,0.7355,,,,,,,,,,
2329,0.7402,,,,,,,,,,
2300,0.7355,,,,,,,,,,
2258,0.7456,,,,,,,,,,
2227,0.7483,,,,,,,,,,
2182,0.7702,,,,,,,,,,
2180,0.7535,,,,,,,,,,
2142,0.7583,,,,,,,,,,
2175,0.6507,,,,,,,,,,
2107,0.7177,,,,,,,,,,
2081,0.7305,,,,,,,,,,
2056,0.7158,,,,,,,,,,
2052,0.6956,,,,,,,,,,
2022,0.7001,,,,,,,,,,
1977,0.6822,,,,,,,,,,
1989,0.6795,,,,,,,,,,
1947,0.7144,,,,,,,,,,
1940,0.6724,,,,,,,,,,
65108,0.2995,,,,,,,,,,
64706,0.2027,,,,,,,,,,
59862,0.545,,,,,,,,,,
58095,0.3283,,,,,,,,,,
55892,0.4629,,,,,,,,,,
53976,0.3337,,,,,,,,,,
52187,0.6106,,,,,,,,,,
50362,0.5095,,,,,,,,,,
48566,0.4398,,,,,,,,,,
46774,0.3794,,,,,,,,,,
45253,0.4659,,,,,,,,,,
43621,0.4271,,,,,,,,,,
42116,0.3645,,,,,,,,,,
40650,0.3164,,,,,,,,,,
39310,0.2447,,,,,,,,,,
37852,0.2564,,,,,,,,,,
36556,0.2176,,,,,,,,,,
35376,0.1578,,,,,,,,,,
34115,0.1601,,,,,,,,,,
32882,0.1556,,,,,,,,,,
31821,0.1317,,,,,,,,,,
30653,0.1429,,,,,,,,,,
29672,0.1194,,,,,,,,,,
28679,0.1212,,,,,,,,,,
27631,0.1432,,,,,,,,,,
26824,0.0943,,,,,,,,,,
25888,0.1022,,,,,,,,,,
24905,0.1742,,,,,,,,,,
24143,0.141,,,,,,,,,,
23497,0.0841,,,,,,,,,,
22487,0.2002,,,,,,,,,,
21887,0.1401,,,,,,,,,,
21190,0.1392,,,,,,,,,,
20416,0.2225,,,,,,,,,,
19831,0.174,,,,,,,,,,
19259,0.1558,,,,,,,,,,
18628,0.1795,,,,,,,,,,
18093,0.1748,,,,,,,,,,
17901,0,,,,,,,,,,
16967,0.2138,,,,,,,,,,
16435,0.2333,,,,,,,,,,
15892,0.2523,,,,,,,,,,
15478,0.2294,,,,,,,,,,
14942,0.2802,,,,,,,,,,
14566,0.2582,,,,,,,,,,
14088,0.2896,,,,,,,,,,
13723,0.2851,,,,,,,,,,
13215,0.3613,,,,,,,,,,
12975,0.2971,,,,,,,,,,
12620,0.2688,,,,,,,,,,
12227,0.3236,,,,,,,,,,
11897,0.317,,,,,,,,,,
11501,0.3798,,,,,,,,,,
11210,0.3455,,,,,,,,,,
10909,0.3767,,,,,,,,,,
10595,0.383,,,,,,,,,,
10287,0.432,,,,,,,,,,
10065,0.3636,,,,,,,,,,
9752,0.4061,,,,,,,,,,
9523,0.3981,,,,,,,,,,
9214,0.1815,,,,,,,,,,
8959,0.23,,,,,,,,,,
8795,0.1685,,,,,,,,,,
8513,0.2372,,,,,,,,,,
8284,0.2677,,,,,,,,,,
8053,0.1505,,,,,,,,,,
7813,0.1579,,,,,,,,,,
7635,0.1955,,,,,,,,,,
7413,0.2365,,,,,,,,,,
7228,0.2382,,,,,,,,,,
7026,0.2807,,,,,,,,,,
6836,0.3007,,,,,,,,,,
6653,0.1442,,,,,,,,,,
6495,0.1552,,,,,,,,,,
6347,0.1816,,,,,,,,,,
6171,0.1926,,,,,,,,,,
5997,0.2785,,,,,,,,,,
5813,0.2858,,,,,,,,,,
