intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
62114,0.2654,59493,60474,58781,58461,59006,59696,58386,60178,59586,60524
59827,0.2654,57431,58315,56747,56478,56905,57529,56473,58405,57657,58260
57844,0.2654,55534,56366,54936,54542,55128,55630,54640,56436,55790,56409
55736,0.2654,53775,54705,53173,52771,53494,53861,52956,54743,53909,54755
53660,0.2654,51935,52735,51218,50690,51619,51912,51129,52838,51978,52925
51755,0.2654,49980,50954,49363,48907,49757,50235,49479,51079,50334,51286
49887,0.2654,48355,49233,47654,47195,48080,48360,47756,49377,48619,49466
48131,0.2654,46585,47570,46115,45435,46534,46779,46144,47634,46922,47810
46295,0.2654,44924,45833,44372,43779,44703,45055,44495,45998,45349,46191
44680,0.2654,43214,44369,42904,42273,43313,43461,42826,44333,43789,44695
43007,0.2654,41845,42845,41360,40668,41854,42099,41348,42829,42220,43121
41319,0.2654,40280,41206,39892,39136,40394,40599,39816,41214,40676,41608
39715,0.2654,38851,39845,38513,37733,38983,39215,38426,39748,39323,40143
38314,0.2654,37608,38523,37108,36394,37647,37867,37025,38315,37925,38945
36967,0.2654,36267,37366,35877,35279,36388,36615,35766,36992,36644,37738
35450,0.2654,35016,36046,34688,33877,35210,35448,34544,35552,35495,36408
34143,0.2654,33832,34937,33472,32737,34023,34357,33407,34285,34131,35194
32981,0.2654,32770,33779,32316,31646,32851,33241,32270,32960,33093,34073
31735,0.2654,31707,32702,31202,30589,31850,32223,31138,31801,32004,33131
30638,0.2654,30667,31608,30200,29599,30833,31073,29985,30643,30832,31994
29632,0.2654,29740,30622,29232,28589,29927,30267,28988,29561,29878,31052
28487,0.2654,28799,29636,28250,27634,28882,29271,28080,28387,28766,29990
27379,0.2654,27840,28614,27348,26742,27963,28261,27093,27292,27865,28956
26454,0.2654,26961,27829,26497,25937,27024,27405,26238,26265,26830,28133
25477,0.2654,26048,26856,25663,25053,26313,26517,25413,25334,25970,27165
24609,0.2654,25351,26031,24767,24180,25405,25726,24593,24350,25079,26383
23740,0.2654,24466,25225,23941,23446,24519,24939,23738,23360,24223,25531
22822,0.2654,23713,24399,23263,22693,23774,24088,23024,22595,23381,24752
22083,0.4807,23088,23621,22566,21909,23022,23393,22379,21757,22630,23992
21247,0.4905,22411,23025,21831,21306,22389,22860,21610,21003,21985,23274
20479,0.5008,21635,22109,21091,20571,21665,21994,20915,20157,21179,22519
19755,0.4572,20940,21510,20498,20030,20925,21363,20241,19443,20583,21806
19075,0.4351,20329,20847,19891,19321,20297,20711,19565,18746,19752,21221
18361,0.4492,19587,20164,19226,18765,19624,20115,19022,18056,19080,20512
17791,0.3957,19147,19656,18783,18249,19250,19552,18524,17494,18635,20007
17076,0.4381,18504,19046,18071,17626,18486,18964,17845,16861,18008,19254
16594,0.3612,18040,18581,17584,17194,18088,18405,17354,16372,17453,18746
15949,0.3969,17464,17888,17135,16572,17538,17863,16849,15810,16894,18177
15730,0.2221,17262,17819,17083,16486,17404,17699,16636,15662,16765,18038
14815,0.4207,16429,16868,16108,15578,16491,16861,15796,14898,15901,17002
14316,0.4025,15908,16392,15646,15146,16053,16293,15320,14420,15377,16549
13756,0.4416,15389,15868,15176,14682,15574,15861,14868,14044,15020,15964
13234,0.472,15019,15451,14746,14258,15153,15434,14394,13610,14475,15548
12847,0.4428,14492,14966,14371,13865,14724,14997,13942,13342,14038,15110
12400,0.4556,14124,14499,13921,13544,14282,14505,13539,13005,13748,14660
11982,0.4268,13677,14206,13549,13108,13896,14129,13209,12688,13327,14269
11561,0.444,13340,13754,13171,12777,13576,13755,12834,12419,12892,13784
11115,0.5083,12873,13357,12684,12397,13102,13287,12421,12077,12582,13377
10825,0.4665,12586,12980,12490,12080,12800,13063,12061,11861,12284,13074
10443,0.4611,12260,12688,12107,11816,12531,12630,11796,11595,11980,12652
10178,0.4066,11875,12274,11803,11448,12160,12381,11416,11347,11613,12316
9780,0.4817,11444,11902,11440,11117,11879,11981,11115,11058,11333,11911
9448,0.501,11256,11624,11230,10862,11456,11736,10806,10885,11040,11626
9153,0.5124,10950,11261,10875,10531,11221,11384,10540,10631,10752,11279
8891,0.4762,10636,10954,10521,10257,10987,11081,10243,10329,10481,10915
8503,0.5691,10319,10671,10331,10022,10556,10756,10020,10133,10228,10614
8299,0.4988,10109,10349,9951,9774,10353,10529,9615,9906,9993,10366
8025,0.5476,9879,10171,9812,9484,10103,10204,9423,9620,9772,10073
7765,0.5595,9518,9864,9502,9203,9805,9963,9179,9401,9457,9858
7517,0.5498,9272,9570,9187,9024,9522,9691,8982,9144,9240,9553
7276,0.5866,9002,9341,8969,8740,9302,9404,8707,8982,8934,9218
7054,0.5755,8775,9040,8735,8573,9015,9129,8525,8694,8761,9020
6876,0.5767,8676,8811,8543,8411,8866,8967,8306,8522,8566,8807
6643,0.5667,8417,8616,8255,8186,8641,8673,8119,8311,8398,8601
6415,0.64,8167,8327,7968,7973,8340,8486,7825,8103,8112,8323
6218,0.6125,7897,8091,7800,7716,8192,8232,7633,7936,7919,8083
5942,0.7416,7759,7947,7652,7590,7901,8070,7445,7688,7689,7913
5837,0.673,7538,7683,7422,7407,7713,7829,7243,7553,7550,7667
5589,0.7955,7315,7520,7233,7237,7555,7712,7080,7322,7372,7448
5450,0.7686,7104,7307,6966,7036,7364,7492,6934,7181,7128,7303
5326,0.7487,6935,7135,6877,6828,7165,7346,6706,6990,6987,7077
5153,0.759,6752,6903,6642,6737,7001,7150,6532,6865,6837,6906
4956,0.8547,6579,6711,6447,6551,6764,6976,6396,6712,6688,6750
4828,0.8183,6478,6547,6325,6451,6660,6798,6291,6509,6479,6605
4670,0.9132,6266,6394,6161,6280,6475,6647,6138,6402,6322,6401
4578,0.8548,6086,6183,5994,6141,6333,6481,5972,6239,6234,6230
4433,0.8623,5994,6068,5860,6058,6211,6328,5844,6094,6027,6096
4308,0.9162,5815,5944,5760,5908,5995,6172,5688,5919,5904,5938
4209,0.8745,5669,5786,5567,5766,5915,6064,5553,5808,5790,5769
4072,0.9805,5577,5608,5433,5617,5717,5947,5365,5702,5587,5616
4021,0.8305,5387,5504,5293,5509,5535,5782,5303,5533,5528,5494
3873,1,5271,5333,5149,5416,5447,5706,5154,5417,5374,5315
3768,0.9212,5243,5226,5032,5320,5305,5601,4992,5260,5263,5211
3687,0.9307,5057,5066,4904,5126,5200,5486,4972,5225,5150,5119
3623,0.8828,4948,5036,4859,5097,5039,5322,4817,5065,5052,4961
3534,0.9255,4839,4890,4651,4932,4959,5190,4688,4971,4920,4819
3460,0.9227,4731,4754,4588,4831,4851,5040,4607,4860,4828,4738
3414,0.7851,4639,4629,4490,4715,4739,4977,4518,4738,4667,4677
3288,0.9254,4502,4538,4452,4709,4607,4863,4431,4673,4640,4546
3273,0.8114,4485,4474,4326,4595,4550,4835,4343,4547,4521,4464
3167,0.8832,4330,4302,4187,4456,4445,4683,4230,4429,4399,4359
3120,0.8411,4220,4227,4130,4342,4343,4546,4138,4339,4316,4199
