intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
3687,0.9307,4895,3910,4361,4539,4720,4435,4615,5397,5505,3563
3623,0.8828,4784,3831,4199,4335,4587,4329,4496,5243,5394,3477
3534,0.9255,4668,3729,4110,4172,4491,4167,4369,5090,5255,3398
3460,0.9227,4518,3654,4058,4085,4368,4084,4236,4962,5098,3309
3414,0.7851,4434,3572,3946,3976,4230,3935,4147,4842,4998,3176
3288,0.9254,4352,3516,3847,3877,4161,3840,3984,4741,4909,3125
3273,0.8114,4259,3437,3772,3792,4045,3820,3978,4639,4785,3056
3167,0.8832,4164,3389,3609,3701,3906,3643,3839,4544,4636,2976
3120,0.8411,4065,3259,3592,3556,3823,3516,3730,4387,4555,2902
3069,0.7581,4017,3238,3481,3489,3723,3475,3701,4323,4469,2877
2957,0.9017,3860,3132,3423,3479,3636,3388,3543,4200,4301,2745
2940,0.8044,3811,3065,3335,3301,3512,3282,3478,4120,4247,2704
2883,0.7865,3668,3039,3243,3235,3462,3217,3387,4001,4091,2623
2805,0.7958,3657,2995,3167,3163,3356,3120,3330,3901,4024,2571
2825,0.6717,3569,2974,3068,3095,3261,3087,3280,3836,3986,2566
2738,0.728,3520,2914,3017,2972,3195,2967,3207,3790,3846,2502
2696,0.7529,3386,2820,2963,2929,3098,2931,3115,3644,3740,2440
2648,0.6415,3346,2772,2894,2845,3018,2851,3006,3561,3664,2404
2614,0.6685,3285,2751,2813,2771,2931,2723,2965,3481,3579,2341
2555,0.6626,3212,2663,2771,2727,2856,2717,2891,3418,3524,2360
2533,0.6007,3141,2638,2736,2631,2742,2622,2846,3304,3424,2276
2491,0.5804,3083,2589,2664,2603,2728,2613,2782,3279,3396,2250
2474,0.5792,3056,2582,2593,2533,2651,2496,2710,3151,3308,2185
2413,0.5169,2988,2569,2554,2478,2597,2499,2642,3179,3251,2137
2411,0.3694,2965,2425,2507,2446,2549,2457,2625,3041,3172,2108
2364,0.4867,2896,2482,2497,2404,2462,2383,2579,3008,3088,2070
2301,0.5049,2886,2437,2454,2327,2424,2326,2524,2958,3015,2044
2294,0.4926,2798,2384,2414,2284,2327,2296,2478,2890,3024,2021
2308,0.28,2760,2299,2309,2226,2286,2230,2412,2784,2920,1998
2215,0.388,2721,2319,2307,2193,2231,2222,2434,2767,2851,1942
2208,0.441,2669,2263,2243,2180,2203,2102,2343,2755,2835,1909
2175,0.3791,2658,2275,2206,2092,2152,2116,2337,2686,2783,1934
2169,0.2113,2624,2215,2197,2096,2105,2063,2225,2563,2754,1870
2135,0.3015,2562,2166,2120,2062,2037,2002,2183,2572,2674,1811
2113,0.2331,2515,2140,2118,1997,2018,1990,2175,2499,2638,1794
2083,0.2736,2501,2117,2058,1957,1989,1948,2127,2432,2552,1795
2064,0.1927,2443,2100,2061,1963,1961,1918,2127,2408,2516,1778
2046,0.1583,2425,2057,2002,1908,1905,1879,2104,2375,2473,1745
2013,0.1066,2384,1996,1989,1889,1850,1838,2010,2304,2426,1692
2006,0.0988,2343,2032,1962,1834,1789,1775,2003,2310,2370,1691
1932,0.1476,2302,1971,1901,1808,1771,1807,1947,2242,2361,1677
1964,0.0139,2283,1977,1891,1781,1704,1728,1947,2190,2232,1644
1922,0.0533,2319,1949,1875,1731,1706,1723,1887,2193,2229,1609
1924,0,2244,1896,1822,1733,1679,1677,1869,2134,2166,1617
1864,0.1556,2188,1872,1822,1682,1654,1670,1823,2108,2138,1613
60084,0.1023,,,,,,,,,,
57757,0.0788,,,,,,,,,,
55771,0.0437,,,,,,,,,,
53691,0.0235,,,,,,,,,,
51637,0.0113,,,,,,,,,,
49609,0.0067,,,,,,,,,,
47660,0.0032,,,,,,,,,,
45848,0,,,,,,,,,,
43911,0.0105,,,,,,,,,,
42163,0.0142,,,,,,,,,,
40600,0.012,,,,,,,,,,
38929,0.0259,,,,,,,,,,
37254,0.0442,,,,,,,,,,
35812,0.0521,,,,,,,,,,
34367,0.0627,,,,,,,,,,
32903,0.083,,,,,,,,,,
31743,0.0806,,,,,,,,,,
30418,0.1042,,,,,,,,,,
29145,0.1182,,,,,,,,,,
27976,0.1422,,,,,,,,,,
27010,0.1426,,,,,,,,,,
25830,0.1745,,,,,,,,,,
24772,0.1954,,,,,,,,,,
23842,0.2102,,,,,,,,,,
22814,0.2339,,,,,,,,,,
21874,0.2597,,,,,,,,,,
21087,0.2662,,,,,,,,,,
20171,0.3064,,,,,,,,,,
19518,0.3036,,,,,,,,,,
18675,0.3307,,,,,,,,,,
17818,0.374,,,,,,,,,,
17131,0.3964,,,,,,,,,,
16369,0.4362,,,,,,,,,,
15781,0.4517,,,,,,,,,,
15183,0.46,,,,,,,,,,
14571,0.4917,,,,,,,,,,
14042,0.511,,,,,,,,,,
13496,0.5332,,,,,,,,,,
13220,0.5003,,,,,,,,,,
12367,0.6131,,,,,,,,,,
11961,0.6179,,,,,,,,,,
11466,0.6452,,,,,,,,,,
