intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
1539,0.1264,1433,1452,1485,1489,1589,1554,1536,1602
1539,0,1433,1449,1467,1548,1631,1601,1575,1576
1533,0.3734,1443,1468,1464,1520,1638,1602,1579,1609
1573,0.0488,1492,1459,1517,1509,1652,1625,1597,1615
1577,0.397,1484,1510,1512,1530,1673,1636,1608,1664
1593,0.1378,1476,1490,1525,1543,1717,1661,1642,1640
1603,0.4256,1515,1547,1548,1554,1716,1661,1635,1691
1623,0.2846,1528,1507,1570,1584,1758,1706,1709,1732
1592,0.6316,1538,1549,1580,1590,1813,1677,1685,1739
1641,0.3291,1553,1571,1576,1595,1769,1714,1711,1794
1655,0.3644,1564,1595,1631,1607,1815,1746,1722,1812
1686,0.2124,1603,1591,1643,1598,1810,1797,1773,1837
1645,0.7958,1606,1606,1647,1632,1862,1826,1762,1824
1704,0.5862,1610,1621,1692,1670,1844,1811,1806,1874
1728,0.3352,1648,1637,1637,1685,1893,1851,1815,1821
1763,0.4835,1638,1657,1703,1681,1935,1852,1837,1923
1743,0.6532,1664,1682,1713,1711,1953,1886,1881,1933
1762,0.6613,1715,1683,1738,1733,1996,1936,1897,2008
1789,0.624,1696,1716,1752,1765,2030,1953,1897,1968
1814,0.6512,1731,1733,1806,1763,1999,1928,1929,2030
1821,0.6871,1772,1769,1838,1842,2075,1977,1966,2044
1879,0.5378,1801,1755,1837,1841,2091,2048,1976,2110
1863,0.7579,1818,1755,1843,1842,2077,2012,2026,2143
1882,0.8238,1824,1820,1932,1873,2139,2084,2061,2140
1953,0.6599,1857,1818,1952,1881,2173,2066,2086,2207
1947,0.7902,1877,1835,1942,1928,2210,2131,2123,2227
1985,0.8078,1858,1867,1983,1915,2250,2140,2151,2271
2015,0.7781,1906,1884,2018,1974,2323,2178,2132,2268
2053,0.6617,1966,1948,2067,2051,2286,2200,2158,2344
2087,0.7728,2001,1941,2061,2046,2323,2259,2221,2390
2126,1,2008,1981,2121,2078,2395,2266,2261,2409
2142,0.8128,2062,2022,2138,2137,2412,2349,2348,2453
2177,0.8266,2098,2045,2192,2147,2464,2352,2342,2465
2208,0.9281,2114,2047,2202,2169,2486,2359,2379,2548
2258,0.8162,2114,2091,2309,2244,2545,2443,2403,2580
2303,0.8643,2203,2141,2329,2302,2572,2441,2421,2633
2318,0.8621,2222,2172,2340,2285,2587,2502,2518,2686
2402,0.7727,2273,2200,2366,2339,2717,2556,2525,2727
2449,0.7549,2334,2271,2465,2415,2777,2687,2648,2824
2483,0.86,2364,2258,2500,2429,2800,2650,2619,2866
2490,0.9438,2384,2326,2550,2476,2811,2672,2689,2894
2588,0.7927,2432,2376,2539,2537,2897,2727,2718,2915
2615,0.8846,2461,2357,2618,2568,2897,2797,2757,3003
2723,0.7552,2563,2414,2712,2577,2960,2829,2852,3038
2753,0.8614,2591,2438,2738,2632,3044,2840,2832,3126
2849,0.5966,2594,2552,2760,2724,3092,2903,2894,3190
2838,0.8254,2703,2587,2794,2747,3151,2956,2944,3204
2956,0.7628,2741,2603,2878,2782,3156,3006,2962,3264
3022,0.7949,2791,2657,2922,2854,3254,3073,3086,3347
3175,0.462,2865,2721,2923,2926,3303,3162,3093,3390
3217,0.5248,2918,2793,3006,2971,3366,3228,3198,3456
3255,0.6998,2943,2849,3067,2996,3451,3231,3291,3557
3364,0.6269,3005,2901,3100,3049,3522,3338,3293,3570
3443,0.6696,3140,2978,3218,3190,3605,3386,3397,3706
3483,0.7154,3193,3049,3205,3208,3656,3457,3446,3814
3592,0.6626,3256,3074,3237,3259,3728,3557,3494,3830
3728,0.4952,3311,3184,3336,3293,3812,3619,3584,3988
3823,0.5717,3390,3241,3440,3411,3887,3676,3626,4005
3950,0.4977,3425,3307,3457,3452,3922,3760,3748,4119
4055,0.4356,3557,3342,3537,3549,4086,3891,3817,4176
4176,0.4493,3640,3431,3617,3630,4140,3935,3859,4311
4263,0.4547,3726,3497,3678,3707,4272,4032,3957,4384
4407,0.4525,3805,3599,3768,3759,4343,4192,4071,4557
4523,0.3742,3889,3698,3859,3916,4433,4198,4167,4615
4618,0.4865,3965,3786,3961,3891,4581,4348,4256,4685
4745,0.4143,4052,3834,4011,3981,4603,4487,4330,4852
4914,0.3817,4157,4017,4149,4101,4701,4525,4438,4933
5122,0.2698,4289,4075,4276,4202,4840,4739,4540,5097
5185,0.4303,4366,4206,4361,4298,4952,4815,4659,5220
5390,0.3291,4561,4287,4462,4441,5079,4965,4814,5284
5511,0.3948,4667,4359,4585,4521,5205,5057,4895,5435
5660,0.3799,4726,4562,4734,4687,5283,5166,5055,5624
5822,0.4073,4877,4653,4822,4765,5466,5294,5150,5751
6031,0.3232,4988,4757,4977,4903,5541,5445,5304,5875
6189,0.407,5109,4912,5122,4982,5639,5604,5435,6000
6380,0.3867,5206,5037,5310,5046,5785,5768,5531,6211
6621,0.2974,5334,5161,5436,5254,5971,5945,5709,6371
6846,0.3023,5549,5364,5598,5389,6105,6104,5906,6605
7008,0.3449,5670,5493,5784,5518,6218,6328,5977,6724
7234,0.3806,5795,5628,5998,5625,6316,6408,6210,6930
7471,0.3215,5972,5797,6066,5833,6538,6662,6297,7064
7703,0.3909,6181,5959,6316,6047,6629,6789,6463,7290
7892,0.3943,6354,6169,6459,6177,6874,7033,6673,7429
8240,0.3127,6513,6324,6663,6431,7045,7189,6882,7715
8490,0.3336,6709,6547,6898,6589,7196,7413,7112,7921
8732,0.3977,6881,6625,7059,6705,7395,7589,7263,8175
8979,0.4533,7083,6883,7274,6886,7491,7872,7446,8380
9333,0.3647,7301,7078,7497,7120,7678,8059,7716,8669
9705,0.3376,7574,7305,7698,7364,7947,8332,7912,8937
10047,0.3339,7817,7556,8011,7616,8204,8608,8247,9210
10365,0.3656,8031,7715,8156,7784,8349,8829,8358,9531
10723,0.3745,8288,7920,8392,8068,8582,9040,8654,9794
11145,0.0715,8493,8212,8663,8361,8827,9339,8959,10076
11457,0.0715,8691,8446,8906,8580,9083,9594,9228,10344
11754,0.0715,9076,8679,9165,8817,9319,9902,9494,10663
12188,0.0715,9263,8982,9367,9043,9620,10147,9833,11022
12552,0.0715,9533,9252,9639,9356,9909,10448,10100,11314
13019,0.0715,9889,9567,10094,9754,10218,10803,10443,11740
13557,0.0715,10236,9879,10304,10001,10518,11219,10821,12144
13916,0.0715,10479,10127,10520,10289,10788,11379,11070,12391
14376,0.0715,10737,10407,10816,10561,11156,11718,11397,12840
14859,0.0715,11045,10706,11054,10959,11465,12069,11776,13156
15360,0.0715,11345,11060,11399,11313,11907,12349,12172,13657
15926,0.0715,11734,11382,11697,11661,12308,12743,12515,14042
16525,0.0715,12104,11764,11985,12047,12702,13161,12908,14501
17102,0.0715,12473,12155,12485,12428,13118,13509,13317,14999
17639,0.0715,12932,12541,12737,12823,13630,14006,13860,15509
18374,0.0715,13410,13077,13222,13377,14148,14379,14241,16075
18936,0.0715,13873,13435,13602,13775,14551,14848,14712,16638
19605,0.0715,14245,13893,13951,14182,14979,15232,15233,17164
20333,0.0715,14780,14369,14513,14730,15556,15783,15712,17727
21100,0.0715,15212,14834,14913,15233,16060,16166,16207,18357
21842,0.0715,15711,15449,15283,15713,16610,16760,16714,19024
22651,0.0715,16207,15867,15770,16152,17181,17181,17224,19545
23406,0.0715,16680,16486,16306,16800,17791,17735,17724,20273
24263,0.0715,17361,16997,16808,17311,18401,18444,18393,20999
25174,0.0715,17974,17632,17388,17878,19093,18983,18949,21659
25998,0.0715,18587,18305,17901,18461,19713,19686,19623,22421
26958,0.0715,19070,18933,18459,19096,20410,20242,20262,23256
27954,0.0715,19770,19632,19170,19636,21185,20860,20904,24086
28996,0.0715,20452,20374,19642,20289,21934,21668,21609,24981
30017,0.0715,21125,21142,20314,20884,22733,22428,22313,25866
31219,0.0715,21819,21860,21041,21531,23537,23212,23174,26848
32349,0.0715,22594,22669,21671,22281,24281,23986,24002,27826
33395,0.0715,23225,23383,22467,22909,25004,24698,24625,28870
34536,0.0715,23955,24136,23116,23587,25933,25506,25461,29872
35904,0.0715,24763,24962,24002,24335,26834,26309,26414,30916
36917,0.0715,25517,25699,24644,25097,27731,27277,27277,31916
1540,0.6233,,,,,,,,
1573,0.2331,,,,,,,,
1584,0.3282,,,,,,,,
1625,0.1073,,,,,,,,
1626,0.1738,,,,,,,,
1630,0.275,,,,,,,,
1670,0.106,,,,,,,,
1694,0.238,,,,,,,,
1709,0.1257,,,,,,,,
1736,0.0333,,,,,,,,
1753,0.1485,,,,,,,,
1786,0.1463,,,,,,,,
1771,0.1889,,,,,,,,
1847,0.0283,,,,,,,,
1864,0.9924,,,,,,,,
1887,0.9067,,,,,,,,
1902,0.9629,,,,,,,,
1946,0.9912,,,,,,,,
1985,0.5944,,,,,,,,
2015,0.864,,,,,,,,
2023,1,,,,,,,,
2115,0.7536,,,,,,,,
2134,0.754,,,,,,,,
2150,0.917,,,,,,,,
2226,0.518,,,,,,,,
2243,0.6045,,,,,,,,
2291,0.4928,,,,,,,,
2341,0.6054,,,,,,,,
2375,0.5726,,,,,,,,
2432,0.5595,,,,,,,,
2511,0.4365,,,,,,,,
2549,0.4899,,,,,,,,
2560,0.5996,,,,,,,,
2673,0.4156,,,,,,,,
2708,0.268,,,,,,,,
2756,0.3237,,,,,,,,
2816,0.3356,,,,,,,,
2827,0.4148,,,,,,,,
3020,0,,,,,,,,
3001,0.2795,,,,,,,,
3062,0.7828,,,,,,,,
3153,0.6075,,,,,,,,
3188,0.7257,,,,,,,,
3267,0.676,,,,,,,,
3353,0.6098,,,,,,,,
3385,0.6522,,,,,,,,
3491,0.5937,,,,,,,,
3589,0.4438,,,,,,,,
3657,0.5213,,,,,,,,
3739,0.459,,,,,,,,
3860,0.3469,,,,,,,,
3956,0.3849,,,,,,,,
4011,0.4361,,,,,,,,
4112,0.2178,,,,,,,,
4218,0.2056,,,,,,,,
4301,0.6432,,,,,,,,
4413,0.6359,,,,,,,,
4518,0.6457,,,,,,,,
4616,0.6596,,,,,,,,
4706,0.6878,,,,,,,,
4848,0.5942,,,,,,,,
4992,0.5387,,,,,,,,
5119,0.4745,,,,,,,,
5235,0.4646,,,,,,,,
5327,0.5561,,,,,,,,
5498,0.4673,,,,,,,,
5659,0.434,,,,,,,,
5758,0.5363,,,,,,,,
5894,0.5611,,,,,,,,
6083,0.4874,,,,,,,,
6205,0.4411,,,,,,,,
6431,0.31,,,,,,,,
6542,0.4528,,,,,,,,
6721,0.4542,,,,,,,,
6947,0.3919,,,,,,,,
7067,0.5287,,,,,,,,
7342,0.3245,,,,,,,,
7508,0.3703,,,,,,,,
7716,0.4018,,,,,,,,
7929,0.3817,,,,,,,,
8116,0.4231,,,,,,,,
8417,0.3217,,,,,,,,
8576,0.4095,,,,,,,,
8870,0.3932,,,,,,,,
9124,0.3401,,,,,,,,
9336,0.4439,,,,,,,,
9645,0.386,,,,,,,,
9908,0.3893,,,,,,,,
10275,0.3114,,,,,,,,
10621,0.2822,,,,,,,,
10889,0.3452,,,,,,,,
11240,0.3566,,,,,,,,
11569,0.3429,,,,,,,,
11943,0.3603,,,,,,,,
12317,0.3675,,,,,,,,
12670,0.4065,,,,,,,,
13099,0.3773,,,,,,,,
13685,0.224,,,,,,,,
14144,0.2317,,,,,,,,
14495,0.3346,,,,,,,,
14951,0.3708,,,,,,,,
15373,0.447,,,,,,,,
15896,0.4519,,,,,,,,
16499,0.4085,,,,,,,,
16999,0.4738,,,,,,,,
17628,0.4758,,,,,,,,
18278,0.4467,,,,,,,,
18844,0.5179,,,,,,,,
19474,0.5806,,,,,,,,
20188,0.5694,,,,,,,,
20967,0.5677,,,,,,,,
21576,0.303,,,,,,,,
22365,0.3304,,,,,,,,
23048,0.4555,,,,,,,,
23857,0.5245,,,,,,,,
24798,0.33,,,,,,,,
25656,0.4261,,,,,,,,
26464,0.5717,,,,,,,,
27449,0.4055,,,,,,,,
28476,0.4901,,,,,,,,
29329,0.4872,,,,,,,,
30415,0.5802,,,,,,,,
31570,0.6795,,,,,,,,
32700,0.3807,,,,,,,,
33797,0.3342,,,,,,,,
34997,0.5185,,,,,,,,
36218,0.3638,,,,,,,,
37528,0.5362,,,,,,,,
1546,0.1823,,,,,,,,
1561,0.0997,,,,,,,,
1614,0,,,,,,,,
1557,0.4951,,,,,,,,
1589,0.5479,,,,,,,,
1603,0.304,,,,,,,,
1633,0.4579,,,,,,,,
1685,0.1158,,,,,,,,
1626,0.678,,,,,,,,
1699,0.029,,,,,,,,
1665,0.3598,,,,,,,,
1717,0.2636,,,,,,,,
1717,0.3052,,,,,,,,
1716,0.3951,,,,,,,,
1739,0.2488,,,,,,,,
