690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,d690,d750,d800,d850,ai690,
0.17485,0.17225,0.17232,0.17313,0.034369,0.034842,0.035688,0.034229,1,0.209219,0.207092,0.208008,0.207359,0.53004,
0.16874,0.16584,0.16752,0.16694,0.038495,0.03785,0.038401,0.036499,1,0.207235,0.20369,0.205921,0.203439,0.50008,
0.16167,0.15975,0.16073,0.15979,0.038043,0.039888,0.0403,0.038166,1,0.199713,0.199638,0.20103,0.197956,0.51477,
0.15371,0.15254,0.15222,0.15315,0.040417,0.040824,0.041826,0.03877,1,0.194127,0.193364,0.194046,0.19192,0.57506,
0.14869,0.14637,0.14684,0.14689,0.041943,0.043197,0.043572,0.041379,1,0.190633,0.189567,0.190412,0.188269,0.53267,
0.143,0.14073,0.14156,0.14213,0.04737,0.045386,0.046488,0.044012,1,0.19037,0.186116,0.188048,0.186142,0.52554,
0.1387,0.13536,0.13672,0.1367,0.048727,0.048043,0.048624,0.045968,1,0.187427,0.183403,0.185344,0.182668,0.47085,
0.13157,0.12927,0.13076,0.13008,0.048896,0.049865,0.050099,0.048336,1,0.180466,0.179135,0.180859,0.178416,0.54177,
0.12599,0.12338,0.12504,0.12575,0.051864,0.051887,0.052914,0.050099,1,0.177854,0.175267,0.177954,0.175849,0.55869,
0.12081,0.11852,0.11978,0.12007,0.053616,0.054878,0.054643,0.052587,1,0.174426,0.173398,0.174423,0.172657,0.56792,
0.11684,0.11401,0.11358,0.11501,0.055397,0.056315,0.057813,0.0558,1,0.172237,0.170325,0.171393,0.17081,0.53119,
0.11037,0.1091,0.11075,0.10993,0.058421,0.059924,0.059848,0.058457,1,0.168791,0.169024,0.170598,0.168387,0.61938,
0.10743,0.10521,0.10608,0.10581,0.063028,0.062331,0.063662,0.06138,1,0.170458,0.167541,0.169742,0.16719,0.54963,
0.10227,0.099747,0.10088,0.1012,0.064667,0.065255,0.065443,0.063288,1,0.166937,0.165002,0.166323,0.164488,0.59521,
0.098023,0.095923,0.096229,0.097078,0.06837,0.067979,0.069376,0.065945,1,0.166393,0.163902,0.165605,0.163023,0.60513,
0.094339,0.091722,0.092732,0.093536,0.072073,0.071655,0.073208,0.069037,1,0.166412,0.163377,0.16594,0.162573,0.59415,
0.089957,0.087915,0.089099,0.088496,0.074842,0.074229,0.075089,0.072733,1,0.164799,0.162144,0.164188,0.161229,0.62824,
0.086588,0.084468,0.085007,0.085567,0.077838,0.078072,0.078972,0.075173,1,0.164426,0.16254,0.163979,0.16074,0.61597,
0.083136,0.080743,0.081527,0.081872,0.08106,0.082584,0.081651,0.078772,1,0.164196,0.163327,0.163178,0.160644,0.61556,
0.079999,0.07669,0.079455,0.077955,0.085583,0.085258,0.085787,0.083531,1,0.165582,0.161948,0.165242,0.161486,0.60443,
0.075634,0.07303,0.075092,0.074379,0.087278,0.087647,0.088568,0.084835,1,0.162912,0.160677,0.16366,0.159214,0.67384,
0.073028,0.07065,0.072291,0.070923,0.091999,0.092443,0.09418,0.089956,1,0.165027,0.163093,0.166471,0.160879,0.64582,
0.068148,0.066958,0.06842,0.068181,0.096266,0.09627,0.096977,0.092758,1,0.164414,0.163228,0.165397,0.160939,0.76925,
0.066372,0.064529,0.065754,0.064077,0.10209,0.1008,0.10147,0.095536,1,0.168462,0.165329,0.167224,0.159613,0.7015,
0.061941,0.060705,0.061221,0.061591,0.10333,0.10432,0.10539,0.10085,1,0.165271,0.165025,0.166611,0.162441,0.81854,
0.05975,0.058342,0.058946,0.058884,0.10932,0.1086,0.11039,0.10416,1,0.16907,0.166942,0.169336,0.163044,0.79117,
0.057543,0.055355,0.056553,0.055802,0.11249,0.11276,0.11441,0.10918,1,0.170033,0.168115,0.170963,0.164982,0.7707,
0.05502,0.05286,0.054872,0.053809,0.11729,0.11768,0.11929,0.11387,1,0.17231,0.17054,0.174162,0.167679,0.77932,
0.051518,0.050497,0.051476,0.051527,0.12148,0.12306,0.12409,0.11776,1,0.172998,0.173557,0.175566,0.169287,0.87047,
0.049775,0.048692,0.049201,0.048973,0.12803,0.1281,0.12968,0.12431,1,0.177805,0.176792,0.178881,0.173283,0.83407,
0.046539,0.045508,0.046315,0.046351,0.13145,0.13305,0.13473,0.12716,1,0.177989,0.178558,0.181045,0.173511,0.92446,
0.045194,0.0439,0.045194,0.044205,0.13716,0.13882,0.13945,0.13162,1,0.182354,0.18272,0.184644,0.175825,0.86681,
0.043153,0.041717,0.042325,0.043047,0.1446,0.1439,0.14525,0.14027,1,0.187753,0.185617,0.187575,0.183317,0.87282,
0.04068,0.039567,0.040661,0.039999,0.15028,0.151,0.15096,0.14341,1,0.19096,0.190567,0.191621,0.183409,0.92374,
0.039319,0.037582,0.039116,0.038756,0.15534,0.15589,0.15696,0.1503,1,0.194659,0.193472,0.196076,0.189056,0.8823,
0.036481,0.035169,0.036672,0.035402,0.16076,0.16261,0.16337,0.15634,1,0.197241,0.197779,0.200042,0.191742,0.98343,
0.036331,0.034267,0.03533,0.034669,0.16865,0.1699,0.16996,0.16423,1,0.204981,0.204167,0.20529,0.198899,0.83753,
0.033028,0.031788,0.032801,0.032592,0.17377,0.17593,0.17688,0.17044,1,0.206798,0.207718,0.209681,0.203032,1,
0.032232,0.031116,0.031782,0.031162,0.18072,0.1828,0.18461,0.17655,1,0.212952,0.213916,0.216392,0.207712,0.92289,
0.030638,0.030361,0.030967,0.030583,0.19013,0.19159,0.19192,0.18438,1,0.220768,0.221951,0.222887,0.214963,0.93093,
0.029626,0.028473,0.029507,0.02934,0.19728,0.20056,0.19992,0.19216,1,0.226906,0.229033,0.229427,0.2215,0.88367,
0.027834,0.027275,0.027826,0.027211,0.20358,0.20668,0.20818,0.19919,1,0.231414,0.233955,0.236006,0.226401,0.92387,
0.026506,0.025224,0.025585,0.026121,0.2104,0.21458,0.2151,0.20837,1,0.236906,0.239804,0.240685,0.234491,0.92011,
0.02639,0.024453,0.025399,0.025134,0.2215,0.22399,0.22369,0.2159,1,0.24789,0.248443,0.249089,0.241034,0.78632,
0.023917,0.023616,0.023344,0.023346,0.23137,0.23393,0.23434,0.22617,1,0.255287,0.257546,0.257684,0.249516,0.92065,
0.023634,0.022385,0.023412,0.022937,0.24098,0.24401,0.24239,0.23537,1,0.264614,0.266395,0.265802,0.258307,0.80978,
0.021859,0.020891,0.021731,0.021251,0.24994,0.25273,0.25245,0.24373,1,0.271799,0.273621,0.274181,0.264981,0.87799,
0.021045,0.020054,0.020424,0.020672,0.26,0.26166,0.26091,0.25351,1,0.281045,0.281714,0.281334,0.274182,0.83644,
0.020581,0.0193,0.020407,0.019123,0.27258,0.27454,0.27308,0.26608,1,0.293161,0.29384,0.293487,0.285203,0.75546,
