intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
13916,0.0715,8517,8049,7999,9432,10491,10374,11589,11124
14376,0.0715,8816,8376,8148,9751,10776,10714,11837,11471
14859,0.0715,9019,8577,8452,10068,11014,10990,12180,11880
15360,0.0715,9318,8902,8715,10436,11460,11441,12660,12234
15926,0.0715,9667,9211,9033,10843,11797,11761,13030,12620
16525,0.0715,9922,9498,9354,11170,12100,12029,13408,13010
17102,0.0715,10233,9887,9602,11684,12570,12483,13903,13454
17639,0.0715,10593,10274,10018,12122,12909,12946,14383,13934
18374,0.0715,11017,10655,10388,12570,13503,13423,14897,14320
18936,0.0715,11393,11027,10716,13145,13789,13782,15350,14772
19605,0.0715,11709,11479,11128,13704,14330,14263,15953,15254
20333,0.0715,12184,11928,11589,14339,14830,14768,16512,15897
21100,0.0715,12515,12337,12059,14847,15330,15271,17054,16294
21842,0.0715,12937,12823,12461,15490,15809,15763,17533,16886
22651,0.0715,13390,13263,12957,16080,16462,16325,18180,17421
23406,0.0715,13736,13761,13451,16862,17033,16931,18866,17964
24263,0.0715,14296,14268,13999,17578,17679,17463,19510,18567
25174,0.0715,14677,14933,14506,18342,18465,18195,20172,19245
25998,0.0715,15188,15505,15113,19158,19188,18804,21047,19952
26958,0.0715,15676,16147,15736,19990,19958,19497,21728,20664
27954,0.0715,16220,16768,16383,20934,20812,20168,22564,21276
28996,0.0715,16799,17410,17051,21862,21573,20987,23405,22053
30017,0.0715,17403,18106,17740,22884,22539,21748,24238,22807
31219,0.0715,18044,18863,18606,23903,23475,22692,25074,23561
32349,0.0715,18697,19524,19328,24907,24431,23516,26095,24396
33395,0.0715,19359,20372,20122,26046,25380,24440,27109,25179
34536,0.0715,20084,21200,20834,27137,26544,25368,28129,26068
35904,0.0715,20795,21958,21692,28377,27546,26383,29000,26985
36917,0.0715,21551,22823,22614,29620,28669,27405,30136,27908
1540,0.6233,,,,,,,,
1573,0.2331,,,,,,,,
1584,0.3282,,,,,,,,
1625,0.1073,,,,,,,,
1626,0.1738,,,,,,,,
1630,0.275,,,,,,,,
1670,0.106,,,,,,,,
1694,0.238,,,,,,,,
1709,0.1257,,,,,,,,
1736,0.0333,,,,,,,,
1753,0.1485,,,,,,,,
1786,0.1463,,,,,,,,
1771,0.1889,,,,,,,,
1847,0.0283,,,,,,,,
1864,0.9924,,,,,,,,
1887,0.9067,,,,,,,,
1902,0.9629,,,,,,,,
1946,0.9912,,,,,,,,
1985,0.5944,,,,,,,,
2015,0.864,,,,,,,,
2023,1,,,,,,,,
2115,0.7536,,,,,,,,
2134,0.754,,,,,,,,
2150,0.917,,,,,,,,
2226,0.518,,,,,,,,
2243,0.6045,,,,,,,,
2291,0.4928,,,,,,,,
2341,0.6054,,,,,,,,
2375,0.5726,,,,,,,,
2432,0.5595,,,,,,,,
2511,0.4365,,,,,,,,
2549,0.4899,,,,,,,,
2560,0.5996,,,,,,,,
2673,0.4156,,,,,,,,
2708,0.268,,,,,,,,
2756,0.3237,,,,,,,,
2816,0.3356,,,,,,,,
2827,0.4148,,,,,,,,
3020,0,,,,,,,,
3001,0.2795,,,,,,,,
3062,0.7828,,,,,,,,
3153,0.6075,,,,,,,,
3188,0.7257,,,,,,,,
3267,0.676,,,,,,,,
3353,0.6098,,,,,,,,
3385,0.6522,,,,,,,,
3491,0.5937,,,,,,,,
3589,0.4438,,,,,,,,
3657,0.5213,,,,,,,,
3739,0.459,,,,,,,,
3860,0.3469,,,,,,,,
3956,0.3849,,,,,,,,
4011,0.4361,,,,,,,,
4112,0.2178,,,,,,,,
4218,0.2056,,,,,,,,
4301,0.6432,,,,,,,,
4413,0.6359,,,,,,,,
4518,0.6457,,,,,,,,
4616,0.6596,,,,,,,,
4706,0.6878,,,,,,,,
4848,0.5942,,,,,,,,
