intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
62114,0.2654,60296,52766,63890,60802,60824,64272,64471,58810,63955,62622
59827,0.2654,58574,51054,60756,58755,58392,61106,63894,56856,61339,59958
57844,0.2654,56636,49259,58682,56703,56098,58033,59032,54975,58539,58109
55736,0.2654,55075,47694,56837,55042,54177,55839,57283,52971,56648,56442
53660,0.2654,53209,45837,54874,52988,51896,53543,55261,51246,54848,54625
51755,0.2654,51336,44121,52988,51195,49915,51525,53379,49297,53006,52989
49887,0.2654,49723,42368,51187,49476,47942,49536,51571,47699,51234,51261
48131,0.2654,47971,40908,49657,47741,46097,47443,49852,45970,49371,49705
46295,0.2654,46294,39276,47734,45930,44262,45644,48073,44395,47686,48146
44680,0.2654,44815,37797,46362,44370,42583,43830,46430,42989,45984,46605
43007,0.2654,43195,36386,44829,42826,41162,42175,45003,41511,44458,45123
41319,0.2654,41831,35001,43294,41254,39545,40437,43277,40115,42821,43613
39715,0.2654,40250,33767,41796,39722,38161,38807,41926,38696,41306,42188
38314,0.2654,39044,32558,40422,38414,36804,37319,40632,37651,39917,40854
36967,0.2654,37598,31450,39096,36987,35550,35888,39275,36391,38360,39577
35450,0.2654,36267,30305,37768,35682,34272,34581,37888,35219,36998,38123
34143,0.2654,35048,29355,36342,34280,33072,33331,36691,34057,35700,36891
32981,0.2654,33804,28348,35130,33069,31961,32130,35633,33072,34381,35902
31735,0.2654,32659,27535,33795,31928,30955,31141,34447,31879,33158,34653
30638,0.2654,31532,26549,32590,30678,29843,29904,33432,31116,31983,33451
29632,0.2654,30515,25760,31388,29534,28945,28967,32443,30107,30841,32427
28487,0.2654,29379,24997,30129,28311,27893,27946,31281,29111,29757,31264
27379,0.2654,28465,24185,29013,27354,26928,27192,30379,28267,28619,30197
26454,0.2654,27508,23488,27776,26386,26022,26270,29432,27470,27612,29271
25477,0.2654,26550,22854,26708,25349,25209,25383,28439,26542,26641,28345
24609,0.2654,25666,22125,25696,24358,24410,24679,27697,25823,25625,27421
23740,0.2654,24753,21530,24715,23324,23612,23846,26893,25052,24758,26513
22822,0.2654,23924,20910,23692,22548,22754,23085,26033,24199,23881,25549
22083,0.4807,23186,20263,22705,21702,22185,22468,25430,23568,23073,24869
21247,0.4905,22406,19703,21877,20849,21524,21800,24710,22915,22321,24090
20479,0.5008,21647,18974,20938,19904,20684,21137,23888,22087,21415,23293
19755,0.4572,20912,18447,20154,19240,20028,20518,23171,21560,20730,22544
19075,0.4351,20203,17900,19265,18420,19457,19911,22507,20927,19921,21680
18361,0.4492,19564,17325,18470,17687,18895,19411,21807,20176,19241,21038
17791,0.3957,19052,16819,17856,17008,18465,18920,21340,19708,18760,20476
17076,0.4381,18316,16225,16996,16345,17765,18332,20672,19028,17954,19849
16594,0.3612,17818,15702,16382,15772,17380,17826,20146,18647,17407,19293
15949,0.3969,17251,15144,15745,15044,16779,17347,19448,18015,16874,18606
15730,0.2221,17053,15027,15401,14853,16697,17308,19362,17882,16711,18415
14815,0.4207,16127,14125,14434,13856,15776,16381,18245,16907,15724,17456
14316,0.4025,15652,13618,13853,13249,15324,15953,17806,16443,15138,16844
13756,0.4416,15175,13153,13296,12759,15005,15515,17238,15961,14751,16403
13234,0.472,14721,12700,12819,12210,14592,15148,16814,15393,14178,15840
12847,0.4428,14350,12234,12287,11745,14178,14742,16213,14999,13825,15379
12400,0.4556,13952,11833,11867,11285,13803,14342,15865,14555,13329,14902
11982,0.4268,13607,11383,11489,10852,13470,14030,15322,14128,13050,14385
11561,0.444,13208,11025,10977,10487,13111,13607,14969,13714,12527,13931
11115,0.5083,12824,10566,10558,10104,12715,13289,14453,13227,12158,13481
10825,0.4665,12499,10220,10258,9751,12476,13031,14039,12945,11886,13054
10443,0.4611,12200,9915,9873,9414,12136,12659,13716,12519,11544,12668
10178,0.4066,11963,9535,9531,9110,11859,12457,13270,12182,11224,12314
9780,0.4817,11633,9253,9253,8779,11570,12101,12913,11842,10877,11890
9448,0.501,11397,8846,8957,8527,11293,11803,12556,11524,10619,11543
9153,0.5124,11065,8597,8721,8239,11097,11640,12173,11167,10324,11141
8891,0.4762,10786,8290,8397,8047,10674,11307,11899,10823,10032,10787
8503,0.5691,10575,7992,8176,7752,10505,10980,11574,10509,9752,10505
8299,0.4988,10317,7748,7962,7580,10286,10779,11261,10210,9449,10186
8025,0.5476,10069,7505,7723,7363,10057,10560,11004,9899,9254,9847
7765,0.5595,9877,7263,7515,7155,9835,10319,10748,9574,8916,9520
7517,0.5498,9600,7007,7365,6973,9651,10091,10430,9348,8679,9257
7276,0.5866,9398,6824,7170,6793,9393,9867,10111,9179,8464,8951
7054,0.5755,9197,6620,6978,6654,9180,9683,9893,8814,8230,8729
6876,0.5767,8947,6463,6842,6494,8979,9468,9649,8617,8017,8445
6643,0.5667,8784,6270,6690,6358,8795,9269,9412,8369,7818,8221
6415,0.64,8530,6083,6430,6215,8573,9004,9159,8062,7570,7958
6218,0.6125,8318,5918,6308,6017,8407,8864,8988,7928,7403,7769
5942,0.7416,8170,5713,6088,5940,8249,8587,8693,7681,7174,7498
5837,0.673,7920,5571,5977,5828,8010,8428,8509,7452,6972,7292
5589,0.7955,7728,5438,5841,5695,7852,8274,8346,7275,6856,7094
5450,0.7686,7570,5327,5685,5626,7674,8080,8122,7101,6594,6960
5326,0.7487,7416,5188,5541,5481,7472,7884,7884,6867,6453,6701
5153,0.759,7179,5092,5406,5343,7385,7672,7704,6674,6264,6573
4956,0.8547,7034,4906,5319,5275,7185,7521,7541,6550,6153,6366
4828,0.8183,6856,4805,5188,5157,7042,7341,7316,6398,5965,6248
4670,0.9132,6691,4718,5031,5053,6794,7165,7125,6228,5797,6048
4578,0.8548,6511,4613,4926,4975,6700,7009,6910,6087,5680,5880
4433,0.8623,6444,4537,4836,4864,6605,6795,6737,5945,5531,5792
4308,0.9162,6242,4430,4737,4733,6382,6709,6640,5749,5408,5576
4209,0.8745,6068,4321,4625,4637,6312,6500,6469,5617,5220,5440
4072,0.9805,5968,4208,4572,4608,6134,6368,6267,5466,5086,5353
4021,0.8305,5848,4149,4400,4530,6007,6197,6157,5354,5010,5242
3873,1,5670,4105,4351,4399,5852,6080,6031,5235,4861,5059
3768,0.9212,5579,3972,4282,4349,5785,5929,5860,5040,4788,4949
3687,0.9307,5411,3900,4194,4264,5608,5808,5731,4962,4602,4874
3623,0.8828,5361,3850,4118,4166,5493,5692,5544,4832,4527,4699
3534,0.9255,5199,3789,4037,4077,5361,5539,5458,4769,4489,4633
3460,0.9227,5096,3684,3974,3971,5246,5452,5291,4613,4313,4512
3414,0.7851,4981,3631,3922,3918,5160,5294,5188,4507,4193,4453
3288,0.9254,4869,3597,3857,3835,5022,5199,5018,4414,4145,4344
3273,0.8114,4781,3545,3827,3808,4967,5060,4997,4335,4072,4217
3167,0.8832,4687,3467,3713,3731,4836,4949,4790,4201,3954,4118
3120,0.8411,4539,3376,3701,3626,4711,4846,4716,4146,3817,4040
3069,0.7581,4489,3277,3607,3562,4677,4741,4598,4074,3844,3970
2957,0.9017,4360,3255,3529,3477,4539,4686,4480,3882,3701,3851
2940,0.8044,4249,3208,3512,3450,4462,4546,4408,3812,3579,3769
2883,0.7865,4195,3172,3445,3349,4317,4452,4210,3704,3513,3699
2805,0.7958,4080,3101,3405,3339,4271,4359,4154,3675,3460,3550
2825,0.6717,4032,3076,3411,3242,4189,4288,4114,3555,3341,3555
2738,0.728,4004,3014,3304,3182,4115,4218,4045,3504,3327,3459
2696,0.7529,3850,2974,3254,3120,3972,4078,3911,3451,3230,3356
2648,0.6415,3760,2925,3252,3003,3931,4047,3782,3369,3139,3298
2614,0.6685,3639,2879,3175,2985,3807,3900,3701,3249,3135,3188
2555,0.6626,3664,2824,3127,2965,3711,3859,3655,3236,3066,3176
2533,0.6007,3513,2791,3088,2903,3711,3779,3549,3141,2963,3081
2491,0.5804,3523,2758,3024,2879,3591,3682,3457,3118,2975,3048
2474,0.5792,3405,2717,3004,2856,3540,3618,3424,2983,2852,2976
2413,0.5169,3324,2693,2974,2832,3469,3565,3322,2960,2789,2926
2411,0.3694,3314,2636,2950,2739,3383,3527,3268,2932,2721,2804
2364,0.4867,3263,2617,2914,2638,3360,3446,3178,2843,2704,2756
2301,0.5049,3181,2545,2828,2658,3253,3360,3132,2813,2639,2747
2294,0.4926,3119,2556,2793,2602,3187,3321,3095,2755,2600,2683
2308,0.28,3055,2482,2748,2544,3120,3204,3051,2700,2541,2631
2215,0.388,2989,2457,2701,2484,3027,3126,2937,2612,2505,2564
2208,0.441,2956,2453,2692,2438,3032,3087,2874,2551,2459,2497
2175,0.3791,2873,2399,2639,2439,2919,2984,2778,2565,2387,2493
2169,0.2113,2848,2378,2613,2402,2913,2974,2799,2515,2390,2417
2135,0.3015,2790,2352,2571,2349,2829,2882,2685,2479,2296,2360
2113,0.2331,2779,2322,2476,2314,2751,2829,2696,2365,2268,2306
2083,0.2736,2715,2263,2506,2269,2697,2824,2576,2318,2210,2288
2064,0.1927,2649,2201,2447,2228,2652,2705,2557,2287,2190,2239
2046,0.1583,2578,2272,2386,2183,2589,2679,2554,2242,2155,2229
2013,0.1066,2541,2207,2346,2178,2569,2612,2467,2218,2093,2135
2006,0.0988,2508,2146,2291,2128,2485,2594,2394,2221,2058,2149
1932,0.1476,2476,2153,2272,2121,2445,2507,2338,2148,2046,2099
1964,0.0139,2432,2126,2274,2030,2372,2449,2317,2123,2021,2026
1922,0.0533,2418,2074,2233,2093,2352,2433,2307,2049,1982,1988
1924,0,2357,2028,2217,2004,2303,2334,2267,2011,1927,1980
1864,0.1556,2321,2012,2194,1988,2199,2296,2203,1991,1906,1946
60084,0.1023,,,,,,,,,,
57757,0.0788,,,,,,,,,,
55771,0.0437,,,,,,,,,,
53691,0.0235,,,,,,,,,,
51637,0.0113,,,,,,,,,,
49609,0.0067,,,,,,,,,,
47660,0.0032,,,,,,,,,,
45848,0,,,,,,,,,,
43911,0.0105,,,,,,,,,,
42163,0.0142,,,,,,,,,,
40600,0.012,,,,,,,,,,
38929,0.0259,,,,,,,,,,
37254,0.0442,,,,,,,,,,
35812,0.0521,,,,,,,,,,
34367,0.0627,,,,,,,,,,
32903,0.083,,,,,,,,,,
31743,0.0806,,,,,,,,,,
30418,0.1042,,,,,,,,,,
29145,0.1182,,,,,,,,,,
27976,0.1422,,,,,,,,,,
27010,0.1426,,,,,,,,,,
25830,0.1745,,,,,,,,,,
24772,0.1954,,,,,,,,,,
23842,0.2102,,,,,,,,,,
22814,0.2339,,,,,,,,,,
21874,0.2597,,,,,,,,,,
21087,0.2662,,,,,,,,,,
20171,0.3064,,,,,,,,,,
19518,0.3036,,,,,,,,,,
18675,0.3307,,,,,,,,,,
17818,0.374,,,,,,,,,,
17131,0.3964,,,,,,,,,,
16369,0.4362,,,,,,,,,,
15781,0.4517,,,,,,,,,,
15183,0.46,,,,,,,,,,
14571,0.4917,,,,,,,,,,
14042,0.511,,,,,,,,,,
13496,0.5332,,,,,,,,,,
13220,0.5003,,,,,,,,,,
12367,0.6131,,,,,,,,,,
11961,0.6179,,,,,,,,,,
11466,0.6452,,,,,,,,,,
11011,0.6796,,,,,,,,,,
10680,0.6806,,,,,,,,,,
10241,0.7153,,,,,,,,,,
9824,0.7448,,,,,,,,,,
9584,0.7357,,,,,,,,,,
9144,0.7767,,,,,,,,,,
8885,0.7847,,,,,,,,,,
8529,0.8131,,,,,,,,,,
8199,0.8422,,,,,,,,,,
7993,0.8455,,,,,,,,,,
7750,0.8521,,,,,,,,,,
7466,0.8671,,,,,,,,,,
7248,0.8773,,,,,,,,,,
7022,0.8759,,,,,,,,,,
6832,0.8818,,,,,,,,,,
6590,0.9121,,,,,,,,,,
6386,0.9269,,,,,,,,,,
6182,0.9436,,,,,,,,,,
6020,0.9383,,,,,,,,,,
5865,0.9398,,,,,,,,,,
5675,0.9479,,,,,,,,,,
5557,0.9304,,,,,,,,,,
5410,0.9438,,,,,,,,,,
5282,0.9367,,,,,,,,,,
5094,0.9719,,,,,,,,,,
4998,0.9689,,,,,,,,,,
4862,0.9833,,,,,,,,,,
4747,0.9817,,,,,,,,,,
4591,0.973,,,,,,,,,,
4477,0.9657,,,,,,,,,,
4358,1,,,,,,,,,,
4332,0.9606,,,,,,,,,,
4196,0.9896,,,,,,,,,,
4166,0.9696,,,,,,,,,,
4015,0.9706,,,,,,,,,,
3971,0.9431,,,,,,,,,,
3881,0.9644,,,,,,,,,,
3788,0.9624,,,,,,,,,,
3710,0.9608,,,,,,,,,,
3611,0.9719,,,,,,,,,,
3576,0.9376,,,,,,,,,,
3586,0.9031,,,,,,,,,,
3454,0.9141,,,,,,,,,,
3368,0.9534,,,,,,,,,,
3312,0.9336,,,,,,,,,,
3246,0.9189,,,,,,,,,,
3190,0.9125,,,,,,,,,,
3125,0.9221,,,,,,,,,,
3115,0.8851,,,,,,,,,,
3073,0.8932,,,,,,,,,,
3006,0.8738,,,,,,,,,,
2969,0.8815,,,,,,,,,,
2931,0.8703,,,,,,,,,,
2892,0.8574,,,,,,,,,,
2814,0.8703,,,,,,,,,,
2785,0.8428,,,,,,,,,,
2791,0.8092,,,,,,,,,,
2682,0.8631,,,,,,,,,,
2679,0.8314,,,,,,,,,,
2638,0.8287,,,,,,,,,,
2628,0.795,,,,,,,,,,
2599,0.778,,,,,,,,,,
2513,0.8193,,,,,,,,,,
2496,0.821,,,,,,,,,,
2481,0.7748,,,,,,,,,,
2444,0.7661,,,,,,,,,,
2417,0.7721,,,,,,,,,,
2357,0.7672,,,,,,,,,,
2366,0.7355,,,,,,,,,,
2329,0.7402,,,,,,,,,,
2300,0.7355,,,,,,,,,,
2258,0.7456,,,,,,,,,,
2227,0.7483,,,,,,,,,,
2182,0.7702,,,,,,,,,,
2180,0.7535,,,,,,,,,,
2142,0.7583,,,,,,,,,,
2175,0.6507,,,,,,,,,,
2107,0.7177,,,,,,,,,,
2081,0.7305,,,,,,,,,,
2056,0.7158,,,,,,,,,,
2052,0.6956,,,,,,,,,,
2022,0.7001,,,,,,,,,,
1977,0.6822,,,,,,,,,,
1989,0.6795,,,,,,,,,,
1947,0.7144,,,,,,,,,,
1940,0.6724,,,,,,,,,,
65108,0.2995,,,,,,,,,,
64706,0.2027,,,,,,,,,,
59862,0.545,,,,,,,,,,
58095,0.3283,,,,,,,,,,
55892,0.4629,,,,,,,,,,
53976,0.3337,,,,,,,,,,
52187,0.6106,,,,,,,,,,
50362,0.5095,,,,,,,,,,
48566,0.4398,,,,,,,,,,
46774,0.3794,,,,,,,,,,
45253,0.4659,,,,,,,,,,
43621,0.4271,,,,,,,,,,
42116,0.3645,,,,,,,,,,
40650,0.3164,,,,,,,,,,
39310,0.2447,,,,,,,,,,
37852,0.2564,,,,,,,,,,
36556,0.2176,,,,,,,,,,
35376,0.1578,,,,,,,,,,
34115,0.1601,,,,,,,,,,
32882,0.1556,,,,,,,,,,
31821,0.1317,,,,,,,,,,
30653,0.1429,,,,,,,,,,
29672,0.1194,,,,,,,,,,
28679,0.1212,,,,,,,,,,
27631,0.1432,,,,,,,,,,
26824,0.0943,,,,,,,,,,
25888,0.1022,,,,,,,,,,
24905,0.1742,,,,,,,,,,
24143,0.141,,,,,,,,,,
23497,0.0841,,,,,,,,,,
22487,0.2002,,,,,,,,,,
21887,0.1401,,,,,,,,,,
21190,0.1392,,,,,,,,,,
20416,0.2225,,,,,,,,,,
19831,0.174,,,,,,,,,,
19259,0.1558,,,,,,,,,,
18628,0.1795,,,,,,,,,,
18093,0.1748,,,,,,,,,,
17901,0,,,,,,,,,,
16967,0.2138,,,,,,,,,,
16435,0.2333,,,,,,,,,,
15892,0.2523,,,,,,,,,,
15478,0.2294,,,,,,,,,,
14942,0.2802,,,,,,,,,,
14566,0.2582,,,,,,,,,,
14088,0.2896,,,,,,,,,,
13723,0.2851,,,,,,,,,,
13215,0.3613,,,,,,,,,,
12975,0.2971,,,,,,,,,,
12620,0.2688,,,,,,,,,,
12227,0.3236,,,,,,,,,,
11897,0.317,,,,,,,,,,
11501,0.3798,,,,,,,,,,
11210,0.3455,,,,,,,,,,
10909,0.3767,,,,,,,,,,
10595,0.383,,,,,,,,,,
10287,0.432,,,,,,,,,,
10065,0.3636,,,,,,,,,,
9752,0.4061,,,,,,,,,,
9523,0.3981,,,,,,,,,,
9214,0.1815,,,,,,,,,,
8959,0.23,,,,,,,,,,
8795,0.1685,,,,,,,,,,
8513,0.2372,,,,,,,,,,
8284,0.2677,,,,,,,,,,
8053,0.1505,,,,,,,,,,
7813,0.1579,,,,,,,,,,
7635,0.1955,,,,,,,,,,
7413,0.2365,,,,,,,,,,
7228,0.2382,,,,,,,,,,
7026,0.2807,,,,,,,,,,
6836,0.3007,,,,,,,,,,
6653,0.1442,,,,,,,,,,
6495,0.1552,,,,,,,,,,
6347,0.1816,,,,,,,,,,
6171,0.1926,,,,,,,,,,
5997,0.2785,,,,,,,,,,
5813,0.2858,,,,,,,,,,
5680,0.2964,,,,,,,,,,
5514,0.3389,,,,,,,,,,
