690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,d690,d750,d800,d850,ai690,si690
0.18904,0.18748,0.18684,0.18866,0.031062,0.031784,0.031874,0.031789,1,-0.036358,-0.029809,-0.031087,-0.027872,0.55016,
0.18239,0.17921,0.18034,0.18053,0.033719,0.034106,0.033637,0.031717,1,-0.035805,-0.03019,-0.030343,-0.028532,0.51981,
0.17485,0.17225,0.17232,0.17313,0.034369,0.034842,0.035688,0.034229,1,-0.03643,-0.030334,-0.029634,-0.028243,0.53004,
0.16874,0.16584,0.16752,0.16694,0.038495,0.03785,0.038401,0.036499,1,-0.034677,-0.03064,-0.029332,-0.027639,0.50008,
0.16167,0.15975,0.16073,0.15979,0.038043,0.039888,0.0403,0.038166,1,-0.035324,-0.028181,-0.02824,-0.028488,0.51477,
0.15371,0.15254,0.15222,0.15315,0.040417,0.040824,0.041826,0.03877,1,-0.034074,-0.028835,-0.029678,-0.027844,0.57506,
0.14869,0.14637,0.14684,0.14689,0.041943,0.043197,0.043572,0.041379,1,-0.036937,-0.030233,-0.030765,-0.029977,0.53267,
0.143,0.14073,0.14156,0.14213,0.04737,0.045386,0.046488,0.044012,1,-0.031526,-0.028756,-0.027808,-0.025564,0.52554,
0.1387,0.13536,0.13672,0.1367,0.048727,0.048043,0.048624,0.045968,1,-0.033925,-0.028642,-0.027494,-0.028818,0.47085,
0.13157,0.12927,0.13076,0.13008,0.048896,0.049865,0.050099,0.048336,1,-0.038331,-0.030694,-0.029576,-0.02983,0.54177,
0.12599,0.12338,0.12504,0.12575,0.051864,0.051887,0.052914,0.050099,1,-0.03765,-0.031868,-0.029479,-0.02835,0.55869,
0.12081,0.11852,0.11978,0.12007,0.053616,0.054878,0.054643,0.052587,1,-0.037145,-0.030828,-0.030389,-0.028543,0.56792,
0.11684,0.11401,0.11358,0.11501,0.055397,0.056315,0.057813,0.0558,1,-0.03635,-0.030306,-0.031308,-0.027629,0.53119,
0.11037,0.1091,0.11075,0.10993,0.058421,0.059924,0.059848,0.058457,1,-0.0386,-0.028745,-0.029076,-0.028187,0.61938,
0.10743,0.10521,0.10608,0.10581,0.063028,0.062331,0.063662,0.06138,1,-0.03391,-0.029859,-0.027255,-0.027131,0.54963,
0.10227,0.099747,0.10088,0.1012,0.064667,0.065255,0.065443,0.063288,1,-0.034048,-0.029912,-0.031101,-0.02905,0.59521,
0.098023,0.095923,0.096229,0.097078,0.06837,0.067979,0.069376,0.065945,1,-0.036658,-0.029751,-0.03039,-0.027946,0.60513,
0.094339,0.091722,0.092732,0.093536,0.072073,0.071655,0.073208,0.069037,1,-0.033197,-0.028923,-0.029038,-0.02727,0.59415,
0.089957,0.087915,0.089099,0.088496,0.074842,0.074229,0.075089,0.072733,1,-0.032769,-0.029925,-0.028153,-0.026781,0.62824,
