intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
1539,0.1264,1143,1040,949,1014,1273,1347,1316,1195
1539,0,1129,1058,960,1043,1306,1372,1365,1232
1533,0.3734,1115,1037,960,1066,1334,1387,1370,1259
1573,0.0488,1145,1060,961,1029,1365,1421,1387,1279
1577,0.397,1149,1068,1004,1083,1369,1409,1383,1253
1593,0.1378,1172,1125,1004,1089,1380,1453,1404,1315
1603,0.4256,1175,1114,999,1096,1456,1459,1471,1306
1623,0.2846,1186,1152,1011,1125,1452,1472,1474,1368
1592,0.6316,1212,1094,1050,1122,1448,1535,1487,1327
1641,0.3291,1191,1128,1044,1131,1485,1498,1515,1384
1655,0.3644,1257,1161,1055,1201,1473,1563,1538,1376
1686,0.2124,1244,1162,1070,1189,1532,1572,1555,1421
1645,0.7958,1242,1207,1072,1190,1508,1565,1604,1391
1704,0.5862,1276,1224,1082,1194,1565,1609,1614,1447
1728,0.3352,1291,1233,1095,1243,1568,1621,1645,1456
1763,0.4835,1269,1246,1132,1217,1586,1654,1655,1483
1743,0.6532,1277,1301,1121,1258,1580,1752,1665,1507
1762,0.6613,1322,1255,1138,1259,1662,1704,1720,1488
1789,0.624,1371,1323,1189,1292,1698,1722,1757,1560
1814,0.6512,1356,1336,1194,1287,1697,1761,1778,1589
1821,0.6871,1361,1324,1221,1326,1761,1807,1802,1568
1879,0.5378,1417,1364,1248,1339,1763,1815,1830,1641
1863,0.7579,1424,1369,1260,1368,1816,1810,1832,1648
1882,0.8238,1422,1408,1246,1388,1828,1870,1893,1675
1953,0.6599,1441,1402,1303,1400,1838,1919,1969,1672
1947,0.7902,1456,1478,1294,1409,1871,1942,1985,1742
1985,0.8078,1464,1476,1316,1431,1887,1974,1966,1760
2015,0.7781,1519,1523,1384,1455,1918,2007,2008,1785
2053,0.6617,1525,1506,1398,1499,1985,2042,2103,1805
2087,0.7728,1584,1551,1437,1522,2074,2061,2148,1833
2126,1,1603,1581,1419,1534,2024,2099,2139,1881
2142,0.8128,1606,1586,1467,1586,2063,2139,2182,1904
2177,0.8266,1652,1615,1493,1573,2122,2156,2206,1918
2208,0.9281,1674,1652,1546,1601,2203,2227,2266,1990
2258,0.8162,1687,1695,1579,1630,2247,2266,2307,2029
2303,0.8643,1709,1733,1633,1647,2259,2290,2394,2037
2318,0.8621,1776,1807,1632,1703,2317,2298,2396,2097
2402,0.7727,1791,1794,1670,1729,2402,2350,2475,2138
2449,0.7549,1853,1882,1732,1833,2456,2464,2590,2176
2483,0.86,1862,1928,1734,1785,2442,2449,2575,2237
2490,0.9438,1910,1914,1802,1823,2523,2468,2581,2276
2588,0.7927,1916,1931,1801,1856,2524,2536,2673,2316
2615,0.8846,1995,2022,1831,1913,2611,2588,2706,2394
2723,0.7552,2021,2076,1892,1935,2654,2609,2786,2422
2753,0.8614,2051,2129,1938,1977,2709,2678,2789,2452
2849,0.5966,2090,2180,1980,2031,2780,2713,2885,2483
2838,0.8254,2098,2200,1999,2097,2888,2780,2945,2553
2956,0.7628,2184,2224,2086,2106,2884,2840,3016,2587
3022,0.7949,2203,2333,2100,2139,2942,2865,3069,2604
3175,0.462,2290,2371,2179,2192,3017,2963,3131,2725
3217,0.5248,2315,2440,2225,2246,3114,3028,3202,2778
3255,0.6998,2375,2465,2312,2278,3180,3085,3283,2837
3364,0.6269,2409,2591,2349,2360,3288,3124,3374,2876
3443,0.6696,2466,2617,2435,2425,3361,3249,3393,2943
3483,0.7154,2526,2687,2473,2497,3404,3273,3530,3014
3592,0.6626,2608,2682,2532,2539,3493,3339,3569,3099
3728,0.4952,2657,2858,2607,2595,3574,3408,3688,3177
3823,0.5717,2732,2904,2678,2699,3674,3523,3766,3205
3950,0.4977,2794,2980,2759,2753,3735,3590,3872,3273
4055,0.4356,2858,3102,2794,2830,3843,3696,3976,3347
4176,0.4493,2949,3115,2896,2929,3959,3773,4043,3463
4263,0.4547,3056,3187,2985,3010,4057,3868,4159,3525
4407,0.4525,3168,3316,3076,3075,4181,3985,4192,3583
4523,0.3742,3220,3439,3155,3141,4328,4014,4364,3753
4618,0.4865,3291,3497,3253,3205,4382,4163,4430,3815
4745,0.4143,3390,3608,3325,3335,4508,4221,4551,3916
4914,0.3817,3496,3688,3441,3430,4626,4380,4603,3996
5122,0.2698,3615,3787,3502,3566,4714,4445,4742,4074
5185,0.4303,3699,3899,3614,3670,4890,4588,4833,4190
5390,0.3291,3861,4056,3670,3776,4976,4681,4999,4296
5511,0.3948,3937,4166,3831,3946,5123,4832,5056,4419
5660,0.3799,4119,4273,3924,4051,5305,4971,5245,4581
5822,0.4073,4167,4370,4051,4134,5377,5097,5373,4714
6031,0.3232,4321,4579,4122,4276,5581,5218,5510,4817
6189,0.407,4522,4642,4296,4393,5697,5347,5664,4962
6380,0.3867,4606,4804,4421,4555,5910,5515,5694,5098
6621,0.2974,4765,4989,4508,4698,6045,5638,5876,5262
6846,0.3023,4905,5105,4715,4906,6160,5788,6038,5447
7008,0.3449,5116,5281,4836,4988,6377,5989,6245,5618
7234,0.3806,5264,5442,4946,5145,6491,6118,6387,5791
7471,0.3215,5454,5594,5142,5338,6756,6287,6511,5962
7703,0.3909,5628,5800,5241,5570,6846,6471,6746,6134
7892,0.3943,5817,5970,5446,5715,7054,6715,6851,6327
8240,0.3127,6012,6175,5596,5930,7289,6924,7061,6529
8490,0.3336,6229,6342,5790,6070,7477,7073,7273,6736
8732,0.3977,6459,6541,6020,6318,7669,7205,7425,7003
8979,0.4533,6621,6744,6141,6495,7858,7522,7631,7182
9333,0.3647,6859,6921,6420,6710,8105,7707,7871,7408
9705,0.3376,7167,7158,6660,6968,8342,7966,8111,7676
10047,0.3339,7446,7386,6920,7231,8605,8277,8407,7996
10365,0.3656,7653,7667,7074,7434,8808,8437,8565,8264
10723,0.3745,7920,7828,7382,7752,9022,8737,8809,8386
11145,0.0715,8212,8139,7612,7939,9359,8997,9126,8753
11457,0.0715,8485,8463,7870,8126,9516,9216,9293,8988
11754,0.0715,8737,8693,8231,8505,9804,9584,9603,9261
12188,0.0715,9118,8924,8534,8764,10171,9840,9912,9576
12552,0.0715,9520,9305,8807,8950,10429,10175,10259,9904
13019,0.0715,9727,9669,9189,9465,10812,10610,10645,10272
13557,0.0715,10192,9994,9543,9712,11122,10974,11008,10633
13916,0.0715,10511,10249,9831,10000,11415,11228,11287,10843
14376,0.0715,10952,10645,10168,10281,11746,11650,11694,11257
14859,0.0715,11288,11007,10600,10664,12063,12019,12080,11685
15360,0.0715,11732,11367,11093,11021,12453,12519,12393,12071
15926,0.0715,12182,11790,11501,11458,12887,12926,12797,12402
16525,0.0715,12623,12246,11893,11849,13297,13460,13334,12936
17102,0.0715,13095,12748,12402,12234,13762,13816,13748,13375
17639,0.0715,13670,13168,12955,12708,14156,14494,14412,13931
18374,0.0715,14215,13740,13582,13244,14646,14967,14844,14357
18936,0.0715,14814,14238,14034,13775,15212,15501,15404,14917
19605,0.0715,15340,14804,14665,14233,15697,16047,15915,15428
20333,0.0715,15962,15414,15308,14848,16319,16656,16574,16142
21100,0.0715,16501,15966,15869,15362,16850,17318,17119,16685
21842,0.0715,17198,16595,16515,15996,17431,17877,17755,17330
22651,0.0715,17933,17227,17212,16548,18099,18485,18372,17890
23406,0.0715,18648,17925,17954,17224,18722,19138,19073,18648
24263,0.0715,19409,18569,18770,17833,19453,19884,19737,19363
25174,0.0715,20189,19421,19544,18610,20314,20635,20615,20196
25998,0.0715,21017,20155,20368,19340,20961,21377,21367,21026
26958,0.0715,21851,21025,21167,20087,21832,22173,22147,21781
