intensity,uaa,left,right
1746,0.5529,,
1788,0.3459,,
1765,0.4751,,
1804,0.4788,,
1808,0.4101,,
1850,0.4842,,
1832,0.5499,,
1899,0.409,,
1889,0.7214,,
1930,0.5149,,
1961,0.4744,,
1963,0.4581,,
2008,0.5655,,
2042,0.4053,,
2104,0.2654,,
2068,0.5679,,
2086,0.5364,,
2084,0.631,,
2146,0.7754,,
2159,0.6088,,
2170,0.6933,,
2228,0.591,,
2277,0.5969,,
2335,0.5063,,
2333,0.6814,,
2391,0.6027,,
2353,0.7836,,
2401,0.7638,,
2428,0.7964,,
2462,0.8681,,
2525,0.7292,,
2568,0.8118,,
2571,0.9437,,
2656,0.8849,,
2660,0.8737,,
2741,0.8719,,
2795,0.8172,,
2821,0.9467,,
2917,0.6874,,
2914,1,,
3002,0.8262,,
3058,0.9345,,
3121,0.7766,,
3163,0.8354,,
3283,0.6979,,
3309,0.8048,,
3452,0.6973,,
3467,0.7915,,
3539,0.8444,,
3602,0.9168,,
3715,0.7876,,
3753,0.7974,,
3868,0.8497,,
3945,0.8833,,
4075,0.7609,,
4155,0.8219,,
4251,0.8078,,
4357,0.7845,,
4483,0.7465,,
4608,0.7664,,
4713,0.733,,
4876,0.7372,,
5034,0.5747,,
5156,0.5959,,
5285,0.5976,,
5429,0.5831,,
5637,0.6074,,
5782,0.6168,,
6003,0.5324,,
6223,0.4452,,
6381,0.4934,,
6634,0.734,,
6836,0.7507,,
7142,0.5632,,
7463,0.3592,,
7631,0.5121,,
7958,0.3582,,
8314,0.4702,,
8563,0.4729,,
8885,0.3853,,
9222,0.8897,,
9620,0.7568,,
10050,0.6311,,
10575,0.361,,
10901,0.4049,,
11298,0.4967,,
11752,0.4395,,
12252,0.6498,,
12820,0.5109,,
13368,0.4069,,
13868,0.3529,,
14561,0.6538,,
15308,0.4581,,
15895,0.4386,,
16530,0.3819,,
17409,0.5133,,
18018,0.5446,,
18727,0.9369,,
19631,0.7479,,
20414,0.761,,
21266,0.7078,,
22200,0.682,,
23181,0.5997,,
24092,0.6671,,
25211,0.5318,,
26161,0.6299,,
27300,0.6089,,
28476,0.6095,,
29576,0.7316,,
30773,0.7855,,
32109,0.8144,,
33510,0.8797,,
34747,0.5708,,
899,0.7747,,
902,1,,
906,0.5099,,
876,0.2069,,
884,0.6167,,
912,0.5084,,
942,0.3274,,
914,0.8648,,
931,0.6288,,
961,0.2973,,
979,0.3896,,
948,0.2874,,
980,0.467,,
998,0.4141,,
980,0.5482,,
1012,0.1853,,
1016,0.1575,,
1026,0.3697,,
1027,0.3837,,
1043,0.207,,
1022,0.2435,,
1124,0.3484,,
1062,0.2761,,
1105,0.439,,
1117,0.256,,
1127,0.2321,,
1129,0.2146,,
1186,0.0363,,
1139,0.1688,,
1207,0.1951,,
1193,0.2008,,
1236,0.2949,,
1271,0.1354,,
1261,0.1663,,
1295,0.1422,,
1341,0.1001,,
1328,0.1891,,
1364,0.1418,,
1406,0,,
1442,0.1498,,
1451,0.0176,,
1435,0.1435,,
1502,0.2466,,
1561,0.2053,,
1535,0.2235,,
1596,0.1737,,
1658,0.1274,,
1591,0.3562,,
1707,0.2947,,
1749,0.1657,,
1778,0.1708,,
1799,0.2005,,
1861,0.1838,,
1920,0.2129,,
1944,0.1635,,
1988,0.1292,,
2106,0.1979,,
2105,0.1551,,
2170,0.2029,,
2203,0.2066,,
2254,0.1179,,
2326,0.1209,,
2441,0.1495,,
2509,0.1973,,
2546,0.1275,,
2580,0.1583,,
2719,0.1413,,
2747,0.1688,,
2909,0.1571,,
2910,0.1695,,
3091,0.1306,,
3127,0.1364,,
3234,0.1539,,
3355,0.1841,,
3441,0.1238,,
3538,0.1205,,
3722,0.1755,,
3787,0.168,,
3922,0.1528,,
4060,0.1601,,
4227,0.1217,,
4341,0.1048,,
4508,0.1376,,
4632,0.1467,,
4852,0.1039,,
5022,0.0837,,
5174,0.1229,,
5373,0.1228,,
5545,0.1612,,
5786,0.0893,,
6031,0.0762,,
6192,0.1114,,
6511,0.1153,,
6742,0.1219,,
7005,0.1135,,
7300,0.1384,,
7602,0.153,,
7989,0.1453,,
8352,0.0986,,
8642,0.1397,,
9066,0.1456,,
9470,0.131,,
9835,0.1041,,
10315,0.127,,
10844,0.1344,,
11328,0.1488,,
11930,0.1531,,
12486,0.1381,,
13071,0.0893,,
13688,0.1064,,
14463,0.1016,,
15028,0.1179,,
15695,0.1312,,
16255,0.1412,,
17189,0.1129,,
17966,0.1575,,
18867,0.0979,,
19818,0.1435,,
20719,0.0741,,
21767,0.1226,,
22845,0.1483,,
24017,0.1735,,
25265,0.1254,,
26537,0.1661,,
27873,0.1311,,
29205,0.0585,,
30841,0.1272,,
32136,0.0904,,
932,0.2425,,
928,0.4623,,
958,0.408,,
1002,0.4047,,
963,0.2535,,
944,0.4579,,
1000,0.2045,,
971,0.2909,,
999,0.0209,,
1012,0.1578,,
1005,0.2078,,
1038,0.0311,,
1023,0.0586,,
1034,0.2495,,
1067,0.1359,,
1070,0.6441,,
1085,1,,
1086,0.3621,,
1097,0.5114,,
1141,0.2077,,
1129,0.018,,
1131,0,,
1104,0.7584,,
1155,0.0977,,
1155,0.2438,,
1182,0.5113,,
1224,0.2801,,
1228,0.2313,,
1249,0.6918,,
1247,0.5035,,
1243,0.1164,,
1284,0.4133,,
1284,0.1751,,
1322,0.0808,,
