intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
1539,0.1264,1874,1887,1824,1886,1906,1917,1916,1961
1539,0,1918,1888,1863,1905,1970,1973,1943,1968
1533,0.3734,1916,1921,1849,1957,1976,1967,1956,2025
1573,0.0488,1959,1937,1858,1975,2016,1964,1995,2058
1577,0.397,1977,1963,1850,1989,2018,2011,2020,2083
1593,0.1378,1973,1966,1889,2018,2051,2051,2059,2072
1603,0.4256,2027,1976,1936,2021,2092,2048,2077,2111
1623,0.2846,2019,2017,1951,2037,2126,2055,2084,2144
1592,0.6316,2078,2040,1963,2045,2134,2117,2109,2142
1641,0.3291,2030,2020,1982,2075,2150,2154,2139,2215
1655,0.3644,2080,2105,1984,2133,2157,2153,2171,2199
1686,0.2124,2087,2137,2030,2149,2232,2209,2245,2266
1645,0.7958,2130,2155,1992,2160,2231,2176,2204,2260
1704,0.5862,2131,2170,2085,2151,2278,2213,2253,2317
1728,0.3352,2204,2162,2089,2257,2314,2296,2278,2286
1763,0.4835,2199,2195,2121,2218,2314,2317,2313,2358
1743,0.6532,2222,2248,2106,2260,2333,2337,2377,2416
1762,0.6613,2277,2277,2180,2284,2369,2399,2370,2429
1789,0.624,2264,2260,2173,2282,2422,2370,2413,2467
1814,0.6512,2335,2351,2195,2369,2435,2415,2475,2532
1821,0.6871,2341,2369,2228,2353,2432,2467,2456,2575
1879,0.5378,2373,2347,2281,2382,2479,2496,2520,2569
1863,0.7579,2426,2410,2270,2422,2495,2511,2561,2615
1882,0.8238,2465,2463,2351,2452,2570,2554,2577,2634
1953,0.6599,2530,2451,2356,2501,2612,2605,2611,2734
1947,0.7902,2515,2500,2387,2516,2631,2652,2644,2724
1985,0.8078,2552,2558,2425,2527,2620,2698,2695,2790
2015,0.7781,2604,2553,2439,2606,2657,2702,2784,2846
2053,0.6617,2685,2622,2437,2618,2757,2766,2808,2863
2087,0.7728,2660,2670,2516,2704,2759,2810,2828,2926
2126,1,2745,2676,2553,2692,2799,2823,2878,2932
2142,0.8128,2733,2729,2600,2734,2865,2882,2898,3006
2177,0.8266,2819,2781,2618,2820,2888,2925,2945,3007
2208,0.9281,2846,2861,2684,2808,2930,2998,2951,3102
2258,0.8162,2899,2886,2725,2889,2966,3017,3043,3155
2303,0.8643,2948,2949,2767,2917,3016,3075,3065,3192
2318,0.8621,2975,3060,2778,2975,3057,3093,3154,3210
2402,0.7727,3066,3040,2904,3036,3154,3181,3176,3266
2449,0.7549,3151,3193,2989,3111,3264,3334,3273,3378
2483,0.86,3144,3163,2937,3107,3199,3255,3289,3389
2490,0.9438,3184,3188,3045,3208,3299,3328,3308,3431
2588,0.7927,3249,3279,3038,3194,3317,3366,3346,3488
2615,0.8846,3301,3342,3137,3305,3313,3433,3421,3560
2723,0.7552,3361,3419,3156,3389,3423,3478,3488,3627
2753,0.8614,3429,3476,3211,3428,3478,3488,3565,3665
2849,0.5966,3508,3570,3319,3502,3582,3604,3571,3730
2838,0.8254,3600,3655,3344,3543,3618,3685,3647,3772
2956,0.7628,3569,3693,3415,3611,3723,3724,3708,3872
3022,0.7949,3751,3735,3482,3705,3743,3823,3806,3974
3175,0.462,3783,3819,3563,3721,3852,3886,3849,4007
3217,0.5248,3859,3952,3657,3840,3832,3928,3962,4117
3255,0.6998,3912,4019,3666,3905,3970,3995,4011,4150
3364,0.6269,4020,4026,3803,3937,4005,4142,4124,4231
3443,0.6696,4151,4158,3856,4097,4095,4210,4160,4310
3483,0.7154,4218,4280,3922,4157,4187,4252,4238,4388
3592,0.6626,4310,4282,4023,4225,4236,4388,4339,4491
3728,0.4952,4398,4452,4105,4294,4343,4453,4448,4595
3823,0.5717,4467,4493,4169,4453,4382,4572,4537,4674
3950,0.4977,4581,4643,4289,4517,4497,4632,4619,4752
4055,0.4356,4710,4738,4397,4608,4588,4735,4758,4880
4176,0.4493,4808,4875,4504,4752,4676,4846,4827,4938
4263,0.4547,4904,4973,4634,4778,4810,4953,4923,5119
4407,0.4525,5018,5043,4778,4911,4900,5104,5090,5209
4523,0.3742,5146,5184,4844,5036,4993,5194,5156,5339
4618,0.4865,5211,5335,4967,5153,5095,5351,5285,5413
4745,0.4143,5338,5433,5118,5339,5190,5383,5375,5581
4914,0.3817,5448,5544,5205,5374,5363,5551,5513,5670
5122,0.2698,5622,5699,5338,5573,5417,5685,5616,5767
5185,0.4303,5784,5876,5490,5699,5606,5794,5759,6016
5390,0.3291,5902,5961,5609,5802,5724,5985,5915,6133
5511,0.3948,6041,6169,5752,5991,5870,6104,5995,6215
5660,0.3799,6285,6315,5879,6101,6067,6237,6157,6344
5822,0.4073,6393,6417,6005,6314,6168,6431,6374,6511
6031,0.3232,6508,6649,6218,6474,6314,6573,6531,6704
6189,0.407,6677,6790,6321,6606,6493,6676,6667,6833
6380,0.3867,6869,6962,6525,6818,6688,6870,6807,7035
6621,0.2974,7042,7153,6616,6999,6858,7035,7020,7212
6846,0.3023,7198,7338,6808,7106,7050,7287,7145,7430
7008,0.3449,7331,7467,6995,7349,7263,7399,7338,7654
7234,0.3806,7563,7727,7141,7549,7427,7651,7521,7858
7471,0.3215,7793,7920,7350,7796,7658,7805,7723,8057
7703,0.3909,7982,8068,7590,7951,7842,8003,7971,8229
7892,0.3943,8123,8284,7711,8142,8065,8125,8235,8493
8240,0.3127,8376,8598,7994,8472,8354,8481,8477,8701
8490,0.3336,8552,8830,8169,8657,8661,8656,8654,8987
8732,0.3977,8784,9037,8408,8864,8783,8886,8882,9247
8979,0.4533,9040,9304,8662,9055,9168,9048,9098,9507
9333,0.3647,9301,9567,8836,9344,9335,9367,9434,9718
9705,0.3376,9513,9860,9132,9630,9662,9591,9639,10052
10047,0.3339,9944,10168,9412,9891,10021,9883,10040,10426
10365,0.3656,10130,10403,9624,10196,10230,10117,10269,10640
10723,0.3745,10388,10770,9859,10412,10586,10380,10627,10927
11145,0.0715,10672,11074,10126,10730,10937,10705,10887,11312
11457,0.0715,10917,11385,10420,10987,11175,10978,11164,11558
11754,0.0715,11311,11736,10702,11362,11594,11276,11531,11919
12188,0.0715,11590,12047,11016,11680,11969,11700,11861,12243
12552,0.0715,12000,12463,11368,12040,12298,12000,12091,12638
13019,0.0715,12479,12922,11757,12379,12826,12378,12591,13059
13557,0.0715,12836,13338,12092,12800,13137,12707,12962,13449
13916,0.0715,13122,13591,12311,13110,13472,13094,13315,13710
14376,0.0715,13528,14029,12702,13417,13847,13404,13662,14085
14859,0.0715,13909,14476,13065,13794,14291,13819,14032,14560
15360,0.0715,14439,14900,13473,14274,14649,14337,14540,14942
15926,0.0715,14862,15384,13891,14794,15146,14822,14997,15345
16525,0.0715,15320,15863,14239,15133,15582,15199,15406,15761
17102,0.0715,15908,16420,14684,15613,16024,15734,15888,16214
17639,0.0715,16610,16962,15177,16169,16686,16319,16420,16781
18374,0.0715,17039,17421,15656,16695,17045,16857,16893,17274
18936,0.0715,17694,18025,16092,17331,17635,17341,17386,17771
19605,0.0715,18221,18588,16567,17860,18089,17807,17968,18369
20333,0.0715,18897,19230,17148,18474,18847,18527,18580,19001
21100,0.0715,19581,19764,17671,19030,19342,19059,19166,19549
21842,0.0715,20115,20494,18228,19700,19930,19679,19695,20209
22651,0.0715,20789,21074,18784,20364,20525,20250,20421,20752
23406,0.0715,21562,21692,19366,21024,21207,20881,20922,21466
24263,0.0715,22286,22563,19939,21750,21840,21667,21710,22177
25174,0.0715,23007,23261,20643,22514,22653,22217,22391,22870
25998,0.0715,23784,24073,21384,23220,23246,22950,23137,23786
26958,0.0715,24519,24926,22157,24071,24071,23730,23922,24576
27954,0.0715,25399,25656,22885,24881,24844,24529,24671,25338
28996,0.0715,26254,26637,23616,25825,25590,25283,25497,26203
30017,0.0715,27235,27530,24404,26742,26369,26156,26351,27175
31219,0.0715,28134,28483,25344,27624,27246,27044,27338,28214
32349,0.0715,29212,29539,26187,28411,28213,27825,28105,29230
33395,0.0715,30103,30351,27080,29456,29078,28702,29192,30131
34536,0.0715,31147,31475,27994,30500,29999,29646,30052,31223
35904,0.0715,32301,32410,29070,31432,31009,30431,31053,32318
36917,0.0715,33300,33572,30093,32397,31918,31434,32210,33578
1540,0.6233,,,,,,,,
1573,0.2331,,,,,,,,
1584,0.3282,,,,,,,,
1625,0.1073,,,,,,,,
1626,0.1738,,,,,,,,
1630,0.275,,,,,,,,
1670,0.106,,,,,,,,
1694,0.238,,,,,,,,
1709,0.1257,,,,,,,,
1736,0.0333,,,,,,,,
1753,0.1485,,,,,,,,
1786,0.1463,,,,,,,,
1771,0.1889,,,,,,,,
1847,0.0283,,,,,,,,
1864,0.9924,,,,,,,,
1887,0.9067,,,,,,,,
1902,0.9629,,,,,,,,
1946,0.9912,,,,,,,,
1985,0.5944,,,,,,,,
2015,0.864,,,,,,,,
2023,1,,,,,,,,
2115,0.7536,,,,,,,,
2134,0.754,,,,,,,,
2150,0.917,,,,,,,,
2226,0.518,,,,,,,,
2243,0.6045,,,,,,,,
2291,0.4928,,,,,,,,
2341,0.6054,,,,,,,,
2375,0.5726,,,,,,,,
2432,0.5595,,,,,,,,
2511,0.4365,,,,,,,,
2549,0.4899,,,,,,,,
2560,0.5996,,,,,,,,
2673,0.4156,,,,,,,,
2708,0.268,,,,,,,,
2756,0.3237,,,,,,,,
2816,0.3356,,,,,,,,
2827,0.4148,,,,,,,,
3020,0,,,,,,,,
3001,0.2795,,,,,,,,
3062,0.7828,,,,,,,,
3153,0.6075,,,,,,,,
3188,0.7257,,,,,,,,
3267,0.676,,,,,,,,
3353,0.6098,,,,,,,,
3385,0.6522,,,,,,,,
3491,0.5937,,,,,,,,
3589,0.4438,,,,,,,,
3657,0.5213,,,,,,,,
3739,0.459,,,,,,,,
3860,0.3469,,,,,,,,
3956,0.3849,,,,,,,,
4011,0.4361,,,,,,,,
4112,0.2178,,,,,,,,
4218,0.2056,,,,,,,,
4301,0.6432,,,,,,,,
4413,0.6359,,,,,,,,
4518,0.6457,,,,,,,,
4616,0.6596,,,,,,,,
4706,0.6878,,,,,,,,
4848,0.5942,,,,,,,,
4992,0.5387,,,,,,,,
5119,0.4745,,,,,,,,
5235,0.4646,,,,,,,,
5327,0.5561,,,,,,,,
5498,0.4673,,,,,,,,
5659,0.434,,,,,,,,
5758,0.5363,,,,,,,,
5894,0.5611,,,,,,,,
6083,0.4874,,,,,,,,
6205,0.4411,,,,,,,,
6431,0.31,,,,,,,,
6542,0.4528,,,,,,,,
6721,0.4542,,,,,,,,
6947,0.3919,,,,,,,,
7067,0.5287,,,,,,,,
7342,0.3245,,,,,,,,
7508,0.3703,,,,,,,,
7716,0.4018,,,,,,,,
7929,0.3817,,,,,,,,
8116,0.4231,,,,,,,,
8417,0.3217,,,,,,,,
8576,0.4095,,,,,,,,
8870,0.3932,,,,,,,,
9124,0.3401,,,,,,,,
9336,0.4439,,,,,,,,
9645,0.386,,,,,,,,
9908,0.3893,,,,,,,,
10275,0.3114,,,,,,,,
10621,0.2822,,,,,,,,
10889,0.3452,,,,,,,,
11240,0.3566,,,,,,,,
11569,0.3429,,,,,,,,
11943,0.3603,,,,,,,,
12317,0.3675,,,,,,,,
12670,0.4065,,,,,,,,
13099,0.3773,,,,,,,,
13685,0.224,,,,,,,,
14144,0.2317,,,,,,,,
14495,0.3346,,,,,,,,
14951,0.3708,,,,,,,,
15373,0.447,,,,,,,,
15896,0.4519,,,,,,,,
16499,0.4085,,,,,,,,
16999,0.4738,,,,,,,,
17628,0.4758,,,,,,,,
18278,0.4467,,,,,,,,
18844,0.5179,,,,,,,,
19474,0.5806,,,,,,,,
20188,0.5694,,,,,,,,
20967,0.5677,,,,,,,,
21576,0.303,,,,,,,,
22365,0.3304,,,,,,,,
23048,0.4555,,,,,,,,
23857,0.5245,,,,,,,,
24798,0.33,,,,,,,,
25656,0.4261,,,,,,,,
26464,0.5717,,,,,,,,
27449,0.4055,,,,,,,,
28476,0.4901,,,,,,,,
29329,0.4872,,,,,,,,
30415,0.5802,,,,,,,,
31570,0.6795,,,,,,,,
32700,0.3807,,,,,,,,
33797,0.3342,,,,,,,,
34997,0.5185,,,,,,,,
36218,0.3638,,,,,,,,
37528,0.5362,,,,,,,,
1546,0.1823,,,,,,,,
1561,0.0997,,,,,,,,
1614,0,,,,,,,,
1557,0.4951,,,,,,,,
1589,0.5479,,,,,,,,
1603,0.304,,,,,,,,
1633,0.4579,,,,,,,,
1685,0.1158,,,,,,,,
1626,0.678,,,,,,,,
1699,0.029,,,,,,,,
1665,0.3598,,,,,,,,
1717,0.2636,,,,,,,,
1717,0.3052,,,,,,,,
1716,0.3951,,,,,,,,
1739,0.2488,,,,,,,,
1746,0.5529,,,,,,,,
