intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13
5837,0.673,6382,5817,5741,6433,7014,7353,7289,6979,6841,7115,5944,5899,5689
5589,0.7955,6151,5689,5578,6237,6793,7142,6992,6792,6693,6835,5732,5767,5465
5450,0.7686,6009,5515,5445,6073,6579,6988,6787,6562,6486,6677,5608,5603,5318
5326,0.7487,5885,5361,5334,5889,6400,6734,6641,6361,6330,6495,5360,5428,5180
5153,0.759,5718,5254,5107,5759,6269,6512,6398,6172,6099,6319,5238,5256,5029
4956,0.8547,5595,5104,5020,5603,6071,6390,6219,6006,5967,6141,5087,5153,4831
4828,0.8183,5407,4997,4860,5455,5955,6162,6016,5831,5802,5957,4908,4945,4714
4670,0.9132,5282,4828,4717,5263,5712,5977,5854,5671,5645,5779,4741,4850,4533
4578,0.8548,5201,4716,4620,5130,5614,5806,5666,5441,5504,5644,4619,4664,4399
4433,0.8623,5032,4576,4515,5007,5465,5599,5580,5322,5340,5445,4483,4573,4298
4308,0.9162,4884,4500,4405,4850,5313,5489,5336,5182,5211,5289,4368,4400,4162
4209,0.8745,4817,4346,4312,4766,5194,5338,5190,5024,5095,5180,4261,4293,4028
4072,0.9805,4688,4283,4181,4657,5007,5189,5071,4886,4987,5036,4158,4186,3996
4021,0.8305,4558,4207,4120,4509,4878,5064,4932,4729,4885,4862,3987,4035,3832
3873,1,4454,4051,4010,4387,4866,4941,4767,4593,4696,4739,3879,3939,3725
3768,0.9212,4338,4025,3945,4325,4662,4819,4634,4542,4566,4561,3779,3836,3597
3687,0.9307,4302,3889,3855,4180,4610,4643,4581,4375,4476,4460,3665,3740,3551
3623,0.8828,4183,3849,3750,4088,4438,4549,4426,4275,4380,4318,3570,3622,3440
3534,0.9255,4107,3720,3631,3974,4421,4462,4303,4140,4256,4216,3422,3576,3307
3460,0.9227,3982,3655,3589,3899,4261,4380,4151,4049,4123,4073,3389,3417,3252
3414,0.7851,3933,3595,3503,3799,4192,4259,4082,3901,4052,4001,3278,3321,3214
3288,0.9254,3867,3514,3434,3802,4088,4187,3981,3796,3945,3846,3174,3229,3089
3273,0.8114,3803,3483,3399,3737,3991,4058,3879,3745,3887,3784,3120,3189,3018
3167,0.8832,3690,3423,3268,3550,3858,3988,3773,3657,3731,3672,3052,3088,2915
3120,0.8411,3631,3341,3187,3556,3799,3844,3728,3516,3644,3587,2947,3009,2860
3069,0.7581,3543,3246,3184,3460,3693,3781,3647,3470,3567,3483,2895,2921,2837
2957,0.9017,3472,3185,3051,3367,3621,3655,3522,3337,3482,3379,2808,2802,2714
2940,0.8044,3447,3136,3025,3335,3526,3641,3428,3250,3397,3294,2717,2758,2642
2883,0.7865,3351,3038,2931,3270,3468,3482,3337,3234,3321,3219,2645,2693,2598
2805,0.7958,3285,2973,2871,3179,3359,3408,3274,3125,3227,3147,2566,2660,2566
2825,0.6717,3225,2888,2822,3165,3320,3342,3213,3080,3200,3079,2503,2638,2476
2738,0.728,3174,2881,2805,3084,3255,3361,3123,2993,3119,3008,2480,2540,2448
2696,0.7529,3100,2830,2697,3010,3130,3248,3083,2926,3037,2904,2400,2457,2394
2648,0.6415,3025,2796,2660,2968,3042,3136,3009,2865,2976,2806,2365,2438,2323
2614,0.6685,2962,2704,2568,2943,2996,3072,2923,2807,2889,2745,2229,2360,2241
2555,0.6626,2895,2686,2535,2864,2936,2982,2817,2730,2843,2700,2234,2319,2218
2533,0.6007,2900,2602,2556,2830,2914,2965,2778,2729,2790,2648,2183,2254,2147
2491,0.5804,2824,2578,2436,2742,2791,2878,2738,2617,2716,2561,2122,2219,2154
2474,0.5792,2801,2522,2403,2736,2792,2826,2671,2536,2691,2539,2066,2192,2106
2413,0.5169,2750,2500,2381,2661,2694,2776,2632,2533,2668,2475,2061,2189,2058
2411,0.3694,2743,2444,2343,2609,2630,2726,2602,2460,2538,2431,1985,2105,2035
2364,0.4867,2661,2409,2310,2589,2569,2655,2522,2404,2481,2402,1968,2075,1971
2301,0.5049,2564,2379,2250,2470,2530,2613,2505,2404,2457,2318,1904,1995,1947
2294,0.4926,2591,2310,2255,2497,2504,2544,2465,2333,2417,2258,1881,1955,1932
2308,0.28,2534,2301,2191,2486,2454,2497,2376,2286,2391,2224,1845,1943,1865
2215,0.388,2517,2235,2181,2442,2373,2458,2364,2279,2324,2173,1823,1891,1825
2208,0.441,2439,2214,2113,2351,2312,2397,2302,2188,2285,2122,1782,1857,1800
2175,0.3791,2387,2126,2034,2357,2317,2341,2289,2110,2264,2058,1727,1854,1766
2169,0.2113,2346,2137,2058,2308,2278,2275,2232,2121,2196,2065,1729,1822,1766
2135,0.3015,2334,2129,2032,2250,2243,2268,2214,2089,2146,2036,1687,1778,1694
2113,0.2331,2289,2073,1984,2227,2219,2237,2125,2044,2134,1978,1716,1739,1696
