i690,i750,i800,i850,ia,i690_left,i690_right,i690_ctr,ii690,ii750,ii800,ii850,iia,ii690_left,ii690_right,ii690_ctr
10909,10206,10580,10285,0.3767,,,,2914,4562,4744,3265,1,,,
10595,9895,10298,10097,0.383,,,,3002,4640,4849,3370,0.8262,,,
10287,9636,9948,9721,0.432,,,,3058,4713,4949,3413,0.9345,,,
10065,9320,9690,9468,0.3636,,,,3121,4859,5075,3480,0.7766,,,
9752,9125,9469,9167,0.4061,,,,3163,4964,5199,3539,0.8354,,,
9523,8847,9134,8965,0.3981,,,,3283,5130,5313,3656,0.6979,,,
9214,8590,8933,8730,0.1815,,,,3309,5218,5448,3755,0.8048,,,
8959,8362,8626,8410,0.23,,,,3452,5364,5574,3791,0.6973,,,
8795,8140,8450,8327,0.1685,,,,3467,5526,5763,3898,0.7915,,,
8513,7874,8168,8007,0.2372,,,,3539,5645,5903,3991,0.8444,,,
8284,7646,8031,7773,0.2677,,,,3602,5823,6069,4099,0.9168,,,
8053,7481,7754,7547,0.1505,,,,3715,5950,6178,4225,0.7876,,,
7813,7194,7589,7345,0.1579,,,,3753,6166,6345,4303,0.7974,,,
7635,7063,7394,7140,0.1955,,,,3868,6329,6489,4408,0.8497,,,
7413,6827,7136,6934,0.2365,,,,3945,6528,6735,4566,0.8833,,,
7228,6659,7052,6815,0.2382,,,,4075,6740,6884,4652,0.7609,,,
7026,6488,6805,6563,0.2807,,,,4155,6902,7148,4778,0.8219,,,
6836,6270,6600,6410,0.3007,,,,4251,7072,7326,4976,0.8078,,,
6653,6160,6449,6215,0.1442,,,,4357,7229,7632,5108,0.7845,,,
6495,5981,6243,6112,0.1552,,,,4483,7557,7771,5222,0.7465,,,
6347,5825,6093,5921,0.1816,,,,4608,7730,8011,5355,0.7664,,,
6171,5657,5928,5745,0.1926,,,,4713,8063,8246,5522,0.733,,,
5997,5530,5756,5566,0.2785,,,,4876,8271,8568,5707,0.7372,,,
5813,5379,5648,5472,0.2858,,,,5034,8524,8835,5940,0.5747,,,
5680,5217,5493,5301,0.2964,,,,5156,8857,9108,6075,0.5959,,,
5514,5121,5331,5175,0.3389,,,,5285,9176,9479,6293,0.5976,,,
5401,4934,5223,5071,0.1639,,,,5429,9441,9689,6478,0.5831,,,
5264,4844,5066,4902,0.2012,,,,5637,9815,10047,6752,0.6074,,,
5088,4688,4934,4797,0.2725,,,,5782,10158,10462,6926,0.6168,,,
4977,4602,4829,4640,0.2937,,,,6003,10567,10762,7194,0.5324,,,
4897,4467,4689,4536,0.2683,,,,6223,10973,11156,7488,0.4452,,,
4723,4342,4532,4386,0.3748,,,,6381,11333,11643,7688,0.4934,,,
4588,4226,4450,4377,0.2527,,,,6634,11789,11997,7953,0.734,,,
4518,4080,4283,4204,0.2505,,,,6836,12230,12526,8315,0.7507,,,
4415,4035,4256,4127,0.2515,,,,7142,12800,12995,8613,0.5632,,,
4366,3886,4174,4030,0.1696,,,,7463,13246,13493,9040,0.3592,,,
4191,3824,3990,3907,0.354,,,,7631,13750,13999,9252,0.5121,,,
4114,3799,3947,3850,0.3337,,,,7958,14279,14586,9607,0.3582,,,
3971,3672,3851,3755,0.4334,,,,8314,14929,15163,10100,0.4702,,,
3895,3533,3770,3581,0.4268,,,,8563,15422,15777,10409,0.4729,,,
3803,3434,3659,3563,0.438,,,,8885,16211,16349,10798,0.3853,,,
3710,3422,3582,3457,0.1806,,,,9222,16892,17084,11199,0.8897,,,
3617,3308,3531,3366,0.2195,,,,9620,17552,17834,11681,0.7568,,,
3555,3255,3395,3337,0.2436,,,,10050,18444,18699,12285,0.6311,,,
3493,3183,3334,3282,0.2047,,,,10575,19130,19358,12774,0.361,,,
3344,3089,3306,3162,0.3639,,,,10901,19856,20174,13251,0.4049,,,
3305,3023,3218,3119,0.3016,,,,11298,20783,21002,13781,0.4967,,,
3233,2953,3134,2994,0.3606,,,,11752,21533,21915,14280,0.4395,,,
3141,2868,3008,2921,0.424,,,,12252,22603,22809,15005,0.6498,,,
3105,2798,3013,2880,0.4255,,,,12820,23414,23763,15544,0.5109,,,
3004,2734,2908,2806,0.5217,,,,13368,24489,24860,16227,0.4069,,,
2940,2704,2870,2769,0.5055,,,,13868,25676,25898,17012,0.3529,,,
2895,2656,2825,2698,0.4762,,,,14561,26793,27046,17769,0.6538,,,
2793,2606,2739,2600,0.6374,,,,15308,27972,28213,18630,0.4581,,,
2759,2545,2667,2619,0.6338,,,,15895,29210,29414,19376,0.4386,,,
2730,2546,2639,2577,0.582,,,,16530,30520,30671,20060,0.3819,,,
2644,2466,2564,2503,0.6907,,,,17409,31938,32129,21109,0.5133,,,
2636,2389,2558,2491,0.5872,,,,18018,33275,33403,21921,0.5446,,,
2569,2306,2498,2394,0.6549,,,,18727,34639,34907,22834,0.9369,,,
2506,2323,2446,2364,0.641,,,,19631,36092,36315,23785,0.7479,,,
2420,2273,2399,2297,0.8185,,,,20414,37545,37750,24816,0.761,,,
2378,2213,2343,2275,0.7833,,,,21266,39253,39441,25897,0.7078,,,
2355,2158,2278,2224,0.8785,,,,22200,40836,41123,27013,0.682,,,
2309,2106,2220,2157,0.5729,,,,23181,42621,42807,28144,0.5997,,,
2236,2089,2209,2124,0.7943,,,,24092,44288,44669,29276,0.6671,,,
2225,2048,2180,2101,0.5999,,,,25211,46203,46443,30456,0.5318,,,
2196,1998,2095,2035,0.648,,,,26161,48103,48386,31774,0.6299,,,
2115,1982,2096,2047,0.7859,,,,27300,50206,50182,33207,0.6089,,,
2071,1951,2033,1996,0.8357,,,,28476,52295,52241,34507,0.6095,,,
2051,1936,2014,1940,0.8969,,,,29576,54279,54330,35966,0.7316,,,
2047,1863,2030,1912,0.7187,,,,30773,56148,56437,37262,0.7855,,,
1972,1845,1953,1900,0.8529,,,,32109,58242,58561,38577,0.8144,,,
1953,1816,1909,1871,0.9447,,,,33510,60379,60830,40153,0.8797,,,
1902,1788,1890,1851,1,,,,34747,63100,63636,41530,0.5708,,,
55973,56734,56899,47557,0.2079,,,,3409,3586,3531,3325,0.7747,,,
53970,54596,54469,45680,0.1982,,,,3356,3604,3520,3349,1,,,
52034,52730,52239,44044,0.0379,,,,3421,3624,3565,3335,0.5099,,,
49870,50374,50198,41785,0.2386,,,,3429,3641,3579,3342,0.2069,,,
47751,48466,47855,39866,0.1546,,,,3424,3632,3593,3315,0.6167,,,
45842,46384,45707,38229,0.0651,,,,3405,3636,3559,3392,0.5084,,,
43845,44577,43739,36436,0.2942,,,,3448,3697,3600,3354,0.3274,,,
42018,42547,41737,34660,0.2272,,,,3382,3649,3576,3342,0.8648,,,
40235,40814,39855,33084,0.1693,,,,3408,3657,3582,3321,0.6288,,,
38622,39106,38081,31551,0.1057,,,,3437,3686,3606,3317,0.2973,,,
36953,37341,36262,29932,0.0758,,,,3432,3652,3613,3341,0.3896,,,
35358,35694,34570,28400,0.0595,,,,3463,3712,3605,3361,0.2874,,,
33852,34154,33011,27129,0.0264,,,,3475,3708,3625,3344,0.467,,,
32455,32721,31505,25847,0.1721,,,,3456,3745,3614,3373,0.4141,,,
31101,31294,30077,24481,0.1457,,,,3445,3752,3663,3344,0.5482,,,
29680,29848,28632,23426,0.1542,,,,3520,3785,3678,3369,0.1853,,,
28585,28639,27347,22316,0.1126,,,,3515,3806,3710,3357,0.1575,,,
27327,27405,26120,21347,0.1235,,,,3516,3828,3755,3420,0.3697,,,
26138,26147,24909,20246,0.1287,,,,3526,3886,3796,3441,0.3837,,,
25202,25225,23946,19430,0.0967,,,,3565,3894,3818,3450,0.207,,,
24147,24057,22771,18456,0.1033,,,,3616,4003,3846,3455,0.2435,,,
23158,23056,21778,17686,0.1096,,,,3602,4005,3867,3510,0.3484,,,
22238,22216,20886,16944,0.1226,,,,3644,4029,3893,3494,0.2761,,,
21429,21347,20039,16231,0.09,,,,3659,4097,3974,3546,0.439,,,
20573,20615,19207,15536,0.1893,,,,3696,4126,3973,3550,0.256,,,
19867,19875,18475,14961,0.1578,,,,3747,4208,4057,3577,0.2321,,,
19182,19048,17715,14310,0.1324,,,,3768,4213,4102,3605,0.2146,,,
18416,18490,17019,13828,0.1798,,,,3851,4299,4138,3610,0.0363,,,
17861,17876,16389,13411,0.1333,,,,3889,4355,4189,3739,0.1688,,,
17239,17095,15790,12863,0.2182,,,,3904,4439,4269,3734,0.1951,,,
16705,16682,15256,12365,0.1979,,,,3957,4467,4304,3769,0.2008,,,
16202,16030,14716,12016,0.1479,,,,3975,4546,4335,3824,0.2949,,,
15581,15537,14273,11629,0.1975,,,,4026,4618,4443,3845,0.1354,,,
15325,15120,13823,11317,0.0711,,,,4081,4648,4505,3876,0.1663,,,
14668,14569,13379,10869,0.1437,,,,4117,4771,4594,3884,0.1422,,,
14286,14185,12927,10589,0.1294,,,,4165,4825,4637,3962,0.1001,,,
13939,13827,12527,10324,0.0787,,,,4220,4916,4704,4019,0.1891,,,
13837,13615,12330,10201,0.0718,,,,4280,5008,4785,4078,0.1418,,,
13183,12977,11785,9697,0.1945,,,,4416,5145,4920,4177,0,,,
12745,12632,11536,9426,0.2158,,,,4370,5158,4893,4201,0.1498,,,
12475,12325,11249,9189,0.1379,,,,4473,5201,4941,4161,0.0176,,,
12114,11948,10940,8944,0.1816,,,,4518,5309,5019,4217,0.1435,,,
11879,11637,10557,8736,0.2679,,,,4576,5359,5138,4299,0.2466,,,
11621,11345,10419,8499,0.2186,,,,4643,5447,5169,4318,0.2053,,,
11287,11081,10146,8413,0.2137,,,,4671,5572,5283,4359,0.2235,,,
11099,10799,9923,8228,0.1402,,,,4722,5636,5382,4447,0.1737,,,
10772,10620,9647,7973,0.209,,,,4803,5755,5469,4467,0.1274,,,
10623,10449,9530,7863,0.2775,,,,4776,5854,5517,4494,0.3562,,,
10398,10115,9268,7684,0.2168,,,,4872,5904,5644,4587,0.2947,,,
10152,9903,9100,7559,0.2259,,,,4966,6049,5725,4652,0.1657,,,
9920,9657,8902,7444,0.2162,,,,5040,6117,5811,4700,0.1708,,,
9698,9504,8743,7313,0.2359,,,,5075,6215,5922,4716,0.2005,,,
9578,9327,8525,7172,0.1351,,,,5182,6333,6034,4819,0.1838,,,
9381,9111,8375,7015,0.2676,,,,5197,6502,6087,4846,0.2129,,,
9158,8912,8205,6913,0.2515,,,,5299,6584,6246,4849,0.1635,,,
9007,8777,8092,6821,0.2113,,,,5358,6658,6286,4941,0.1292,,,
8792,8623,7940,6681,0.2655,,,,5370,6839,6414,5003,0.1979,,,
8605,8415,7791,6686,0.2512,,,,5512,6924,6506,5088,0.1551,,,
8514,8262,7634,6453,0.2361,,,,5521,7055,6656,5141,0.2029,,,
8340,8089,7500,6465,0.1717,,,,5658,7176,6827,5198,0.2066,,,
8104,7892,7331,6359,0.2312,,,,5743,7287,6901,5310,0.1179,,,
8003,7851,7219,6268,0.2463,,,,5806,7412,7014,5346,0.1209,,,
7913,7723,7193,6185,0.1574,,,,5927,7677,7206,5438,0.1495,,,
7774,7518,7011,6114,0.0916,,,,5936,7789,7337,5497,0.1973,,,
7634,7405,6910,5997,0.1447,,,,6037,7960,7422,5572,0.1275,,,
7465,7342,6808,5945,0.1574,,,,6143,8076,7636,5654,0.1583,,,
7340,7189,6716,5855,0.1345,,,,6230,8304,7783,5752,0.1413,,,
7256,7073,6550,5789,0.1464,,,,6278,8446,7981,5760,0.1688,,,
7165,6938,6505,5709,0.0696,,,,6440,8601,8088,5973,0.1571,,,
7042,6865,6396,5617,0.1259,,,,6492,8893,8294,6028,0.1695,,,
6898,6743,6292,5546,0.1627,,,,6685,9015,8480,6096,0.1306,,,
6790,6665,6246,5411,0.1852,,,,6784,9216,8642,6194,0.1364,,,
6763,6600,6126,5432,0.1067,,,,6891,9480,8905,6352,0.1539,,,
6621,6442,6067,5328,0.1164,,,,6987,9709,9073,6465,0.1841,,,
6546,6335,5951,5323,0.0614,,,,7158,9917,9301,6512,0.1238,,,
6436,6260,5944,5286,0.1548,,,,7275,10202,9574,6706,0.1205,,,
6322,6182,5820,5246,0.1581,,,,7377,10460,9768,6792,0.1755,,,
6274,6152,5810,5187,0.1529,,,,7504,10759,10104,6964,0.168,,,
6196,6086,5660,5116,0.1206,,,,7707,11018,10243,7048,0.1528,,,
6091,5926,5657,5111,0.1378,,,,7832,11311,10601,7310,0.1601,,,
6030,5906,5595,5075,0.0871,,,,8040,11698,10907,7339,0.1217,,,
5952,5852,5491,5021,0.1247,,,,8158,11996,11149,7580,0.1048,,,
5906,5781,5472,5009,0.2066,,,,8293,12280,11535,7743,0.1376,,,
5863,5686,5413,4938,0,,,,8528,12707,11780,7901,0.1467,,,
5794,5671,5347,4957,0.0905,,,,8707,13114,12153,8142,0.1039,,,
5692,5582,5284,4841,0.1491,,,,8995,13484,12523,8303,0.0837,,,
5619,5524,5229,4907,0.2132,,,,9120,13899,12951,8549,0.1229,,,
5590,5510,5209,4808,0.2551,,,,9358,14312,13268,8777,0.1228,,,
5593,5508,5191,4820,0.0507,,,,9556,14805,13832,8929,0.1612,,,
5506,5400,5069,4790,0.0524,,,,9910,15359,14276,9252,0.0893,,,
5431,5305,5096,4704,0.1196,,,,10163,15777,14616,9551,0.0762,,,
5420,5325,5061,4714,0.054,,,,10358,16236,15136,9749,0.1114,,,
5336,5233,4949,4686,0.0714,,,,10637,16857,15700,10070,0.1153,,,
5286,5159,4998,4654,0.1371,,,,10886,17297,16169,10354,0.1219,,,
5241,5147,4946,4667,0.1622,,,,11238,17932,16765,10663,0.1135,,,
5214,5130,4932,4600,0.1091,,,,11506,18465,17341,10953,0.1384,,,
5171,5086,4888,4619,0.2386,,,,11799,19196,17897,11336,0.153,,,
5143,5078,4873,4619,0.1885,,,,12220,20028,18721,11829,0.1453,,,
5112,5018,4827,4529,0.0436,,,,12716,20676,19416,12191,0.0986,,,
5057,4988,4792,4519,0.134,,,,12945,21346,20009,12515,0.1397,,,
5012,4934,4764,4513,0.2102,,,,13355,22067,20735,12935,0.1456,,,
5004,4938,4729,4474,0.0992,,,,13667,22739,21589,13310,0.131,,,
4943,4844,4733,4484,0.1728,,,,14191,23661,22365,13858,0.1041,,,
4905,4832,4676,4470,0.3579,,,,14590,24649,23239,14363,0.127,,,
4887,4836,4643,4418,0.3635,,,,15115,25374,24150,14821,0.1344,,,
4907,4854,4645,4496,0.2074,,,,15605,26458,25048,15416,0.1488,,,
4815,4791,4648,4505,0.4061,,,,16148,27569,26112,16057,0.1531,,,
4816,4770,4612,4460,0.1754,,,,16778,28718,27197,16700,0.1381,,,
4793,4723,4598,4400,0.2128,,,,17278,29860,28378,17340,0.0893,,,
4801,4775,4600,4442,0.3633,,,,17873,30960,29460,18037,0.1064,,,
4772,4718,4587,4441,0.4067,,,,18648,32325,30793,18872,0.1016,,,
4794,4682,4601,4397,0.0996,,,,19121,33480,31919,19496,0.1179,,,
4706,4696,4545,4398,0.3828,,,,19788,34803,33301,20203,0.1312,,,
4715,4649,4553,4423,0.3017,,,,20546,36104,34571,21078,0.1412,,,
4730,4696,4563,4413,0.2532,,,,21237,37491,36044,21885,0.1129,,,
4656,4608,4555,4371,0.545,,,,21940,39077,37577,22815,0.1575,,,
4674,4587,4566,4356,0.5921,,,,22808,40628,39051,23832,0.0979,,,
4659,4594,4536,4395,0.339,,,,23610,42273,40721,24688,0.1435,,,
4607,4659,4528,4381,0.7945,,,,24478,43825,42578,25743,0.0741,,,
4618,4598,4524,4386,0.2354,,,,25359,45721,44199,26880,0.1226,,,
4602,4581,4486,4415,0.2856,,,,26299,47425,46110,27998,0.1483,,,
4607,4553,4509,4394,0.6061,,,,27391,49447,48031,29211,0.1735,,,
4583,4610,4516,4354,0.5779,,,,28482,51524,50067,30612,0.1254,,,
4568,4563,4519,4369,0.4578,,,,29590,53398,52129,31797,0.1661,,,
4544,4525,4442,4361,0.5801,,,,30631,55416,54371,33143,0.1311,,,
4526,4583,4492,4341,1,,,,31708,57372,56584,34369,0.0585,,,
4566,4523,4449,4402,0.2031,,,,32902,59445,58788,35760,0.1272,,,
60903,60818,58006,55510,0.1126,,,,34125,62358,61514,37207,0.0904,,,
58523,58663,55881,53700,0.1217,,,,5124,5318,5419,5205,0.3236,,,
56450,56653,53847,51886,0.0642,,,,5098,5336,5418,5214,0.4671,,,
54608,54873,51965,50327,0.0876,,,,5047,5307,5399,5173,0.4671,,,
52578,52923,49949,48298,0.1091,,,,5134,5315,5462,5209,0.1801,,,
50641,50825,48093,46400,0.0662,,,,5082,5326,5401,5163,0.1801,,,
48781,49024,46293,44681,0.1311,,,,5037,5322,5359,5170,0.6107,,,
46963,47333,44529,42975,0.0873,,,,5116,5318,5408,5131,0.6107,,,
45093,45475,42890,41152,0.0616,,,,5003,5281,5306,5136,0.6107,,,
43371,43738,41211,39433,0.1423,,,,4986,5244,5401,5143,0.6107,,,
41748,42180,39486,37969,0.1119,,,,5024,5249,5363,5143,0.5102,,,
40147,40349,38126,36383,0.0871,,,,4997,5187,5354,5042,0.9267,,,
38531,38643,36396,34923,0.0723,,,,4982,5241,5319,5030,0.6427,,,
37033,37244,35012,33490,0.0492,,,,4955,5204,5322,5036,0.9494,,,
35603,35899,33778,32185,0.0701,,,,4902,5168,5333,4953,0.2652,,,
34098,34371,32385,30858,0.0691,,,,4879,5161,5267,5034,0.8977,,,
32775,33103,31023,29532,0.1638,,,,4853,5165,5311,4982,0.8977,,,
31550,31854,29761,28489,0.1422,,,,4824,5151,5269,4951,0.7542,,,
30297,30626,28631,27380,0.1395,,,,4774,5105,5226,4885,0.7542,,,
29150,29489,27565,26170,0.1293,,,,4775,5141,5231,4931,0.7542,,,
28092,28422,26511,25340,0.1194,,,,4772,5108,5234,4902,0.9672,,,
26953,27191,25369,24167,0.1223,,,,4828,5038,5232,4901,0.1982,,,
25819,26187,24429,23252,0.1279,,,,4742,5076,5261,4894,0.7542,,,
24784,25155,23557,22267,0.1316,,,,4709,5048,5241,4829,0.823,,,
23882,24257,22490,21334,0.1275,,,,4699,5032,5185,4806,0.5185,,,
22973,23291,21680,20625,0.1219,,,,4667,5037,5150,4770,1,,,
21975,22280,20843,19723,0.1367,,,,4646,4994,5164,4765,0.2734,,,
21224,21451,20037,18888,0.1374,,,,4636,4976,5188,4768,0,,,
20348,20883,19301,18489,0.1498,,,,4613,5049,5232,4761,0.4737,,,
19659,20061,18580,17752,0.0858,,,,4607,5014,5168,4731,0.1791,,,
18777,19136,17834,16955,0.1064,,,,4645,5033,5207,4734,0.0646,,,
18113,18486,17219,16258,0.1136,,,,4542,5012,5116,4668,0.2038,,,
17406,17737,16525,15633,0.13,,,,4510,5027,5114,4685,0.5831,,,
16662,17034,15958,15128,0.0882,,,,4498,5009,5139,4666,0.6178,,,
16204,16583,15356,14593,0.0751,,,,4467,5029,5097,4639,0.3104,,,
15518,15883,14818,13928,0.1014,,,,4480,5008,5189,4613,0.2726,,,
14961,15268,14312,13562,0.1111,,,,4428,4958,5159,4602,0.4149,,,
14355,14761,13751,13066,0.1442,,,,4412,4979,5180,4621,0.3788,,,
14194,14444,13362,12773,0.0891,,,,4446,4993,5150,4563,0.2861,,,
13263,13579,12756,12051,0.1821,,,,4510,5120,5221,4630,0.054,,,
12769,13102,12295,11548,0.0802,,,,4356,4965,5161,4582,0.3908,,,
12326,12628,11906,11137,0.1016,,,,4371,5009,5174,4525,0.1145,,,
11885,12058,11518,10744,0.1237,,,,4292,5028,5192,4538,0.6202,,,
11474,11659,11076,10422,0.1277,,,,4358,5010,5182,4568,0.2374,,,
11055,11328,10640,10059,0.1531,,,,4337,5065,5227,4540,0.0868,,,
10638,10984,10375,9754,0.0759,,,,4290,5034,5231,4529,0.2269,,,
10316,10622,10027,9403,0.0854,,,,4351,5082,5267,4499,0.0327,,,
9941,10194,9609,9131,0.1015,,,,4301,5072,5261,4505,0.1606,,,
9649,9987,9393,8863,0.1085,,,,4299,5101,5307,4527,0.0292,,,
9292,9636,9038,8577,0.1616,,,,4249,5157,5406,4525,0.1274,,,
9060,9344,8846,8291,0.1498,,,,4227,5198,5406,4519,0.3771,,,
8803,9025,8562,8133,0.0638,,,,4252,5223,5411,4493,0.1653,,,
8481,8775,8340,7943,0.0955,,,,4278,5238,5535,4509,0.1331,,,
8282,8518,8090,7748,0.0808,,,,4298,5293,5543,4601,0.0423,,,
7998,8299,7851,7463,0.1332,,,,4353,5411,5550,4567,0.0051,,,
7843,8093,7677,7253,0.1145,,,,4315,5375,5603,4590,0.1713,,,
7595,7880,7514,7146,0.1598,,,,4291,5441,5667,4598,0.1807,,,
7433,7622,7331,6944,0.0603,,,,4309,5513,5707,4614,0.2262,,,
7227,7425,7166,6751,0.0901,,,,4350,5566,5842,4622,0.1517,,,
7049,7317,6941,6630,0.097,,,,4364,5637,5923,4631,0.1725,,,
6888,7108,6830,6478,0.0959,,,,4363,5737,5953,4658,0.1607,,,
6730,6980,6682,6261,0.1248,,,,4372,5752,6006,4672,0.1242,,,
6593,6864,6523,6264,0.1352,,,,4398,5854,6090,4752,0.1576,,,
6442,6575,6393,6063,0.1409,,,,4409,5997,6222,4794,0.176,,,
6299,6524,6272,5940,0.0753,,,,4410,6019,6314,4825,0.1663,,,
6171,6355,6091,5788,0.0941,,,,4452,6164,6427,4832,0.162,,,
6058,6248,6059,5721,0.091,,,,4497,6188,6541,4871,0.1434,,,
5853,6164,5884,5636,0.1484,,,,4517,6302,6597,4956,0.1863,,,
5832,6085,5783,5503,0.1051,,,,4536,6420,6760,4956,0.1731,,,
5704,5919,5743,5459,0.1292,,,,4566,6595,6921,4998,0.1715,,,
5604,5808,5625,5308,0.1417,,,,4614,6696,7052,5032,0.1455,,,
5512,5684,5483,5319,0.1429,,,,4633,6800,7138,5118,0.161,,,
5459,5627,5405,5203,0.1171,,,,4697,6966,7309,5147,0.1176,,,
5358,5535,5339,5089,0.1488,,,,4666,7047,7440,5231,0.1745,,,
5237,5393,5311,5037,0.1574,,,,4740,7198,7578,5279,0.1527,,,
5169,5341,5195,4966,0.1832,,,,4779,7371,7791,5317,0.2165,,,
5130,5235,5142,4899,0.1557,,,,4840,7537,7942,5420,0.2292,,,
5038,5235,5044,4876,0.1544,,,,4873,7699,8134,5407,0.2352,,,
4948,5110,4985,4741,0.2016,,,,4989,7901,8360,5548,0.1524,,,
4938,5022,4956,4707,0.2012,,,,5036,8147,8533,5688,0.1757,,,
4800,5002,4853,4660,0.01,,,,5091,8314,8752,5691,0.2141,,,
4740,4908,4807,4593,0.0362,,,,5075,8484,8984,5798,0.226,,,
4679,4829,4738,4512,0.0419,,,,5221,8715,9203,5881,0.1773,,,
4640,4776,4677,4547,0.01,,,,5292,8957,9429,6025,0.1705,,,
4606,4729,4635,4402,0.0037,,,,5282,9257,9699,6151,0.211,,,
4510,4698,4559,4364,0.0416,,,,5456,9527,9994,6219,0.1504,,,
4448,4629,4528,4301,0.07,,,,5528,9798,10253,6305,0.1463,,,
4445,4615,4475,4308,0,,,,5559,10106,10583,6433,0.182,,,
4380,4515,4425,4263,0.0138,,,,5690,10412,10952,6578,0.1461,,,
4312,4462,4400,4239,0.1293,,,,5771,10773,11205,6762,0.1481,,,
4272,4400,4354,4149,0.0882,,,,5923,11168,11605,6908,0.1528,,,
4245,4380,4274,4123,0.0919,,,,6018,11435,11958,7039,0.1427,,,
4218,4315,4191,4098,0.1019,,,,6128,11809,12408,7222,0.1504,,,
4126,4240,4167,4021,0.0773,,,,6382,12236,12812,7413,0.1684,,,
4099,4198,4078,4044,0.0641,,,,6349,12612,13208,7531,0.21,,,
4014,4181,4129,3984,0.1999,,,,6662,13112,13685,7710,0.1332,,,
3946,4128,4061,3926,0.2716,,,,6738,13582,14152,7964,0.1751,,,
3965,4112,4045,3901,0.2532,,,,6866,14187,14688,8277,0.1854,,,
3948,4022,4046,3925,0.1125,,,,7136,14781,15381,8501,0.1596,,,
3865,4018,3985,3807,0.1998,,,,7320,15389,15931,8738,0.1738,,,
3853,3979,3922,3806,0.1259,,,,7477,15859,16419,8938,0.1821,,,
3849,3934,3875,3775,0.1122,,,,7620,16519,17095,9233,0.1952,,,
3749,3890,3797,3746,0.2935,,,,7914,17157,17859,9569,0.1735,,,
3751,3863,3823,3688,0.1634,,,,8245,17960,18585,9857,0.1825,,,
3734,3832,3774,3698,0.0886,,,,8456,18740,19285,10210,0.1851,,,
3719,3797,3753,3655,0.1325,,,,8751,19460,20131,10616,0.1678,,,
3647,3759,3764,3619,0.3316,,,,9093,20533,21082,11013,0.2,,,
3638,3740,3721,3631,0.359,,,,9476,21471,22115,11474,0.1839,,,
3603,3720,3677,3575,0.3353,,,,9855,22428,23116,11926,0.1738,,,
3547,3688,3654,3570,0.3432,,,,10203,23584,24214,12428,0.1667,,,
3577,3652,3620,3562,0.2411,,,,10571,24584,25277,12913,0.2009,,,
3547,3611,3609,3541,0.2517,,,,11037,25946,26518,13563,0.1877,,,
3480,3615,3557,3496,0.4939,,,,11502,27101,27746,14009,0.1755,,,
3448,3561,3546,3442,0.4752,,,,11978,28389,29027,14567,0.1718,,,
3422,3521,3467,3441,0.5218,,,,12424,29659,30426,15289,0.1736,,,
3408,3492,3514,3446,0.4448,,,,13017,31166,31998,15975,0.202,,,
3409,3503,3498,3422,0.2698,,,,13586,32730,33551,16738,0.1946,,,
3324,3449,3441,3371,0.5906,,,,14201,34504,35175,17493,0.1843,,,
3339,3436,3455,3353,0.4285,,,,14871,36195,36936,18305,0.1751,,,
3316,3382,3390,3285,0.7244,,,,15515,37863,38793,19145,0.1786,,,
3280,3384,3356,3295,0.5502,,,,16274,39851,40675,20073,0.1764,,,
3271,3348,3347,3302,0.4583,,,,17025,41881,42736,20917,0.1702,,,
3250,3385,3348,3291,0.799,,,,17945,43999,44814,22099,0.1528,,,
3226,3324,3301,3241,0.6793,,,,18788,46353,47175,23186,0.1617,,,
3196,3271,3293,3230,0.5109,,,,19677,48521,49506,24218,0.1636,,,
3166,3255,3268,3215,0.5503,,,,20612,50758,51906,25439,0.1661,,,
3154,3263,3259,3208,1,,,,21496,53186,54316,26548,0.1869,,,
3107,3195,3226,3188,0.9884,,,,22628,55699,56917,27775,0.1921,,,
57637,60683,59148,55990,0.259,,,,23634,58310,59744,29061,0.212,,,
55368,58343,56890,53951,0.3191,,,,2319,2493,2635,2460,0.4889,,,
53274,56380,54615,52064,0.2449,,,,2350,2474,2705,2452,0.6166,,,
51363,54549,52557,50198,0.2522,,,,2312,2451,2637,2414,0.6166,,,
49296,52302,50577,47911,0.2799,,,,2321,2490,2712,2412,0.425,,,
47358,50121,48538,45905,0.3089,,,,2299,2486,2692,2446,0.425,,,
45485,48290,46541,44184,0.2621,,,,2309,2516,2673,2425,0.7444,,,
43536,46366,44637,42467,0.3077,,,,2323,2529,2711,2447,0.7444,,,
41780,44516,42918,40345,0.265,,,,2315,2534,2711,2431,0.7444,,,
40045,42628,40992,38640,0.2302,,,,2299,2469,2719,2435,0.7444,,,
38548,40953,39492,37142,0.2626,,,,2293,2499,2743,2370,0.7444,,,
36918,39275,37861,35401,0.238,,,,2325,2516,2737,2449,1,,,
35546,37542,36275,33959,0.3201,,,,2286,2489,2719,2416,1,,,
33974,35839,34787,32457,0.3018,,,,2294,2510,2751,2436,1,,,
32689,34640,33313,31035,0.2674,,,,2271,2513,2761,2406,1,,,
31275,33194,31961,29815,0.2516,,,,2276,2532,2761,2433,1,,,
30034,31819,30722,28453,0.2252,,,,2297,2494,2770,2423,1,,,
28879,30623,29365,27329,0.3238,,,,2279,2537,2772,2446,0.8722,,,
27743,29326,28202,26202,0.3082,,,,2280,2544,2825,2433,0.8722,,,
26491,28128,27017,25111,0.3009,,,,2281,2509,2806,2408,0.8722,,,
25553,27160,25983,24193,0.2649,,,,2260,2538,2812,2449,0.8722,,,
