690,750,800,850,ua,690i,750i,800i,850i,uaa,690n,750n,800n,850n,690ni,750ni,800ni,850ni
20479,20423,19756,19980,0.5008,2126,2809,2919,2263,1,19472,24536,24160,22109,4295,4909,4976,4395
19755,19675,19117,19210,0.4572,2142,2887,3005,2326,0.8128,18973,23759,23669,21560,4362,4947,5057,4561
19075,18908,18391,18462,0.4351,2177,2897,3034,2314,0.8266,18321,23210,23004,20875,4398,5091,5168,4471
18361,18233,17728,17786,0.4492,2208,2997,3108,2316,0.9281,17773,22604,22298,21489,4493,5073,5214,4650
17791,17712,17084,17310,0.3957,2258,3064,3180,2472,0.8162,17248,22009,21598,19722,4536,5284,5375,4729
17076,17014,16507,16543,0.4381,2303,3152,3230,2467,0.8643,16923,21431,23009,19155,4510,5323,5413,4767
16594,16444,16068,16063,0.3612,2318,3193,3331,2513,0.8621,16452,20625,20505,18585,4675,5410,5523,4834
15949,15810,15310,15533,0.3969,2402,3332,3377,2565,0.7727,16081,20270,19947,18003,4773,5533,5603,4875
15730,15468,14939,15237,0.2221,2449,3427,3515,2652,0.7549,15617,19614,19542,17577,4843,5611,5675,4954
14815,14621,14236,14342,0.4207,2483,3426,3540,2667,0.86,15226,19119,18854,17007,4831,5631,5806,5141
14316,14107,13809,13738,0.4025,2490,3528,3637,2768,0.9438,14909,18666,18238,16439,4979,5796,5901,5202
13756,13526,13297,13263,0.4416,2588,3646,3756,2756,0.7927,14430,18122,17838,16049,5083,5893,5940,5250
13234,13141,12796,12859,0.472,2615,3704,3777,2881,0.8846,14153,17605,17290,15619,5083,5975,6017,5314
12847,12651,12427,12396,0.4428,2723,3857,3895,2892,0.7552,13578,17018,16830,15250,5167,6110,6182,5370
12400,12234,11962,11968,0.4556,2753,3908,4023,3003,0.8614,13342,16684,16552,14766,5252,6174,6247,5462
11982,11793,11629,11555,0.4268,2849,4038,4133,3047,0.5966,12868,16128,16021,14419,5356,6413,6463,5592
11561,11427,11234,11140,0.444,2838,4165,4250,3121,0.8254,12706,15736,15560,13961,5357,6350,6485,5708
11115,11022,10767,10784,0.5083,2956,4255,4374,3180,0.7628,12297,15424,15104,13612,5534,6517,6677,5752
10825,10658,10462,10428,0.4665,3022,4409,4489,3300,0.7949,12061,14961,14815,13314,5635,6677,6697,5848
10443,10275,10112,10110,0.4611,3175,4501,4622,3370,0.462,11658,14552,14340,12746,5740,6690,6874,5869
10178,9942,9821,9785,0.4066,3217,4654,4742,3445,0.5248,11436,14191,13896,12486,5850,6867,7025,6087
9780,9603,9502,9428,0.4817,3255,4795,4861,3575,0.6998,11106,13752,13618,12233,5913,6923,7096,6130
9448,9248,9169,9178,0.501,3364,4920,5031,3652,0.6269,10859,13532,13291,11777,5951,7106,7249,6259
9153,8969,8876,8861,0.5124,3443,5116,5150,3772,0.6696,10577,13019,12917,11560,6130,7274,7313,6426
8891,8671,8488,8541,0.4762,3483,5179,5314,3882,0.7154,10406,12712,12533,11166,6246,7439,7491,6428
8503,8374,8323,8245,0.5691,3592,5397,5436,3994,0.6626,10079,12436,12312,10917,6298,7549,7700,6501
8299,8110,8021,7976,0.4988,3728,5514,5634,4088,0.4952,9865,12025,12006,10732,6503,7805,7851,6718
8025,7814,7752,7742,0.5476,3823,5726,5776,4204,0.5717,9461,11794,11688,10396,6464,7917,7912,6837
7765,7577,7474,7496,0.5595,3950,5885,6004,4310,0.4977,9346,11461,11353,10012,6640,7987,8175,7013
7517,7295,7242,7262,0.5498,4055,6079,6204,4412,0.4356,9112,11151,11086,9786,6749,8073,8363,7184
7276,7086,7051,6989,0.5866,4176,6256,6338,4588,0.4493,8982,10866,10848,9617,6942,8314,8422,7281
7054,6857,6791,6798,0.5755,4263,6467,6548,4670,0.4547,8661,10696,10560,9333,7061,8440,8684,7432
