intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13
1539,0.1264,1362,1317,1226,1158,1182,1116,1111,1035,976,1102,1050,1346,1041
1539,0,1373,1339,1243,1189,1168,1097,1114,1050,1032,1049,1020,1397,1030
1533,0.3734,1401,1350,1241,1153,1220,1105,1144,1042,1052,1009,1057,1370,1044
1573,0.0488,1407,1337,1263,1201,1211,1140,1138,1085,1059,1069,1057,1414,1079
1577,0.397,1414,1382,1291,1200,1229,1135,1178,1097,1061,1038,1064,1419,1044
1593,0.1378,1484,1384,1290,1208,1224,1142,1139,1098,1059,1080,1107,1424,1081
1603,0.4256,1438,1388,1306,1259,1256,1191,1183,1083,1079,1084,1103,1429,1105
1623,0.2846,1509,1417,1320,1232,1264,1160,1199,1114,1069,1077,1083,1480,1089
1592,0.6316,1502,1430,1312,1275,1268,1182,1210,1100,1090,1107,1125,1468,1123
1641,0.3291,1532,1466,1362,1254,1258,1209,1227,1122,1105,1125,1140,1459,1140
1655,0.3644,1570,1454,1345,1304,1321,1212,1264,1203,1114,1151,1135,1525,1151
1686,0.2124,1547,1496,1359,1312,1311,1239,1272,1179,1112,1131,1164,1523,1155
1645,0.7958,1598,1524,1415,1308,1319,1267,1235,1193,1137,1157,1172,1534,1145
1704,0.5862,1631,1537,1424,1310,1352,1278,1289,1195,1164,1156,1148,1587,1179
1728,0.3352,1613,1510,1451,1365,1356,1276,1296,1213,1173,1153,1170,1555,1196
1763,0.4835,1682,1585,1490,1368,1361,1295,1350,1219,1165,1186,1208,1612,1213
1743,0.6532,1669,1597,1485,1371,1388,1336,1347,1256,1114,1193,1217,1647,1227
1762,0.6613,1730,1638,1512,1421,1399,1325,1362,1270,1183,1218,1217,1676,1257
1789,0.624,1764,1662,1531,1416,1457,1320,1356,1230,1243,1228,1250,1693,1272
1814,0.6512,1792,1702,1561,1450,1440,1396,1403,1263,1184,1256,1287,1691,1248
1821,0.6871,1816,1716,1566,1487,1459,1410,1372,1288,1242,1309,1297,1722,1265
1879,0.5378,1789,1742,1613,1503,1493,1412,1434,1326,1295,1327,1301,1770,1289
1863,0.7579,1815,1751,1607,1510,1504,1442,1478,1336,1249,1299,1286,1784,1304
1882,0.8238,1884,1745,1624,1569,1491,1473,1447,1357,1264,1327,1327,1814,1317
1953,0.6599,1888,1802,1682,1570,1586,1463,1502,1335,1310,1352,1366,1797,1347
1947,0.7902,1929,1842,1699,1557,1594,1501,1500,1394,1309,1379,1355,1829,1362
1985,0.8078,1986,1873,1710,1632,1613,1554,1507,1422,1342,1423,1388,1865,1384
2015,0.7781,1990,1891,1718,1639,1620,1537,1573,1407,1367,1429,1388,1894,1397
2053,0.6617,2009,1954,1816,1664,1666,1598,1584,1458,1359,1441,1424,1911,1386
2087,0.7728,2060,1975,1821,1701,1701,1596,1602,1475,1408,1509,1466,2004,1448
2126,1,2070,2030,1855,1705,1689,1611,1628,1513,1436,1459,1456,1921,1453
2142,0.8128,2161,2035,1874,1734,1723,1665,1687,1513,1451,1473,1483,2081,1455
2177,0.8266,2178,2100,1873,1767,1766,1699,1686,1528,1456,1496,1525,2073,1506
2208,0.9281,2217,2067,1928,1785,1785,1757,1709,1576,1487,1577,1535,2106,1530
2258,0.8162,2255,2157,1994,1840,1861,1723,1794,1602,1535,1575,1554,2151,1552
2303,0.8643,2287,2175,2008,1887,1902,1763,1776,1643,1560,1598,1602,2161,1557
2318,0.8621,2398,2239,2049,1916,1919,1811,1804,1651,1575,1622,1617,2221,1585
2402,0.7727,2366,2303,2089,1949,1983,1884,1862,1715,1589,1646,1610,2271,1584
2449,0.7549,2479,2373,2168,1992,2020,1927,1932,1754,1679,1703,1691,2336,1658
2483,0.86,2490,2342,2168,2034,2019,1921,1931,1734,1649,1705,1694,2347,1678
2490,0.9438,2529,2417,2217,2057,2083,1968,1972,1768,1690,1744,1715,2364,1754
