ir690,ir750,ir800,ir850,ia,ia690,ia750,ia800,ia8500,tir690_ctr,tir690_left,tir690_right,iir690,iir750,iir800,iir850,iia,iia690,iia750,iia800,iia8500,tii690_ctr,tii690_left,tii690_right
2052,1884,1970,1944,0.057058,,,,,,,,31570,53172,52694,37441,0.36601,,,,,,,
2022,1860,1954,1907,0.057188,,,,,,,,32700,54917,54613,38738,0.36601,,,,,,,
1977,1844,1944,1868,0.028678,,,,,,,,33797,56644,56402,39933,0.36601,,,,,,,
1989,1792,1926,1890,0.019759,,,,,,,,34997,58452,58519,41292,0.36601,,,,,,,
1947,1792,1871,1870,0.059195,,,,,,,,36218,60441,60514,42830,0.36601,,,,,,,
1940,1782,1881,1838,0,,,,,,,,37528,63012,62810,44155,0.36601,,,,,,,
65108,64567,65164,64849,0.047806,,,,,,,,1546,1936,2058,1558,0.063468,,,,,,,
64706,61735,64216,63423,0.026642,,,,,,,,1561,1937,2067,1577,0.063468,,,,,,,
59862,59248,59676,59657,0,,,,,,,,1614,1941,2080,1596,0.063468,,,,,,,
58095,57361,57684,57781,0.16069,,,,,,,,1557,1992,2128,1596,0.063468,,,,,,,
55892,55332,55681,55877,0.18233,,,,,,,,1589,1997,2157,1650,0.063468,,,,,,,
53976,53365,53967,53850,0.11122,,,,,,,,1603,2048,2158,1658,0.063468,,,,,,,
52187,51619,52088,51961,0.16481,,,,,,,,1633,2018,2172,1636,0.063468,,,,,,,
50362,49883,50123,50270,0.062311,,,,,,,,1685,2050,2219,1660,0.063468,,,,,,,
48566,48038,48477,48326,0.24444,,,,,,,,1626,2078,2261,1655,0.063468,,,,,,,
46774,46422,46696,46695,0.045428,,,,,,,,1699,2144,2281,1696,0.063468,,,,,,,
45253,44678,45022,45142,0.15588,,,,,,,,1665,2140,2288,1702,0.063468,,,,,,,
43621,42961,43450,43404,0.13112,,,,,,,,1717,2161,2344,1728,0.063468,,,,,,,
42116,41292,42035,41765,0.15,,,,,,,,1717,2190,2354,1740,0.063468,,,,,,,
40650,39990,40513,40351,0.18423,,,,,,,,1716,2189,2322,1777,0.063468,,,,,,,
39310,38655,39092,39026,0.14376,,,,,,,,1739,2268,2384,1772,0.063468,,,,,,,
37852,37094,37647,37393,0.24597,,,,,,,,1746,2285,2453,1788,0.063468,,,,,,,
36556,35699,36268,36092,0.18661,,,,,,,,1788,2327,2469,1854,0.063468,,,,,,,
35376,34532,35109,34804,0.23373,,,,,,,,1765,2346,2511,1828,0.063468,,,,,,,
34115,33461,33798,33572,0.2412,,,,,,,,1804,2376,2496,1871,0.063468,,,,,,,
32882,32076,32677,32438,0.22576,,,,,,,,1808,2428,2537,1876,0.063468,,,,,,,
31821,31103,31454,31372,0.25573,,,,,,,,1850,2442,2578,1911,0.063468,,,,,,,
30653,29849,30272,30055,0.28316,,,,,,,,1832,2485,2616,1917,0.063468,,,,,,,
29672,28890,29307,29035,0.24504,,,,,,,,1899,2497,2686,1961,0.063468,,,,,,,
28679,27817,28327,28119,0.35096,,,,,,,,1889,2564,2742,2002,0.063468,,,,,,,
27631,26768,27256,27041,0.2924,,,,,,,,1930,2548,2749,2008,0.063468,,,,,,,
26824,25999,26292,26249,0.28645,,,,,,,,1961,2655,2752,2011,0.063468,,,,,,,
25888,25044,25435,25287,0.28832,,,,,,,,1963,2701,2822,2071,0.063468,,,,,,,
24905,24165,24522,24292,0.32981,,,,,,,,2008,2715,2852,2051,0.063468,,,,,,,
24143,23465,23636,23561,0.28583,,,,,,,,2042,2746,2876,2141,0.063468,,,,,,,
23497,22698,22871,22890,0.2481,,,,,,,,2104,2802,2910,2148,0.063468,,,,,,,
22487,21878,22098,22050,0.35287,,,,,,,,2068,2852,3026,2191,0.063468,,,,,,,
21887,21142,21428,21242,0.35047,,,,,,,,2086,2887,3029,2186,0.063468,,,,,,,
21190,20388,20682,20549,0.38858,,,,,,,,2084,2923,3110,2230,0.063468,,,,,,,
20416,19650,20062,19841,0.44268,,,,,,,,2146,2997,3161,2231,0.063468,,,,,,,
19831,19116,19435,19337,0.39744,,,,,,,,2159,3064,3171,2323,0.063468,,,,,,,
19259,18461,18742,18587,0.43277,,,,,,,,2170,3106,3243,2291,0.063468,,,,,,,
18628,17954,18225,18058,0.40823,,,,,,,,2228,3121,3296,2348,0.063468,,,,,,,
18093,17407,17626,17537,0.41858,,,,,,,,2277,3214,3365,2433,0.063468,,,,,,,
17901,16993,17141,17256,0.39788,,,,,,,,2335,3316,3461,2489,0.063468,,,,,,,
16967,16094,16519,16229,0.46318,,,,,,,,2333,3328,3483,2504,0.063468,,,,,,,
16435,15640,15935,15721,0.44666,,,,,,,,2391,3383,3581,2513,0.063468,,,,,,,
15892,15090,15484,15257,0.51411,,,,,,,,2353,3448,3613,2560,0.063468,,,,,,,
15478,14600,15049,14746,0.51699,,,,,,,,2401,3548,3705,2609,0.063468,,,,,,,
14942,14208,14660,14341,0.53689,,,,,,,,2428,3541,3772,2578,0.063468,,,,,,,
14566,13758,14179,13891,0.56962,,,,,,,,2462,3622,3856,2629,0.063468,,,,,,,
14088,13284,13775,13419,0.53444,,,,,,,,2525,3723,3920,2709,0.063468,,,,,,,
13723,12987,13325,13066,0.57111,,,,,,,,2568,3850,4021,2803,0.063468,,,,,,,
13215,12546,12880,12616,0.62385,,,,,,,,2571,3886,4059,2851,0.063468,,,,,,,
12975,12194,12570,12395,0.61516,,,,,,,,2656,3985,4167,2888,0.063468,,,,,,,
12620,11796,12119,11945,0.622,,,,,,,,2660,4060,4245,2941,0.063468,,,,,,,
12227,11442,11903,11613,0.63205,,,,,,,,2741,4128,4333,3024,0.063468,,,,,,,
11897,11159,11514,11301,0.6251,,,,,,,,2795,4217,4443,3058,0.063468,,,,,,,
11501,10778,11205,10891,0.67827,,,,,,,,2821,4304,4517,3127,0.063468,,,,,,,
11210,10555,10780,10596,0.6048,,,,,,,,2917,4417,4638,3186,0.063468,,,,,,,
10909,10206,10580,10285,0.71834,,,,,,,,2914,4562,4744,3265,0.063468,,,,,,,
10595,9895,10298,10097,0.67329,,,,,,,,3002,4640,4849,3370,0.063468,,,,,,,
10287,9636,9948,9721,0.72057,,,,,,,,3058,4713,4949,3413,0.063468,,,,,,,
10065,9320,9690,9468,0.68087,,,,,,,,3121,4859,5075,3480,0.063468,,,,,,,
9752,9125,9469,9167,0.71251,,,,,,,,3163,4964,5199,3539,0.063468,,,,,,,
9523,8847,9134,8965,0.67963,,,,,,,,3283,5130,5313,3656,0.063468,,,,,,,
9214,8590,8933,8730,0.72766,,,,,,,,3309,5218,5448,3755,0.063468,,,,,,,
8959,8362,8626,8410,0.70507,,,,,,,,3452,5364,5574,3791,0.063468,,,,,,,
8795,8140,8450,8327,0.74949,,,,,,,,3467,5526,5763,3898,0.046654,,,,,,,
8513,7874,8168,8007,0.78052,,,,,,,,3539,5645,5903,3991,0.089867,,,,,,,
8284,7646,8031,7773,0.81827,,,,,,,,3602,5823,6069,4099,0.091184,,,,,,,
8053,7481,7754,7547,0.78944,,,,,,,,3715,5950,6178,4225,0.076231,,,,,,,
7813,7194,7589,7345,0.80698,,,,,,,,3753,6166,6345,4303,0.052305,,,,,,,
7635,7063,7394,7140,0.839,,,,,,,,3868,6329,6489,4408,0.063256,,,,,,,
7413,6827,7136,6934,0.86512,,,,,,,,3945,6528,6735,4566,0.078319,,,,,,,
7228,6659,7052,6815,0.83941,,,,,,,,4075,6740,6884,4652,0.049506,,,,,,,
7026,6488,6805,6563,0.87534,,,,,,,,4155,6902,7148,4778,0.067276,,,,,,,
6836,6270,6600,6410,0.88642,,,,,,,,4251,7072,7326,4976,0.060031,,,,,,,
6653,6160,6449,6215,0.89472,,,,,,,,4357,7229,7632,5108,0.054062,,,,,,,
6495,5981,6243,6112,0.89837,,,,,,,,4483,7557,7771,5222,0.037012,,,,,,,
6347,5825,6093,5921,0.92189,,,,,,,,4608,7730,8011,5355,0.038412,,,,,,,
6171,5657,5928,5745,0.92775,,,,,,,,4713,8063,8246,5522,0.022307,,,,,,,
5997,5530,5756,5566,0.94665,,,,,,,,4876,8271,8568,5707,0.09371,,,,,,,
5813,5379,5648,5472,0.90915,,,,,,,,5034,8524,8835,5940,0.074048,,,,,,,
5680,5217,5493,5301,0.9346,,,,,,,,5156,8857,9108,6075,0.058692,,,,,,,
5514,5121,5331,5175,0.95377,,,,,,,,5285,9176,9479,6293,0.080584,,,,,,,
5401,4934,5223,5071,0.96781,,,,,,,,5429,9441,9689,6478,0.042259,,,,,,,
5264,4844,5066,4902,0.95557,,,,,,,,5637,9815,10047,6752,0.059757,,,,,,,
5088,4688,4934,4797,0.97825,,,,,,,,5782,10158,10462,6926,0.11814,,,,,,,
4977,4602,4829,4640,0.9695,,,,,,,,6003,10567,10762,7194,0.11686,,,,,,,
4897,4467,4689,4536,0.96003,,,,,,,,6223,10973,11156,7488,0.06027,,,,,,,
4723,4342,4532,4386,0.99731,,,,,,,,6381,11333,11643,7688,0.16109,,,,,,,
4588,4226,4450,4377,0.97396,,,,,,,,6634,11789,11997,7953,0.17985,,,,,,,
4518,4080,4283,4204,1,,,,,,,,6836,12230,12526,8315,0.15094,,,,,,,
4415,4035,4256,4127,0.96004,,,,,,,,7142,12800,12995,8613,0.12641,,,,,,,
4366,3886,4174,4030,0.91446,,,,,,,,7463,13246,13493,9040,0,,,,,,,
4191,3824,3990,3907,0.9868,,,,,,,,7631,13750,13999,9252,0.20199,,,,,,,
4114,3799,3947,3850,0.95845,,,,,,,,7958,14279,14586,9607,0.15255,,,,,,,
3971,3672,3851,3755,0.93258,,,,,,,,8314,14929,15163,10100,0.2497,,,,,,,
3895,3533,3770,3581,0.95611,,,,,,,,8563,15422,15777,10409,0.21777,,,,,,,
3803,3434,3659,3563,0.95113,,,,,,,,8885,16211,16349,10798,0.20782,,,,,,,
3710,3422,3582,3457,0.95203,,,,,,,,9222,16892,17084,11199,0.22837,,,,,,,
3617,3308,3531,3366,0.9351,,,,,,,,9620,17552,17834,11681,0.25487,,,,,,,
3555,3255,3395,3337,0.92053,,,,,,,,10050,18444,18699,12285,0.26206,,,,,,,
3493,3183,3334,3282,0.86258,,,,,,,,10575,19130,19358,12774,0.18706,,,,,,,
3344,3089,3306,3162,0.8999,,,,,,,,10901,19856,20174,13251,0.37123,,,,,,,
3305,3023,3218,3119,0.90632,,,,,,,,11298,20783,21002,13781,0.26683,,,,,,,
3233,2953,3134,2994,0.91401,,,,,,,,11752,21533,21915,14280,0.32038,,,,,,,
3141,2868,3008,2921,0.90671,,,,,,,,12252,22603,22809,15005,0.37951,,,,,,,
3105,2798,3013,2880,0.89166,,,,,,,,12820,23414,23763,15544,0.35895,,,,,,,
3004,2734,2908,2806,0.88704,,,,,,,,13368,24489,24860,16227,0.46024,,,,,,,
2940,2704,2870,2769,0.8975,,,,,,,,13868,25676,25898,17012,0.41758,,,,,,,
2895,2656,2825,2698,0.86288,,,,,,,,14561,26793,27046,17769,0.35844,,,,,,,
2793,2606,2739,2600,0.83477,,,,,,,,15308,27972,28213,18630,0.54261,,,,,,,
2759,2545,2667,2619,0.85569,,,,,,,,15895,29210,29414,19376,0.51678,,,,,,,
2730,2546,2639,2577,0.86701,,,,,,,,16530,30520,30671,20060,0.43016,,,,,,,
2644,2466,2564,2503,0.82919,,,,,,,,17409,31938,32129,21109,0.54722,,,,,,,
2636,2389,2558,2491,0.86469,,,,,,,,18018,33275,33403,21921,0.39609,,,,,,,
2569,2306,2498,2394,0.88866,,,,,,,,18727,34639,34907,22834,0.46163,,,,,,,
2506,2323,2446,2364,0.88746,,,,,,,,19631,36092,36315,23785,0.42441,,,,,,,
2420,2273,2399,2297,0.88746,,,,,,,,20414,37545,37750,24816,0.62779,,,,,,,
2378,2213,2343,2275,0.88746,,,,,,,,21266,39253,39441,25897,0.56444,,,,,,,
2355,2158,2278,2224,0.88746,,,,,,,,22200,40836,41123,27013,0.66404,,,,,,,
2309,2106,2220,2157,0.88746,,,,,,,,23181,42621,42807,28144,0.6226,,,,,,,
2236,2089,2209,2124,0.88746,,,,,,,,24092,44288,44669,29276,0.89956,,,,,,,
2225,2048,2180,2101,0.88746,,,,,,,,25211,46203,46443,30456,0.6194,,,,,,,
2196,1998,2095,2035,0.88746,,,,,,,,26161,48103,48386,31774,0.66441,,,,,,,
2115,1982,2096,2047,0.88746,,,,,,,,27300,50206,50182,33207,0.82918,,,,,,,
2071,1951,2033,1996,0.88746,,,,,,,,28476,52295,52241,34507,0.87621,,,,,,,
2051,1936,2014,1940,0.88746,,,,,,,,29576,54279,54330,35966,0.9382,,,,,,,
2047,1863,2030,1912,0.88746,,,,,,,,30773,56148,56437,37262,0.68316,,,,,,,
1972,1845,1953,1900,0.88746,,,,,,,,32109,58242,58561,38577,0.84267,,,,,,,
1953,1816,1909,1871,0.88746,,,,,,,,33510,60379,60830,40153,0.94555,,,,,,,
1902,1788,1890,1851,0.88746,,,,,,,,34747,63100,63636,41530,1,,,,,,,
