intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
1539,0.1264,937,1107,1244,1225,1137,1276,1318,1395,1526,1522,1494,1442
1539,0,954,1121,1301,1207,1157,1248,1345,1442,1603,1524,1565,1479
1533,0.3734,956,1077,1282,1224,1160,1304,1381,1468,1615,1547,1582,1486
1573,0.0488,963,1130,1329,1256,1155,1328,1362,1458,1640,1569,1605,1508
1577,0.397,972,1141,1322,1275,1144,1332,1403,1491,1641,1545,1664,1534
1593,0.1378,996,1153,1326,1310,1164,1323,1375,1502,1682,1605,1669,1588
1603,0.4256,1018,1158,1393,1274,1200,1357,1421,1559,1714,1638,1683,1627
1623,0.2846,991,1139,1398,1333,1193,1383,1472,1557,1732,1681,1755,1628
1592,0.6316,1021,1174,1414,1311,1203,1356,1462,1588,1803,1705,1733,1641
1641,0.3291,999,1186,1383,1322,1216,1449,1455,1584,1790,1768,1770,1656
1655,0.3644,1050,1205,1463,1325,1239,1434,1504,1666,1784,1781,1759,1687
1686,0.2124,1007,1211,1493,1386,1222,1448,1559,1637,1862,1811,1832,1752
1645,0.7958,1040,1235,1441,1337,1248,1451,1511,1696,1915,1805,1849,1760
1704,0.5862,1072,1253,1442,1373,1291,1482,1575,1688,1918,1875,1882,1794
1728,0.3352,1059,1244,1499,1390,1296,1480,1589,1727,1959,1881,1934,1786
1763,0.4835,1088,1259,1539,1406,1309,1545,1625,1775,2050,1924,1938,1862
1743,0.6532,1100,1309,1564,1389,1318,1510,1653,1792,2035,1970,1994,1877
1762,0.6613,1073,1263,1557,1426,1338,1593,1687,1815,2045,2006,2038,1926
1789,0.624,1105,1322,1577,1469,1310,1579,1677,1868,2095,2069,2038,1906
1814,0.6512,1082,1289,1598,1471,1370,1626,1733,1912,2151,2115,2130,1997
1821,0.6871,1121,1346,1656,1491,1368,1612,1774,1948,2158,2099,2144,2001
1879,0.5378,1138,1337,1665,1468,1400,1627,1803,1968,2229,2142,2175,2077
1863,0.7579,1160,1363,1689,1523,1406,1690,1812,1990,2268,2190,2214,2096
1882,0.8238,1151,1385,1679,1515,1456,1676,1859,2087,2281,2224,2265,2108
1953,0.6599,1191,1372,1718,1561,1402,1709,1892,2075,2328,2254,2331,2124
