intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
1539,0.1264,1402,1337,1274,1276,1311,1267,1244,1177,1126
1539,0,1438,1336,1311,1265,1287,1332,1273,1231,1143
1533,0.3734,1424,1337,1291,1305,1331,1324,1261,1195,1137
1573,0.0488,1454,1370,1314,1329,1325,1342,1299,1259,1135
1577,0.397,1463,1381,1310,1321,1330,1350,1314,1214,1167
1593,0.1378,1471,1383,1318,1381,1346,1375,1294,1285,1173
1603,0.4256,1483,1429,1380,1381,1360,1404,1352,1253,1207
1623,0.2846,1537,1440,1387,1373,1374,1430,1331,1331,1210
1592,0.6316,1524,1428,1366,1440,1407,1442,1375,1279,1211
1641,0.3291,1553,1455,1410,1427,1416,1459,1374,1304,1262
1655,0.3644,1582,1459,1425,1445,1463,1495,1380,1346,1253
1686,0.2124,1582,1516,1446,1455,1508,1482,1417,1316,1284
1645,0.7958,1600,1506,1437,1485,1472,1519,1457,1372,1250
1704,0.5862,1642,1530,1459,1535,1532,1575,1446,1351,1308
1728,0.3352,1633,1551,1467,1545,1535,1550,1475,1356,1303
1763,0.4835,1709,1573,1501,1550,1557,1586,1498,1442,1331
1743,0.6532,1689,1589,1527,1559,1558,1622,1525,1414,1339
1762,0.6613,1724,1596,1535,1589,1553,1638,1549,1473,1366
1789,0.624,1749,1608,1559,1616,1605,1669,1574,1472,1356
1814,0.6512,1781,1654,1570,1617,1628,1662,1596,1533,1416
1821,0.6871,1818,1681,1628,1661,1627,1721,1608,1542,1436
1879,0.5378,1842,1709,1628,1711,1683,1730,1598,1545,1462
1863,0.7579,1833,1703,1656,1714,1693,1739,1643,1553,1548
1882,0.8238,1904,1774,1692,1715,1723,1815,1690,1581,1486
1953,0.6599,1892,1787,1743,1781,1757,1817,1735,1628,1516
1947,0.7902,1941,1768,1705,1831,1725,1824,1703,1626,1487
1985,0.8078,1953,1829,1796,1814,1824,1843,1766,1643,1540
2015,0.7781,1998,1859,1702,1839,1805,1913,1764,1673,1579
2053,0.6617,2039,1840,1822,1901,1889,1956,1827,1721,1609
2087,0.7728,2039,1927,1845,1919,1894,1962,1843,1752,1626
2126,1,2120,1962,1841,1941,1921,2002,1873,1737,1659
2142,0.8128,2138,1917,1890,1983,1934,2040,1911,1758,1688
2177,0.8266,2193,2013,1931,2046,1967,2097,1956,1824,1719
2208,0.9281,2238,2017,1907,2025,2035,2100,1986,1825,1725
2258,0.8162,2260,2054,2009,2072,2049,2159,2021,1875,1792
2303,0.8643,2269,2063,2008,2122,2060,2204,2084,1907,1803
2318,0.8621,2354,2090,2084,2169,2134,2217,2065,1983,1855
2402,0.7727,2396,2117,2133,2214,2134,2269,2147,2008,1866
2449,0.7549,2486,2258,2159,2300,2166,2352,2226,2040,1966
2483,0.86,2464,2236,2168,2233,2218,2380,2214,2007,1942
2490,0.9438,2512,2258,2178,2324,2324,2424,2239,2082,1979
2588,0.7927,2596,2333,2244,2352,2310,2485,2292,2135,1993
2615,0.8846,2598,2342,2245,2420,2311,2515,2328,2178,2056
2723,0.7552,2652,2426,2281,2459,2381,2563,2374,2217,2098
2753,0.8614,2725,2424,2350,2485,2420,2613,2448,2276,2134
2849,0.5966,2796,2534,2388,2601,2479,2697,2493,2336,2169
2838,0.8254,2843,2597,2438,2591,2548,2762,2549,2371,2215
