intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
62114,0.2654,59462,63212,55179,61568,64084,60832,61255,63865,59728
59827,0.2654,57271,59726,53170,59091,61474,58409,58730,61423,57553
57844,0.2654,55043,57477,51371,56818,58225,56320,56733,58209,55542
55736,0.2654,53007,55465,49456,54907,56417,54335,54779,56442,53689
53660,0.2654,50844,53267,47656,52786,54248,52403,52913,54190,51658
51755,0.2654,48789,51253,45728,50854,52357,50364,50825,52346,49699
49887,0.2654,46806,49339,44090,48912,50615,48553,49162,50564,48114
48131,0.2654,44863,47402,42382,47156,48811,46708,47388,48763,46298
46295,0.2654,43079,45513,40785,45291,47113,44976,45526,46913,44479
44680,0.2654,41426,43729,39238,43645,45374,43255,43921,45270,42817
43007,0.2654,39622,41888,37984,42010,43936,41800,42307,43567,41310
41319,0.2654,37913,40350,36506,40449,42352,40180,40705,41989,39620
39715,0.2654,36450,38730,35257,38993,40975,38718,39286,40284,38298
38314,0.2654,34945,37321,33827,37519,39465,37147,37877,38871,36773
36967,0.2654,33532,35768,32730,36178,38007,35943,36636,37530,35562
35450,0.2654,32176,34496,31493,34865,36674,34574,35225,36060,34067
34143,0.2654,30979,33214,30377,33710,35432,33340,33956,34773,32892
32981,0.2654,29810,31974,29271,32498,34184,32054,32837,33550,31697
31735,0.2654,28651,30903,28431,31373,33050,30941,31692,32370,30543
30638,0.2654,27677,29692,27427,30269,31827,29830,30547,31035,29517
29632,0.2654,26672,28814,26657,29234,30780,28698,29643,30157,28364
28487,0.2654,25608,27731,25583,28189,29586,27580,28493,29036,27248
27379,0.2654,24674,26755,24611,27221,28448,26593,27557,27881,26231
26454,0.2654,23825,25813,23803,26299,27509,25615,26605,26934,25475
25477,0.2654,22878,24840,22996,25502,26532,24593,25738,25866,24527
24609,0.2654,22189,24003,22241,24594,25436,23691,24928,24932,23487
23740,0.2654,21299,23146,21428,23765,24536,22877,24029,24060,22659
22822,0.2654,20601,22379,20684,22975,23712,21971,23259,23247,21814
22083,0.4807,19917,21657,20044,22375,22954,21342,22584,22458,21176
21247,0.4905,19342,21008,19413,21594,22075,20597,21931,21742,20443
20479,0.5008,18564,20160,18641,20875,21237,19804,21055,20891,19525
19755,0.4572,17995,19434,18069,20248,20531,19105,20518,20225,18988
19075,0.4351,17434,18851,17479,19560,19745,18491,19878,19402,18261
18361,0.4492,16787,18162,16825,18979,19071,17755,19229,18759,17641
17791,0.3957,16322,17689,16371,18535,18530,17378,18822,18240,17158
17076,0.4381,15736,17030,15792,17890,17732,16740,18106,17433,16430
16594,0.3612,15341,16501,15367,17382,17221,16195,17583,17016,16011
15949,0.3969,14718,15982,14839,16881,16632,15626,17078,16334,15431
15730,0.2221,14617,15796,14640,16784,16402,15563,16958,16099,15277
14815,0.4207,13826,14922,13896,15846,15391,14669,16008,15234,14370
14316,0.4025,13332,14405,13403,15364,14870,14199,15619,14640,13919
13756,0.4416,12878,13777,12969,14868,14372,13892,15130,14188,13488
13234,0.472,12540,13516,12547,14407,13969,13413,14708,13811,12982
12847,0.4428,12178,13131,12204,14021,13478,13043,14281,13240,12625
12400,0.4556,11770,12696,11844,13621,12950,12634,13971,12753,12243
11982,0.4268,11458,12269,11528,13198,12527,12271,13493,12291,11876
11561,0.444,11069,11909,11240,12796,12126,11942,13068,11916,11509
11115,0.5083,10740,11513,10899,12403,11581,11589,12669,11477,11082
10825,0.4665,10429,11212,10552,11989,11292,11304,12312,11079,10713
10443,0.4611,10156,10853,10267,11688,10899,10992,11899,10767,10481
10178,0.4066,9818,10508,10031,11267,10506,10716,11637,10424,10119
9780,0.4817,9591,10181,9779,11011,10171,10390,11263,10048,9860
9448,0.501,9301,9911,9472,10722,9825,10069,10978,9756,9611
9153,0.5124,9095,9595,9299,10375,9482,9803,10680,9452,9280
8891,0.4762,8781,9271,8992,10022,9150,9501,10370,9116,9004
8503,0.5691,8578,9048,8775,9790,8712,9242,10083,8816,8716
8299,0.4988,8323,8773,8525,9501,8536,8999,9768,8606,8518
8025,0.5476,8099,8451,8279,9207,8213,8688,9508,8313,8277
7765,0.5595,7898,8297,8061,9014,7936,8430,9211,8064,8048
7517,0.5498,7656,8007,7857,8741,7673,8251,8969,7766,7811
7276,0.5866,7508,7724,7615,8466,7436,7991,8714,7522,7538
7054,0.5755,7222,7507,7441,8185,7130,7821,8480,7308,7347
6876,0.5767,7068,7325,7240,8012,6947,7608,8273,7044,7159
6643,0.5667,6886,7078,7030,7764,6670,7403,8066,6814,6975
6415,0.64,6723,6790,6752,7517,6445,7165,7769,6628,6726
6218,0.6125,6527,6684,6635,7319,6234,6974,7597,6393,6507
5942,0.7416,6353,6432,6448,7161,5992,6734,7358,6256,6342
5837,0.673,6180,6265,6292,6974,5856,6550,7135,6098,6178
5589,0.7955,6028,6027,6105,6749,5693,6384,6998,5914,5992
5450,0.7686,5899,5916,5971,6644,5528,6209,6840,5716,5787
5326,0.7487,5671,5710,5805,6380,5317,6014,6626,5594,5625
5153,0.759,5593,5581,5638,6210,5160,5896,6476,5384,5424
4956,0.8547,5444,5394,5499,6128,5006,5755,6263,5284,5377
4828,0.8183,5279,5233,5343,5957,4870,5616,6155,5188,5199
