intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
62114,0.2654,63280,60387,57997,60588,59451,64188,58268,56245,38513,28806
59827,0.2654,59978,58108,55899,58013,57112,62094,56214,54560,37308,27904
57844,0.2654,57499,55922,53689,55933,54770,58040,54333,52604,36394,27040
55736,0.2654,55576,53998,51691,54115,52672,55790,52426,50954,35392,26168
53660,0.2654,53299,51878,49448,51821,50423,53253,50352,49208,34180,25230
51755,0.2654,51276,49823,47408,49886,48271,51135,48565,47462,33160,24399
49887,0.2654,49439,47872,45663,48040,46317,49005,46970,45844,32064,23556
48131,0.2654,47485,45994,43778,46187,44375,46905,45420,44351,31100,22655
46295,0.2654,45688,44223,42025,44307,42433,44720,43724,42807,30091,21873
44680,0.2654,43717,42282,40421,42567,40648,42833,42305,41224,29189,21045
43007,0.2654,42137,40750,38863,40959,39074,41129,40931,39807,28261,20301
41319,0.2654,40468,39133,37395,39319,37301,39233,39500,38388,27431,19530
39715,0.2654,38879,37539,35870,37887,35708,37563,38285,37133,26539,18798
38314,0.2654,37344,36218,34592,36285,34371,35855,37074,35822,25725,18094
36967,0.2654,35967,34789,33316,35022,32839,34363,35954,34663,24969,17485
35450,0.2654,34524,33421,32067,33586,31445,32860,34868,33497,24083,16763
34143,0.2654,33081,32105,30784,32355,30102,31469,33674,32413,23315,16037
32981,0.2654,31800,30934,29673,31263,28911,30179,32691,31312,22588,15570
31735,0.2654,30705,29862,28749,30100,27747,28867,31674,30268,21843,14950
30638,0.2654,29421,28686,27718,28856,26519,27659,30561,29334,21141,14429
29632,0.2654,28339,27747,26640,27930,25534,26592,29803,28420,20511,13901
28487,0.2654,27212,26697,25638,26759,24449,25347,28786,27433,19770,13385
27379,0.2654,26086,25613,24811,25763,23370,24335,27844,26575,19089,12953
26454,0.2654,25128,24668,23972,24945,22666,23254,27088,25856,18391,12449
25477,0.2654,24065,23726,23047,23875,21619,22271,26165,24973,17799,11990
24609,0.2654,23232,22934,22321,23051,20787,21394,25261,24227,17285,11551
23740,0.2654,22253,22051,21589,22327,20014,20448,24384,23332,16627,11189
22822,0.2654,21464,21318,20829,21460,19200,19590,23682,22610,16065,10910
22083,0.4807,20694,20599,20250,20686,18561,18958,23058,22148,15634,10558
21247,0.4905,20041,19921,19577,19983,17904,18179,22343,21465,15074,10290
20479,0.5008,19161,19152,18877,19167,17258,17432,21522,20690,14480,9875
19755,0.4572,18377,18503,18335,18535,16578,16757,20924,20104,14129,9558
19075,0.4351,17744,17910,17667,17870,16059,16119,20163,19555,13612,9385
