intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
62114,0.2654,63760,63169,64090,60682,62936,55218,63537,62196,61737,62474
59827,0.2654,60998,60560,61228,58872,60182,53473,60875,59756,59341,59820
57844,0.2654,59112,58806,58935,57300,58354,51895,58653,57700,57336,57637
55736,0.2654,57249,57138,57432,55797,56778,50358,57255,56160,55600,56055
53660,0.2654,55467,55347,55757,54200,54858,48532,55364,54396,53487,53917
51755,0.2654,53907,53614,54037,52555,53159,46820,53771,52549,51549,52183
49887,0.2654,52164,52184,52412,51001,51683,45425,52166,50956,49853,50528
48131,0.2654,50529,50466,50825,49644,50007,44033,50616,49209,48030,48885
46295,0.2654,48992,48881,49212,48076,48456,42434,49106,47543,46344,47072
44680,0.2654,47437,47385,47797,46622,46902,41125,47627,45910,44613,45454
43007,0.2654,46158,45877,46398,45183,45356,39752,46098,44385,43025,43816
41319,0.2654,44594,44300,44758,43766,43907,38439,44727,42835,41387,42430
39715,0.2654,43075,43028,43531,42493,42530,37211,43386,41373,39782,40691
38314,0.2654,41907,41537,42125,41295,41146,35905,42026,40010,38388,39318
36967,0.2654,40550,40332,40960,40083,39952,34917,40872,38718,36986,38072
35450,0.2654,39270,38999,39749,38841,38705,33630,39405,37261,35742,36687
34143,0.2654,38015,37680,38390,37551,37453,32552,38296,35987,34314,35354
32981,0.2654,36767,36380,37313,36518,36323,31513,37137,34834,33087,34195
31735,0.2654,35723,35291,36233,35228,35202,30618,35883,33523,31824,33062
30638,0.2654,34563,34098,35102,34228,34163,29541,34778,32530,30621,31890
29632,0.2654,33628,33073,34021,33282,33213,28669,33750,31460,29679,30749
28487,0.2654,32557,31877,33091,32220,32211,27745,32667,30281,28503,29668
27379,0.2654,31461,30858,32026,31267,31174,26954,31537,29384,27470,28585
26454,0.2654,30496,29762,31081,30372,30146,26036,30621,28436,26483,27660
25477,0.2654,29546,28763,30051,29332,29327,25405,29681,27365,25548,26696
24609,0.2654,28595,27898,29339,28551,28373,24526,28615,26565,24653,25751
