pixel#,reflectance1,absorption1,reflectance2,absorption2
100,2.12E-07,0.431111055,2.04E-05,0.219671317
101,2.06E-07,0.401386836,2.13E-05,0.219671317
102,2.13E-07,0.252321576,2.24E-05,0.219671317
103,1.91E-07,0.367370338,2.34E-05,0.219671317
104,1.93E-07,0.270210758,2.44E-05,0.219671317
105,1.24E-07,1,2.55E-05,0.219671317
106,1.61E-07,0.43488943,2.69E-05,0.219671317
107,1.66E-07,0.294687099,2.83E-05,0.219671317
108,1.47E-07,0.426328533,2.96E-05,0.219671317
109,1.57E-07,0.23117097,3.09E-05,0.219671317
110,1.31E-07,0.476195316,3.25E-05,0.219671317
111,1.33E-07,0.360615622,3.39E-05,0.219671317
112,1.56E-07,0,3.54E-05,0.219671317
113,1.37E-07,0.159996102,3.70E-05,0.219671317
114,1.25E-07,0.235459465,3.86E-05,0.219671317
115,9.54E-08,0.633016209,4.04E-05,0.219671317
116,1.07E-07,0.357115566,4.24E-05,0.219671317
117,9.54E-08,0.475238842,4.41E-05,0.219671317
118,1.08E-07,0.183102099,4.60E-05,0.219671317
119,7.69E-08,0.687805943,4.80E-05,0.219671317
120,9.47E-08,0.257043554,5.00E-05,0.219671317
121,8.39E-08,0.38676262,5.23E-05,0.219671317
122,7.18E-08,0.572728438,5.47E-05,0.219671317
123,9.41E-08,0.046720775,5.69E-05,0.219671317
124,8.77E-08,0.090756035,5.90E-05,0.219671317
125,6.61E-08,0.486223843,6.11E-05,0.219671317
126,6.23E-08,0.510374453,6.36E-05,0.219671317
127,9.15E-08,0.510374453,6.69E-05,0.219671317
128,0,0.510374453,6.69E-05,0.219671317
