intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8
3460,0.9227,,,2914,,,,,
3414,0.7851,,,2817,,,,,
3288,0.9254,,,2824,,,,,
3273,0.8114,,,2718,,,,,
3167,0.8832,,,2697,,,,,
3120,0.8411,,,2665,,,,,
3069,0.7581,,,2625,,,,,
2957,0.9017,,,2552,,,,,
2940,0.8044,,,2517,,,,,
2883,0.7865,,,2489,,,,,
2805,0.7958,,,2430,,,,,
2825,0.6717,,,2436,,,,,
2738,0.728,,,2397,,,,,
2696,0.7529,,,2339,,,,,
2648,0.6415,,,2318,,,,,
2614,0.6685,,,2306,,,,,
2555,0.6626,,,2263,,,,,
2533,0.6007,,,2247,,,,,
2491,0.5804,,,2223,,,,,
2474,0.5792,,,2159,,,,,
2413,0.5169,,,2187,,,,,
2411,0.3694,,,2140,,,,,
2364,0.4867,,,2102,,,,,
2301,0.5049,,,2068,,,,,
2294,0.4926,,,2075,,,,,
2308,0.28,,,2066,,,,,
2215,0.388,,,2057,,,,,
2208,0.441,,,1984,,,,,
2175,0.3791,,,2013,,,,,
2169,0.2113,,,1993,,,,,
2135,0.3015,,,1946,,,,,
2113,0.2331,,,1962,,,,,
2083,0.2736,,,1939,,,,,
2064,0.1927,,,1901,,,,,
2046,0.1583,,,1932,,,,,
2013,0.1066,,,1876,,,,,
2006,0.0988,,,1878,,,,,
1932,0.1476,,,1835,,,,,
1964,0.0139,,,1841,,,,,
1922,0.0533,,,1837,,,,,
1924,0,,,1825,,,,,
1864,0.1556,,,1782,,,,,
60084,0.1023,,,,,,,,
57757,0.0788,,,,,,,,
55771,0.0437,,,,,,,,
53691,0.0235,,,,,,,,
51637,0.0113,,,,,,,,
49609,0.0067,,,,,,,,
47660,0.0032,,,,,,,,
45848,0,,,,,,,,
43911,0.0105,,,,,,,,
42163,0.0142,,,,,,,,
40600,0.012,,,,,,,,
38929,0.0259,,,,,,,,
37254,0.0442,,,,,,,,
35812,0.0521,,,,,,,,
34367,0.0627,,,,,,,,
32903,0.083,,,,,,,,
31743,0.0806,,,,,,,,
30418,0.1042,,,,,,,,
29145,0.1182,,,,,,,,
27976,0.1422,,,,,,,,
27010,0.1426,,,,,,,,
25830,0.1745,,,,,,,,
24772,0.1954,,,,,,,,
23842,0.2102,,,,,,,,
22814,0.2339,,,,,,,,
21874,0.2597,,,,,,,,
21087,0.2662,,,,,,,,
20171,0.3064,,,,,,,,
19518,0.3036,,,,,,,,
