690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,ai690
0.21755,0.28353,0.28622,0.28458,0.43922,0.016605,0.017064,0.01553,1,0.18862
0.20814,0.27589,0.27716,0.27744,0.36279,0.018583,0.018103,0.019182,1,0.17646
0.1989,0.26547,0.26622,0.26554,0.42417,0.019286,0.019288,0.018406,1,0.19428
0.1943,0.25736,0.25801,0.25711,0.38315,0.019498,0.020116,0.019782,1,0.2134
0.179,0.24837,0.24828,0.24857,0.40184,0.02074,0.020961,0.021483,1,0.16311
0.17219,0.24176,0.24059,0.24409,0.36741,0.022391,0.022503,0.022858,1,0.18317
0.16412,0.22734,0.23067,0.22769,0.48014,0.022489,0.022763,0.023083,1,0.15483
0.15594,0.22007,0.2214,0.2196,0.45291,0.023355,0.024321,0.023258,1,0.17171
0.15021,0.21179,0.21475,0.2127,0.41597,0.024908,0.025328,0.025184,1,0.14855
0.14266,0.2039,0.20779,0.20451,0.42128,0.026461,0.02674,0.026284,1,0.1233
0.13574,0.19772,0.20171,0.19815,0.45466,0.026412,0.027893,0.025609,1,0.13386
0.1313,0.19036,0.19391,0.19081,0.50918,0.027539,0.029062,0.026584,1,0.18977
0.12426,0.18305,0.18776,0.18355,0.45181,0.029435,0.030345,0.02896,1,0.18143
0.11928,0.17797,0.1803,0.1776,0.51284,0.031151,0.031627,0.030761,1,0.13694
0.11345,0.17103,0.17336,0.17055,0.5609,0.031838,0.032342,0.032111,1,0.17592
0.10784,0.16504,0.16808,0.16666,0.54721,0.033064,0.033706,0.032436,1,0.18897
0.10369,0.15944,0.16168,0.16025,0.55889,0.035041,0.035719,0.034912,1,0.15997
0.099544,0.15329,0.15776,0.15447,0.49745,0.03563,0.036628,0.036188,1,0.17896
0.095173,0.14897,0.1518,0.1497,0.48657,0.03728,0.038609,0.037338,1,0.13469
0.09118,0.14271,0.14673,0.143,0.57203,0.038506,0.039616,0.038764,1,0.16324
0.087841,0.13973,0.14058,0.13889,0.45455,0.040941,0.042165,0.041139,1,0.091782
0.084313,0.13358,0.13683,0.13337,0.63679,0.042707,0.043285,0.04219,1,0.088892
0.079924,0.12897,0.13272,0.13073,0.56487,0.044341,0.045347,0.045366,1,0.060912
0.076327,0.12435,0.1267,0.12427,0.64093,0.045027,0.046467,0.045666,1,0.077428
0.072799,0.1201,0.1234,0.12103,0.57759,0.048214,0.049308,0.048567,1,0.1227
0.070218,0.11702,0.11993,0.11628,0.62858,0.049963,0.051354,0.050093,1,0.1334
0.067481,0.11248,0.11453,0.11297,0.57618,0.052562,0.053091,0.052843,1,0.10667
0.064607,0.10847,0.11143,0.10931,0.65347,0.054082,0.055364,0.055444,1,0.12929
0.062731,0.10429,0.10604,0.10369,0.61756,0.055912,0.056858,0.055494,1,0.14882
0.059857,0.10114,0.10364,0.10276,0.68906,0.058952,0.060316,0.058771,1,0.046654
0.057775,0.096646,0.098925,0.097422,0.73912,0.060636,0.06233,0.060696,1,0.089867
0.054384,0.092822,0.09657,0.093516,0.71412,0.063349,0.06483,0.063097,1,0.091184
0.052336,0.090448,0.092444,0.090182,0.66877,0.065686,0.066859,0.066648,1,0.076231
0.049824,0.086545,0.0905,0.087641,0.69637,0.069903,0.070253,0.069649,1,0.052305
0.047879,0.083677,0.086642,0.083609,0.74674,0.071766,0.071795,0.07105,1,0.063256
0.046209,0.079901,0.082548,0.080322,0.78783,0.075002,0.075773,0.074976,1,0.078319
0.044557,0.077432,0.081426,0.078639,0.74738,0.078679,0.078403,0.077452,1,0.049506
0.041786,0.074564,0.077379,0.074495,0.8039,0.08118,0.082543,0.080378,1,0.067276
0.04115,0.07125,0.074297,0.072225,0.82132,0.084122,0.085596,0.08558,1,0.060031
0.038671,0.069625,0.072036,0.069256,0.83439,0.086819,0.090694,0.089081,1,0.054062
0.037587,0.066757,0.068764,0.067604,0.84012,0.092163,0.092934,0.091907,1,0.037012
0.035987,0.063921,0.066045,0.064223,0.87712,0.094631,0.096474,0.094683,1,0.038412
0.035178,0.061675,0.063863,0.061857,0.88634,0.10051,0.10073,0.099535,1,0.022307
0.033147,0.05895,0.060449,0.058316,0.91607,0.1032,0.10524,0.10306,1,0.09371
0.03177,0.057325,0.059516,0.057602,0.85708,0.10813,0.11037,0.11011,1,0.074048
0.030428,0.054728,0.05705,0.054871,0.89712,0.11356,0.11479,0.11346,1,0.058692
0.028827,0.05331,0.0546,0.052982,0.92728,0.11889,0.12092,0.11909,1,0.080584
0.028345,0.050426,0.052988,0.051426,0.94936,0.12331,0.12443,0.12387,1,0.042259
0.027898,0.048849,0.050364,0.0486,0.93011,0.12928,0.1301,0.1305,1,0.059757
0.0264,0.046443,0.048356,0.047012,0.96579,0.13497,0.13692,0.13497,1,0.11814
0.024318,0.044898,0.046522,0.044345,0.95202,0.14147,0.14161,0.1414,1,0.11686
0.023612,0.042763,0.044325,0.042709,0.93712,0.14812,0.14802,0.14878,1,0.06027
0.022821,0.040596,0.041669,0.040153,0.99576,0.15383,0.15575,0.1535,1,0.16109
0.021874,0.038939,0.040563,0.040201,0.95904,0.16148,0.16169,0.16043,1,0.17985
0.020618,0.036326,0.037638,0.037168,1,0.16839,0.16999,0.16903,1,0.15094
0.020377,0.035848,0.037449,0.036184,0.93713,0.17795,0.17785,0.17686,1,0.12641
0.019207,0.033936,0.036611,0.035104,0.86543,0.18572,0.1864,0.18827,1,0
0.018639,0.032168,0.032928,0.032373,0.97923,0.19315,0.19382,0.19234,1,0.20199
0.017537,0.031976,0.032453,0.031675,0.93463,0.20201,0.20357,0.20155,1,0.15255
0.016849,0.029889,0.030873,0.030103,0.89395,0.21257,0.21287,0.21377,1,0.2497
0.016212,0.027786,0.029703,0.027451,0.93096,0.22074,0.22295,0.22168,1,0.21777
0.015093,0.026416,0.028154,0.027372,0.92312,0.23385,0.23245,0.23173,1,0.20782
0.014784,0.026225,0.026936,0.025689,0.92454,0.24498,0.24438,0.24176,1,0.22837
0.014611,0.024409,0.02613,0.024244,0.8979,0.25577,0.25656,0.25381,1,0.25487
0.012787,0.023277,0.023696,0.023498,0.87499,0.27005,0.27031,0.26847,1,0.26206
0.012598,0.022544,0.023143,0.023038,0.78382,0.28169,0.28143,0.28135,1,0.18706
0.011892,0.02084,0.022494,0.020926,0.84254,0.29334,0.29447,0.29295,1,0.37123
0.011772,0.020107,0.02142,0.020561,0.85263,0.30882,0.30824,0.30671,1,0.26683
0.011359,0.018673,0.019776,0.018259,0.86473,0.32075,0.32274,0.31869,1,0.32038
0.0099131,0.017335,0.0178,0.017115,0.85325,0.33825,0.33727,0.33684,1,0.37951
0.0092075,0.015948,0.01761,0.016195,0.82957,0.35123,0.35248,0.3499,1,0.35895
0.0093452,0.014897,0.015918,0.014988,0.8223,0.36877,0.37026,0.36693,1,0.46024
0.0088461,0.014801,0.015697,0.014782,0.83875,0.38856,0.3875,0.38716,1,0.41758
0.008106,0.014244,0.015191,0.013861,0.7843,0.40703,0.40635,0.40642,1,0.35844
0.0075725,0.013049,0.013437,0.011908,0.74007,0.42589,0.42489,0.42732,1,0.54261
0.0075037,0.011949,0.012172,0.012082,0.77299,0.44599,0.44426,0.44578,1,0.51678
0.0068325,0.012141,0.011903,0.01159,0.79079,0.46758,0.46485,0.46316,1,0.43016
0.0063334,0.01077,0.010623,0.01032,0.73131,0.49066,0.48842,0.48925,1,0.54722
0.0056105,0.0097825,0.010765,0.010368,0.65152,0.51276,0.50935,0.50993,1,0.39609
0.0050254,0.0084123,0.0097692,0.00878,0.68727,0.535,0.53372,0.53269,1,0.46163
0.0041649,0.0091771,0.0094372,0.0087959,0.6541,0.55925,0.55709,0.55725,1,0.42441
0.0039067,0.0079822,0.0082991,0.0073352,0.59283,0.58259,0.57998,0.5824,1,0.62779
0.0033388,0.0073608,0.0077458,0.0073193,0.61367,0.61085,0.60777,0.60996,1,0.56444
0.0045091,0.0057197,0.0059595,0.0057475,0.619,0.63594,0.6343,0.63667,1,0.66404
0.0029774,0.0052099,0.0053588,0.0050013,0.57603,0.66544,0.66197,0.66546,1,0.6226
0.0023234,0.004254,0.0045052,0.0037946,0.5908,0.69198,0.6915,0.69269,1,0.89956
0.0020824,0.0044611,0.0049004,0.0042868,0.58334,0.72416,0.72118,0.72355,1,0.6194
0.0019275,0.0033617,0.0032564,0.0029373,0.55567,0.75491,0.75242,0.75604,1,0.66441
0.0014284,0.0031546,0.0033196,0.0031754,0.53787,0.78933,0.78163,0.79195,1,0.82918
0.0012563,0.0026607,0.0023237,0.0023657,0.50122,0.82347,0.81506,0.82446,1,0.87621
0.00087772,0.0020075,0.0016124,0.0010638,0.50877,0.85547,0.84855,0.8603,1,0.9382
0,0.0014339,0.0024502,0.0012067,0.51843,0.88662,0.88336,0.89364,1,0.68316
0.0001721,0.0012427,0.0013279,0.0011114,0.49185,0.92094,0.91794,0.92667,1,0.84267
0.9624,0.00025492,0.00011065,0.00012702,0.47791,0.95533,0.95425,0.96526,1,0.94555
1,0,0,0,0.48303,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0.52816
0.96612,0.96176,0.95739,0.95739,0.0017289,0.00023423,0.0013243,0.0014937,0,0.47654
0.93219,0.9316,0.92234,0.92234,0.00032017,0.0012046,0.0010627,0.0017381,0,0.36105
0.90068,0.9002,0.89384,0.89384,0.00096052,0.0010206,0.0019455,0.0011678,0,0.6319
0.86676,0.86834,0.86051,0.86051,0.0015048,0.0020411,0.0022562,0.0019554,0,0.51327
0.83743,0.8366,0.82945,0.82945,0.0033618,0.0031788,0.0032371,0.0029874,0,0.40165
0.80611,0.80647,0.79944,0.79944,0.0032017,0.0028107,0.0036131,0.0022813,0,0.26109
0.77772,0.77717,0.77039,0.77039,0.0030096,0.0039149,0.0036295,0.0043182,0,0.22572
0.74855,0.74882,0.74354,0.74354,0.0040022,0.0038982,0.0042998,0.0043453,0,0.47314
0.71867,0.72101,0.71537,0.71537,0.005507,0.0053705,0.0057712,0.0045355,0,0.34994
0.69461,0.6935,0.689,0.689,0.0078763,0.0055713,0.0059674,0.0068711,0,0.36526
0.6682,0.6675,0.66321,0.66321,0.0071399,0.0065751,0.0065559,0.0058391,0,0.39867
0.64342,0.64082,0.63834,0.63834,0.0078122,0.0076291,0.0074715,0.00755,0,0.50353
0.61842,0.61832,0.61522,0.61522,0.0087087,0.0089006,0.0075042,0.0077401,0,0.57371
0.59596,0.5937,0.59032,0.59032,0.0089329,0.0085828,0.0095314,0.0077945,0,0.6966
0.57502,0.57219,0.5703,0.5703,0.0099894,0.0096368,0.010496,0.010836,0,0.28996
0.55389,0.55213,0.54816,0.54816,0.01127,0.010825,0.01151,0.010375,0,0.35758
0.5329,0.53159,0.52602,0.52602,0.012551,0.011996,0.011264,0.012058,0,0.52567
0.51425,0.51372,0.5069,0.5069,0.01428,0.013853,0.01267,0.013443,0,0.54591
0.4939,0.49102,0.48886,0.48886,0.013383,0.013953,0.01424,0.012547,0,0.28891
0.47768,0.47359,0.46975,0.46975,0.014952,0.014187,0.014583,0.013443,0,0.86987
0.45982,0.45601,0.45257,0.45257,0.016617,0.015392,0.014878,0.015127,0,0.67849
0.44165,0.43819,0.43515,0.43515,0.016617,0.015844,0.01697,0.016485,0,0.28192
0.42589,0.4209,0.41853,0.41853,0.017898,0.017099,0.017314,0.015372,0,0.8459
0.41237,0.40633,0.40389,0.40389,0.020907,0.019541,0.019946,0.018169,0,0.2994
0.39498,0.39062,0.38717,0.38717,0.02126,0.019106,0.019014,0.019174,0,0.87339
0.38223,0.37787,0.37278,0.37278,0.020907,0.020846,0.021074,0.020477,0,0.2573
0.36534,0.36015,0.35852,0.35852,0.023469,0.020896,0.021025,0.019961,0,0.17733
0.3532,0.35043,0.34441,0.34441,0.023501,0.022168,0.022741,0.02064,0,0.57604
0.3425,0.33728,0.33154,0.33154,0.024461,0.024226,0.023461,0.023112,0,0.43097
0.32794,0.32294,0.32032,0.32032,0.026831,0.025129,0.025946,0.023981,0,0.67911
0.31688,0.31182,0.30765,0.30765,0.027183,0.026836,0.02624,0.025203,0,0.26137
0.3045,0.30079,0.29695,0.29695,0.029712,0.028074,0.02933,0.027213,0,0.59717
0.29227,0.28769,0.28653,0.28653,0.030737,0.028877,0.029706,0.028299,0,0.5913
0.28363,0.2796,0.27708,0.27708,0.031025,0.030851,0.030197,0.029005,0,0.30862
0.27206,0.26621,0.26495,0.26495,0.031505,0.031487,0.03121,0.030146,0,0.58434
0.26318,0.25863,0.25626,0.25626,0.03349,0.033411,0.03363,0.031341,0,0.50647
0.25495,0.25045,0.24539,0.24539,0.035763,0.034599,0.034365,0.033812,0,0.43472
0.25179,0.24375,0.23927,0.23927,0.039958,0.039133,0.037668,0.036229,0,0.44511
0.23483,0.22935,0.22954,0.22954,0.040086,0.037493,0.038387,0.035822,0,0.30061
0.22798,0.2213,0.22171,0.22171,0.042359,0.040421,0.039875,0.038701,0,0.61487
0.21735,0.21214,0.21293,0.21293,0.041975,0.041542,0.041445,0.039108,0,0.51662
0.21154,0.20544,0.20628,0.20628,0.04492,0.043633,0.043521,0.042041,0,0.60738
0.20392,0.19815,0.19833,0.19833,0.047994,0.045356,0.04599,0.042449,0,0.3723
0.19583,0.19043,0.19041,0.19041,0.049819,0.046996,0.047232,0.045192,0,0.48383
0.18982,0.18551,0.1848,0.1848,0.052092,0.04882,0.050453,0.046278,0,0.36549
0.18256,0.17644,0.17764,0.17764,0.052477,0.051379,0.05163,0.048804,0,0.64341
0.17438,0.16913,0.17077,0.17077,0.053821,0.053069,0.052954,0.048994,0,0.28731
0.16949,0.16479,0.16564,0.16564,0.05808,0.05501,0.055537,0.052606,0,0.46064
0.16308,0.15839,0.15834,0.15834,0.058816,0.056482,0.057516,0.053366,0,0.41084
0.15879,0.15225,0.15372,0.15372,0.062562,0.059795,0.059118,0.057766,0,0.37401
0.15409,0.14816,0.1479,0.1479,0.064707,0.061669,0.062535,0.060346,0,0.31685
0.14878,0.14207,0.14274,0.14274,0.066724,0.065065,0.064693,0.061459,0,0.43307
0.14299,0.13717,0.13716,0.13716,0.068581,0.067056,0.067652,0.06404,0,0.54441
0.1369,0.13222,0.13258,0.13258,0.071687,0.068411,0.070121,0.065859,0,0.67182
0.13279,0.12648,0.12751,0.12751,0.074601,0.071289,0.072164,0.069064,0,0.35711
0.12759,0.12305,0.12189,0.12189,0.076778,0.07435,0.075107,0.072431,0,0.36652
0.12283,0.11787,0.11926,0.11926,0.078155,0.077044,0.078164,0.074278,0,0.34308
0.12051,0.11348,0.11479,0.11479,0.082541,0.080173,0.081205,0.076179,0,0.41478
0.11409,0.10935,0.11016,0.11016,0.085519,0.08295,0.084818,0.079683,0,0.51832
0.11016,0.10584,0.1061,0.1061,0.087408,0.086229,0.086241,0.08191,0,0.32622
0.10837,0.10261,0.10382,0.10382,0.093139,0.090378,0.090034,0.087532,0,0.34039
0.10451,0.10086,0.098908,0.098908,0.097365,0.094946,0.094072,0.091687,0,0.2688
0.10034,0.0949,0.096066,0.096066,0.097397,0.096836,0.09775,0.093751,0,0.42669
0.096696,0.091155,0.091869,0.091869,0.10287,0.10072,0.10053,0.09663,0,0.82263
0.091373,0.08741,0.088796,0.088796,0.10354,0.10309,0.10334,0.0994,0,0.3694
0.089209,0.084869,0.084615,0.084615,0.1087,0.108,0.10812,0.10304,0,0.17377
0.085826,0.08185,0.082219,0.082219,0.11283,0.11168,0.11199,0.10643,0,0.63603
0.082581,0.077148,0.07865,0.07865,0.11529,0.11407,0.11547,0.10899,0,0.24897
0.078665,0.074788,0.075395,0.075395,0.11991,0.119,0.11864,0.1126,0,0.41153
0.076175,0.072,0.073396,0.073396,0.12378,0.12384,0.12388,0.11817,0,0.33572
0.074012,0.069492,0.071116,0.071116,0.12951,0.12842,0.12821,0.12208,0,0.74264
0.071007,0.067348,0.067778,0.067778,0.1355,0.13247,0.13244,0.12683,0,0.5036
0.068362,0.064955,0.065283,0.065283,0.13944,0.13741,0.13911,0.13101,0,0.5138
0.065288,0.061721,0.061466,0.061466,0.14286,0.14219,0.14211,0.13585,0,0.83524
0.063193,0.058702,0.059781,0.059781,0.14763,0.14763,0.14708,0.14057,0,0.90891
0.061905,0.057762,0.058079,0.058079,0.15484,0.15382,0.15383,0.1466,0,0.44835
0.057767,0.054396,0.054907,0.054907,0.15964,0.15896,0.15849,0.15057,0,0.58214
0.055998,0.051921,0.05332,0.05332,0.16582,0.16416,0.1653,0.15774,0,0.62565
0.054315,0.049842,0.050247,0.050247,0.17036,0.17107,0.17016,0.1633,0,0.089934
0.052031,0.048886,0.049074,0.049074,0.176,0.17619,0.1767,0.16922,0,0.71136
0.048614,0.046889,0.047669,0.047669,0.18298,0.18226,0.18322,0.17523,0,0.82211
0.047309,0.043622,0.04486,0.04486,0.18871,0.18924,0.18978,0.18188,0,0.44163
0.045197,0.041874,0.042465,0.042465,0.19601,0.1963,0.19509,0.18889,0,0.58532
0.044682,0.040801,0.041159,0.041159,0.20267,0.20523,0.20176,0.19837,0,0.69559
0.042175,0.039019,0.038962,0.038962,0.21125,0.21176,0.2119,0.20592,0,0.43359
0.040028,0.037749,0.037937,0.037937,0.21836,0.22024,0.21682,0.20996,0,0.45326
0.037864,0.03567,0.034963,0.034963,0.22483,0.22698,0.22679,0.21846,0,0.78361
0.037401,0.034235,0.034302,0.034302,0.23379,0.23699,0.23534,0.22713,0,0.71454
0.034842,0.03341,0.033212,0.033212,0.24375,0.24651,0.24263,0.23777,0,0.36224
0.0334,0.031034,0.031328,0.031328,0.25063,0.25432,0.25073,0.24475,0,0.69997
0.033005,0.029714,0.030584,0.030584,0.25944,0.26347,0.2607,0.25396,0,0.20026
0.031339,0.028807,0.028618,0.028618,0.26936,0.27408,0.2708,0.2652,0,0.81456
0.029244,0.02681,0.02723,0.02723,0.27756,0.28168,0.27957,0.27099,0,0.62306
0.028145,0.026051,0.027065,0.027065,0.28998,0.29277,0.29034,0.28397,0,0.094498
0.026806,0.024039,0.024322,0.024322,0.29706,0.30347,0.30103,0.29464,0,0.0091827
0.02617,0.023808,0.024173,0.024173,0.31172,0.31447,0.31155,0.30496,0,0.050074
0.024797,0.022422,0.022356,0.022356,0.3243,0.32869,0.32456,0.32204,0,0.81051
0.023801,0.021811,0.02153,0.02153,0.33836,0.34155,0.33748,0.33359,0,0.65417
0.02198,0.020739,0.019316,0.019316,0.3454,0.35127,0.34802,0.34081,0,0.13417
0.020984,0.018858,0.019051,0.019051,0.35683,0.36305,0.36058,0.35284,0,0
0.018597,0.016878,0.017019,0.017019,0.36935,0.37523,0.37343,0.36582,0,0.93137
0.017773,0.017241,0.016821,0.016821,0.38639,0.3919,0.38801,0.38375,0,0.20246
0.016485,0.015773,0.015499,0.015499,0.39874,0.40677,0.40334,0.39697,0,1
0.016331,0.014832,0.015201,0.015201,0.41613,0.42047,0.4183,0.41243,0,0.16236
0.015867,0.013925,0.013846,0.013846,0.42935,0.43536,0.43228,0.42899,0,0.81751
0.013738,0.013479,0.012805,0.012805,0.44831,0.45867,0.45095,0.44787,0,0.57137
0.013223,0.011879,0.012723,0.012723,0.46662,0.47498,0.46787,0.46539,0,0.43285
0.012415,0.012028,0.011616,0.011616,0.48583,0.4946,0.48756,0.48543,0,0.55586
0.012381,0.010939,0.011781,0.011781,0.50139,0.51205,0.50654,0.50341,0,0.36679
0.010664,0.010592,0.0097817,0.0097817,0.523,0.53434,0.52791,0.52522,0,0.39148
0.0094618,0.0081173,0.0083112,0.0083112,0.54071,0.55507,0.54576,0.54387,0,0.4895
0.0082254,0.0082163,0.008179,0.008179,0.5653,0.57493,0.56914,0.56538,0,0.57428
0.0079679,0.0078534,0.0068406,0.0068406,0.58454,0.59666,0.58958,0.58646,0,0.5705
0.0076588,0.006715,0.0071711,0.0071711,0.60494,0.61941,0.61027,0.61449,0,0.41334
0.0068173,0.0063025,0.0066588,0.0066588,0.63097,0.64521,0.63606,0.63635,0,0.12256
0.0060789,0.005791,0.0055518,0.0055518,0.65428,0.66951,0.65873,0.66307,0,0.43782
0.0058557,0.0051806,0.0048413,0.0048413,0.67995,0.69689,0.68643,0.6879,0,0.3262
0.0038466,0.0052301,0.0041308,0.0041308,0.70614,0.72237,0.71118,0.71505,0,0.54176
0.0046365,0.0044381,0.0038995,0.0038995,0.73672,0.75135,0.74017,0.74629,0,0.40611
0.0042415,0.0042402,0.0037508,0.0037508,0.76791,0.77705,0.76706,0.77366,0,0.51249
0.003091,0.0029203,0.0031725,0.0031725,0.79544,0.80984,0.79682,0.80772,0,0.51994
0.0028162,0.0024418,0.0024289,0.0024289,0.82851,0.83887,0.82418,0.84058,0,0.26847
0.0012192,0.0020458,0.0014706,0.0014706,0.8581,0.86875,0.85742,0.87176,0,0.58964
0.0012879,0.0023593,0.0015862,0.0015862,0.8913,0.90062,0.88901,0.90136,0,0.079072
0.00044647,0.00072594,0.00084268,0.00084268,0.92434,0.92747,0.92036,0.93273,0,0.24951
0.00044647,0,0.00087573,0.00087573,0.96241,0.96,0.95576,0.96456,0,0.3548
0,8.25E-05,0,0,1,1,1,1,0,0.2893
