690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,ai690
0.068148,0.066958,0.06842,0.068181,0.096266,0.09627,0.096977,0.092758,1,0.76925
0.066372,0.064529,0.065754,0.064077,0.10209,0.1008,0.10147,0.095536,1,0.7015
0.061941,0.060705,0.061221,0.061591,0.10333,0.10432,0.10539,0.10085,1,0.81854
0.05975,0.058342,0.058946,0.058884,0.10932,0.1086,0.11039,0.10416,1,0.79117
0.057543,0.055355,0.056553,0.055802,0.11249,0.11276,0.11441,0.10918,1,0.7707
0.05502,0.05286,0.054872,0.053809,0.11729,0.11768,0.11929,0.11387,1,0.77932
0.051518,0.050497,0.051476,0.051527,0.12148,0.12306,0.12409,0.11776,1,0.87047
0.049775,0.048692,0.049201,0.048973,0.12803,0.1281,0.12968,0.12431,1,0.83407
0.046539,0.045508,0.046315,0.046351,0.13145,0.13305,0.13473,0.12716,1,0.92446
0.045194,0.0439,0.045194,0.044205,0.13716,0.13882,0.13945,0.13162,1,0.86681
0.043153,0.041717,0.042325,0.043047,0.1446,0.1439,0.14525,0.14027,1,0.87282
0.04068,0.039567,0.040661,0.039999,0.15028,0.151,0.15096,0.14341,1,0.92374
0.039319,0.037582,0.039116,0.038756,0.15534,0.15589,0.15696,0.1503,1,0.8823
0.036481,0.035169,0.036672,0.035402,0.16076,0.16261,0.16337,0.15634,1,0.98343
0.036331,0.034267,0.03533,0.034669,0.16865,0.1699,0.16996,0.16423,1,0.83753
0.033028,0.031788,0.032801,0.032592,0.17377,0.17593,0.17688,0.17044,1,1
0.032232,0.031116,0.031782,0.031162,0.18072,0.1828,0.18461,0.17655,1,0.92289
0.030638,0.030361,0.030967,0.030583,0.19013,0.19159,0.19192,0.18438,1,0.93093
0.029626,0.028473,0.029507,0.02934,0.19728,0.20056,0.19992,0.19216,1,0.88367
0.027834,0.027275,0.027826,0.027211,0.20358,0.20668,0.20818,0.19919,1,0.92387
0.026506,0.025224,0.025585,0.026121,0.2104,0.21458,0.2151,0.20837,1,0.92011
0.02639,0.024453,0.025399,0.025134,0.2215,0.22399,0.22369,0.2159,1,0.78632
0.023917,0.023616,0.023344,0.023346,0.23137,0.23393,0.23434,0.22617,1,0.92065
0.023634,0.022385,0.023412,0.022937,0.24098,0.24401,0.24239,0.23537,1,0.80978
0.021859,0.020891,0.021731,0.021251,0.24994,0.25273,0.25245,0.24373,1,0.87799
0.021045,0.020054,0.020424,0.020672,0.26,0.26166,0.26091,0.25351,1,0.83644
0.020581,0.0193,0.020407,0.019123,0.27258,0.27454,0.27308,0.26608,1,0.75546
0.018406,0.018102,0.018319,0.01788,0.28086,0.28331,0.28257,0.27412,1,0.89304
0.018091,0.01779,0.017725,0.01725,0.28919,0.29578,0.29434,0.2855,1,0.7983
0.017211,0.016575,0.016146,0.016279,0.30157,0.30569,0.30599,0.29745,1,0.78015
0.016166,0.015541,0.016078,0.016381,0.31229,0.31744,0.31706,0.30709,1,0.78825
0.016099,0.014704,0.014567,0.014985,0.32481,0.33199,0.33155,0.32398,1,0.66774
0.014772,0.014032,0.014906,0.014457,0.34021,0.34492,0.34423,0.33608,1,0.72117
0.013709,0.013227,0.012869,0.012635,0.34974,0.35644,0.35541,0.34572,1,0.74433
0.013593,0.012834,0.012801,0.012601,0.3639,0.3689,0.36953,0.35891,1,0.63603
0.012564,0.01221,0.011715,0.011494,0.37676,0.38314,0.38297,0.37164,1,0.6613
0.011784,0.011225,0.011901,0.010915,0.39126,0.39885,0.39708,0.38869,1,0.65479
0.011386,0.0097811,0.011732,0.010881,0.4072,0.41451,0.41173,0.40289,1,0.59435
0.010738,0.0097483,0.0097282,0.0099275,0.42421,0.42843,0.43009,0.42009,1,0.57393
0.0099915,0.0097647,0.0089642,0.0086844,0.43973,0.44477,0.44545,0.437,1,0.57208
0.009643,0.0093544,0.0092358,0.0089398,0.45604,0.46509,0.46305,0.45695,1,0.51125
0.0098422,0.0090754,0.0087944,0.0088036,0.47721,0.48347,0.48139,0.47432,1,0.36834
0.0084148,0.0082548,0.0073174,0.0077649,0.49199,0.50115,0.49916,0.49227,1,0.48067
0.0076347,0.0075327,0.007623,0.0067262,0.51135,0.52096,0.51956,0.51085,1,0.49742
0.0070538,0.0064988,0.0067062,0.0063515,0.53113,0.54092,0.54007,0.53213,1,0.48483
0.0076513,0.0065481,0.0069608,0.0064367,0.55343,0.5615,0.56006,0.55309,1,0.27927
0.0063899,0.0062691,0.0067741,0.0061131,0.57488,0.5841,0.58417,0.57413,1,0.38263
0.0054937,0.0056619,0.005348,0.004819,0.59642,0.60471,0.60244,0.5936,1,0.43303
0.0052447,0.0048577,0.0048386,0.0044784,0.61827,0.62824,0.62642,0.61989,1,0.37275
0.0055933,0.0050218,0.0051612,0.0044784,0.64325,0.6527,0.65173,0.64317,1,0.2103
0.004531,0.0045623,0.0036502,0.0034738,0.66816,0.67837,0.67245,0.66989,1,0.29657
0.0043485,0.0037089,0.003786,0.0034567,0.69176,0.70549,0.69846,0.6967,1,0.23001
0.0036016,0.0034464,0.0035144,0.0033205,0.71846,0.72852,0.72429,0.7226,1,0.26847
0.003502,0.0026586,0.0028353,0.0023158,0.74698,0.75803,0.75447,0.75045,1,0.18984
0.0031701,0.0027899,0.0024618,0.001839,0.77638,0.78752,0.78207,0.77856,1,0.15612
0.0029377,0.0037582,0.0027674,0.0019923,0.80577,0.81715,0.81128,0.81192,1,0.10562
0.0024896,0.0024781,0.0020543,0.0010728,0.83918,0.85024,0.84065,0.84301,1,0.097508
0.0017759,0.0021827,0.0021392,0.0019072,0.87199,0.87744,0.8732,0.87574,1,0.14396
0.0019751,0.0021991,0.0014261,0.0011409,0.90099,0.90814,0.90446,0.9056,1,0.014495
0.0013278,0.0012473,0.0011375,0.0001192,0.93333,0.93645,0.93713,0.93488,1,0.051908
0.0011452,0.001395,0.00035653,0,0.97162,0.96825,0.9687,0.96952,1,0
0,0,0,0.00020434,1,1,1,1,1,0.14939
1,1,1,1,0,0,0,0,1,0.57264
0.96067,0.96504,0.9627,0.9671,0.0020812,0.0017817,0.001396,0.00082192,1,0.59407
0.92627,0.9352,0.92719,0.93475,0.0020257,0.0026317,0.0019709,0.00096283,1,0.58422
0.8907,0.90146,0.8924,0.90301,0.0035242,0.0022884,0.0026607,0.0026536,1,0.57186
0.85538,0.86511,0.85936,0.86612,0.0036074,0.003122,0.0032355,0.0022075,1,0.61751
0.82036,0.82951,0.8244,0.83323,0.0035242,0.0032691,0.0031534,0.0032172,1,0.64482
0.78695,0.7978,0.79143,0.79944,0.0048561,0.0046258,0.0039582,0.0030998,1,0.63689
0.7552,0.76406,0.75678,0.76698,0.0046064,0.003547,0.0045001,0.0033816,1,0.55503
0.72228,0.73188,0.72958,0.73509,0.0056886,0.004822,0.0051735,0.004955,1,0.62427
0.69237,0.70344,0.69866,0.70629,0.0067153,0.0058681,0.0059126,0.0055421,1,0.56321
0.66507,0.67504,0.66999,0.67836,0.0065488,0.0056393,0.0060933,0.0054717,1,0.59868
0.63607,0.64435,0.64137,0.64777,0.0070761,0.005721,0.0068159,0.0048141,1,0.56808
0.60768,0.61677,0.61555,0.62081,0.0073536,0.0077806,0.0072101,0.0068337,1,0.66165
0.5825,0.59065,0.5885,0.59405,0.0088798,0.0076335,0.0083105,0.007139,1,0.61663
0.55806,0.56709,0.56505,0.57338,0.010045,0.0091863,0.008836,0.0081253,1,0.61701
0.53314,0.54219,0.53978,0.54666,0.011127,0.010069,0.010347,0.0094169,1,0.60901
0.51312,0.52054,0.51854,0.52244,0.01146,0.010527,0.011316,0.01038,1,0.64778
0.48987,0.49798,0.49592,0.50251,0.01196,0.011344,0.011727,0.010356,1,0.65086
0.46919,0.47791,0.47452,0.48247,0.015012,0.013518,0.012893,0.012235,1,0.62888
0.44796,0.45635,0.45394,0.46094,0.014069,0.013011,0.013008,0.012986,1,0.63551
