intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
1539,0.1264,,,1534,1530,1456,,1534,2267,2393
1539,0,,,1506,1545,1494,,1507,2230,2461
1533,0.3734,,,1535,1537,1502,,1518,2285,2482
1573,0.0488,,,1545,1559,1455,,1538,2279,2506
1577,0.397,,,1554,1588,1494,,1532,2270,2528
1593,0.1378,,,1578,1588,1526,,1574,2360,2542
1603,0.4256,,,1573,1607,1530,,1573,2318,2554
1623,0.2846,,,1592,1616,1592,,1589,2347,2630
1592,0.6316,,,1553,1624,1570,,1596,2368,2562
1641,0.3291,,,1560,1634,1552,,1636,2376,2622
1655,0.3644,,,1612,1643,1569,,1620,2372,2626
1686,0.2124,,,1634,1666,1591,,1630,2395,2623
1645,0.7958,,,1611,1654,1586,,1627,2443,2649
1704,0.5862,,,1627,1691,1625,,1636,2443,2673
1728,0.3352,,,1641,1678,1591,,1680,2428,2695
1763,0.4835,,,1661,1692,1650,,1697,2438,2780
1743,0.6532,,,1629,1725,1643,,1719,2455,2747
1762,0.6613,,,1684,1711,1689,,1753,2498,2808
1789,0.624,,,1674,1740,1659,,1748,2505,2830
1814,0.6512,,,1683,1758,1704,,1776,2562,2832
1821,0.6871,,,1721,1776,1710,,1759,2540,2883
1879,0.5378,,,1711,1797,1749,,1814,2549,2903
1863,0.7579,,,1743,1789,1726,,1828,2610,2885
1882,0.8238,,,1779,1801,1780,,1793,2618,2944
1953,0.6599,,,1740,1836,1768,,1855,2613,2992
1947,0.7902,,,1789,1845,1830,,1873,2664,2967
1985,0.8078,,,1810,1830,1876,,1907,2674,3090
2015,0.7781,,,1828,1890,1844,,1952,2732,3078
2053,0.6617,,,1839,1933,1865,,1962,2746,3125
2087,0.7728,,,1887,1931,1904,,1967,2758,3135
2126,1,,,1855,1939,1926,,2023,2792,3204
2142,0.8128,,,1896,1958,1968,,2047,2791,3206
2177,0.8266,,,1952,2004,1971,,2086,2813,3221
2208,0.9281,,,1963,2040,1987,,2069,2853,3296
2258,0.8162,,,2003,2031,2025,,2153,2904,3337
2303,0.8643,,,2013,2090,2060,,2185,2906,3359
2318,0.8621,,,2059,2075,2093,,2208,2917,3428
2402,0.7727,,,2069,2104,2107,,2224,2969,3499
2449,0.7549,,,2165,2146,2173,,2276,3103,3598
2483,0.86,,,2118,2178,2139,,2288,3017,3505
2490,0.9438,,,2172,2190,2199,,2327,3117,3610
2588,0.7927,,,2196,2216,2273,,2374,3137,3655
2615,0.8846,,,2285,2282,2241,,2425,3192,3708
2723,0.7552,,,2283,2313,2307,,2463,3176,3820
2753,0.8614,,,2328,2329,2349,,2485,3226,3764
2849,0.5966,,,2307,2340,2419,,2556,3318,3889
2838,0.8254,,,2418,2367,2455,,2555,3296,3894
2956,0.7628,,,2418,2420,2447,,2596,3326,3934
3022,0.7949,,,2485,2448,2488,,2662,3397,4050
3175,0.462,,,2526,2523,2579,,2694,3463,4145
3217,0.5248,,,2566,2574,2598,,2733,3537,4129
3255,0.6998,,,2656,2611,2674,,2839,3605,4234
3364,0.6269,,,2667,2662,2701,,2879,3585,4274
3443,0.6696,,,2778,2688,2805,,2922,3639,4303
3483,0.7154,,,2776,2731,2829,,2966,3687,4425
3592,0.6626,,,2888,2773,2868,,3091,3762,4515
3728,0.4952,,,2967,2823,2930,,3065,3812,4578
3823,0.5717,,,2972,2856,2959,,3168,3954,4631
3950,0.4977,,,3031,2949,3021,,3208,3995,4752
4055,0.4356,,,3138,2988,3089,,3312,4091,4835
4176,0.4493,,,3206,3069,3124,,3369,4117,4910
