intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8
62114,0.2654,64070,64873,62502,62188,64336,63438,64375,64040
59827,0.2654,61318,63108,59402,59760,61092,60458,62998,61520
57844,0.2654,59165,59279,56971,57724,58386,58433,59207,58800
55736,0.2654,57352,57424,54662,55859,56614,56501,57299,57132
53660,0.2654,55371,55395,52332,53777,54440,54680,55405,55173
51755,0.2654,53529,53523,50130,51800,52232,52667,53484,53349
49887,0.2654,51827,51689,48031,49967,50288,50897,51662,51495
48131,0.2654,50183,49834,45987,48172,48427,48991,49847,49888
46295,0.2654,48431,48011,44009,46314,46484,47369,48004,48203
44680,0.2654,47033,46300,42214,44612,44850,45773,46247,46573
43007,0.2654,45413,44747,40544,43016,43070,44174,44719,45051
41319,0.2654,43899,43053,38785,41421,41321,42558,43209,43575
39715,0.2654,42522,41488,37205,39865,39651,41139,41761,42219
38314,0.2654,41175,40054,35828,38375,38107,39712,40311,40934
36967,0.2654,39914,38652,34476,37089,36787,38376,38933,39496
35450,0.2654,38658,37349,33223,35636,35307,37114,37690,38212
34143,0.2654,37534,35946,31866,34298,33974,35790,36421,36942
32981,0.2654,36236,34744,30725,32933,32616,34652,35146,35900
31735,0.2654,35218,33623,29640,31916,31358,33504,33953,34597
30638,0.2654,33990,32490,28455,30713,30198,32248,32977,33481
29632,0.2654,33039,31439,27569,29726,29082,31280,31818,32427
28487,0.2654,32023,30310,26500,28597,27930,30105,30804,31350
27379,0.2654,30855,29245,25557,27513,26881,29078,29767,30335
26454,0.2654,29991,28406,24724,26537,25829,28031,28733,29360
25477,0.2654,28950,27382,23824,25669,24864,27108,27825,28386
24609,0.2654,28216,26612,23074,24722,23986,26120,27004,27537
23740,0.2654,27136,25707,22278,23963,23080,25217,26167,26681
22822,0.2654,26298,24845,21557,23146,22350,24273,25274,25783
22083,0.4807,25511,24188,20921,22470,21575,23461,24670,25158
21247,0.4905,24692,23373,20158,21739,20824,22733,23909,24320
20479,0.5008,23880,22528,19474,20982,20074,21771,23030,23409
19755,0.4572,23067,21930,18820,20322,19294,21039,22258,22816
19075,0.4351,22284,21255,18230,19603,18809,20287,21681,22018
18361,0.4492,21531,20574,17647,18898,18235,19575,20924,21320
17791,0.3957,20978,20071,17234,18369,17691,18994,20410,20816
17076,0.4381,20240,19299,16626,17712,17147,18201,19693,20099
16594,0.3612,19610,18912,16190,17186,16723,17685,19093,19692
15949,0.3969,18920,18349,15638,16653,16124,17232,18532,18939
15730,0.2221,18715,18141,15574,16442,16117,17089,18402,18733
14815,0.4207,17734,17098,14726,15470,15314,16090,17351,17842
14316,0.4025,17124,16662,14331,15014,14899,15543,16904,17285
13756,0.4416,16535,16143,13867,14468,14498,15109,16408,16853
13234,0.472,16051,15700,13423,14081,14166,14673,15925,16344
12847,0.4428,15445,15156,13148,13636,13777,14285,15516,15930
12400,0.4556,14962,14772,12746,13273,13495,13972,14999,15441
11982,0.4268,14422,14319,12353,12930,13098,13544,14581,15004
11561,0.444,13918,13858,11956,12560,12735,13276,14222,14601
11115,0.5083,13512,13436,11674,12108,12407,12963,13732,14140
10825,0.4665,13059,13074,11361,11838,12182,12615,13434,13873
10443,0.4611,12639,12693,11072,11520,11966,12365,13038,13458
10178,0.4066,12195,12387,10670,11172,11667,12033,12701,13139
9780,0.4817,11829,11988,10455,10917,11232,11810,12371,12781
9448,0.501,11478,11668,10175,10651,11022,11591,11982,12551
9153,0.5124,11002,11330,9821,10381,10709,11334,11747,12191
8891,0.4762,10683,10997,9517,10190,10522,11022,11354,11802
8503,0.5691,10271,10632,9339,9869,10293,10780,11062,11468
8299,0.4988,9968,10392,9136,9701,10029,10491,10740,11178
8025,0.5476,9587,10095,8821,9449,9770,10330,10547,10903
7765,0.5595,9283,9793,8609,9213,9499,10042,10238,10624
7517,0.5498,8928,9536,8339,8955,9347,9836,10004,10376
7276,0.5866,8681,9250,8132,8706,9028,9589,9703,10074
7054,0.5755,8361,9064,7964,8550,8810,9369,9452,9821
6876,0.5767,8133,8779,7788,8348,8652,9174,9260,9605
6643,0.5667,7755,8578,7619,8172,8390,8919,9029,9340
6415,0.64,7522,8244,7337,7922,8184,8692,8819,9013
6218,0.6125,7285,8061,7195,7761,7955,8459,8572,8855
5942,0.7416,7078,7803,6982,7613,7830,8316,8342,8613
5837,0.673,6827,7656,6870,7407,7607,8138,8166,8395
5589,0.7955,6641,7379,6700,7228,7388,7880,7923,8213
5450,0.7686,6445,7175,6547,7063,7201,7613,7770,8038
5326,0.7487,6292,7033,6363,6915,7026,7468,7588,7724
5153,0.759,6073,6784,6225,6701,6927,7309,7381,7555
4956,0.8547,5828,6596,6027,6530,6709,7088,7163,7447
4828,0.8183,5731,6428,5942,6400,6562,6940,7079,7214
4670,0.9132,5518,6235,5738,6199,6421,6777,6848,7009
4578,0.8548,5380,6086,5653,6093,6218,6654,6681,6815
4433,0.8623,5233,5873,5516,5882,6123,6475,6564,6645
4308,0.9162,5097,5773,5347,5769,5978,6337,6411,6529
4209,0.8745,4911,5654,5242,5695,5803,6150,6258,6361
4072,0.9805,4746,5460,5151,5468,5631,5962,6110,6176
4021,0.8305,4644,5273,4997,5367,5526,5916,5943,6015
3873,1,4523,5122,4823,5286,5326,5714,5808,5882
3768,0.9212,4371,5029,4744,5132,5229,5622,5682,5749
3687,0.9307,4251,4902,4624,5084,5124,5453,5592,5597
3623,0.8828,4178,4785,4552,4983,4973,5318,5426,5487
3534,0.9255,4050,4624,4409,4838,4871,5222,5303,5351
3460,0.9227,3952,4546,4345,4783,4754,5004,5191,5221
3414,0.7851,3858,4386,4270,4658,4663,4912,5033,5088
3288,0.9254,3831,4344,4191,4576,4579,4811,4950,4964
3273,0.8114,3739,4228,4073,4509,4474,4784,4866,4894
3167,0.8832,3594,4086,3989,4434,4337,4616,4734,4782
3120,0.8411,3493,3989,3902,4372,4231,4485,4652,4656
3069,0.7581,3448,3946,3794,4271,4178,4420,4566,4548
2957,0.9017,3350,3776,3700,4171,4094,4311,4469,4437
2940,0.8044,3308,3693,3674,4099,3976,4210,4345,4328
2883,0.7865,3233,3647,3582,4025,3895,4082,4286,4241
2805,0.7958,3154,3531,3508,3943,3838,3998,4166,4172
2825,0.6717,3104,3506,3488,3908,3785,3949,4119,4071
2738,0.728,3038,3447,3428,3814,3703,3878,4068,4000
2696,0.7529,2952,3323,3304,3739,3596,3760,3946,3904
2648,0.6415,2921,3235,3230,3676,3604,3699,3881,3787
2614,0.6685,2859,3179,3178,3635,3480,3605,3796,3817
2555,0.6626,2780,3120,3116,3587,3431,3536,3732,3652
2533,0.6007,2755,3068,3031,3467,3366,3460,3619,3633
2491,0.5804,2731,2982,3012,3488,3324,3379,3544,3453
2474,0.5792,2675,2936,3002,3368,3235,3347,3490,3459
2413,0.5169,2587,2879,2920,3295,3200,3302,3405,3401
2411,0.3694,2613,2881,2799,3283,3141,3227,3360,3340
2364,0.4867,2530,2807,2844,3170,3119,3232,3349,3266
2301,0.5049,2502,2718,2790,3136,3018,3174,3233,3195
2294,0.4926,2475,2729,2737,3111,2986,3066,3211,3133
2308,0.28,2429,2660,2674,3040,2963,3053,3120,3081
2215,0.388,2366,2636,2629,2983,2876,2996,3074,3006
2208,0.441,2347,2564,2560,2943,2818,2961,3023,2973
2175,0.3791,2300,2561,2540,2841,2753,2921,2947,2899
2169,0.2113,2256,2490,2517,2782,2737,2833,2940,2862
2135,0.3015,2268,2452,2454,2804,2665,2765,2890,2803
2113,0.2331,2189,2391,2458,2707,2658,2761,2795,2740
2083,0.2736,2172,2379,2360,2684,2585,2692,2762,2710
2064,0.1927,2151,2358,2342,2635,2544,2677,2724,2618
2046,0.1583,2101,2326,2318,2577,2497,2677,2694,2592
2013,0.1066,2055,2294,2244,2515,2503,2590,2605,2538
2006,0.0988,2059,2271,2204,2497,2461,2576,2617,2519
1932,0.1476,2027,2266,2179,2412,2412,2529,2501,2483
1964,0.0139,1996,2190,2152,2415,2351,2501,2521,2448
1922,0.0533,2034,2181,2121,2366,2326,2480,2466,2372
1924,0,1956,2124,2104,2338,2290,2415,2442,2356
1864,0.1556,1913,2118,2055,2306,2254,2393,2351,2356
60084,0.1023,,,,,,,,
57757,0.0788,,,,,,,,
55771,0.0437,,,,,,,,
53691,0.0235,,,,,,,,
