intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13
62114,0.2654,64856,64949,58033,55814,59954,62672,64804,59595,62934,64065,62881,63719,61533
59827,0.2654,62122,62519,56184,54108,58122,60198,63039,57393,60036,60681,59931,60492,58883
57844,0.2654,59769,59484,54405,52253,56431,58121,59189,55402,57751,58181,57685,58022,56837
55736,0.2654,58018,57581,52789,50685,54861,56436,57150,53633,55847,56270,55795,56150,54832
53660,0.2654,56142,55470,51002,48936,53093,54336,55222,51418,53735,54220,53602,53875,52735
51755,0.2654,54261,53719,49358,47382,51259,52588,53198,49579,51712,52113,51703,52135,50679
49887,0.2654,52455,51767,47662,45705,49759,50723,51416,47774,49681,50353,49820,50166,48994
48131,0.2654,50842,49927,46103,44129,48208,49047,49668,45977,47903,48536,48032,48358,47136
46295,0.2654,49087,48080,44553,42745,46592,47284,47643,44143,46106,46762,46109,46511,45286
44680,0.2654,47608,46280,42970,41274,44994,45616,46140,42530,44320,44967,44508,44725,43395
43007,0.2654,46003,44710,41480,39953,43615,43952,44565,40853,42787,43333,42814,43249,41789
41319,0.2654,44329,43026,40180,38535,41993,42443,42906,39304,41086,41673,41194,41507,40255
39715,0.2654,42840,41455,38705,37276,40744,40705,41295,37805,39445,40157,39572,39914,38669
38314,0.2654,41459,39817,37426,35959,39390,39402,39925,36334,38138,38598,38160,38316,37194
36967,0.2654,40072,38488,36181,34909,38152,38008,38450,34896,36699,37227,36804,36958,35838
35450,0.2654,38709,37024,35035,33699,36853,36599,37110,33580,35245,35822,35394,35519,34522
34143,0.2654,37267,35681,33878,32510,35592,35203,35823,32300,33980,34590,34085,34208,33126
32981,0.2654,36072,34422,32650,31573,34475,34025,34614,31094,32804,33252,32762,32806,31833
31735,0.2654,34902,33185,31604,30557,33306,32821,33394,30062,31695,32159,31706,31686,30665
30638,0.2654,33732,31928,30608,29646,32153,31698,32245,28913,30526,30919,30462,30469,29456
29632,0.2654,32618,30934,29643,28700,31216,30637,31159,27913,29612,29907,29254,29361,28312
28487,0.2654,31423,29602,28565,27740,30175,29457,29983,26819,28424,28677,28177,28043,27251
27379,0.2654,30329,28540,27773,26897,29139,28452,28964,25946,27338,27656,27067,26963,26184
26454,0.2654,29247,27587,26765,25961,28198,27452,27939,24955,26485,26648,26134,25919,25150
25477,0.2654,28287,26612,25940,25243,27219,26399,26937,24060,25486,25660,25123,24835,24175
24609,0.2654,27359,25579,25195,24378,26372,25579,26071,23219,24615,24797,24103,23884,23320
23740,0.2654,26294,24850,24370,23688,25398,24635,25136,22455,23823,23859,23263,22956,22335
22822,0.2654,25455,23821,23567,22875,24599,23852,24294,21607,22885,23026,22369,22034,21549
22083,0.4807,24624,23149,22894,22163,23858,23121,23504,21024,22241,22263,21683,21207,20686
21247,0.4905,23785,22292,22212,21558,23060,22304,22870,20264,21518,21501,20850,20387,20026
20479,0.5008,22911,21442,21544,20909,22204,21428,21902,19498,20695,20666,20057,19558,19197
19755,0.4572,22218,20705,20794,20217,21517,20828,21155,18927,20052,20049,19297,18751,18400
19075,0.4351,21364,20133,20170,19552,20830,20206,20521,18183,19292,19228,18632,18057,17675
18361,0.4492,20579,19373,19550,18955,20056,19464,19685,17565,18581,18555,17904,17324,16986
17791,0.3957,20024,18915,19159,18540,19575,18948,19088,17101,18134,18071,17282,16845,16387
17076,0.4381,19181,18248,18534,17926,18825,18272,18499,16406,17450,17377,16594,16141,15787
16594,0.3612,18686,17746,18000,17408,18293,17686,17928,15981,16864,16735,16015,15558,15216
15949,0.3969,17959,17108,17474,16859,17695,17176,17350,15371,16274,16301,15515,15020,14693
15730,0.2221,17734,17015,17349,16724,17537,16946,17177,15264,16194,16090,15284,14783,14445
14815,0.4207,16659,16067,16432,15862,16507,15989,16211,14388,15288,15159,14405,13921,13507
14316,0.4025,16228,15522,15902,15455,15990,15474,15732,13932,14728,14619,13849,13313,12973
13756,0.4416,15588,15102,15529,14967,15497,15058,15136,13408,14231,14171,13305,12853,12509
13234,0.472,15042,14657,15089,14444,15009,14591,14722,13020,13774,13683,12885,12474,12047
12847,0.4428,14589,14280,14706,14061,14530,14118,14269,12526,13372,13197,12447,12072,11719
12400,0.4556,14152,13813,14276,13595,14097,13625,13795,12171,12813,12820,11916,11628,11241
11982,0.4268,13663,13342,13821,13239,13620,13248,13457,11812,12439,12478,11589,11231,10858
11561,0.444,13235,12953,13444,12931,13339,12917,13030,11471,12047,12015,11209,10753,10448
11115,0.5083,12811,12584,13129,12498,12914,12389,12660,11077,11614,11613,10791,10478,10058
10825,0.4665,12340,12300,12651,12175,12516,12110,12261,10704,11271,11274,10458,10129,9685
10443,0.4611,12059,11919,12381,11802,12274,11712,11862,10384,10879,10925,10124,9798,9376
10178,0.4066,11659,11559,12012,11428,11838,11431,11573,10166,10504,10608,9852,9558,8992
9780,0.4817,11250,11322,11677,11165,11510,11127,11215,9763,10192,10327,9549,9239,8730
9448,0.501,10969,10990,11345,10808,11203,10723,10934,9504,9939,9965,9204,8920,8428
