intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
8732,0.3977,8208,8779,8806,8256,8170,7882,7990,7208,6770
8979,0.4533,8427,9059,9087,8494,8350,8111,8239,7427,6950
9333,0.3647,8715,9311,9361,8806,8572,8297,8428,7665,7167
9705,0.3376,8918,9591,9671,9044,8917,8513,8755,7977,7428
10047,0.3339,9334,9908,9986,9374,9165,8873,9034,8217,7673
10365,0.3656,9515,10231,10217,9643,9416,9121,9322,8427,7854
10723,0.3745,9755,10479,10478,9900,9637,9363,9567,8735,8104
11145,0.0715,10079,10794,10877,10254,10059,9653,9910,8966,8445
11457,0.0715,10331,11056,11186,10488,10331,9870,10123,9249,8669
11754,0.0715,10717,11325,11527,10896,10556,10285,10500,9579,8919
12188,0.0715,10954,11684,11803,11252,10952,10621,10756,9858,9256
12552,0.0715,11330,12011,12196,11604,11201,10909,11109,10206,9474
13019,0.0715,11815,12486,12629,12062,11704,11333,11515,10631,9867
13557,0.0715,12122,12861,13122,12494,12051,11739,11951,10984,10196
13916,0.0715,12407,13140,13421,12861,12396,12018,12279,11284,10474
14376,0.0715,12799,13547,13856,13252,12809,12468,12622,11654,10808
14859,0.0715,13230,13907,14245,13686,13210,12862,13009,11993,11177
15360,0.0715,13693,14340,14784,14143,13718,13263,13459,12432,11585
15926,0.0715,14069,14826,15177,14665,14054,13793,13979,12869,12003
16525,0.0715,14546,15261,15696,15148,14609,14190,14445,13323,12442
17102,0.0715,15006,15778,16251,15661,15141,14727,14876,13752,12868
17639,0.0715,15515,16329,16789,16265,15727,15200,15593,14239,13406
18374,0.0715,16125,16915,17446,16840,16237,15802,15956,14691,13973
18936,0.0715,16681,17402,17863,17433,16873,16309,16615,15322,14486
19605,0.0715,17160,18022,18568,18079,17399,16855,17135,15796,15027
20333,0.0715,17869,18621,19241,18780,17994,17479,17814,16440,15629
21100,0.0715,18385,19198,19936,19486,18714,18168,18346,17004,16108
21842,0.0715,18986,19790,20498,20112,19304,18724,19016,17537,16880
22651,0.0715,19645,20428,21339,20777,20020,19388,19742,18277,17381
