intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
1539,0.1264,1308,1254,1259,1234,1153,1083,1219,1358,1371
1539,0,1298,1267,1259,1221,1192,1116,1245,1358,1426
1533,0.3734,1346,1305,1294,1241,1195,1123,1261,1397,1436
1573,0.0488,1338,1306,1271,1257,1225,1122,1260,1433,1427
1577,0.397,1326,1352,1322,1284,1217,1135,1270,1407,1484
1593,0.1378,1350,1308,1290,1311,1212,1143,1303,1449,1501
1603,0.4256,1371,1354,1305,1299,1264,1160,1310,1489,1485
1623,0.2846,1381,1362,1336,1288,1196,1172,1322,1460,1520
1592,0.6316,1433,1376,1350,1322,1232,1215,1343,1456,1565
1641,0.3291,1415,1368,1366,1331,1254,1205,1344,1494,1569
1655,0.3644,1443,1410,1376,1365,1285,1241,1361,1525,1565
1686,0.2124,1443,1437,1388,1372,1287,1231,1346,1539,1586
1645,0.7958,1452,1474,1412,1360,1303,1233,1379,1571,1594
1704,0.5862,1508,1480,1417,1384,1299,1281,1372,1531,1635
1728,0.3352,1479,1474,1397,1403,1320,1274,1458,1609,1598
1763,0.4835,1519,1481,1440,1404,1339,1274,1449,1602,1665
1743,0.6532,1552,1484,1511,1458,1346,1344,1469,1616,1690
1762,0.6613,1550,1545,1492,1467,1391,1350,1456,1670,1720
1789,0.624,1555,1565,1482,1483,1381,1313,1471,1663,1725
1814,0.6512,1600,1588,1550,1470,1408,1377,1517,1680,1751
1821,0.6871,1604,1612,1546,1534,1461,1393,1556,1723,1718
1879,0.5378,1644,1642,1544,1543,1488,1424,1577,1774,1795
1863,0.7579,1638,1663,1584,1535,1468,1436,1600,1752,1801
1882,0.8238,1708,1674,1579,1540,1483,1489,1598,1750,1864
1953,0.6599,1716,1697,1626,1565,1488,1480,1650,1804,1884
1947,0.7902,1728,1709,1644,1599,1568,1547,1691,1843,1891
1985,0.8078,1747,1751,1692,1610,1593,1537,1689,1865,1918
2015,0.7781,1779,1753,1714,1654,1614,1589,1711,1864,1934
2053,0.6617,1823,1825,1719,1719,1618,1586,1798,1933,1974
2087,0.7728,1844,1852,1744,1709,1639,1619,1813,1964,2008
2126,1,1865,1889,1756,1750,1676,1692,1812,1982,2033
2142,0.8128,1885,1900,1843,1745,1706,1654,1818,2033,2064
2177,0.8266,1916,1949,1853,1846,1721,1711,1856,2068,2094
2208,0.9281,1965,1947,1852,1829,1761,1742,1889,2069,2144
2258,0.8162,1989,2005,1890,1848,1755,1772,1925,2153,2186
2303,0.8643,2054,2037,1955,1870,1796,1839,1925,2145,2181
2318,0.8621,2080,2119,1984,1888,1864,1874,2026,2189,2241
2402,0.7727,2107,2136,2009,1955,1872,1882,2064,2229,2286
2449,0.7549,2157,2230,2088,2022,1959,1936,2059,2322,2360
2483,0.86,2217,2248,2097,1998,1934,1952,2182,2312,2364
2490,0.9438,2220,2257,2102,2061,2008,2025,2174,2362,2416
2588,0.7927,2280,2280,2147,2063,2043,2039,2236,2424,2507
2615,0.8846,2287,2352,2168,2147,2067,2052,2279,2431,2494
2723,0.7552,2346,2404,2253,2203,2106,2147,2314,2459,2529
2753,0.8614,2384,2488,2267,2216,2117,2162,2323,2601,2580
2849,0.5966,2441,2493,2333,2289,2203,2237,2385,2603,2610
2838,0.8254,2527,2505,2357,2268,2234,2250,2412,2663,2696
2956,0.7628,2536,2573,2397,2355,2282,2284,2451,2704,2722
3022,0.7949,2631,2669,2449,2388,2325,2303,2543,2738,2784
3175,0.462,2695,2725,2510,2445,2372,2421,2627,2789,2858
3217,0.5248,2730,2762,2573,2490,2428,2487,2657,2835,2917
3255,0.6998,2768,2827,2624,2565,2456,2537,2692,2909,2978
3364,0.6269,2846,2871,2691,2595,2551,2578,2737,2971,2970
3443,0.6696,2920,2999,2712,2636,2598,2640,2849,3049,3099
3483,0.7154,2969,3028,2790,2719,2645,2698,2876,3103,3119
3592,0.6626,3076,3114,2868,2785,2723,2747,2953,3145,3210
3728,0.4952,3161,3182,2886,2850,2820,2870,3052,3192,3227
3823,0.5717,3180,3278,3025,2929,2853,2947,3108,3338,3308
3950,0.4977,3263,3347,3042,2972,2951,2999,3145,3353,3391
4055,0.4356,3380,3436,3112,3076,2967,3068,3248,3432,3468
4176,0.4493,3475,3530,3246,3105,3084,3122,3301,3539,3537
4263,0.4547,3561,3596,3268,3153,3159,3216,3383,3604,3635
4407,0.4525,3654,3720,3370,3312,3226,3266,3508,3719,3722
4523,0.3742,3717,3799,3470,3403,3295,3362,3568,3755,3817
4618,0.4865,3855,3881,3514,3464,3386,3472,3660,3863,3859
4745,0.4143,3907,3979,3626,3535,3504,3537,3744,3909,3944
4914,0.3817,4047,4103,3686,3631,3650,3640,3779,4031,4084
5122,0.2698,4146,4231,3772,3703,3715,3750,3924,4130,4123
5185,0.4303,4261,4385,3916,3794,3822,3853,4044,4200,4245
5390,0.3291,4390,4484,4016,3908,3916,3925,4153,4313,4348
5511,0.3948,4519,4605,4149,4011,4046,3984,4212,4406,4435
5660,0.3799,4637,4764,4227,4140,4168,4151,4351,4537,4538
5822,0.4073,4788,4849,4318,4230,4317,4309,4485,4654,4631
6031,0.3232,4893,4984,4423,4290,4445,4385,4613,4752,4828
6189,0.407,5019,5123,4567,4462,4614,4511,4683,4901,4842
6380,0.3867,5202,5297,4697,4565,4790,4624,4846,5039,4977
6621,0.2974,5289,5469,4862,4663,4893,4734,4987,5139,5117
6846,0.3023,5506,5600,4950,4804,4995,4843,5107,5277,5233
7008,0.3449,5636,5757,5105,4890,5255,4996,5231,5405,5390
