intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8
62114,0.2654,47927,51676,54541,56557,55024,56693,59178,61764
59827,0.2654,45973,49235,52320,54388,52952,54810,57031,58962
57844,0.2654,43987,46742,50188,52333,50846,52984,55042,56842
55736,0.2654,42258,44502,48374,50499,48953,51153,53322,54949
53660,0.2654,40266,42090,46058,48380,46978,49172,51226,52910
51755,0.2654,38433,39975,44145,46539,45084,47404,49364,50974
49887,0.2654,36642,37758,42241,44540,43179,45581,47481,49159
48131,0.2654,35037,35831,40551,42815,41432,43923,45728,47352
46295,0.2654,33351,33725,38673,41006,39655,42284,44128,45467
44680,0.2654,31948,31874,37008,39308,37989,40797,42424,43697
43007,0.2654,30392,30142,35417,37692,36514,39198,40850,42137
41319,0.2654,29045,28558,33787,36006,35057,37703,39333,40580
39715,0.2654,27840,26981,32354,34447,33623,36197,37833,38986
38314,0.2654,26566,25462,31052,32987,32235,34945,36431,37532
36967,0.2654,25362,24222,29773,31777,31045,33597,35177,36268
35450,0.2654,24291,22944,28325,30312,29679,32276,33706,34857
34143,0.2654,23184,21797,27247,29075,28485,31076,32511,33585
32981,0.2654,22240,20674,26037,27878,27395,30016,31307,32375
31735,0.2654,21190,19679,24900,26720,26376,28828,30180,31131
30638,0.2654,20364,18837,23863,25573,25309,27731,29091,30003
29632,0.2654,19541,17900,22999,24695,24324,26773,28157,29040
28487,0.2654,18633,17083,21954,23485,23357,25765,26866,27853
27379,0.2654,17996,16288,20975,22591,22408,24831,25962,26913
26454,0.2654,17151,15615,20268,21699,21615,23848,25124,25946
25477,0.2654,16497,14830,19344,20824,20709,22856,24150,24974
24609,0.2654,15783,14268,18657,19964,19909,22154,23295,24038
23740,0.2654,15099,13669,17774,19218,19120,21273,22319,23231
22822,0.2654,14464,13179,17088,18466,18324,20502,21604,22296
22083,0.4807,13955,12661,16599,17706,17681,19710,20820,21618
21247,0.4905,13416,12226,15810,17055,17089,18994,20123,20855
20479,0.5008,12836,11751,15171,16356,16279,18290,19285,20039
19755,0.4572,12222,11223,14602,15822,15668,17520,18634,19313
19075,0.4351,11802,10849,14073,15123,15036,16809,17965,18617
18361,0.4492,11284,10429,13437,14523,14506,16272,17244,17801
17791,0.3957,10825,10220,13083,14104,13945,15821,16803,17314
17076,0.4381,10391,9759,12440,13427,13300,15107,16169,16648
16594,0.3612,10021,9459,11994,12956,12936,14619,15680,16077
15949,0.3969,9554,9162,11551,12511,12322,14090,15075,15582
15730,0.2221,9484,8958,11367,12333,12202,13921,14929,15387
14815,0.4207,8854,8449,10636,11526,11377,13072,14029,14403
14316,0.4025,8556,8131,10262,11139,10985,12530,13477,13924
13756,0.4416,8167,7925,9841,10729,10538,12082,13103,13445
13234,0.472,7867,7649,9471,10292,10104,11670,12654,12932
12847,0.4428,7613,7339,9160,9936,9715,11276,12266,12466
12400,0.4556,7300,7126,8843,9703,9383,10898,11847,12088
11982,0.4268,7064,6862,8494,9260,9000,10525,11448,11700
11561,0.444,6783,6652,8193,9009,8678,10151,11097,11227
11115,0.5083,6525,6404,7876,8665,8380,9784,10716,10849
10825,0.4665,6262,6175,7606,8345,8098,9523,10364,10541
10443,0.4611,6143,6014,7352,8118,7809,9183,10042,10258
10178,0.4066,5916,5766,7076,7830,7543,8870,9732,9824
9780,0.4817,5753,5547,6810,7569,7269,8648,9447,9479
9448,0.501,5513,5361,6558,7378,7018,8316,9176,9215
9153,0.5124,5375,5235,6367,7121,6818,8003,8850,8922
8891,0.4762,5130,5091,6193,6922,6588,7791,8596,8712
8503,0.5691,5040,4907,5969,6675,6372,7530,8344,8368
8299,0.4988,4868,4762,5770,6439,6257,7288,8071,8186
8025,0.5476,4660,4623,5579,6267,6026,7054,7887,7853
7765,0.5595,4568,4480,5371,6059,5862,6838,7615,7615
7517,0.5498,4441,4325,5238,5929,5642,6620,7369,7398
7276,0.5866,4298,4219,5104,5758,5512,6388,7175,7136
7054,0.5755,4181,4103,4911,5624,5374,6197,7007,6950
6876,0.5767,4078,3998,4781,5519,5184,6017,6734,6799
6643,0.5667,3968,3868,4636,5301,5041,5780,6590,6550
6415,0.64,3828,3793,4536,5101,4964,5663,6350,6328
6218,0.6125,3739,3671,4412,5019,4783,5478,6167,6147
5942,0.7416,3657,3597,4230,4842,4639,5282,5987,6001
5837,0.673,3569,3533,4131,4707,4530,5158,5858,5847
5589,0.7955,3480,3466,4080,4640,4408,4984,5661,5658
5450,0.7686,3346,3337,3952,4503,4296,4836,5512,5432
5326,0.7487,3262,3211,3825,4406,4162,4680,5348,5387
5153,0.759,3164,3192,3768,4247,4123,4599,5216,5233
4956,0.8547,3131,3120,3667,4177,4017,4375,5089,5035
4828,0.8183,3045,3055,3534,4000,3885,4304,4979,4877
4670,0.9132,2987,2953,3531,3910,3781,4187,4833,4753
4578,0.8548,2917,2898,3358,3793,3686,4041,4689,4616
4433,0.8623,2843,2809,3318,3689,3566,3942,4566,4526
4308,0.9162,2728,2768,3261,3571,3541,3824,4450,4410
4209,0.8745,2724,2722,3168,3495,3462,3753,4372,4286
4072,0.9805,2630,2659,3061,3417,3374,3700,4139,4213
4021,0.8305,2596,2591,2987,3316,3240,3563,4121,4108
3873,1,2546,2524,2957,3212,3222,3466,3992,3990
3768,0.9212,2482,2520,2859,3156,3076,3407,3940,3848
3687,0.9307,2491,2475,2822,3070,3066,3296,3802,3819
3623,0.8828,2366,2393,2761,3048,2992,3248,3753,3706
3534,0.9255,2328,2357,2683,2957,2887,3170,3609,3615
3460,0.9227,2281,2330,2619,2837,2843,3059,3535,3546
3414,0.7851,2264,2286,2567,2749,2802,3027,3422,3411
3288,0.9254,2206,2269,2563,2699,2736,2974,3364,3353
3273,0.8114,2178,2239,2487,2730,2695,2884,3304,3292
3167,0.8832,2127,2225,2416,2634,2616,2843,3186,3214
3120,0.8411,2090,2110,2347,2528,2508,2720,3152,3141
3069,0.7581,2024,2137,2315,2487,2502,2720,3072,3065
2957,0.9017,2001,2089,2316,2425,2404,2644,2964,2975
2940,0.8044,2021,2006,2225,2372,2424,2595,2919,2950
2883,0.7865,1977,2048,2179,2335,2363,2561,2870,2855
2805,0.7958,1935,1955,2128,2292,2293,2505,2795,2818
2825,0.6717,1939,1930,2115,2253,2289,2415,2772,2727
2738,0.728,1873,1899,2058,2224,2256,2400,2713,2648
2696,0.7529,1850,1870,1997,2210,2185,2349,2670,2642
2648,0.6415,1821,1865,1978,2140,2137,2263,2575,2549
2614,0.6685,1791,1841,1968,2097,2153,2213,2481,2511
2555,0.6626,1806,1774,1921,2071,2071,2159,2467,2457
2533,0.6007,1783,1814,1866,2048,2069,2136,2434,2463
2491,0.5804,1712,1713,1860,1970,1995,2116,2372,2371
2474,0.5792,1708,1723,1767,1998,2001,2041,2369,2316
2413,0.5169,1701,1725,1823,1938,1966,2029,2272,2318
2411,0.3694,1679,1697,1781,1911,1897,1969,2319,2274
2364,0.4867,1688,1654,1735,1856,1884,1997,2216,2183
2301,0.5049,1660,1625,1714,1846,1842,1895,2188,2164
2294,0.4926,1630,1603,1674,1834,1805,1909,2149,2115
2308,0.28,1609,1595,1695,1802,1816,1863,2159,2066
2215,0.388,1609,1586,1661,1760,1753,1815,2078,2069
2208,0.441,1589,1546,1630,1714,1739,1803,2044,1960
2175,0.3791,1610,1527,1612,1732,1749,1771,1983,1976
2169,0.2113,1579,1553,1589,1706,1687,1775,1973,1963
2135,0.3015,1572,1512,1571,1705,1629,1718,1935,1916
2113,0.2331,1535,1487,1541,1645,1609,1679,1896,1876
2083,0.2736,1522,1468,1518,1631,1602,1693,1846,1850
2064,0.1927,1502,1406,1512,1638,1609,1632,1832,1824
2046,0.1583,1484,1427,1467,1579,1572,1630,1818,1804
2013,0.1066,1450,1417,1459,1565,1559,1610,1816,1764
2006,0.0988,1452,1410,1462,1553,1538,1614,1778,1756
1932,0.1476,1481,1418,1452,1526,1501,1541,1719,1735
1964,0.0139,1445,1364,1417,1478,1487,1559,1702,1705
1922,0.0533,1435,1349,1394,1481,1535,1533,1701,1657
1924,0,1437,1339,1374,1476,1469,1496,1645,1649
1864,0.1556,1389,1382,1396,1445,1455,1484,1646,1633
60084,0.1023,,,,,,,,
57757,0.0788,,,,,,,,
55771,0.0437,,,,,,,,
53691,0.0235,,,,,,,,
51637,0.0113,,,,,,,,
49609,0.0067,,,,,,,,
47660,0.0032,,,,,,,,
45848,0,,,,,,,,
43911,0.0105,,,,,,,,
42163,0.0142,,,,,,,,
40600,0.012,,,,,,,,
38929,0.0259,,,,,,,,
37254,0.0442,,,,,,,,
35812,0.0521,,,,,,,,
34367,0.0627,,,,,,,,
32903,0.083,,,,,,,,
31743,0.0806,,,,,,,,
30418,0.1042,,,,,,,,
29145,0.1182,,,,,,,,
27976,0.1422,,,,,,,,
27010,0.1426,,,,,,,,
25830,0.1745,,,,,,,,
24772,0.1954,,,,,,,,
23842,0.2102,,,,,,,,
22814,0.2339,,,,,,,,
21874,0.2597,,,,,,,,
21087,0.2662,,,,,,,,
20171,0.3064,,,,,,,,
19518,0.3036,,,,,,,,
18675,0.3307,,,,,,,,
17818,0.374,,,,,,,,
17131,0.3964,,,,,,,,
16369,0.4362,,,,,,,,
15781,0.4517,,,,,,,,
15183,0.46,,,,,,,,
14571,0.4917,,,,,,,,
14042,0.511,,,,,,,,
13496,0.5332,,,,,,,,
13220,0.5003,,,,,,,,
12367,0.6131,,,,,,,,
11961,0.6179,,,,,,,,
11466,0.6452,,,,,,,,
11011,0.6796,,,,,,,,
10680,0.6806,,,,,,,,
10241,0.7153,,,,,,,,
9824,0.7448,,,,,,,,
9584,0.7357,,,,,,,,
9144,0.7767,,,,,,,,
8885,0.7847,,,,,,,,
8529,0.8131,,,,,,,,
8199,0.8422,,,,,,,,
7993,0.8455,,,,,,,,
7750,0.8521,,,,,,,,
7466,0.8671,,,,,,,,
7248,0.8773,,,,,,,,
7022,0.8759,,,,,,,,
6832,0.8818,,,,,,,,
6590,0.9121,,,,,,,,
6386,0.9269,,,,,,,,
6182,0.9436,,,,,,,,
6020,0.9383,,,,,,,,
5865,0.9398,,,,,,,,
5675,0.9479,,,,,,,,
5557,0.9304,,,,,,,,
5410,0.9438,,,,,,,,
5282,0.9367,,,,,,,,
5094,0.9719,,,,,,,,
4998,0.9689,,,,,,,,
4862,0.9833,,,,,,,,
4747,0.9817,,,,,,,,
4591,0.973,,,,,,,,
4477,0.9657,,,,,,,,
4358,1,,,,,,,,
4332,0.9606,,,,,,,,
4196,0.9896,,,,,,,,
4166,0.9696,,,,,,,,
4015,0.9706,,,,,,,,
3971,0.9431,,,,,,,,
3881,0.9644,,,,,,,,
3788,0.9624,,,,,,,,
3710,0.9608,,,,,,,,
3611,0.9719,,,,,,,,
3576,0.9376,,,,,,,,
3586,0.9031,,,,,,,,
3454,0.9141,,,,,,,,
3368,0.9534,,,,,,,,
3312,0.9336,,,,,,,,
3246,0.9189,,,,,,,,
3190,0.9125,,,,,,,,
3125,0.9221,,,,,,,,
3115,0.8851,,,,,,,,
3073,0.8932,,,,,,,,
3006,0.8738,,,,,,,,
2969,0.8815,,,,,,,,
2931,0.8703,,,,,,,,
2892,0.8574,,,,,,,,
2814,0.8703,,,,,,,,
2785,0.8428,,,,,,,,
2791,0.8092,,,,,,,,
2682,0.8631,,,,,,,,
2679,0.8314,,,,,,,,
2638,0.8287,,,,,,,,
2628,0.795,,,,,,,,
2599,0.778,,,,,,,,
2513,0.8193,,,,,,,,
2496,0.821,,,,,,,,
2481,0.7748,,,,,,,,
2444,0.7661,,,,,,,,
2417,0.7721,,,,,,,,
2357,0.7672,,,,,,,,
2366,0.7355,,,,,,,,
2329,0.7402,,,,,,,,
2300,0.7355,,,,,,,,
2258,0.7456,,,,,,,,
2227,0.7483,,,,,,,,
2182,0.7702,,,,,,,,
2180,0.7535,,,,,,,,
2142,0.7583,,,,,,,,
2175,0.6507,,,,,,,,
2107,0.7177,,,,,,,,
2081,0.7305,,,,,,,,
2056,0.7158,,,,,,,,
2052,0.6956,,,,,,,,
2022,0.7001,,,,,,,,
1977,0.6822,,,,,,,,
1989,0.6795,,,,,,,,
1947,0.7144,,,,,,,,
1940,0.6724,,,,,,,,
65108,0.2995,,,,,,,,
64706,0.2027,,,,,,,,
59862,0.545,,,,,,,,
58095,0.3283,,,,,,,,
55892,0.4629,,,,,,,,
53976,0.3337,,,,,,,,
52187,0.6106,,,,,,,,
50362,0.5095,,,,,,,,
48566,0.4398,,,,,,,,
46774,0.3794,,,,,,,,
45253,0.4659,,,,,,,,
43621,0.4271,,,,,,,,
42116,0.3645,,,,,,,,
40650,0.3164,,,,,,,,
39310,0.2447,,,,,,,,
37852,0.2564,,,,,,,,
36556,0.2176,,,,,,,,
35376,0.1578,,,,,,,,
34115,0.1601,,,,,,,,
32882,0.1556,,,,,,,,
31821,0.1317,,,,,,,,
30653,0.1429,,,,,,,,
29672,0.1194,,,,,,,,
28679,0.1212,,,,,,,,
27631,0.1432,,,,,,,,
26824,0.0943,,,,,,,,
25888,0.1022,,,,,,,,
24905,0.1742,,,,,,,,
24143,0.141,,,,,,,,
23497,0.0841,,,,,,,,
22487,0.2002,,,,,,,,
21887,0.1401,,,,,,,,
21190,0.1392,,,,,,,,
20416,0.2225,,,,,,,,
19831,0.174,,,,,,,,
19259,0.1558,,,,,,,,
18628,0.1795,,,,,,,,
18093,0.1748,,,,,,,,
17901,0,,,,,,,,
16967,0.2138,,,,,,,,
16435,0.2333,,,,,,,,
15892,0.2523,,,,,,,,
15478,0.2294,,,,,,,,
14942,0.2802,,,,,,,,
14566,0.2582,,,,,,,,
14088,0.2896,,,,,,,,
13723,0.2851,,,,,,,,
13215,0.3613,,,,,,,,
12975,0.2971,,,,,,,,
12620,0.2688,,,,,,,,
12227,0.3236,,,,,,,,
11897,0.317,,,,,,,,
11501,0.3798,,,,,,,,
11210,0.3455,,,,,,,,
10909,0.3767,,,,,,,,
10595,0.383,,,,,,,,
10287,0.432,,,,,,,,
10065,0.3636,,,,,,,,
9752,0.4061,,,,,,,,
9523,0.3981,,,,,,,,
9214,0.1815,,,,,,,,
