intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
2957,0.9017,3314,3119,3229,3320,3264,3353,3275,3140,3041
2940,0.8044,3268,3097,3156,3285,3200,3273,3209,3131,3007
2883,0.7865,3155,3005,3076,3235,3091,3177,3233,3019,2940
2805,0.7958,3148,2939,3051,3170,3056,3125,3109,2983,2868
2825,0.6717,3080,2849,3005,3080,2991,3005,3026,2941,2817
2738,0.728,3029,2818,2959,3097,2900,3004,3024,2870,2784
2696,0.7529,2922,2770,2825,2992,2871,2928,2904,2777,2704
2648,0.6415,2891,2719,2788,2892,2784,2772,2853,2707,2610
2614,0.6685,2876,2655,2742,2845,2761,2785,2801,2679,2564
2555,0.6626,2792,2635,2703,2778,2673,2744,2753,2658,2506
2533,0.6007,2750,2564,2664,2760,2644,2658,2701,2574,2493
2491,0.5804,2718,2524,2575,2678,2562,2682,2625,2514,2426
2474,0.5792,2628,2487,2530,2609,2562,2544,2566,2484,2370
2413,0.5169,2611,2434,2493,2580,2502,2503,2521,2440,2336
2411,0.3694,2562,2366,2528,2568,2406,2447,2483,2395,2304
2364,0.4867,2538,2312,2448,2487,2455,2420,2434,2295,2259
2301,0.5049,2499,2293,2366,2419,2339,2363,2396,2316,2200
2294,0.4926,2491,2269,2301,2407,2315,2354,2351,2236,2156
2308,0.28,2429,2244,2302,2344,2256,2277,2275,2219,2141
2215,0.388,2367,2186,2232,2301,2214,2235,2244,2157,2104
2208,0.441,2343,2121,2218,2243,2210,2208,2221,2099,2073
2175,0.3791,2303,2113,2162,2217,2144,2161,2198,2089,2027
2169,0.2113,2252,2090,2136,2135,2092,2152,2125,2093,1992
2135,0.3015,2237,2020,2108,2137,2104,2069,2049,1982,1883
2113,0.2331,2239,2043,2054,2118,2035,2091,2050,1980,1909
2083,0.2736,2139,1985,2034,2054,2013,2011,2028,1918,1889
2064,0.1927,2131,1962,1997,2036,2020,2009,1959,1930,1856
2046,0.1583,2122,1912,1956,2006,2290,1911,1930,1891,1825
2013,0.1066,2095,1896,1921,1939,1900,1916,1902,1802,1798
2006,0.0988,2045,1864,1885,1943,1817,1893,1875,1820,1754
1932,0.1476,2019,1845,1897,1892,1870,1882,1822,1787,1742
1964,0.0139,1990,1797,1848,1878,1821,1832,1795,1748,1719
1922,0.0533,1998,1783,1805,1858,1805,1803,1796,1698,1704
1924,0,1982,1723,1794,1814,1769,1771,1734,1695,1655
1864,0.1556,1925,1731,1785,1808,1719,1755,1745,1666,1634
60084,0.1023,,,,,,,,,
57757,0.0788,,,,,,,,,
55771,0.0437,,,,,,,,,
53691,0.0235,,,,,,,,,
51637,0.0113,,,,,,,,,
49609,0.0067,,,,,,,,,
47660,0.0032,,,,,,,,,
45848,0,,,,,,,,,
43911,0.0105,,,,,,,,,
42163,0.0142,,,,,,,,,
40600,0.012,,,,,,,,,
38929,0.0259,,,,,,,,,
37254,0.0442,,,,,,,,,
35812,0.0521,,,,,,,,,
34367,0.0627,,,,,,,,,
32903,0.083,,,,,,,,,
31743,0.0806,,,,,,,,,
30418,0.1042,,,,,,,,,
29145,0.1182,,,,,,,,,
27976,0.1422,,,,,,,,,
27010,0.1426,,,,,,,,,
25830,0.1745,,,,,,,,,
24772,0.1954,,,,,,,,,
23842,0.2102,,,,,,,,,
22814,0.2339,,,,,,,,,
21874,0.2597,,,,,,,,,
21087,0.2662,,,,,,,,,
20171,0.3064,,,,,,,,,
19518,0.3036,,,,,,,,,
18675,0.3307,,,,,,,,,
17818,0.374,,,,,,,,,
17131,0.3964,,,,,,,,,
16369,0.4362,,,,,,,,,
15781,0.4517,,,,,,,,,
15183,0.46,,,,,,,,,
14571,0.4917,,,,,,,,,
14042,0.511,,,,,,,,,
13496,0.5332,,,,,,,,,
13220,0.5003,,,,,,,,,
12367,0.6131,,,,,,,,,
11961,0.6179,,,,,,,,,
11466,0.6452,,,,,,,,,
11011,0.6796,,,,,,,,,
10680,0.6806,,,,,,,,,
10241,0.7153,,,,,,,,,
9824,0.7448,,,,,,,,,
9584,0.7357,,,,,,,,,
9144,0.7767,,,,,,,,,
8885,0.7847,,,,,,,,,
8529,0.8131,,,,,,,,,
8199,0.8422,,,,,,,,,
7993,0.8455,,,,,,,,,
7750,0.8521,,,,,,,,,
7466,0.8671,,,,,,,,,
7248,0.8773,,,,,,,,,
7022,0.8759,,,,,,,,,
6832,0.8818,,,,,,,,,
6590,0.9121,,,,,,,,,
6386,0.9269,,,,,,,,,
