intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
1539,0.1264,1901,2035,1509,1287,1287,1193,1178,1019
1539,0,1860,2067,1546,1296,1296,1201,1217,1042
1533,0.3734,1858,1991,1555,1291,1294,1212,1183,1064
1573,0.0488,1882,2071,1559,1303,1333,1229,1229,1054
1577,0.397,1889,2048,1548,1295,1309,1226,1228,1066
1593,0.1378,1844,2062,1547,1312,1347,1241,1279,1095
1603,0.4256,1843,2061,1584,1349,1345,1250,1270,1132
1623,0.2846,1859,2035,1558,1296,1319,1245,1234,1105
1592,0.6316,1837,2056,1576,1337,1354,1260,1247,1096
1641,0.3291,1850,2062,1591,1301,1356,1243,1254,1094
1655,0.3644,1849,2071,1599,1345,1392,1271,1272,1120
1686,0.2124,1838,2050,1553,1325,1395,1261,1268,1135
1645,0.7958,1857,2046,1601,1355,1426,1259,1282,1186
1704,0.5862,1851,2008,1594,1341,1402,1275,1280,1166
1728,0.3352,1823,2067,1610,1335,1401,1275,1320,1166
1763,0.4835,1806,2041,1607,1352,1423,1277,1277,1194
1743,0.6532,1838,2018,1604,1350,1466,1306,1330,1233
1762,0.6613,1846,2071,1583,1367,1426,1272,1342,1208
1789,0.624,1811,2059,1625,1370,1462,1276,1331,1205
1814,0.6512,1808,2039,1580,1395,1474,1337,1351,1266
1821,0.6871,1820,2052,1652,1384,1490,1317,1357,1246
1879,0.5378,1830,2062,1642,1394,1529,1335,1402,1295
1863,0.7579,1794,2052,1639,1415,1518,1340,1391,1303
1882,0.8238,1828,2028,1635,1432,1520,1330,1400,1288
1953,0.6599,1838,2033,1620,1415,1517,1333,1405,1334
1947,0.7902,1833,2036,1643,1449,1540,1390,1423,1318
1985,0.8078,1815,2062,1680,1422,1532,1409,1428,1311
2015,0.7781,1818,2031,1645,1491,1540,1428,1448,1388
2053,0.6617,1806,2045,1691,1497,1579,1450,1479,1360
2087,0.7728,1834,2015,1681,1580,1612,1443,1507,1464
2126,1,1823,2068,1692,1510,1646,1483,1551,1422
2142,0.8128,1818,2004,1671,1527,1665,1465,1546,1457
2177,0.8266,1799,2038,1684,1566,1648,1507,1527,1482
2208,0.9281,1840,2032,1711,1575,1700,1548,1625,1538
2258,0.8162,1856,2042,1721,1594,1727,1543,1585,1520
2303,0.8643,1872,2028,1761,1620,1749,1562,1665,1542
2318,0.8621,1865,2049,1729,1633,1780,1574,1695,1624
2402,0.7727,1820,2060,1752,1645,1799,1625,1732,1618
2449,0.7549,1901,2078,1807,1723,1859,1661,1808,1684
2483,0.86,1886,2083,1795,1706,1828,1634,1787,1696
2490,0.9438,1869,2089,1809,1729,1895,1703,1850,1711
2588,0.7927,1867,2074,1857,1784,1933,1736,1793,1755
2615,0.8846,1894,2079,1851,1845,1981,1742,1872,1835
2723,0.7552,1898,2154,1859,1862,1991,1756,1931,1832
2753,0.8614,1894,2156,1915,1911,2036,1821,1949,1911
2849,0.5966,1917,2123,1977,1903,2031,1910,1975,1934
2838,0.8254,1936,2155,1982,1953,2077,1911,2007,1940
2956,0.7628,1932,2180,1979,1980,2112,1942,2054,1995
3022,0.7949,1966,2179,2040,2047,2160,1975,2114,2080
3175,0.462,1946,2250,2096,2088,2255,2007,2155,2129
3217,0.5248,1984,2298,2137,2103,2316,2113,2176,2183
3255,0.6998,2008,2313,2179,2154,2340,2117,2215,2213
3364,0.6269,2034,2310,2245,2241,2376,2153,2237,2263
3443,0.6696,2020,2377,2272,2271,2478,2246,2330,2326
3483,0.7154,2028,2410,2314,2371,2494,2271,2358,2464
3592,0.6626,2063,2480,2375,2391,2548,2297,2403,2471
3728,0.4952,2059,2516,2414,2437,2622,2377,2460,2517
3823,0.5717,2082,2542,2478,2488,2728,2452,2523,2592
3950,0.4977,2076,2645,2560,2562,2739,2482,2572,2658
4055,0.4356,2129,2699,2571,2642,2810,2492,2634,2727
4176,0.4493,2137,2771,2681,2677,2885,2631,2726,2821
4263,0.4547,2152,2860,2759,2788,2950,2707,2736,2885
4407,0.4525,2214,2935,2879,2844,3077,2743,2827,3002
4523,0.3742,2205,2968,2888,2928,3127,2804,2916,3139
4618,0.4865,2251,3095,2980,2969,3169,2855,2936,3194
4745,0.4143,2297,3157,3102,3067,3273,2915,3085,3258
4914,0.3817,2314,3261,3144,3127,3365,3025,3137,3339
5122,0.2698,2347,3368,3292,3203,3501,3110,3179,3507
5185,0.4303,2411,3470,3357,3322,3546,3219,3301,3591
5390,0.3291,2482,3627,3467,3391,3667,3320,3404,3680
5511,0.3948,2496,3733,3573,3447,3783,3392,3514,3885
5660,0.3799,2531,3784,3694,3596,3900,3519,3569,3927
5822,0.4073,2636,3948,3826,3730,4002,3638,3691,4028
6031,0.3232,2688,4071,3937,3758,4154,3719,3825,4182
6189,0.407,2723,4195,4074,3918,4259,3822,3864,4301
6380,0.3867,2835,4439,4174,4037,4392,3975,4045,4426
6621,0.2974,2944,4523,4301,4112,4526,4108,4167,4637
6846,0.3023,3053,4741,4461,4238,4703,4245,4245,4744
7008,0.3449,3191,4912,4631,4400,4843,4393,4416,4925
