intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
62114,0.2654,59016,58626,61051,59758,36523,25746,25584,42256,60182
59827,0.2654,56803,56416,58396,56612,34165,23983,23718,39817,57486
57844,0.2654,54593,54182,56010,53787,31874,22272,22016,37512,54998
55736,0.2654,52721,52250,53733,51132,29895,20760,20509,35255,52824
53660,0.2654,50561,50010,51447,48336,27712,19228,18980,33143,50310
51755,0.2654,48442,48057,48943,45857,25876,17842,17627,31176,48043
49887,0.2654,46550,46158,46925,43311,24027,16542,16314,29349,45933
48131,0.2654,44784,44232,44903,40899,22435,15312,15133,27599,43747
46295,0.2654,42893,42339,42814,38706,20877,14215,14103,25914,41743
44680,0.2654,41245,40611,40987,36605,19398,13241,13054,24326,39715
43007,0.2654,39577,38947,39169,34545,18081,12324,12138,22863,38022
41319,0.2654,38038,37342,37489,32532,16725,11453,11266,21531,36195
39715,0.2654,36306,35775,35743,30785,15644,10519,10500,20202,34448
38314,0.2654,34946,34425,34139,29054,14532,9774,9714,19027,32816
36967,0.2654,33356,32967,32665,27463,13623,9140,9154,17859,31397
35450,0.2654,32008,31514,31211,25893,12574,8544,8510,16822,29847
34143,0.2654,30650,30236,29874,24397,11669,7888,7982,15817,28474
32981,0.2654,29398,29019,28578,23042,10902,7422,7373,14898,27176
31735,0.2654,28292,27910,27216,21730,10240,6862,6952,14071,25996
30638,0.2654,27113,26649,26063,20558,9449,6420,6497,13277,24845
29632,0.2654,25990,25589,24949,19469,8880,6035,6132,12520,23724
28487,0.2654,24841,24484,23743,18282,8252,5599,5729,11735,22487
27379,0.2654,23775,23446,22688,17319,7654,5300,5425,11105,21493
26454,0.2654,22803,22478,21675,16306,7140,4936,5075,10444,20535
25477,0.2654,21895,21592,20862,15418,6774,4670,4777,9926,19549
24609,0.2654,21005,20725,19849,14621,6243,4305,4500,9353,18678
23740,0.2654,20135,19782,18934,13825,5849,4114,4224,8845,17824
22822,0.2654,19284,18993,18245,13130,5534,3852,3989,8397,17003
22083,0.4807,18591,18344,17559,12376,5212,3661,3835,7943,16370
21247,0.4905,17845,17601,16727,11731,4914,3451,3641,7527,15699
20479,0.5008,17007,16841,15971,11031,4563,3294,3447,7060,14979
19755,0.4572,16385,16171,15276,10503,4292,3050,3254,6751,14303
19075,0.4351,15684,15430,14617,9912,4010,2901,3080,6326,13712
18361,0.4492,15094,14772,13921,9507,3793,2770,2957,6027,13132
17791,0.3957,14584,14368,13524,9039,3613,2651,2811,5789,12644
17076,0.4381,13927,13626,12823,8600,3399,2504,2672,5470,11994
16594,0.3612,13410,13177,12262,8157,3255,2386,2605,5198,11604
15949,0.3969,12890,12649,11793,7840,3027,2264,2480,5013,11106
15730,0.2221,12719,12397,11538,7514,2963,2221,2404,4826,10909
14815,0.4207,11904,11639,10817,7013,2769,2085,2260,4549,10177
14316,0.4025,11465,11177,10384,6668,2628,1976,2178,4295,9746
