intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
62114,0.2654,28128,34105,37432,55712,55761,57398,59795,58875,59454,57190,61051,60810
59827,0.2654,26703,32378,35685,53113,53404,55271,57110,56081,56922,54826,58061,57933
57844,0.2654,25078,30898,34018,50579,50911,53167,54690,53479,54402,52632,55680,55481
55736,0.2654,23790,29568,32438,48045,48968,51354,52461,51079,52260,50374,53454,53067
53660,0.2654,22425,27964,30874,45598,46607,49442,50200,48589,50054,48230,51044,50777
51755,0.2654,21150,26627,29216,43158,44568,47471,48020,46258,47931,46083,48961,48538
49887,0.2654,19925,25408,27886,41033,42584,45768,45986,44053,45870,44122,46809,46496
48131,0.2654,18818,24216,26491,38692,40641,43868,44106,42006,43948,42360,44766,44536
46295,0.2654,17716,22994,25263,36484,38770,41977,42080,39864,41873,40519,42835,42533
44680,0.2654,16748,21909,24008,34583,37002,40233,40446,38025,40341,38739,40935,40600
43007,0.2654,15817,20915,22882,32752,35290,38563,38936,36325,38667,37250,39116,39057
41319,0.2654,14908,19940,21881,31074,33686,37012,37273,34645,36978,35543,37437,37243
39715,0.2654,13998,18942,20786,29499,32049,35531,35735,32965,35473,34151,35770,35644
38314,0.2654,13314,18067,19833,27826,30585,33955,34290,31556,33946,32628,34261,34209
36967,0.2654,12528,17332,18851,26459,29184,32609,32937,30263,32540,31312,32794,32805
35450,0.2654,11825,16398,17998,25083,27704,31269,31690,28897,31264,30041,31294,31420
34143,0.2654,11192,15699,17122,23909,26334,30047,30368,27621,29931,28914,30093,29989
32981,0.2654,10619,14917,16398,22651,25236,28815,29328,26507,28700,27731,28862,28872
31735,0.2654,10152,14218,15629,21563,24046,27748,28141,25356,27697,26657,27697,27621
30638,0.2654,9643,13578,14926,20601,22876,26577,27025,24254,26302,25608,26578,26439
29632,0.2654,9260,12982,14245,19660,21805,25583,26192,23359,25472,24659,25662,25493
28487,0.2654,8788,12387,13581,18646,20774,24432,25035,22278,24389,23574,24461,24305
27379,0.2654,8438,11714,13009,17892,19798,23507,24155,21381,23442,22652,23521,23315
26454,0.2654,8112,11201,12383,17006,18896,22575,23346,20559,22491,21782,22631,22500
25477,0.2654,7832,10681,11887,16229,17983,21674,22380,19634,21693,20978,21776,21491
24609,0.2654,7614,10209,11376,15584,17323,20884,21584,18969,20713,20186,20897,20735
23740,0.2654,7328,9775,10832,14912,16541,20004,20808,18172,19863,19323,20129,19817
22822,0.2654,7079,9290,10358,14352,15840,19191,20071,17487,19126,18708,19473,19071
22083,0.4807,6818,8921,9981,13695,15296,18509,19408,16847,18453,18049,18785,18455
21247,0.4905,6642,8588,9536,13247,14634,17875,18730,16284,17738,17355,18077,17816
20479,0.5008,6482,8179,9120,12640,13924,17129,18026,15543,17063,16743,17452,16986
19755,0.4572,6265,7813,8765,12157,13461,16490,17364,15072,16363,16096,16832,16400
19075,0.4351,6077,7492,8322,11630,12921,15766,16791,14462,15738,15476,16128,15833
18361,0.4492,5872,7131,7983,11225,12429,15168,16151,13984,15084,14937,15567,15164
17791,0.3957,5768,7007,7703,10888,11986,14647,15576,13503,14640,14525,15192,14773
17076,0.4381,5582,6668,7391,10423,11514,14086,14982,12922,14128,13807,14547,14144
16594,0.3612,5464,6516,7177,10116,11214,13534,14510,12548,13682,13417,14097,13701
15949,0.3969,5278,6188,6770,9703,10780,13007,13962,12094,13201,12919,13621,13228
15730,0.2221,5283,6152,6687,9514,10579,12786,13716,11878,12956,12799,13444,13064
14815,0.4207,5031,5799,6291,8987,9986,11973,12942,11129,12149,12017,12660,12303
14316,0.4025,4877,5602,6052,8613,9655,11511,12338,10804,11786,11618,12280,11940
13756,0.4416,4689,5414,5829,8300,9311,11043,11957,10421,11298,11106,11880,11495
13234,0.472,4604,5216,5601,7975,9046,10632,11497,10102,10969,10806,11460,11027
12847,0.4428,4397,4976,5370,7735,8718,10212,11050,9781,10607,10445,11145,10736
12400,0.4556,4307,4835,5155,7444,8429,9773,10599,9512,10281,10120,10806,10400
11982,0.4268,4157,4593,4981,7178,8207,9531,10217,9124,9938,9753,10528,9992
11561,0.444,4045,4516,4775,6864,7871,9103,9818,8860,9607,9434,10208,9620
11115,0.5083,3897,4337,4625,6624,7656,8711,9391,8541,9233,9026,9912,9350
10825,0.4665,3785,4247,4499,6429,7452,8431,9044,8263,8954,8811,9652,9082
10443,0.4611,3708,4102,4289,6220,7208,8139,8732,8020,8680,8477,9327,8777
10178,0.4066,3540,3979,4140,5967,6988,7869,8478,7760,8475,8258,9037,8486
9780,0.4817,3396,3839,4056,5714,6756,7609,8144,7534,8152,8015,8834,8251
9448,0.501,3259,3682,3885,5582,6536,7276,7855,7304,7918,7765,8573,7984
9153,0.5124,3136,3597,3788,5364,6329,7026,7588,7096,7719,7553,8366,7686
8891,0.4762,3025,3526,3697,5156,6131,6889,7284,6823,7462,7318,8062,7463
8503,0.5691,2964,3442,3555,5000,5974,6656,7071,6653,7289,7150,7839,7292
8299,0.4988,2894,3254,3467,4863,5736,6404,6824,6378,7029,6871,7716,7010
8025,0.5476,2795,3204,3348,4696,5506,6159,6658,6251,6858,6676,7484,6807
7765,0.5595,2718,3142,3269,4532,5361,5984,6436,6044,6637,6476,7298,6665
7517,0.5498,2575,3034,3163,4390,5148,5776,6281,5858,6449,6385,7089,6393
7276,0.5866,2519,2908,3066,4253,4972,5648,6059,5718,6273,6179,6875,6205
7054,0.5755,2411,2876,3021,4092,4839,5499,5944,5489,6092,5984,6753,6027
6876,0.5767,2343,2782,2914,4001,4724,5268,5736,5349,6008,5822,6574,5924
6643,0.5667,2276,2739,2876,3870,4555,5132,5572,5262,5833,5657,6388,5747
6415,0.64,2250,2649,2795,3752,4328,5057,5383,5071,5656,5488,6194,5576
6218,0.6125,2162,2558,2741,3633,4232,4878,5258,4887,5513,5367,6082,5387
5942,0.7416,2120,2532,2619,3559,4046,4730,5088,4777,5373,5220,5912,5287
5837,0.673,2059,2425,2554,3458,3938,4632,5018,4659,5241,5102,5768,5148
5589,0.7955,2024,2440,2493,3396,3811,4494,4831,4531,5162,4964,5636,5053
5450,0.7686,2002,2354,2430,3244,3698,4345,4758,4405,4985,4828,5487,4917
5326,0.7487,1986,2312,2399,3243,3667,4292,4635,4289,4896,4709,5336,4763
5153,0.759,1966,2218,2343,3092,3520,4167,4478,4162,4814,4611,5192,4669
4956,0.8547,1896,2175,2291,3055,3401,4093,4429,4041,4668,4493,5097,4553
4828,0.8183,1902,2140,2211,2953,3354,3944,4290,3966,4550,4369,4968,4477
4670,0.9132,1887,2129,2210,2881,3239,3897,4160,3892,4438,4218,4828,4340
4578,0.8548,1843,2061,2130,2797,3183,3788,4076,3773,4313,4205,4709,4272
4433,0.8623,1830,2027,2077,2763,3147,3722,3957,3695,4223,4064,4573,4175
4308,0.9162,1797,1945,2092,2693,3004,3590,3935,3592,4156,3926,4499,4030
4209,0.8745,1798,1948,2012,2624,2979,3508,3773,3583,4069,3871,4401,3960
4072,0.9805,1813,1888,1962,2570,2934,3425,3700,3375,3947,3829,4308,3925
4021,0.8305,1728,1873,1923,2481,2914,3340,3587,3386,3793,3612,4132,3851
3873,1,1743,1841,1907,2449,2775,3256,3482,3275,3773,3616,4131,3708
3768,0.9212,1754,1812,1872,2394,2736,3178,3438,3245,3598,3520,3990,3659
3687,0.9307,1748,1764,1872,2379,2632,3109,3330,3159,3539,3456,3837,3535
3623,0.8828,1653,1714,1838,2320,2640,3039,3307,3113,3521,3379,3853,3510
3534,0.9255,1700,1695,1835,2265,2562,2965,3186,2999,3405,3304,3729,3390
3460,0.9227,1659,1719,1758,2230,2528,2860,3128,2966,3345,3222,3601,3324
3414,0.7851,1669,1674,1722,2153,2492,2813,3081,2883,3241,3137,3507,3222
3288,0.9254,1652,1654,1717,2162,2461,2758,2992,2822,3197,3073,3473,3222
3273,0.8114,1663,1584,1718,2119,2419,2728,2909,2776,3116,2996,3402,3186
3167,0.8832,1629,1610,1673,2065,2348,2635,2876,2706,3020,2919,3279,3072
3120,0.8411,1592,1554,1640,1997,2296,2607,2770,2673,3004,2839,3202,3001
3069,0.7581,1587,1605,1625,1946,2274,2540,2734,2592,2921,2801,3174,2957
2957,0.9017,1602,1530,1595,1930,2265,2465,2678,2511,2820,2711,3032,2889
