intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13
1539,0.1264,1448,1387,1324,1180,1141,1083,1104,1092,1010,986,995,970,1152
1539,0,1441,1383,1362,1229,1176,1090,1099,1085,995,1046,1000,1015,1145
1533,0.3734,1500,1383,1358,1217,1161,1081,1096,1092,1038,1000,991,987,1146
1573,0.0488,1484,1377,1426,1266,1214,1101,1125,1083,1029,1061,1046,1025,1162
1577,0.397,1517,1415,1393,1251,1242,1083,1128,1112,1029,1058,1013,1030,1170
1593,0.1378,1568,1450,1413,1261,1252,1153,1157,1139,1029,1034,1018,1025,1177
1603,0.4256,1601,1489,1471,1302,1228,1159,1146,1157,1055,1034,1053,1077,1208
1623,0.2846,1611,1488,1504,1300,1250,1149,1132,1169,1041,1030,1049,1026,1209
1592,0.6316,1630,1535,1472,1337,1283,1163,1202,1175,1073,1085,1012,1079,1215
1641,0.3291,1635,1526,1456,1334,1334,1141,1183,1188,1064,1135,1091,1076,1255
1655,0.3644,1671,1526,1542,1343,1320,1153,1196,1205,1102,1111,1086,1113,1289
1686,0.2124,1701,1585,1517,1415,1334,1197,1266,1230,1094,1126,1144,1108,1283
1645,0.7958,1727,1610,1554,1378,1364,1210,1221,1270,1087,1157,1111,1105,1269
1704,0.5862,1746,1610,1563,1442,1384,1217,1269,1238,1117,1144,1126,1127,1340
1728,0.3352,1754,1645,1594,1444,1397,1213,1277,1265,1139,1144,1118,1146,1336
1763,0.4835,1798,1668,1634,1465,1410,1232,1267,1287,1154,1128,1176,1198,1355
1743,0.6532,1807,1692,1600,1479,1438,1262,1306,1266,1162,1202,1174,1161,1372
1762,0.6613,1843,1713,1653,1500,1426,1279,1288,1334,1157,1217,1189,1180,1384
1789,0.624,1894,1737,1717,1517,1486,1296,1287,1339,1191,1245,1204,1180,1393
1814,0.6512,1914,1779,1723,1569,1487,1328,1374,1341,1203,1256,1207,1226,1446
1821,0.6871,1952,1824,1764,1577,1529,1351,1378,1408,1194,1261,1218,1215,1459
1879,0.5378,1958,1848,1790,1642,1559,1327,1367,1419,1232,1278,1256,1247,1473
1863,0.7579,2016,1887,1818,1622,1587,1373,1390,1419,1256,1279,1270,1271,1502
1882,0.8238,2042,1914,1861,1644,1623,1381,1422,1421,1270,1297,1315,1260,1523
1953,0.6599,2101,1955,1875,1672,1610,1371,1429,1430,1295,1301,1300,1268,1568
1947,0.7902,2126,1996,1905,1692,1656,1432,1466,1468,1284,1326,1325,1318,1581
1985,0.8078,2175,2024,1942,1769,1675,1409,1495,1487,1287,1352,1317,1312,1574
2015,0.7781,2195,2082,1947,1754,1707,1433,1512,1528,1336,1388,1363,1333,1568
2053,0.6617,2240,2072,2016,1792,1755,1494,1543,1505,1316,1423,1374,1366,1634
2087,0.7728,2296,2126,2029,1856,1803,1502,1519,1556,1409,1463,1375,1397,1694
2126,1,2324,2186,2096,1841,1843,1526,1538,1616,1391,1449,1433,1397,1699
2142,0.8128,2348,2215,2109,1869,1837,1565,1583,1634,1432,1494,1456,1431,1730
2177,0.8266,2377,2260,2138,1926,1886,1575,1614,1630,1451,1523,1471,1448,1730
2208,0.9281,2433,2310,2161,1953,1924,1618,1625,1670,1457,1518,1436,1519,1793
2258,0.8162,2461,2341,2258,1986,1963,1594,1673,1733,1536,1558,1521,1489,1843
2303,0.8643,2552,2380,2255,2060,2028,1667,1689,1701,1504,1583,1565,1526,1879
2318,0.8621,2592,2475,2299,2072,2078,1671,1757,1802,1547,1595,1593,1539,1899
2402,0.7727,2614,2515,2365,2127,2068,1710,1755,1792,1578,1639,1621,1583,1946
2449,0.7549,2696,2576,2431,2186,2205,1703,1799,1877,1594,1702,1673,1630,1974
2483,0.86,2724,2610,2433,2209,2189,1779,1780,1866,1608,1759,1631,1628,1993
2490,0.9438,2784,2646,2491,2209,2219,1819,1858,1841,1660,1717,1669,1653,2072
2588,0.7927,2840,2700,2515,2315,2266,1805,1857,1904,1673,1749,1735,1710,2077
2615,0.8846,2880,2764,2538,2349,2333,1859,1894,1955,1715,1833,1762,1718,2085
2723,0.7552,2969,2824,2645,2380,2367,1868,1933,2008,1737,1838,1783,1714,2160
2753,0.8614,3020,2883,2685,2447,2463,1922,1977,2063,1759,1865,1805,1751,2181
2849,0.5966,3095,2931,2723,2530,2509,1951,2012,2073,1838,1891,1865,1808,2233
2838,0.8254,3159,3003,2810,2561,2582,1968,2026,2086,1838,1988,1898,1827,2321
2956,0.7628,3174,3045,2848,2592,2578,2042,2051,2118,1872,2018,1920,1896,2301
3022,0.7949,3269,3181,2899,2664,2669,2067,2118,2186,1920,2016,1996,1897,2387
3175,0.462,3356,3215,3034,2762,2758,2135,2149,2246,1932,2057,1989,1940,2437
3217,0.5248,3400,3291,3059,2811,2853,2137,2167,2273,2013,2092,2068,1979,2451
3255,0.6998,3496,3310,3108,2863,2894,2236,2214,2316,2004,2158,2083,2030,2552
3364,0.6269,3582,3429,3173,2947,2944,2219,2260,2375,2052,2202,2142,2077,2619
3443,0.6696,3687,3499,3277,3014,3049,2299,2273,2395,2130,2243,2181,2115,2649
3483,0.7154,3736,3582,3345,3083,3094,2354,2344,2460,2190,2319,2205,2162,2748
3592,0.6626,3856,3642,3437,3136,3166,2395,2368,2501,2236,2330,2297,2192,2764
3728,0.4952,3912,3748,3515,3231,3266,2489,2425,2555,2271,2441,2332,2253,2829
3823,0.5717,4010,3815,3610,3295,3324,2526,2520,2651,2329,2483,2356,2301,2923
3950,0.4977,4124,3949,3681,3424,3380,2522,2549,2685,2401,2531,2469,2333,2971
4055,0.4356,4194,3998,3777,3480,3486,2649,2636,2761,2428,2600,2467,2408,3035
4176,0.4493,4310,4147,3799,3562,3635,2652,2676,2821,2474,2688,2557,2476,3121
4263,0.4547,4420,4239,3984,3673,3684,2762,2724,2854,2554,2754,2596,2487,3196
4407,0.4525,4511,4325,4069,3778,3747,2817,2772,2959,2629,2791,2659,2561,3323
4523,0.3742,4642,4435,4162,3876,3883,2820,2892,3036,2732,2868,2668,2621,3369
4618,0.4865,4694,4526,4236,3916,3951,2965,2869,3132,2764,2938,2791,2697,3501
4745,0.4143,4857,4639,4395,4073,4115,3005,2963,3130,2856,2993,2828,2794,3526
4914,0.3817,4983,4802,4439,4198,4226,3043,3017,3252,2914,3104,2936,2806,3618
5122,0.2698,5093,4924,4571,4273,4242,3107,3124,3374,3014,3181,2967,2889,3687
5185,0.4303,5235,4989,4726,4377,4440,3218,3156,3496,3027,3223,3020,2956,3758
5390,0.3291,5319,5158,4872,4529,4537,3308,3223,3552,3156,3309,3124,3012,3896
5511,0.3948,5454,5266,4970,4661,4649,3346,3311,3639,3265,3423,3204,3107,4012
