intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13
62114,0.2654,63010,64260,62439,57823,53938,54086,52315,44988,59698,62150,65031,59988,61465
59827,0.2654,60687,61301,60092,55669,51958,52466,50589,43479,57546,59905,65158,58125,59071
57844,0.2654,58491,59325,58159,53846,49986,50799,48729,42089,55674,57856,63192,56106,57035
55736,0.2654,56632,57520,56371,51942,48194,49291,47277,40828,53817,56097,59232,54292,55171
53660,0.2654,54543,55478,54246,50001,46259,47559,45461,39273,51804,54087,57321,52301,53018
51755,0.2654,52522,53389,52421,48249,44363,46004,43854,37974,50009,52282,55205,50431,51137
49887,0.2654,50749,51499,50673,46587,42701,44504,42277,36672,48228,50387,53466,48743,49362
48131,0.2654,48895,49828,49020,44940,40990,43044,40802,35356,46573,48751,51630,46982,47619
46295,0.2654,46920,47920,47329,43143,39371,41634,39284,34098,44807,46931,49804,45312,45781
44680,0.2654,45159,46370,45600,41552,37882,40225,37913,32957,43324,45182,48003,43605,44205
43007,0.2654,43720,44672,44153,40074,36439,38980,36433,31792,41761,43655,46419,42057,42596
41319,0.2654,42004,42940,42441,38649,35034,37708,35331,30748,40357,42211,44694,40325,40941
39715,0.2654,40335,41632,40980,37244,33746,36466,33958,29721,38924,40576,43184,39053,39435
38314,0.2654,39022,40080,39562,35885,32544,35205,32828,28789,37613,39023,41639,37668,37974
36967,0.2654,37688,38818,38229,34653,31455,34112,31675,27792,36270,37795,40371,36235,36719
35450,0.2654,36300,37243,36884,33443,30297,33078,30690,26842,35146,36334,38987,34849,35395
34143,0.2654,34951,35807,35595,32316,29255,32016,29614,25916,33980,34908,37645,33600,34045
32981,0.2654,33700,34620,34379,31165,28327,30928,28572,25114,32939,33693,36440,32511,32964
31735,0.2654,32515,33411,33189,30162,27395,29901,27632,24300,31772,32468,35209,31328,31813
30638,0.2654,31436,32265,31964,29156,26579,28877,26734,23475,30756,31363,34045,30257,30745
