intensity,750,800,850,ua,left,right,ctr
4.32E-06,,,,0.004812,4.18E-06,6.39E-06,4.32E-06
4.31E-06,,,,0.0046733,4.09E-06,6.23E-06,4.31E-06
4.05E-06,,,,0.0048146,4.00E-06,6.08E-06,4.05E-06
4.02E-06,,,,0.0046999,3.87E-06,6.04E-06,4.02E-06
3.83E-06,,,,0.0047721,3.84E-06,5.65E-06,3.83E-06
3.75E-06,,,,0.0047297,3.72E-06,5.54E-06,3.75E-06
3.70E-06,,,,0.0046462,3.66E-06,5.28E-06,3.70E-06
3.47E-06,,,,0.0047908,3.55E-06,5.16E-06,3.47E-06
3.44E-06,,,,0.0046928,3.47E-06,5.02E-06,3.44E-06
3.35E-06,,,,0.0046748,3.41E-06,4.86E-06,3.35E-06
3.24E-06,,,,0.0046842,3.29E-06,4.69E-06,3.24E-06
3.23E-06,,,,0.0045592,3.26E-06,4.55E-06,3.23E-06
3.09E-06,,,,0.0046159,3.24E-06,4.49E-06,3.09E-06
2.98E-06,,,,0.004641,3.05E-06,4.21E-06,2.98E-06
2.97E-06,,,,0.0045287,3.03E-06,4.17E-06,2.97E-06
2.86E-06,,,,0.004556,2.96E-06,4.01E-06,2.86E-06
2.78E-06,,,,0.00455,2.95E-06,3.85E-06,2.78E-06
2.74E-06,,,,0.0044877,2.90E-06,3.76E-06,2.74E-06
2.67E-06,,,,0.0044672,2.75E-06,3.58E-06,2.67E-06
2.59E-06,,,,0.0044661,2.68E-06,3.51E-06,2.59E-06
2.56E-06,,,,0.0044033,2.69E-06,3.45E-06,2.56E-06
2.58E-06,,,,0.0042548,2.64E-06,3.23E-06,2.58E-06
2.43E-06,,,,0.0043729,2.57E-06,3.16E-06,2.43E-06
2.35E-06,,,,0.0043912,2.51E-06,3.12E-06,2.35E-06
2.29E-06,,,,0.0043788,2.50E-06,2.96E-06,2.29E-06
2.35E-06,,,,0.0041647,2.43E-06,2.98E-06,2.35E-06
2.22E-06,,,,0.0042734,2.38E-06,2.85E-06,2.22E-06
2.12E-06,,,,0.0043268,2.31E-06,2.80E-06,2.12E-06
2.10E-06,,,,0.0042645,2.25E-06,2.60E-06,2.10E-06
2.13E-06,,,,0.0040955,2.16E-06,2.57E-06,2.13E-06
2.02E-06,,,,0.0041863,2.13E-06,2.44E-06,2.02E-06
2.00E-06,,,,0.0041174,2.07E-06,2.39E-06,2.00E-06
1.92E-06,,,,0.0041583,2.19E-06,2.19E-06,1.92E-06
1.91E-06,,,,0.0040768,2.03E-06,2.27E-06,1.91E-06
1.88E-06,,,,0.0040422,1.97E-06,2.18E-06,1.88E-06
1.86E-06,,,,0.00399,1.94E-06,2.05E-06,1.86E-06
1.81E-06,,,,0.0039822,1.92E-06,1.97E-06,1.81E-06
1.73E-06,,,,0.0040314,1.87E-06,1.89E-06,1.73E-06
1.75E-06,,,,0.0038967,1.85E-06,1.95E-06,1.75E-06
1.69E-06,,,,0.0039364,1.82E-06,1.82E-06,1.69E-06
1.67E-06,,,,0.0038827,1.72E-06,1.73E-06,1.67E-06
1.55E-06,,,,0.0040395,1.74E-06,1.67E-06,1.55E-06
0.00010562,,,,0.00036572,,,
0.00010154,,,,0.00034388,,,
9.80E-05,,,,0.00031105,,,
9.43E-05,,,,0.0002922,,,
9.06E-05,,,,0.00028086,,,
8.70E-05,,,,0.00027656,,,
8.35E-05,,,,0.00027325,,,
8.02E-05,,,,0.00027029,,,
7.68E-05,,,,0.00028013,,,
7.37E-05,,,,0.00028354,,,
7.08E-05,,,,0.00028152,,,
6.78E-05,,,,0.00029446,,,
