intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1.64E-06,0.1264,8.98E-07,8.52E-07,1.14E-06,1.16E-06,1.34E-06,1.20E-06,1.14E-06,9.19E-07,7.90E-07,7.62E-07
1.74E-06,0,8.52E-07,8.74E-07,1.15E-06,1.32E-06,1.30E-06,1.21E-06,1.17E-06,8.69E-07,8.47E-07,7.58E-07
1.63E-06,0.3734,8.61E-07,9.79E-07,1.08E-06,1.17E-06,1.28E-06,1.37E-06,1.18E-06,9.60E-07,8.84E-07,7.65E-07
1.81E-06,0.0488,9.51E-07,9.27E-07,1.16E-06,1.27E-06,1.43E-06,1.34E-06,1.28E-06,1.01E-06,8.93E-07,8.19E-07
1.71E-06,0.397,9.47E-07,1.00E-06,1.21E-06,1.31E-06,1.39E-06,1.56E-06,1.36E-06,1.04E-06,8.54E-07,8.47E-07
1.87E-06,0.1378,9.70E-07,1.00E-06,1.37E-06,1.33E-06,1.38E-06,1.45E-06,1.32E-06,1.07E-06,9.70E-07,8.63E-07
1.80E-06,0.4256,9.81E-07,1.15E-06,1.31E-06,1.36E-06,1.56E-06,1.44E-06,1.37E-06,1.18E-06,9.31E-07,8.96E-07
1.91E-06,0.2846,1.03E-06,1.06E-06,1.38E-06,1.39E-06,1.53E-06,1.44E-06,1.46E-06,1.17E-06,1.03E-06,8.63E-07
1.81E-06,0.6316,1.07E-06,1.16E-06,1.36E-06,1.38E-06,1.67E-06,1.49E-06,1.45E-06,1.16E-06,1.03E-06,9.00E-07
2.00E-06,0.3291,1.08E-06,1.21E-06,1.42E-06,1.44E-06,1.64E-06,1.60E-06,1.52E-06,1.27E-06,1.03E-06,1.01E-06
2.04E-06,0.3644,1.19E-06,1.32E-06,1.45E-06,1.53E-06,1.72E-06,1.64E-06,1.53E-06,1.26E-06,1.03E-06,1.00E-06
2.18E-06,0.2124,1.14E-06,1.27E-06,1.54E-06,1.58E-06,1.71E-06,1.71E-06,1.56E-06,1.28E-06,1.07E-06,9.75E-07
1.96E-06,0.7958,1.25E-06,1.21E-06,1.48E-06,1.58E-06,1.86E-06,1.83E-06,1.59E-06,1.40E-06,1.10E-06,1.06E-06
2.11E-06,0.5862,1.17E-06,1.29E-06,1.52E-06,1.59E-06,1.85E-06,1.83E-06,1.67E-06,1.34E-06,1.15E-06,1.12E-06
2.30E-06,0.3352,1.25E-06,1.40E-06,1.61E-06,1.71E-06,1.99E-06,1.86E-06,1.75E-06,1.42E-06,1.17E-06,1.10E-06
2.29E-06,0.4835,1.31E-06,1.42E-06,1.68E-06,1.72E-06,1.92E-06,1.95E-06,1.82E-06,1.45E-06,1.21E-06,1.14E-06
2.27E-06,0.6532,1.34E-06,1.36E-06,1.75E-06,1.89E-06,2.11E-06,1.97E-06,1.85E-06,1.53E-06,1.24E-06,1.16E-06
2.34E-06,0.6613,1.35E-06,1.43E-06,1.79E-06,1.74E-06,2.26E-06,2.06E-06,1.87E-06,1.55E-06,1.26E-06,1.21E-06
2.42E-06,0.624,1.43E-06,1.43E-06,1.71E-06,1.84E-06,2.16E-06,2.13E-06,1.90E-06,1.58E-06,1.29E-06,1.21E-06
2.48E-06,0.6512,1.43E-06,1.57E-06,1.94E-06,1.95E-06,2.26E-06,2.20E-06,2.00E-06,1.57E-06,1.33E-06,1.35E-06
2.54E-06,0.6871,1.51E-06,1.60E-06,2.01E-06,1.99E-06,2.25E-06,2.28E-06,2.02E-06,1.67E-06,1.39E-06,1.34E-06
2.70E-06,0.5378,1.55E-06,1.66E-06,2.04E-06,1.97E-06,2.52E-06,2.33E-06,2.19E-06,1.76E-06,1.38E-06,1.33E-06
