pixel#,reflectance1,absorption1,reflectance2,absorption2
114,9.41E-07,0.042768432,3.63E-05,0.672736307
115,9.14E-07,0.040262468,3.78E-05,0.691896835
116,8.60E-07,0.056282552,3.93E-05,0.710869695
117,8.77E-07,0.026002107,4.11E-05,0.727386871
118,8.37E-07,0.033669877,4.26E-05,0.752911227
119,8.15E-07,0.029816683,4.45E-05,0.771909105
120,8.02E-07,0.020562457,4.65E-05,0.790640064
121,7.69E-07,0.025212867,4.83E-05,0.816592479
122,7.06E-07,0.055391269,5.04E-05,0.839057731
123,7.16E-07,0.029227167,5.28E-05,0.857312566
124,6.82E-07,0.037891752,5.49E-05,0.885340576
125,6.75E-07,0.025257778,5.72E-05,0.912185892
126,6.54E-07,0.024709343,5.96E-05,0.940898917
127,6.38E-07,0.020236601,6.19E-05,0.971515603
128,6.41E-07,0,6.47E-05,1
