intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1539,0.1264,1673,1572,1620,1460,1583,1498,1443,1563,1554,1423
1539,0,1666,1564,1595,1463,1572,1505,1524,1597,1582,1434
1533,0.3734,1714,1544,1635,1510,1582,1557,1518,1609,1576,1453
1573,0.0488,1707,1613,1625,1494,1583,1521,1495,1617,1604,1442
1577,0.397,1728,1564,1705,1525,1585,1534,1533,1636,1626,1495
1593,0.1378,1744,1599,1713,1498,1609,1604,1511,1641,1658,1467
1603,0.4256,1722,1609,1698,1543,1608,1589,1558,1671,1673,1491
1623,0.2846,1714,1620,1693,1580,1626,1591,1528,1714,1643,1479
1592,0.6316,1765,1580,1691,1544,1635,1615,1564,1732,1682,1532
1641,0.3291,1758,1581,1694,1540,1604,1606,1592,1727,1719,1523
1655,0.3644,1807,1597,1703,1581,1661,1608,1575,1787,1698,1547
1686,0.2124,1789,1601,1735,1590,1682,1660,1626,1759,1766,1541
1645,0.7958,1798,1587,1738,1573,1680,1635,1628,1790,1766,1594
1704,0.5862,1793,1580,1771,1605,1669,1645,1678,1787,1743,1574
1728,0.3352,1812,1636,1799,1657,1678,1659,1700,1846,1777,1598
1763,0.4835,1839,1623,1799,1633,1743,1687,1687,1852,1828,1652
1743,0.6532,1835,1600,1810,1675,1729,1693,1749,1903,1868,1626
1762,0.6613,1873,1617,1803,1631,1717,1750,1757,1897,1838,1677
1789,0.624,1879,1646,1833,1678,1754,1734,1781,1883,1857,1708
1814,0.6512,1880,1624,1841,1713,1758,1764,1803,1962,1937,1718
1821,0.6871,1896,1659,1878,1744,1775,1767,1801,1998,1909,1739
1879,0.5378,1912,1653,1909,1734,1771,1783,1839,2028,1947,1748
1863,0.7579,1894,1635,1919,1745,1787,1809,1873,2035,1990,1788
1882,0.8238,1973,1667,1935,1785,1840,1819,1897,2063,2004,1821
1953,0.6599,1971,1706,1986,1756,1812,1864,1881,2091,2022,1844
1947,0.7902,1986,1702,1991,1800,1804,1860,1927,2103,2078,1872
1985,0.8078,1992,1725,1977,1805,1847,1923,1954,2163,2098,1886
2015,0.7781,2002,1712,2018,1795,1836,1905,2049,2156,2148,1937
2053,0.6617,2013,1763,2061,1824,1902,1944,2037,2216,2203,1946
2087,0.7728,2041,1742,2056,1831,1891,2005,2089,2240,2192,1985
2126,1,2017,1746,2137,1857,1874,2012,2101,2270,2236,1960
2142,0.8128,2094,1789,2123,1877,1933,2019,2116,2304,2281,2053
2177,0.8266,2055,1846,2164,1899,1962,2046,2193,2372,2262,1989
2208,0.9281,2112,1854,2158,1898,1924,2121,2193,2366,2292,2116
2258,0.8162,2132,1860,2216,1941,1990,2130,2256,2443,2372,2083
2303,0.8643,2122,1847,2236,1974,1965,2178,2233,2436,2363,2122
2318,0.8621,2194,1897,2236,2015,2043,2224,2317,2501,2463,2157
2402,0.7727,2187,2016,2303,1972,2011,2232,2354,2591,2484,2207
2449,0.7549,2251,1995,2402,2053,2076,2284,2440,2660,2579,2286
2483,0.86,2287,2021,2379,2019,2123,2328,2396,2634,2562,2290
2490,0.9438,2303,2043,2428,2109,2134,2360,2525,2706,2584,2275
2588,0.7927,2316,2104,2461,2101,2164,2374,2498,2750,2639,2353
2615,0.8846,2324,2101,2463,2047,2206,2440,2551,2771,2745,2381
2723,0.7552,2387,2163,2538,2164,2211,2468,2613,2836,2767,2434
2753,0.8614,2441,2245,2576,2153,2268,2536,2673,2900,2791,2484
2849,0.5966,2471,2233,2601,2228,2245,2549,2699,2985,2836,2551
2838,0.8254,2520,2311,2627,2290,2313,2612,2797,2988,2904,2579
2956,0.7628,2536,2395,2686,2301,2348,2627,2766,3049,2916,2642
3022,0.7949,2624,2445,2734,2365,2375,2692,2869,3117,3027,2637
3175,0.462,2671,2494,2805,2443,2415,2772,2900,3181,3069,2749
3217,0.5248,2716,2542,2846,2388,2481,2847,2966,3236,3142,2812
3255,0.6998,2764,2615,2894,2486,2497,2883,3054,3300,3192,2840
3364,0.6269,2782,2654,2949,2526,2545,2898,3107,3377,3316,2927
3443,0.6696,2904,2716,3034,2610,2559,2974,3153,3478,3337,2975
3483,0.7154,2947,2839,3087,2618,2621,3078,3194,3549,3432,3043
3592,0.6626,3023,2869,3136,2713,2709,3125,3380,3617,3445,3122
3728,0.4952,3137,2943,3216,2749,2744,3160,3340,3674,3562,3136
3823,0.5717,3183,3014,3272,2836,2790,3210,3420,3750,3616,3236
3950,0.4977,3258,3101,3337,2908,2884,3269,3489,3828,3728,3356
4055,0.4356,3339,3175,3437,2974,2930,3372,3526,3858,3811,3413
4176,0.4493,3431,3181,3474,3047,2982,3423,3671,4004,3868,3521
4263,0.4547,3512,3220,3572,3090,3109,3509,3736,4036,3892,3557
4407,0.4525,3620,3376,3607,3163,3122,3648,3839,4203,4063,3705
4523,0.3742,3710,3402,3695,3271,3250,3673,3872,4268,4190,3764
4618,0.4865,3763,3467,3765,3306,3308,3756,3973,4353,4243,3862
4745,0.4143,3873,3555,3860,3427,3388,3823,4125,4443,4393,3935
4914,0.3817,4018,3636,3967,3512,3521,3960,4174,4486,4454,4052
