intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
62114,0.2654,60294,61753,63756,62173,63025,63953,62122,60980,63872
59827,0.2654,58040,59175,60411,59213,59728,60919,59131,58595,61078
57844,0.2654,55957,57079,57679,57031,57334,57447,56787,56564,57934
55736,0.2654,54092,55201,55614,55082,55214,55393,54884,54565,55924
53660,0.2654,52082,53038,53288,52831,53028,53199,52426,52363,53860
51755,0.2654,49949,51103,51219,50876,51079,50950,50335,50510,51883
49887,0.2654,48239,49340,49274,48886,49066,48785,48508,48498,50038
48131,0.2654,46389,47564,47258,46998,47171,46930,46538,46643,48253
46295,0.2654,44607,45514,45272,45041,45160,44938,44601,44931,46348
44680,0.2654,42794,44039,43446,43398,43398,43095,42622,42961,44586
43007,0.2654,41068,42367,41703,41623,41776,41380,41023,41367,42983
41319,0.2654,39459,40649,39898,40028,40089,39568,39369,39918,41364
39715,0.2654,37869,39207,38298,38438,38565,38055,37710,38234,39755
38314,0.2654,36410,37699,36693,36906,36872,36486,36109,36905,38244
36967,0.2654,35055,36329,35306,35530,35500,35056,34831,35511,36909
35450,0.2654,33625,34893,33829,34176,34128,33553,33443,34109,35475
34143,0.2654,32321,33543,32350,32779,32661,32387,32030,32929,34035
32981,0.2654,30998,32313,31103,31643,31494,31036,30848,31590,32902
31735,0.2654,29828,31199,29774,30415,30307,29902,29613,30572,31711
30638,0.2654,28782,30055,28600,29134,29022,28769,28406,29390,30471
29632,0.2654,27624,28775,27514,28089,28110,27704,27381,28424,29421
28487,0.2654,26486,27670,26257,26921,26960,26602,26201,27183,28333
27379,0.2654,25411,26699,25251,25851,25843,25593,25265,26243,27298
26454,0.2654,24426,25562,24272,25004,24946,24680,24359,25320,26312
25477,0.2654,23410,24556,23204,24024,23893,23811,23420,24347,25317
24609,0.2654,22584,23677,22291,23014,22968,22872,22431,23454,24466
23740,0.2654,21557,22745,21385,22132,22125,21964,21504,22580,23562
22822,0.2654,20799,21871,20420,21151,21282,21226,20669,21748,22699
22083,0.4807,20001,21080,19759,20531,20556,20525,20108,21081,21979
21247,0.4905,19245,20375,18919,19719,19823,19754,19313,20405,21111
20479,0.5008,18411,19473,18186,18821,18945,19059,18486,19512,20362
19755,0.4572,17755,18769,17413,18212,18290,18313,17922,18879,19658
19075,0.4351,16998,18037,16704,17534,17590,17683,17223,18255,18916
18361,0.4492,16263,17392,16027,16756,16876,17009,16555,17486,18272
17791,0.3957,15750,16711,15588,16215,16422,16583,16066,17001,17705
17076,0.4381,15074,16121,14929,15607,15843,15924,15496,16323,17026
16594,0.3612,14620,15577,14411,15001,15252,15401,14936,15804,16568
15949,0.3969,14045,14934,13894,14464,14712,14937,14392,15275,15932
15730,0.2221,13637,14740,13649,14197,14538,14718,14348,15099,15700
14815,0.4207,12871,13861,12827,13385,13628,13757,13344,14187,14788
14316,0.4025,12374,13363,12397,12935,13165,13354,12950,13775,14379
13756,0.4416,11869,12885,11900,12397,12767,12862,12462,13252,13834
13234,0.472,11372,12500,11495,12035,12268,12508,12074,12792,13404
12847,0.4428,11028,11946,11094,11555,11877,12056,11707,12411,12905
12400,0.4556,10580,11604,10633,11143,11386,11642,11355,11919,12499
11982,0.4268,10165,11183,10326,10794,11071,11252,10969,11637,12140
11561,0.444,9837,10809,9963,10408,10721,10923,10568,11243,11753
11115,0.5083,9393,10335,9661,10045,10277,10539,10281,10793,11365
10825,0.4665,9134,9981,9306,9710,9985,10194,9942,10581,10967
10443,0.4611,8821,9652,8982,9471,9705,9967,9608,10221,10725
10178,0.4066,8531,9414,8647,9072,9348,9653,9371,9942,10397
9780,0.4817,8246,9128,8421,8822,9114,9296,9077,9597,10076
9448,0.501,7978,8775,8143,8568,8800,9036,8819,9411,9820
9153,0.5124,7703,8533,7860,8289,8457,8779,8509,9116,9505
8891,0.4762,7440,8144,7647,8071,8292,8492,8312,8819,9186
8503,0.5691,7209,7923,7409,7787,7966,8274,8072,8625,8985
8299,0.4988,7008,7760,7194,7580,7764,8021,7832,8351,8749
8025,0.5476,6815,7527,6973,7374,7545,7794,7676,8189,8501
7765,0.5595,6566,7266,6758,7187,7304,7556,7439,7971,8334
7517,0.5498,6416,7033,6579,6985,7136,7350,7240,7703,8083
7276,0.5866,6263,6811,6387,6669,6909,7136,7029,7570,7849
7054,0.5755,5964,6597,6210,6541,6695,6932,6836,7377,7692
6876,0.5767,5931,6478,6060,6399,6573,6743,6683,7216,7463
6643,0.5667,5711,6241,5913,6258,6366,6600,6467,7049,7272
6415,0.64,5559,6083,5690,6053,6164,6355,6320,6893,7095
6218,0.6125,5443,5891,5566,5855,6009,6162,6159,6671,6928
5942,0.7416,5281,5728,5347,5700,5862,6045,5980,6557,6790
5837,0.673,5118,5587,5286,5618,5703,5918,5842,6396,6607
5589,0.7955,5002,5434,5148,5531,5568,5759,5714,6232,6470
5450,0.7686,4864,5288,4986,5280,5349,5530,5520,6098,6350
5326,0.7487,4768,5142,4844,5231,5243,5404,5496,6008,6219
5153,0.759,4618,5008,4736,5073,5096,5256,5246,5880,6047
4956,0.8547,4512,4910,4626,4942,4990,5130,5130,5709,5938
4828,0.8183,4428,4793,4528,4867,4859,5025,4945,5615,5777
4670,0.9132,4330,4651,4405,4742,4694,4872,4862,5506,5689
4578,0.8548,4247,4540,4325,4630,4593,4759,4736,5415,5630
4433,0.8623,4103,4408,4231,4532,4513,4656,4656,5339,5521
4308,0.9162,4093,4324,4102,4394,4364,4560,4489,5208,5375
4209,0.8745,3970,4225,4045,4288,4303,4446,4437,5141,5276
4072,0.9805,3846,4150,3984,4235,4114,4305,4278,5034,5259
4021,0.8305,3802,4054,3891,4121,4046,4214,4214,4910,5099
3873,1,3731,4029,3782,4022,3932,4148,4105,4822,5040
3768,0.9212,3693,3946,3705,3943,3872,3991,4052,4797,4971
3687,0.9307,3620,3874,3668,3874,3756,3959,3968,4738,4857
3623,0.8828,3548,3787,3607,3811,3727,3818,3859,4642,4835
3534,0.9255,3440,3717,3486,3679,3605,3771,3772,4558,4702
3460,0.9227,3431,3650,3462,3652,3497,3698,3728,4459,4685
3414,0.7851,3372,3551,3340,3566,3443,3553,3656,4388,4584
3288,0.9254,3361,3471,3283,3499,3378,3510,3588,4356,4530
3273,0.8114,3305,3472,3289,3477,3326,3430,3485,4316,4469
3167,0.8832,3244,3407,3225,3375,3220,3345,3479,4201,4371
3120,0.8411,3213,3361,3190,3315,3154,3303,3361,4108,4338
3069,0.7581,3183,3308,3100,3234,3124,3207,3302,4114,4288
2957,0.9017,3064,3239,3073,3206,3019,3087,3290,4033,4214
2940,0.8044,3088,3176,3005,3116,2947,3049,3172,4025,4212
2883,0.7865,3026,3157,2955,3056,2847,2966,3142,3943,4078
2805,0.7958,3002,3090,2943,3012,2857,2923,3072,3900,4029
2825,0.6717,2948,3061,2874,3013,2805,2884,3057,3849,4019
2738,0.728,2872,3040,2845,2963,2794,2780,3006,3814,3967
2696,0.7529,2833,3009,2834,2856,2680,2741,2953,3711,3918
2648,0.6415,2842,2893,2753,2795,2636,2653,2880,3703,3888
2614,0.6685,2832,2860,2710,2774,2622,2634,2809,3642,3808
2555,0.6626,2785,2878,2683,2755,2568,2534,2809,3641,3758
2533,0.6007,2756,2808,2621,2717,2484,2496,2738,3551,3724
2491,0.5804,2711,2806,2647,2692,2485,2429,2722,3512,3699
2474,0.5792,2653,2758,2600,2649,2440,2405,2664,3439,3644
2413,0.5169,2654,2687,2601,2610,2423,2382,2659,3446,3602
2411,0.3694,2606,2700,2580,2579,2378,2326,2616,3383,3617
2364,0.4867,2625,2629,2500,2547,2300,2284,2566,3349,3563
2301,0.5049,2596,2636,2478,2511,2307,2296,2536,3319,3456
2294,0.4926,2512,2586,2458,2481,2273,2248,2547,3256,3461
2308,0.28,2558,2574,2411,2428,2180,2173,2500,3273,3448
2215,0.388,2506,2537,2400,2428,2237,2108,2474,3200,3404
2208,0.441,2486,2515,2364,2440,2148,2140,2432,3146,3369
2175,0.3791,2493,2488,2387,2390,2149,2101,2394,3121,3285
2169,0.2113,2476,2479,2368,2400,2147,2102,2389,3068,3285
2135,0.3015,2415,2483,2325,2362,2076,2036,2344,3011,3249
2113,0.2331,2375,2422,2314,2357,2088,2008,2307,3005,3227
2083,0.2736,2352,2393,2270,2306,2026,1986,2265,2979,3221
2064,0.1927,2369,2398,2240,2296,2030,2007,2266,2943,3166
2046,0.1583,2337,2376,2219,2304,2016,1937,2270,2908,3160
2013,0.1066,2363,2412,2196,2314,2042,1922,2233,2931,3056
2006,0.0988,2344,2348,2238,2295,2011,1922,2196,2831,3089
1932,0.1476,2299,2318,2221,2243,1946,1926,2137,2802,3060
1964,0.0139,2294,2324,2160,2248,1973,1906,2124,2782,2993
1922,0.0533,2263,2314,2159,2246,1951,1876,2145,2716,2999
1924,0,2217,2306,2105,2245,1882,1848,2103,2726,2932
1864,0.1556,2249,2249,2121,2198,1913,1823,2106,2688,2960
60084,0.1023,,,,,,,,,
57757,0.0788,,,,,,,,,
55771,0.0437,,,,,,,,,
53691,0.0235,,,,,,,,,
51637,0.0113,,,,,,,,,
