
Experiment data,16-07-2019,11:10:39

Collected Light Intensity
Intensity:,234,216,192,255,255,214,192,255,
Integration time: ,12381
Wavelength,i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient
 ,3556,3531,3417,3213,12790,19748,19936,14249,2670,
 ,3501,3508,3369,3187,13251,20463,20886,14790,2653,
 ,3447,3449,3359,3222,13722,21127,21586,15361,2689,
 ,3463,3423,3349,3166,14197,22095,22524,16004,2684,
 ,3433,3398,3289,3135,14779,22938,23516,16611,2649,
 ,3363,3384,3303,3141,15359,23900,24477,17325,2668,
 ,3371,3351,3257,3123,15878,24879,25422,18073,2671,
 ,3335,3359,3264,3088,16542,25970,26591,18917,2681,
 ,3333,3319,3236,3137,17245,27109,27660,19757,2681,
 ,3298,3280,3253,3066,17840,28239,28995,20631,2679,
 ,3227,3296,3216,3056,18543,29313,30055,21524,2656,
 ,3254,3229,3166,3082,19369,30676,31459,22410,2696,
 ,3221,3267,3125,3044,19991,31874,32689,23429,2681,
 ,3179,3227,3138,3067,20852,33255,34166,24355,2673,
 ,3195,3182,3150,3030,21589,34499,35508,25426,2687,
 ,3171,3198,3123,2974,22473,35999,36985,26544,2657,
 ,3116,3224,3103,3016,23384,37588,38636,27729,2701,
 ,3131,3173,3129,2983,24319,39213,40306,29082,2687,
 ,3137,3148,3055,2962,25269,40696,41995,30335,2695,
 ,3092,3094,3067,2974,26299,42496,43791,31569,2679,
 ,3086,3092,3045,3000,27419,44195,45811,33003,2666,
 ,3102,3103,3077,2990,28442,45910,47585,34454,2685,
 ,3047,3106,3019,2966,29660,47947,49659,36117,2688,
 ,3036,3071,3063,2938,31024,50059,51932,37736,2726,
 ,3033,3062,3014,2927,32211,51875,54137,39385,2708,
 ,3004,3034,2989,2923,33540,54099,56363,40993,2699,
 ,2997,2988,3009,2908,34934,55938,58813,42590,2690,
 ,2976,3024,2979,2895,36296,58263,61366,44475,2711,
 ,2974,3005,2934,2881,37825,60867,64193,46263,2690,
Reference Light Intensity
Wavelength,i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient
 ,57158,59278,60003,51920,5720,5934,5872,5675,5380,
 ,55294,57527,58084,50368,5722,5970,5862,5688,5368,
 ,53645,55885,55973,48794,5716,5920,5901,5682,5390,
 ,52247,54241,54301,47339,5760,5976,5936,5692,5428,
 ,50375,52430,52579,45513,5725,6003,5923,5704,5433,
 ,48712,50664,50750,43759,5743,6019,5894,5702,5376,
 ,47178,49061,49138,42431,5768,6035,6002,5717,5403,
 ,45685,47530,47364,40852,5801,6030,5975,5700,5394,
 ,44222,45811,45801,39238,5837,6047,6005,5710,5402,
 ,42864,44422,44267,37929,5792,6154,6051,5754,5373,
 ,41598,43155,42798,36789,5871,6169,6089,5772,5442,
 ,40133,41710,41478,35448,5915,6145,6106,5826,5416,
 ,38977,40322,40040,34121,5906,6248,6135,5808,5442,
 ,37873,39331,38690,33132,5967,6243,6152,5840,5443,
 ,36828,38321,37450,32128,5975,6257,6207,5861,5434,
 ,35683,37041,36168,30999,5972,6371,6244,5884,5490,
 ,34602,35986,35159,30111,6027,6361,6262,5897,5459,
 ,33667,35159,34234,29241,6046,6428,6349,5949,5446,
 ,32740,34100,33164,28371,6073,6426,6372,5950,5490,
 ,31840,33083,32144,27465,6043,6462,6379,5982,5452,
 ,30936,32300,31254,26718,6146,6585,6383,6000,5420,
 ,30122,31201,30209,25738,6166,6561,6445,6049,5499,
 ,29236,30258,29377,24970,6155,6609,6469,6046,5519,
 ,28447,29411,28470,24206,6218,6618,6481,6076,5497,
 ,27584,28513,27673,23436,6261,6672,6590,6095,5479,
 ,26897,27760,26891,22717,6252,6734,6581,6077,5454,
 ,26136,26890,25985,22065,6272,6751,6627,6165,5488,
 ,25301,25941,25265,21368,6312,6797,6613,6131,5506,
 ,24661,25474,24452,20762,6346,6870,6718,6135,5445,
 ,23979,24715,23737,20220,6401,6963,6760,6215,5444,
 ,23201,23811,23024,19579,6385,6908,6762,6162,5428,
 ,22609,23228,22336,18995,6431,7007,6755,6226,5456,
 ,21846,22375,21654,18384,6460,7013,6858,6320,5369,
 ,21158,21791,21057,17769,6494,6987,6822,6245,5378,
 ,20754,21227,20381,17445,6492,7074,6938,6367,5464,
 ,19994,20534,19665,16809,6493,7102,6924,6269,5385,
 ,19449,20025,19210,16389,6544,7216,7023,6383,5402,
 ,18926,19410,18546,15937,6509,7253,7035,6433,5390,
 ,18814,19001,18180,15762,6725,7463,7169,6470,5444,
 ,17698,18188,17533,14946,6636,7361,7095,6441,5350,
 ,17228,17601,16977,14488,6645,7350,7165,6463,5331,
 ,16757,17106,16541,13994,6712,7456,7232,6466,5303,
 ,16328,16485,16069,13683,6695,7475,7270,6525,5308,
 ,15893,16118,15615,13292,6750,7552,7381,6541,5290,
 ,15409,15679,15219,13019,6838,7602,7363,6587,5225,
