ir,ia,iir,iia,,ir-690-r-test,iir-690-r-test,ir-750-c-test,iir-750-c-test,ir-800-l-test,iir-800-l-test,,i-lookup-750c,ii-lookup-750c,i-lookup-800l,ii-lookup-800l,i-lookup-690r,ii-lookup-690r
1.28E+04,0.22129,1822,0.64266,,1.34E+04,1.54E+03,13161,2582,11070,3453,,0.90766,0.17821,0.90766,0.037913,0.93901,0.5024
1.23E+04,0.23307,1806,0.81373,,1.28E+04,1.64E+03,12576,2696,10679,3580,,0.90766,0.16247,0.90766,0.037913,0.90766,0.5024
1.19E+04,0.21957,1929,0.6615,,1.23E+04,1.66E+03,12189,2752,10238,3672,,0.90766,0.16247,0.90766,0.037913,0.90766,0.38322
1.14E+04,0.24841,1926,0.80452,,1.19E+04,1.76E+03,11685,2891,9814,3833,,0.90766,0.076104,0.90766,0.037913,0.93901,0.4227
1.10E+04,0.26619,2030,0.7095,,1.14E+04,1.78E+03,11261,2935,9413,3927,,0.90766,0.076104,0.90766,0.037913,0.90766,0.4227
1.06E+04,0.25608,2124,0.64669,,1.11E+04,1.93E+03,10870,3115,8978,4089,,0.90766,0.17542,0.90766,0.037913,0.93901,0.31266
1.02E+04,0.28349,2193,0.64311,,1.06E+04,1.91E+03,10499,3237,8690,4174,,0.90766,0.13303,0.90766,0.037913,0.90766,0.31266
9.82E+03,0.30399,2218,0.73364,,1.02E+04,1.99E+03,10060,3293,8329,4356,,0.90766,0.13303,0.90766,0.90766,0.90766,0.32263
9.45E+03,0.32103,2326,0.66029,,9.85E+03,2.05E+03,9684,3435,7965,4466,,0.90766,0.11585,0.90766,0.90766,0.93901,0.32671
9.18E+03,0.29553,2435,0.59466,,9.51E+03,2.24E+03,9340,3566,7670,4622,,0.90766,0.15447,0.90766,0.90766,0.93901,0.30092
8.86E+03,0.29958,2516,0.58901,,9.25E+03,2.29E+03,9013,3725,7435,4829,,0.90766,0.22061,0.90766,0.90766,0.93901,0.28295
8.47E+03,0.35325,2614,0.55825,,8.82E+03,2.29E+03,8642,3834,7052,4872,,0.90766,0.22061,0.90766,0.90766,0.90766,0.28295
8.21E+03,0.33327,2687,0.57755,,8.48E+03,2.40E+03,8283,3955,6832,5071,,0.90766,0.17835,0.90766,0.90766,0.90766,0.23844
7.88E+03,0.37011,2790,0.55005,,8.17E+03,2.46E+03,7987,4134,6603,5218,,0.90766,0.16149,0.90766,0.90766,0.90766,0.24993
7.58E+03,0.39164,2923,0.48014,,7.93E+03,2.52E+03,7712,4220,6309,5403,,0.90766,0.13898,0.90766,0.90766,0.93901,0.22733
7.28E+03,0.42183,3033,0.45583,,7.54E+03,2.63E+03,7413,4436,6148,5569,,0.90766,0.23529,0.90766,0.90766,0.93901,0.26809
7.04E+03,0.42125,3154,0.42124,,7.37E+03,2.79E+03,7176,4580,5913,5708,,0.90766,0.1974,0.90766,0.90766,0.93901,0.22054
6.77E+03,0.44793,3233,0.45641,,7.05E+03,2.85E+03,6843,4755,5642,5915,,0.90766,0.19697,0.90766,0.90766,0.90766,0.1668
6.53E+03,0.46112,3343,0.45011,,6.80E+03,2.98E+03,6610,4918,5473,6096,,0.90766,0.32734,0.90766,0.90766,0.93901,0.17646
6.32E+03,0.45558,3471,0.42395,,6.58E+03,3.11E+03,6354,5138,5315,6324,,0.90766,0.30107,0.90766,0.90766,0.93901,0.17617
6.03E+03,0.52463,3624,0.37035,,6.31E+03,3.21E+03,6122,5292,5115,6547,,0.90766,0.29354,0.90766,1.5751E-06,0.93901,0.19994
5.85E+03,0.50384,3725,0.39494,,6.11E+03,3.32E+03,5912,5522,4922,6752,,0.90766,0.22885,0.90766,1,0.93901,0.1779
5.64E+03,0.52516,3874,0.36124,,5.90E+03,3.43E+03,5685,5792,4793,6938,,0.90766,0.37625,0.90766,1,0.93901,0.1779
5.41E+03,0.56471,4071,0.27497,,5.71E+03,3.59E+03,5438,5952,4595,7183,,0.90766,0.37625,0.90766,1,1.5751E-06,0.094442
5.20E+03,0.59487,4125,0.3748,,5.45E+03,3.65E+03,5215,6095,4447,7395,,0.90766,0.36601,0.90766,1,1.5751E-06,0.094442
4.99E+03,0.6262,4337,0.28555,,5.29E+03,3.82E+03,5070,6382,4325,7636,,0.44157,0.95377,0.44157,0.14438,1.5751E-06,0.97684
4.83E+03,0.62556,4453,0.31959,,5.00E+03,3.97E+03,4845,6611,4163,7872,,0.44157,0.96781,0.44157,0.14438,0.44157,0.97684
4.59E+03,0.70827,4568,0.35995,,4.89E+03,4.18E+03,4697,6882,3993,8077,,0.44157,0.95557,0.44157,0.14438,1.5751E-06,0.90849
4.45E+03,0.70596,4788,0.28659,,4.62E+03,4.22E+03,4464,7093,3841,8268,,0.44157,0.97825,0.44157,0.14438,0.44157,0.90849
4.29E+03,0.72249,4925,0.31421,,4.49E+03,4.43E+03,4320,7349,3739,8569,,0.44157,0.9695,0.44157,0.14438,1.5751E-06,1
4.11E+03,0.76895,5133,0.27154,,4.36E+03,4.54E+03,4138,7598,3667,9006,,0.44157,0.96003,0.44157,0.14438,1.5751E-06,1
3.99E+03,0.75289,5327,0.25234,,4.21E+03,4.71E+03,3986,7892,3590,9161,,0.44157,0.99731,0.44157,0.14438,1.5751E-06,0.96914
3.85E+03,0.76046,5488,0.27421,,4.00E+03,4.86E+03,3842,8214,3441,9523,,0.44157,0.97396,0.44157,0.14438,1.5751E-06,0.99925
3.70E+03,0.79217,5759,0.19429,,3.89E+03,5.09E+03,3732,8516,3340,9771,,0.44157,1,0.44157,0.14438,1.5751E-06,0.89963
3.55E+03,0.83578,5877,0.27138,,3.70E+03,5.22E+03,3538,8812,3256,10053,,0.44157,0.96004,0.44157,0.14438,0.44157,0.94962
3.42E+03,0.85231,6062,0.28994,,3.62E+03,5.42E+03,3440,9157,3076,10394,,0.44157,0.91446,0.44157,0,1.5751E-06,0.92219
3.36E+03,0.80132,6420,0.15737,,3.49E+03,5.68E+03,3307,9461,3075,10758,,0.44157,0.9868,0.44157,0,1.5751E-06,0.93342
3.18E+03,0.89692,6550,0.24062,,3.34E+03,5.88E+03,3176,9886,2973,11055,,0.44157,0.95845,0.44157,0,1.5751E-06,0.8885
3.10E+03,0.86035,6835,0.19382,,3.26E+03,6.06E+03,3055,10179,2828,11387,,0.44157,0.95845,0.44157,0,1.5751E-06,0.92475
2.91E+03,1,7085,0.18679,,3.09E+03,6.25E+03,2908,10581,2791,11772,,0.44157,0.95611,0.44157,0,1.5751E-06,0.90398
2.86E+03,0.92939,7412,0.12544,,3.08E+03,6.53E+03,2853,11017,2680,12163,,0.44157,0.95113,0.44157,0,1.5751E-06,0.90398
2.74E+03,0.97732,7669,0.13075,,2.88E+03,6.71E+03,2702,11378,2629,12564,,0.44157,0.95203,0.44157,0,1.5751E-06,0.86272
2.66E+03,0.97462,7922,0.14729,,2.83E+03,6.96E+03,2661,11789,2594,12957,,0.44157,0.9351,0.44157,0,1.5751E-06,0.91228
2.62E+03,0.89932,8246,0.11802,,2.74E+03,7.29E+03,2615,12315,2447,13414,,0.44157,0.92053,0.44157,0,1.5751E-06,0.90232
2.55E+03,0.88668,8568,0.10041,,2.68E+03,7.54E+03,2500,12852,2441,13909,,0.44157,0.86258,0.44157,0,1.5751E-06,0.85321
2.43E+03,0.96128,8859,0.11471,,2.57E+03,7.77E+03,2427,13218,2327,14292,,0.44157,0.8999,0.44157,0,1.5751E-06,0.83718
2.36E+03,0.94326,9239,0.075414,,2.49E+03,8.01E+03,2302,13691,2284,14806,,0.44157,0.90632,0.44157,0,1.5751E-06,0.83718
2.30E+03,0.9187,9551,0.093455,,2.48E+03,8.40E+03,2255,14254,2248,15299,,0.44157,0.91401,0.44157,0,1.5751E-06,0.83836
2.20E+03,0.97871,9976,0.04552,,2.33E+03,8.75E+03,2204,14849,2240,15795,,0.44157,0.90671,0.44157,0,1.5751E-06,0.81518
2.18E+03,0.90199,10357,0.037958,,2.32E+03,9.09E+03,2129,15452,2136,16423,,0.44157,0.89166,0.44157,0,1.5751E-06,0.81518
2.08E+03,0.96158,10703,0.062602,,2.21E+03,9.41E+03,2038,15974,2097,16882,,0.44157,0.88704,0.44157,0,1.5751E-06,0.72888
2.04E+03,0.90774,11108,0.0602,,2.16E+03,9.76E+03,1987,16508,2005,17389,,0.44157,0.8975,0.44157,0,1.5751E-06,0.75935
1.95E+03,0.96335,11628,0,,2.13E+03,1.02E+04,1941,17279,1996,18141,,0.44157,0.86288,1.5751E-06,0,1.5751E-06,0.7485
1.88E+03,0.991,11961,0.061802,,2.00E+03,1.05E+04,1868,17804,1851,18655,,0.44157,0.83477,0.44157,0,1.5751E-06,0.74878
1.84E+03,0.95146,12432,0.05344,,1.98E+03,1.08E+04,1849,18550,1863,19295,,0.44157,0.85569,0.44157,0,1.5751E-06,0.71525
1.78E+03,0.95501,12927,0.043455,,1.93E+03,1.12E+04,1775,19143,1774,19969,,0.44157,0.86701,0.44157,1,1.5751E-06,0.71525
1.79E+03,0.8337,13326,0.097828,,1.87E+03,1.16E+04,1712,19846,1757,20674,,0.44157,0.82919,0.44157,1,1.5751E-06,0.64009
1.71E+03,0.89359,14025,0.0025616,,1.86E+03,1.21E+04,1661,20717,1799,21569,,0.44157,0.86469,1.5751E-06,1,1.5751E-06,0.13718
1.68E+03,0.85199,14526,0.026116,,1.78E+03,1.26E+04,1620,21491,1736,22351,,0.44157,0.88866,1.5751E-06,1,1.5751E-06,0.13751
1.57E+03,0.9788,14925,0.10913,,1.72E+03,1.29E+04,1571,22180,1652,22919,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.12177
1.57E+03,0.87791,15471,0.10913,,1.71E+03,1.34E+04,1547,22926,1618,23828,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.10951
1.50E+03,0.92131,15998,0.10913,,1.65E+03,1.39E+04,1509,23778,1577,24681,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.16385
1.47E+03,0.89744,16704,0.10913,,1.60E+03,1.44E+04,1449,24718,1531,25481,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.16464
1.47E+03,0.80127,17292,0.10913,,1.58E+03,1.50E+04,1361,25655,1515,26370,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.10234
1.41E+03,0.83326,18004,0.10913,,1.54E+03,1.56E+04,1359,26488,1465,27333,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.15217
1.34E+03,0.91288,18704,0.10913,,1.49E+03,1.61E+04,1360,27466,1452,28385,,1.5751E-06,0.88746,1.5751E-06,1,1.5751E-06,0.14278
1.35E+03,0.77795,19530,0.10913,,1.47E+03,1.67E+04,1335,28682,1408,29414,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.20476
1.35E+03,0.70236,20249,0.10913,,1.49E+03,1.74E+04,1318,29782,1403,30459,,0.44157,0.88746,1.5751E-06,1,0.14438,0.15203
1.28E+03,0.75909,20992,0.10913,,1.40E+03,1.80E+04,1268,30840,1367,31498,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.20719
1.22E+03,0.82294,21761,0.10913,,1.35E+03,1.87E+04,1224,32025,1358,32666,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.2018
1.20E+03,0.78812,22642,0.10913,,1.32E+03,1.94E+04,1161,33220,1313,34075,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.21716
1.21E+03,0.68359,23510,0.10913,,1.35E+03,2.01E+04,1164,34451,1292,35064,,1.5751E-06,0.88746,1.5751E-06,1,0.14438,0.19571
1.19E+03,0.64409,24381,0.10913,,1.28E+03,2.09E+04,1147,35804,1249,36428,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.19571
1.11E+03,0.76178,25187,0.10913,,1.22E+03,2.17E+04,1110,37037,1208,37844,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.19571
1.09E+03,0.72948,26275,0.10913,,1.21E+03,2.24E+04,1061,38445,1201,39121,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.19571
1.09E+03,0.64235,27239,0.10913,,1.23E+03,2.33E+04,1071,39909,1159,40508,,1.5751E-06,0.88746,1.5751E-06,1,0.14438,0.19571
1.03E+03,0.72589,28345,0.10913,,1.17E+03,2.42E+04,1043,41445,1123,41914,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.19571
1.03E+03,0.64332,29455,0.10913,,1.15E+03,2.50E+04,991,43068,1129,43502,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.19571
1.02E+03,0.58302,30527,0.10913,,1.11E+03,2.60E+04,975,44446,1126,45070,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.19571
9.64E+02,0.6767,31680,0.10913,,1.10E+03,2.70E+04,927,46212,1067,46655,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.19571
9.36E+02,0.68119,32844,0.10913,,1.08E+03,2.80E+04,935,47977,1058,48375,,1.5751E-06,0.88746,1.5751E-06,1,1.5751E-06,0.19571
9.45E+02,0.57155,34225,0.10913,,1.07E+03,2.91E+04,994,49750,1019,50071,,1.5751E-06,0.88746,1.5751E-06,1,1.5751E-06,0.19571
8.91E+02,0.66228,35512,0.10913,,1.04E+03,3.03E+04,916,51730,994,51718,,0.44157,0.88746,0.27126,1,1.5751E-06,0.19571
9.40E+02,0.42974,36867,0.10913,,9.99E+02,3.14E+04,898,53358,979,53638,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.19571
8.95E+02,0.49143,38103,0.10913,,1.01E+03,3.24E+04,899,55195,1004,55462,,1.5751E-06,0.88746,0.14438,1,0.14438,0.19571
8.35E+02,0.61064,39315,0.10913,,9.72E+02,3.36E+04,841,56889,952,57545,,0.44157,0.88746,1.5751E-06,1,1.5751E-06,0.19571
8.28E+02,0.55705,40749,0.10913,,9.61E+02,3.49E+04,850,58792,888,59531,,1.5751E-06,0.88746,1.5751E-06,1,1.5751E-06,0.19571
8.40E+02,0.44157,42011,0.10913,,8.92E+02,3.59E+04,765,60692,915,61844,,#N/A,0.88746,1.5751E-06,1,1.5751E-06,0.19571
5.96E+04,0.087275,606,0.96916,,,,,,,,,,,,,,
5.77E+04,0.087275,641,0.88049,,,,,,,,,,,,,,
5.58E+04,0.087275,647,0.93427,,,,,,,,,,,,,,
5.39E+04,0.087275,719,0.69529,,,,,,,,,,,,,,
5.17E+04,0.087275,700,0.8584,,,,,,,,,,,,,,
4.98E+04,0.087275,743,0.75793,,,,,,,,,,,,,,
4.78E+04,0.087275,738,0.86244,,,,,,,,,,,,,,
4.59E+04,0.087275,750,0.89727,,,,,,,,,,,,,,
4.40E+04,0.087275,817,0.71406,,,,,,,,,,,,,,
4.23E+04,0.087275,842,0.70423,,,,,,,,,,,,,,
4.07E+04,0.10942,839,0.80128,,,,,,,,,,,,,,
3.89E+04,0.11591,811,1,,,,,,,,,,,,,,
3.73E+04,0.093449,897,0.76219,,,,,,,,,,,,,,
3.58E+04,0.087556,910,0.80438,,,,,,,,,,,,,,
3.45E+04,0.012598,952,0.74697,,,,,,,,,,,,,,
3.30E+04,0.043104,1007,0.65346,,,,,,,,,,,,,,
31548,0.055523,1048,0.61258,,,,,,,,,,,,,,
30378,0.019026,1047,0.70576,,,,,,,,,,,,,,
29201,0,1127,0.55375,,,,,,,,,,,,,,
27937,0.021088,1159,0.55169,,,,,,,,,,,,,,
26799,0.023282,1158,0.64625,,,,,,,,,,,,,,
25517,0.084368,1177,0.68508,,,,,,,,,,,,,,
24535,0.072276,1226,0.64104,,,,,,,,,,,,,,
23539,0.078942,1262,0.63738,,,,,,,,,,,,,,
22605,0.080454,1335,0.54018,,,,,,,,,,,,,,
21778,0.060716,1380,0.52183,,,,,,,,,,,,,,
20620,0.16708,1417,0.52668,,,,,,,,,,,,,,
19722,0.20147,1415,0.62976,,,,,,,,,,,,,,
19079,0.15736,1509,0.5024,,,,,,,,,,,,,,
18297,0.17598,1649,0.2908,,,,,,,,,,,,,,
17462,0.2288,1651,0.38322,,,,,,,,,,,,,,
16721,0.25949,1685,0.41013,,,,,,,,,,,,,,
16060,0.27086,1727,0.4227,,,,,,,,,,,,,,
15239,0.36353,1791,0.39334,,,,,,,,,,,,,,
14754,0.32419,1884,0.31266,,,,,,,,,,,,,,
14080,0.38014,1935,0.318,,,,,,,,,,,,,,
13537,0.38882,1988,0.32263,,,,,,,,,,,,,,
1.30E+04,0.4122,2043,0.32671,,,,,,,,,,,,,,
1.27E+04,0.33846,2206,0.14925,,,,,,,,,,,,,,
1.18E+04,0.53338,2178,0.30092,,,,,,,,,,,,,,
1.13E+04,0.5691,2252,0.28295,,,,,,,,,,,,,,
1.09E+04,0.58736,2345,0.23844,,,,,,,,,,,,,,
1.05E+04,0.58369,2406,0.24993,,,,,,,,,,,,,,
9.96E+03,0.66892,2491,0.22733,,,,,,,,,,,,,,
9.62E+03,0.65596,2540,0.26373,,,,,,,,,,,,,,
9.19E+03,0.70513,2612,0.26809,,,,,,,,,,,,,,
8.81E+03,0.74097,2722,0.22054,,,,,,,,,,,,,,
8.49E+03,0.73968,2841,0.1668,,,,,,,,,,,,,,
8.16E+03,0.76261,2918,0.17646,,,,,,,,,,,,,,
7.87E+03,0.75962,3005,0.17617,,,,,,,,,,,,,,
7.59E+03,0.76208,3123,0.13941,,,,,,,,,,,,,,
7.17E+03,0.87593,3169,0.19994,,,,,,,,,,,,,,
6.95E+03,0.85108,3282,0.1779,,,,,,,,,,,,,,
6.70E+03,0.86004,3449,0.095635,,,,,,,,,,,,,,
6.48E+03,0.84077,3554,0.094442,,,,,,,,,,,,,,
6.27E+03,0.83437,3679,0.074541,,,,,,,,,,,,,,
5.99E+03,0.88622,3770,0.097674,,,,,,,,,,,,,,
5.77E+03,0.89976,3884,0.098891,,,,,,,,,,,,,,
5.55E+03,0.91964,3992,0.1109,,,,,,,,,,,,,,
5.36E+03,0.92197,4147,0.077162,,,,,,,,,,,,,,
5.15E+03,0.94549,4275,0.077222,,,,,,,,,,,,,,
4.99E+03,0.93262,4369,0.11636,,,,,,,,,,,,,,
4.91E+03,0.83901,4609,0.014662,,,,,,,,,,,,,,
4.71E+03,0.8722,4717,0.048494,,,,,,,,,,,,,,
4.49E+03,0.93914,4821,0.09,,,,,,,,,,,,,,
4.34E+03,0.94274,5026,0.041415,,,,,,,,,,,,,,
4.18E+03,0.95185,5123,0.097592,,,,,,,,,,,,,,
4.00E+03,1,5352,0.039556,,,,,,,,,,,,,,
3.89E+03,0.97262,5465,0.089784,,,,,,,,,,,,,,
3.76E+03,0.97386,5618,0.10955,,,,,,,,,,,,,,
3.69E+03,0.90393,5903,0.023932,,,,,,,,,,,,,,
3.57E+03,0.91029,6124,0,,,,,,,,,,,,,,
3.47E+03,0.88076,6217,0.083743,,,,,,,,,,,,,,
3.35E+03,0.89432,6449,0.061931,,,,,,,,,,,,,,
3.23E+03,0.90867,6700,0.032679,,,,,,,,,,,,,,
3.07E+03,0.9911,6828,0.10257,,,,,,,,,,,,,,
3.01E+03,0.93166,7120,0.055477,,,,,,,,,,,,,,
2.94E+03,0.89782,7337,0.070605,,,,,,,,,,,,,,
2.83E+03,0.91163,7543,0.099476,,,,,,,,,,,,,,
2.75E+03,0.89398,7794,0.10275,,,,,,,,,,,,,,
2.70E+03,0.84141,8094,0.079564,,,,,,,,,,,,,,
2.62E+03,0.8395,8336,0.10275,,,,,,,,,,,,,,
2.55E+03,0.81308,8663,0.077064,,,,,,,,,,,,,,
2.46E+03,0.83835,8962,0.077544,,,,,,,,,,,,,,
2.44E+03,0.74302,9309,0.055933,,,,,,,,,,,,,,
2.33E+03,0.79531,9653,0.044764,,,,,,,,,,,,,,
2.25E+03,0.81103,9876,0.11334,,,,,,,,,,,,,,
2.26E+03,0.67032,10212,0.12178,,,,,,,,,,,,,,
2.19E+03,0.66869,10747,0.025717,,,,,,,,,,,,,,
2.09E+03,0.72596,11128,0.027263,,,,,,,,,,,,,,
2.07E+03,0.64469,11448,0.070072,,,,,,,,,,,,,,
1.98E+03,0.6928,11735,0.13816,,,,,,,,,,,,,,
1.97E+03,0.61219,12195,0.12235,,,,,,,,,,,,,,
1.85E+03,0.72725,12676,0.10605,,,,,,,,,,,,,,
1.81E+03,0.69099,13056,0.15068,,,,,,,,,,,,,,
1.77E+03,0.65941,13566,0.13972,,,,,,,,,,,,,,
1.73E+03,0.64725,14043,0.15541,,,,,,,,,,,,,,
1.75E+03,0.48039,14622,0.13319,,,,,,,,,,,,,,
1.67E+03,0.54233,15240,0.071456,,,,,,,,,,,,,,
1.61E+03,0.57927,15618,0.071456,,,,,,,,,,,,,,
1.56E+03,0.57019,16118,0.071456,,,,,,,,,,,,,,
1.53E+03,0.54151,16684,0.071456,,,,,,,,,,,,,,
1.50E+03,0.51065,17384,0.071456,,,,,,,,,,,,,,
1473,0.47287,18030,0.071456,,,,,,,,,,,,,,
1434,0.46505,18591,0.071456,,,,,,,,,,,,,,
1373,0.51306,19389,0.071456,,,,,,,,,,,,,,
1375,0.41223,20193,0.071456,,,,,,,,,,,,,,
1342,0.39755,20948,0.071456,,,,,,,,,,,,,,
1308,0.38778,21670,0.071456,,,,,,,,,,,,,,
1311,0.28937,22496,0.071456,,,,,,,,,,,,,,
1324,0.17009,23385,0.071456,,,,,,,,,,,,,,
1256,0.24677,24205,0.071456,,,,,,,,,,,,,,
1199,0.30374,25011,0.071456,,,,,,,,,,,,,,
1.19E+03,0.2482,26077,0.071456,,,,,,,,,,,,,,
